2.7.9.2	R00199	ATP:pyruvate,water phosphotransferase
2.7.9.1	R00206	ATP:pyruvate,phosphate phosphotransferase
1.1.1.42	R00267	Isocitrate:NADP+ oxidoreductase (decarboxylating)
1.1.1.37	R00342	(S)-malate:NAD+ oxidoreductase
1.1.1.299	R00342	(S)-malate:NAD+ oxidoreductase
6.4.1.1	R00344	Pyruvate:carbon-dioxide ligase (ADP-forming)
4.1.1.31	R00345	phosphate:oxaloacetate carboxy-lyase (adding phosphate;phosphoenolpyruvate-forming);
2.3.3.8	R00352	acetyl-CoA:oxaloacetate C-acetyltransferase [(pro-S)-carboxymethyl-forming, ADP-phosphorylating]
4.1.3.34	R00354	(3S)-citryl-CoA oxaloacetate-lyase (acetyl-CoA-forming)
1.3.1.6	R00402	succinate:NAD+ oxidoreductase
6.2.1.5	R00405	Succinate:CoA ligase (ADP-forming)
4.2.1.2	R01082	(S)-malate hydro-lyase (fumarate-forming)
1.2.7.1	R01196	pyruvate:ferredoxin 2-oxidoreductase (CoA-acetylating)
1.2.7.3	R01197	2-oxoglutarate:ferredoxin oxidoreductase (decarboxylating)
6.2.1.18	R01322	Citrate:CoA ligase (ADP-forming)
4.2.1.3	R01325	citrate hydro-lyase (cis-aconitate-forming)
4.2.1.3	R01900	isocitrate hydro-lyase (cis-aconitate-forming)
1.3.5.1	R02164	succinate:quinone oxidoreductase
1.3.5.4	R02164	succinate:quinone oxidoreductase
1.2.7.-	R10866	pyruvate:flavodoxin 2-oxidoreductase (CoA-acetylating)
