# Query_ID	Taxa_ID	Superkingdom	Kingdom	Phylum	Class	Order	Family	Genus	Species
M03879:166:000000000-JN9RD:1:1101:10004:9947	1783272	Bacteria	(Bacteria)	(Bacteria)	(Bacteria)	(Bacteria)	(Bacteria)	(Bacteria)	(Bacteria)
M03879:166:000000000-JN9RD:1:1101:10180:15174	171549	Bacteria	(Bacteria)	Bacteroidota	Bacteroidia	Bacteroidales	(Bacteroidales)	(Bacteroidales)	(Bacteroidales)
M03879:166:000000000-JN9RD:1:1101:10199:10208	2	Bacteria	(Bacteria)	(Bacteria)	(Bacteria)	(Bacteria)	(Bacteria)	(Bacteria)	(Bacteria)
M03879:166:000000000-JN9RD:1:1101:10238:10109	194	Bacteria	(Bacteria)	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	(Campylobacter)
M03879:166:000000000-JN9RD:1:1101:10418:10859	1224	Bacteria	(Bacteria)	Proteobacteria	(Proteobacteria)	(Proteobacteria)	(Proteobacteria)	(Proteobacteria)	(Proteobacteria)
M03879:166:000000000-JN9RD:1:1101:10534:19300	1239	Bacteria	(Bacteria)	Firmicutes	(Firmicutes)	(Firmicutes)	(Firmicutes)	(Firmicutes)	(Firmicutes)
M03879:166:000000000-JN9RD:1:1101:10555:18913	171552	Bacteria	(Bacteria)	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	(Prevotellaceae)	(Prevotellaceae)
M03879:166:000000000-JN9RD:1:1101:10574:21023	2	Bacteria	(Bacteria)	(Bacteria)	(Bacteria)	(Bacteria)	(Bacteria)	(Bacteria)	(Bacteria)
M03879:166:000000000-JN9RD:1:1101:10581:18130	1301	Bacteria	(Bacteria)	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	(Streptococcus)
M03879:166:000000000-JN9RD:1:1101:10625:13941	2	Bacteria	(Bacteria)	(Bacteria)	(Bacteria)	(Bacteria)	(Bacteria)	(Bacteria)	(Bacteria)
