Taxonomy	GO:0036094	GO:0097159	GO:0030246	GO:0005515	GO:0033218	GO:0044877	GO:0097367	GO:0008289	GO:0016597	GO:0043176	GO:0051192	GO:0042277
Unknown	387.071	183.517	13.5	6.738	4.833	8.017	4.5	0.333	2	0	0	0
(Bacteria)	343.152	168.1	3	3.036	3.5	3.3	2.5	0.167	1.5	0	1	0
Streptococcus	98.383	72.35	4	2.833	0.5	3.5	1.5	6	0.333	0	0	0
(Bacteroidales)	89.869	67.483	5	0.619	0.333	0	0	0	0	0	0	0
(Firmicutes)	59.233	37.783	1.833	1.25	0	2.9	3.5	0	0	0	0	0
(Lactobacillales)	45.669	30.993	0.75	0.333	0.583	1	0.5	1	0.333	1	1	0
Prevotella	38.717	30.617	5.167	0	3.667	1	2	0	1.167	0	0	0
(Actinomycetia)	43.367	22.133	1	1.917	0	0.167	1.5	0	0	0	0	0
(Prevotellaceae)	32.086	22.6	1	2	5.333	0	0.5	0	0	0	0	0
(Gammaproteobacteria)	37.533	17.65	0	0.333	0.667	0	0.5	0	0	0	0	0.5
(Pasteurellaceae)	31.836	19.35	0.5	1.286	0	0	0	0	0	0	0	1
(Bacilli)	28.95	18.083	0	1.333	1	1	1	0	0	2	0	0
Veillonella	30.483	20.217	1.333	1	0	0	0	0	0	0	0	0
(Bacteroidota)	22.736	18.917	5	0.736	0	0.25	1.333	0	0	0	0	0
(Streptococcaceae)	23.683	7.667	0	0	0	0	0.5	0	0	0	0	0
(Proteobacteria)	19.717	5.1	0	0	0.333	0	0	0	0	0	0	0
(Actinobacteria)	9.283	7.033	0	0	0.333	0.25	0.5	0	0	0	0	0
(Negativicutes)	9	4.5	0.333	0.333	0	0	0	0	0	0	0	0
Rothia	5.233	7.667	0	0	0.5	0	0	0	0	0	0	0
(Actinomycetaceae)	7.583	2.583	0	0	0	0	0	0	0	0	0	0
(Micrococcales)	6.867	2.567	0	0	0	0.2	0	0	0	0	0	0
(Veillonellaceae)	6.417	2.083	0	0	0	1	0	0	0	0	0	0
(Neisseriaceae)	6.333	1.333	0	0	0	0	0	0	0	1	0	0
(Fusobacteriales)	2.5	5.75	0	0	0	0	0	0	0	0	0	0
(Candidatus_Saccharibacteria)	2.833	5.25	0	0	0	0	0	0	0	0	0	0
(Micrococcaceae)	4.333	2.583	0	0	1	0	0	0	0	0	0	0
(Coriobacteriia)	4.417	3.167	0	0	0	0	0	0	0	0	0	0
(Leptotrichiaceae)	5.25	1.75	0.5	0	0	0	0	0	0	0	0	0
(Atopobiaceae)	2.833	2.5	0	1	0	0	0	0	0	0	0	0
(Eubacteriales)	3.25	2.167	0	0.5	0.333	0	0	0	0	0	0	0
Fusobacterium	3.869	1.75	0	0.286	0	0	0	0	0	0	0	0
Gemella	2.417	2.25	0	0.5	0	0	0	0	0	0	0	0
Leptotrichia	2.5	2.5	0	0	0	0	0	0	0	0	0	0
(Lachnospiraceae)	3.833	1	0	0	0	0	0	0	0	0	0	0
Actinomyces	2.75	1.083	0	1	0	0	0	0	0	0	0	0
(Bacillales)	2.6	0.4	0	1	0	0.2	0	0	0	0	0	0
(Campylobacterales)	2	2.083	0	0	0	0	0	0	0	0	0	0
Alloprevotella	1.167	1	0	1	0	0	0	0	0	0	0	0
(Betaproteobacteria)	1.25	1.75	0	0	0	0	0	0	0	0	0	0
(Bacteroidia)	1.333	1.5	0	0	0	0	0	0	0	0	0	0
(Coriobacteriales)	2.25	0.5	0	0	0	0	0	0	0	0	0	0
(Corynebacteriales)	1.167	1.5	0	0	0	0	0	0	0	0	0	0
Haemophilus	0	0	0	1.667	0	0	1	0	0	0	0	0
(Selenomonadaceae)	0.75	1.75	0	0	0	0	0	0	0	0	0	0
Treponema	0	2.5	0	0	0	0	0	0	0	0	0	0
Corynebacterium	1.667	0.75	0	0	0	0	0	0	0	0	0	0
Granulicatella	1.533	0.867	0	0	0	0	0	0	0	0	0	0
Capnocytophaga	1	1.25	0	0	0	0	0	0	0	0	0	0
(Campylobacteraceae)	1.5	0.5	0	0	0	0	0	0	0	0	0	0
Oribacterium	0.5	1.5	0	0	0	0	0	0	0	0	0	0
Campylobacter	1.2	0.7	0	0	0	0	0	0	0	0	0	0
(Spirochaetes)	0.75	1	0	0	0	0	0	0	0	0	0	0
Porphyromonas	0.65	0.95	0	0	0	0	0	0	0	0	0	0
(Fusobacteria)	1	0.5	0	0	0	0	0	0	0	0	0	0
Megasphaera	0.25	1.25	0	0	0	0	0	0	0	0	0	0
(Lactobacillaceae)	0	1	0	0	0.333	0	0	0	0	0	0	0
Lancefieldella	1	0.333	0	0	0	0	0	0	0	0	0	0
(Flavobacteriales)	0.65	0.45	0	0	0	0	0	0	0	0	0	0
(Coriobacteriaceae)	0	1	0	0	0	0	0	0	0	0	0	0
(Neisseriales)	1	0	0	0	0	0	0	0	0	0	0	0
(Selenomonadales)	0.5	0.5	0	0	0	0	0	0	0	0	0	0
