Taxonomy	GO:0036094	GO:0097159	GO:0030246	GO:0005515	GO:0033218	GO:0044877	GO:0097367	GO:0008289	GO:0016597	GO:0043176	GO:0051192	GO:0042277
Unknown	0.1577867	0.07480916	0.00550317	0.00274673	0.00197027	0.00326793	0.00183439	0.00013588	0.00081528	0	0	0
(Bacteria)	0.13988343	0.06852467	0.00122293	0.00123749	0.00142675	0.00134522	0.00101911	6.794e-05	0.00061146	0	0.00040764	0
Streptococcus	0.04010521	0.02949292	0.00163057	0.00115499	0.00020382	0.00142675	0.00061146	0.00244585	0.00013588	0	0	0
(Bacteroidales)	0.03663443	0.02750906	0.00203821	0.00025235	0.00013588	0	0	0	0	0	0	0
(Firmicutes)	0.02414601	0.01540209	0.00074734	0.00050955	0	0.00118216	0.00142675	0	0	0	0	0
(Lactobacillales)	0.01861664	0.012634	0.00030573	0.00013588	0.00023779	0.00040764	0.00020382	0.00040764	0.00013588	0.00040764	0.00040764	0
Prevotella	0.01578255	0.01248065	0.00210615	0	0.00149469	0.00040764	0.00081528	0	0.00047558	0	0	0
(Actinomycetia)	0.01767809	0.00902248	0.00040764	0.00078131	0	6.794e-05	0.00061146	0	0	0	0	0
(Prevotellaceae)	0.0130795	0.00921272	0.00040764	0.00081528	0.00217409	0	0.00020382	0	0	0	0	0
(Gammaproteobacteria)	0.01530018	0.00719489	0	0.00013588	0.00027176	0	0.00020382	0	0	0	0	0.00020382
(Pasteurellaceae)	0.01297758	0.00788788	0.00020382	0.00052411	0	0	0	0	0	0	0	0.00040764
(Bacilli)	0.01180125	0.00737153	0	0.00054352	0.00040764	0.00040764	0.00040764	0	0	0.00081528	0	0
Veillonella	0.0124263	0.00824117	0.00054352	0.00040764	0	0	0	0	0	0	0	0
(Bacteroidota)	0.00926804	0.00771123	0.00203821	0.00029991	0	0.00010191	0.00054352	0	0	0	0	0
(Streptococcaceae)	0.00965433	0.00312526	0	0	0	0	0.00020382	0	0	0	0	0
(Proteobacteria)	0.00803735	0.00207898	0	0	0.00013588	0	0	0	0	0	0	0
(Actinobacteria)	0.00378428	0.00286708	0	0	0.00013588	0.00010191	0.00020382	0	0	0	0	0
(Negativicutes)	0.00366878	0.00183439	0.00013588	0.00013588	0	0	0	0	0	0	0	0
Rothia	0.00213333	0.00312526	0	0	0.00020382	0	0	0	0	0	0	0
(Actinomycetaceae)	0.00309129	0.00105308	0	0	0	0	0	0	0	0	0	0
(Micrococcales)	0.00279914	0.00104628	0	0	0	8.153e-05	0	0	0	0	0	0
(Veillonellaceae)	0.0026157	0.00084925	0	0	0	0.00040764	0	0	0	0	0	0
(Neisseriaceae)	0.00258173	0.00054352	0	0	0	0	0	0	0	0.00040764	0	0
(Fusobacteriales)	0.00101911	0.00234394	0	0	0	0	0	0	0	0	0	0
(Candidatus_Saccharibacteria)	0.00115499	0.00214012	0	0	0	0	0	0	0	0	0	0
(Micrococcaceae)	0.00176645	0.00105308	0	0	0.00040764	0	0	0	0	0	0	0
(Coriobacteriia)	0.00180042	0.00129087	0	0	0	0	0	0	0	0	0	0
(Leptotrichiaceae)	0.00214012	0.00071337	0.00020382	0	0	0	0	0	0	0	0	0
(Atopobiaceae)	0.00115499	0.00101911	0	0.00040764	0	0	0	0	0	0	0	0
(Eubacteriales)	0.00132484	0.00088323	0	0.00020382	0.00013588	0	0	0	0	0	0	0
Fusobacterium	0.00157719	0.00071337	0	0.00011647	0	0	0	0	0	0	0	0
Gemella	0.00098514	0.0009172	0	0.00020382	0	0	0	0	0	0	0	0
Leptotrichia	0.00101911	0.00101911	0	0	0	0	0	0	0	0	0	0
(Lachnospiraceae)	0.00156263	0.00040764	0	0	0	0	0	0	0	0	0	0
Actinomyces	0.00112102	0.00044161	0	0.00040764	0	0	0	0	0	0	0	0
(Bacillales)	0.00105987	0.00016306	0	0.00040764	0	8.153e-05	0	0	0	0	0	0
(Campylobacterales)	0.00081528	0.00084925	0	0	0	0	0	0	0	0	0	0
Alloprevotella	0.00047558	0.00040764	0	0.00040764	0	0	0	0	0	0	0	0
(Betaproteobacteria)	0.00050955	0.00071337	0	0	0	0	0	0	0	0	0	0
(Bacteroidia)	0.00054352	0.00061146	0	0	0	0	0	0	0	0	0	0
(Coriobacteriales)	0.0009172	0.00020382	0	0	0	0	0	0	0	0	0	0
(Corynebacteriales)	0.00047558	0.00061146	0	0	0	0	0	0	0	0	0	0
Haemophilus	0	0	0	0.0006794	0	0	0.00040764	0	0	0	0	0
(Selenomonadaceae)	0.00030573	0.00071337	0	0	0	0	0	0	0	0	0	0
Treponema	0	0.00101911	0	0	0	0	0	0	0	0	0	0
Corynebacterium	0.0006794	0.00030573	0	0	0	0	0	0	0	0	0	0
Granulicatella	0.00062505	0.00035329	0	0	0	0	0	0	0	0	0	0
Capnocytophaga	0.00040764	0.00050955	0	0	0	0	0	0	0	0	0	0
(Campylobacteraceae)	0.00061146	0.00020382	0	0	0	0	0	0	0	0	0	0
Oribacterium	0.00020382	0.00061146	0	0	0	0	0	0	0	0	0	0
Campylobacter	0.00048917	0.00028535	0	0	0	0	0	0	0	0	0	0
(Spirochaetes)	0.00030573	0.00040764	0	0	0	0	0	0	0	0	0	0
Porphyromonas	0.00026497	0.00038726	0	0	0	0	0	0	0	0	0	0
(Fusobacteria)	0.00040764	0.00020382	0	0	0	0	0	0	0	0	0	0
Megasphaera	0.00010191	0.00050955	0	0	0	0	0	0	0	0	0	0
(Lactobacillaceae)	0	0.00040764	0	0	0.00013588	0	0	0	0	0	0	0
Lancefieldella	0.00040764	0.00013588	0	0	0	0	0	0	0	0	0	0
(Flavobacteriales)	0.00026497	0.00018344	0	0	0	0	0	0	0	0	0	0
(Coriobacteriaceae)	0	0.00040764	0	0	0	0	0	0	0	0	0	0
(Neisseriales)	0.00040764	0	0	0	0	0	0	0	0	0	0	0
(Selenomonadales)	0.00020382	0.00020382	0	0	0	0	0	0	0	0	0	0
Alloscardovia	0	0.00040764	0	0	0	0	0	0	0	0	0	0
