Sample_ID	Total	(Acidobacteria)	(Ascomycota)	(Bacteria)	(Bacteroidetes)	(Basidiomycota)	(Cyanobacteria)	(Eukaryota)	(Firmicutes)	(Fungi)	(Proteobacteria)	Actinobacteria	Alphaproteobacteria	Bacilli	Betaproteobacteria	Cytophagia	Eurotiomycetes	Flavobacteriia	Gammaproteobacteria	Sordariomycetes	Sphingobacteriia	Unknown	Ustilaginomycetes
PHYLLO09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PHYLLO10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PHYLLO11	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
PHYLLO12	3	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PHYLLO13	38	0	1	1	4	0	8	6	0	0	3	0	2	0	0	0	0	0	4	0	0	9	0
PHYLLO14	17	0	1	2	0	0	4	1	0	0	0	0	0	0	0	0	1	0	0	0	0	6	2
PHYLLO15	19	0	0	6	0	0	0	0	0	0	4	3	0	4	0	0	0	0	2	0	0	0	0
PHYLLO16	21	0	1	4	1	0	0	0	0	0	2	6	0	1	0	2	0	0	2	0	1	1	0
PHYLLO17	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PHYLLO18	4	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PHYLLO19	9	0	0	0	0	0	0	0	0	0	2	0	2	1	2	0	0	0	2	0	0	0	0
PHYLLO20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PHYLLO21	41	0	6	7	0	0	3	1	0	0	6	1	4	2	0	0	0	2	4	0	0	5	0
PHYLLO22	4	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PHYLLO23	73	0	3	5	25	0	0	0	0	0	8	10	2	6	2	1	0	5	5	0	0	1	0
PHYLLO24	9	0	2	1	0	0	0	0	0	0	4	1	0	0	0	0	0	0	1	0	0	0	0
PHYLLO25	64	0	4	13	8	0	0	2	2	0	9	6	1	5	0	3	0	3	6	1	0	1	0
PHYLLO26	42	0	2	6	11	0	0	0	0	2	6	10	2	0	0	0	0	3	0	0	0	0	0
PHYLLO27	21	0	0	1	1	0	0	0	0	0	2	6	6	1	0	4	0	0	0	0	0	0	0
PHYLLO28	84	2	0	12	19	0	0	2	0	2	18	6	14	0	1	0	0	0	5	0	0	3	0
PHYLLO29	4	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0
