Sample_ID	Total	(Acidobacteria)	(Actinobacteria)	(Actinomycetales)	(Alphaproteobacteria)	(Ascomycota)	(Bacillales)	(Bacilli)	(Bacteria)	(Bacteroidetes)	(Basidiomycota)	(Betaproteobacteria)	(Cyanobacteria)	(Cytophagales)	(Eukaryota)	(Firmicutes)	(Fungi)	(Gammaproteobacteria)	(Lactobacillales)	(Longamoebia)	(Proteobacteria)	(Pseudomonadales)	(Sordariomycetes)	(Sphingomonadales)	Aspergillaceae	Bacillaceae	Bradyrhizobiaceae	Comamonadaceae	Corynebacteriaceae	Enterobacteriaceae	Enterococcaceae	Flavobacteriaceae	Methylobacteriaceae	Microbacteriaceae	Micrococcaceae	Pseudomonadaceae	Rubrobacteraceae	Sphingobacteriaceae	Sphingomonadaceae	Staphylococcaceae	Streptococcaceae	Thiotrichaceae	Unknown	Ustilaginaceae	Xanthobacteraceae
PHYLLO09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PHYLLO10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PHYLLO11	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PHYLLO12	3	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PHYLLO13	38	0	0	0	1	1	0	0	1	4	0	0	8	0	6	0	0	1	0	0	3	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	9	0	0
PHYLLO14	17	0	0	0	0	1	0	0	2	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0
PHYLLO15	19	0	0	2	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	2	0	0	0	0
PHYLLO16	21	0	2	0	0	1	0	1	4	1	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	0	1	0	0	0	0	1	0	0
PHYLLO17	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PHYLLO18	4	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PHYLLO19	9	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PHYLLO20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PHYLLO21	41	0	0	1	0	6	2	0	7	0	0	0	3	0	1	0	0	0	0	0	6	0	0	2	0	0	0	0	0	4	0	2	0	0	0	0	0	0	2	0	0	0	5	0	0
PHYLLO22	4	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PHYLLO23	73	0	2	4	0	3	0	6	5	25	0	0	0	1	0	0	0	0	0	0	8	1	0	0	0	0	0	2	4	4	0	5	0	0	0	0	0	0	2	0	0	0	1	0	0
PHYLLO24	9	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PHYLLO25	64	0	0	4	0	4	3	1	13	8	0	0	0	3	2	2	0	0	0	0	9	0	1	0	0	0	0	0	0	6	0	3	0	0	2	0	0	0	0	1	0	0	1	0	1
PHYLLO26	42	0	0	4	1	2	0	0	6	11	0	0	0	0	0	0	2	0	0	0	6	0	0	0	0	0	0	0	2	0	0	3	1	4	0	0	0	0	0	0	0	0	0	0	0
PHYLLO27	21	0	3	1	0	0	0	0	1	1	0	0	0	4	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	5	0	0	0	0	0	0
PHYLLO28	84	2	2	4	4	0	0	0	12	19	0	1	0	0	2	0	2	2	0	0	18	0	0	3	0	0	2	0	0	1	0	0	0	0	0	2	0	0	5	0	0	0	3	0	0
PHYLLO29	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
