Sample_ID	Total	(Bacteria)	(Eukaryota)	(Fungi)	Acidobacteria	Actinobacteria	Ascomycota	Bacteroidetes	Basidiomycota	Cyanobacteria	Firmicutes	Proteobacteria	Unknown
PHYLLO09	0	0	0	0	0	0	0	0	0	0	0	0	0
PHYLLO10	0	0	0	0	0	0	0	0	0	0	0	0	0
PHYLLO11	2	0	0	0	0	0	0	0	0	0	0	2	0
PHYLLO12	3	2	0	0	0	0	0	1	0	0	0	0	0
PHYLLO13	38	1	6	0	0	0	1	4	0	8	0	9	9
PHYLLO14	17	2	1	0	0	0	2	0	2	4	0	0	6
PHYLLO15	19	6	0	0	0	3	0	0	0	0	4	6	0
PHYLLO16	21	4	0	0	0	6	1	4	0	0	1	4	1
PHYLLO17	1	0	1	0	0	0	0	0	0	0	0	0	0
PHYLLO18	4	2	0	0	0	0	0	2	0	0	0	0	0
PHYLLO19	9	0	0	0	0	0	0	0	0	0	1	8	0
PHYLLO20	0	0	0	0	0	0	0	0	0	0	0	0	0
PHYLLO21	41	7	1	0	0	1	6	2	0	3	2	14	5
PHYLLO22	4	0	0	0	0	0	0	2	2	0	0	0	0
PHYLLO23	73	5	0	0	0	10	3	31	0	0	6	17	1
PHYLLO24	9	1	0	0	0	1	2	0	0	0	0	5	0
PHYLLO25	64	13	2	0	0	6	5	14	0	0	7	16	1
PHYLLO26	42	6	0	2	0	10	2	14	0	0	0	8	0
PHYLLO27	21	1	0	0	0	6	0	5	0	0	1	8	0
PHYLLO28	84	12	2	2	2	6	0	19	0	0	0	38	3
PHYLLO29	4	0	0	0	0	1	0	0	0	0	0	2	1
