MouseID	SexMet	PC01_94_log_POS_3643_2._Hydroxymethyl_.3._intercept	PC01_94_log_POS_3643_2._Hydroxymethyl_.3._slope	PC01_94_log_POS_3643_2._Hydroxymethyl_.3._sd_res	PC01_94_log_POS_3643_2._Hydroxymethyl_.3._min	PC01_94_log_POS_3643_2._Hydroxymethyl_.3._max	PC01_94_log_POS_3643_2._Hydroxymethyl_.3._range	PC01_94_log_POS_3643_2._Hydroxymethyl_.3._mean	PC01_94_log_POS_3643_2._Hydroxymethyl_.3._stdev	PC01_94_log_POS_3643_2._Hydroxymethyl_.3._median	PC02_90_log_POS_1920_SenkyunolideH_C12H16O_intercept	PC02_90_log_POS_1920_SenkyunolideH_C12H16O_slope	PC02_90_log_POS_1920_SenkyunolideH_C12H16O_sd_res	PC02_90_log_POS_1920_SenkyunolideH_C12H16O_min	PC02_90_log_POS_1920_SenkyunolideH_C12H16O_max	PC02_90_log_POS_1920_SenkyunolideH_C12H16O_range	PC02_90_log_POS_1920_SenkyunolideH_C12H16O_mean	PC02_90_log_POS_1920_SenkyunolideH_C12H16O_stdev	PC02_90_log_POS_1920_SenkyunolideH_C12H16O_median	PC03_90_log_NEG_6406_C4H7ClO6_intercept	PC03_90_log_NEG_6406_C4H7ClO6_slope	PC03_90_log_NEG_6406_C4H7ClO6_sd_res	PC03_90_log_NEG_6406_C4H7ClO6_min	PC03_90_log_NEG_6406_C4H7ClO6_max	PC03_90_log_NEG_6406_C4H7ClO6_range	PC03_90_log_NEG_6406_C4H7ClO6_mean	PC03_90_log_NEG_6406_C4H7ClO6_stdev	PC03_90_log_NEG_6406_C4H7ClO6_median	PC04_82_log_NEG_2675_Alliin_C6H11NO3S_intercept	PC04_82_log_NEG_2675_Alliin_C6H11NO3S_slope	PC04_82_log_NEG_2675_Alliin_C6H11NO3S_sd_res	PC04_82_log_NEG_2675_Alliin_C6H11NO3S_min	PC04_82_log_NEG_2675_Alliin_C6H11NO3S_max	PC04_82_log_NEG_2675_Alliin_C6H11NO3S_range	PC04_82_log_NEG_2675_Alliin_C6H11NO3S_mean	PC04_82_log_NEG_2675_Alliin_C6H11NO3S_stdev	PC04_82_log_NEG_2675_Alliin_C6H11NO3S_median	PC05_73_log_NEG_887_C10H18O5_intercept	PC05_73_log_NEG_887_C10H18O5_slope	PC05_73_log_NEG_887_C10H18O5_sd_res	PC05_73_log_NEG_887_C10H18O5_min	PC05_73_log_NEG_887_C10H18O5_max	PC05_73_log_NEG_887_C10H18O5_range	PC05_73_log_NEG_887_C10H18O5_mean	PC05_73_log_NEG_887_C10H18O5_stdev	PC05_73_log_NEG_887_C10H18O5_median	PC06_72_log_POS_7424_C12H33N10O6P_intercept	PC06_72_log_POS_7424_C12H33N10O6P_slope	PC06_72_log_POS_7424_C12H33N10O6P_sd_res	PC06_72_log_POS_7424_C12H33N10O6P_min	PC06_72_log_POS_7424_C12H33N10O6P_max	PC06_72_log_POS_7424_C12H33N10O6P_range	PC06_72_log_POS_7424_C12H33N10O6P_mean	PC06_72_log_POS_7424_C12H33N10O6P_stdev	PC06_72_log_POS_7424_C12H33N10O6P_median	PC07_66_log_POS_4442_C7H15NOS2_intercept	PC07_66_log_POS_4442_C7H15NOS2_slope	PC07_66_log_POS_4442_C7H15NOS2_sd_res	PC07_66_log_POS_4442_C7H15NOS2_min	PC07_66_log_POS_4442_C7H15NOS2_max	PC07_66_log_POS_4442_C7H15NOS2_range	PC07_66_log_POS_4442_C7H15NOS2_mean	PC07_66_log_POS_4442_C7H15NOS2_stdev	PC07_66_log_POS_4442_C7H15NOS2_median	PC08_72_log_NEG_3439_C19H36O18_intercept	PC08_72_log_NEG_3439_C19H36O18_slope	PC08_72_log_NEG_3439_C19H36O18_sd_res	PC08_72_log_NEG_3439_C19H36O18_min	PC08_72_log_NEG_3439_C19H36O18_max	PC08_72_log_NEG_3439_C19H36O18_range	PC08_72_log_NEG_3439_C19H36O18_mean	PC08_72_log_NEG_3439_C19H36O18_stdev	PC08_72_log_NEG_3439_C19H36O18_median	PC09_63_log_POS_6891_1S_4S_6S_.6.Isoprop_intercept	PC09_63_log_POS_6891_1S_4S_6S_.6.Isoprop_slope	PC09_63_log_POS_6891_1S_4S_6S_.6.Isoprop_sd_res	PC09_63_log_POS_6891_1S_4S_6S_.6.Isoprop_min	PC09_63_log_POS_6891_1S_4S_6S_.6.Isoprop_max	PC09_63_log_POS_6891_1S_4S_6S_.6.Isoprop_range	PC09_63_log_POS_6891_1S_4S_6S_.6.Isoprop_mean	PC09_63_log_POS_6891_1S_4S_6S_.6.Isoprop_stdev	PC09_63_log_POS_6891_1S_4S_6S_.6.Isoprop_median	PC10_52_log_POS_7331_C39H91N10O7P3S_intercept	PC10_52_log_POS_7331_C39H91N10O7P3S_slope	PC10_52_log_POS_7331_C39H91N10O7P3S_sd_res	PC10_52_log_POS_7331_C39H91N10O7P3S_min	PC10_52_log_POS_7331_C39H91N10O7P3S_max	PC10_52_log_POS_7331_C39H91N10O7P3S_range	PC10_52_log_POS_7331_C39H91N10O7P3S_mean	PC10_52_log_POS_7331_C39H91N10O7P3S_stdev	PC10_52_log_POS_7331_C39H91N10O7P3S_median
Ctrl.F1	F_Ctrl	8.0087	16.4428	31.0528	-24.7333	75.8698	100.6031	40.8942	40.4992	51.7137	3.9824	-11.7042	24.5164	-51.0276	25.2244	76.252	-19.426	30.7168	-28.7331	57.5319	-16.7067	5.8093	-5.3678	55.7215	61.0893	24.1185	27.0469	17.6998	-8.3148	9.6452	15.4285	-20.7149	35.1025	55.8174	10.9756	21.6936	11.0971	1.8158	-8.7145	14.628	-35.7776	8.4448	44.2224	-15.6133	20.0956	-26.4599	42.1292	-9.8216	10.0108	-7.9249	41.2792	49.2041	22.486	18.4764	28.9239	-13.9398	0.4323	17.5106	-30.9273	11.3809	42.3081	-13.0753	17.5239	-9.7967	-32.9803	5.9491	6.118	-39.3843	-9.8334	29.5508	-21.082	11.221	-19.9626	-0.7784	-0.0833	13.2592	-13.0828	15.5251	28.6079	-0.9451	13.2598	-8.3094	-5.1218	-1.5979	8.7859	-19.9294	1.5233	21.4527	-8.3175	9.1419	-5.0576
Ctrl.F2	F_Ctrl	-50.3282	26.2385	38.2495	-51.7822	78.7934	130.5756	2.1487	56.4285	-7.0755	48.7979	-24.4199	21.2994	-61.3018	52.6412	113.943	-0.0419	44.0964	-2.5179	64.76	-23.613	14.4558	-19.6696	77.0607	96.7303	17.534	40.0363	23.3475	16.8785	-1.3937	17.0403	-2.7832	32.2978	35.081	14.091	17.1822	8.9942	-17.3172	-2.6988	17.8147	-42.6458	4.1115	46.7574	-22.7148	18.3187	-22.4947	24.0839	-9.8193	16.9515	-25.1649	32.3297	57.4947	4.4454	22.9869	-3.5966	-13.1138	3.6637	21.1136	-44.6141	7.7795	52.3936	-5.7864	21.8939	1.9573	-28.3864	1.1067	4.8781	-31.7519	-20.3056	11.4463	-26.173	5.1824	-26.237	0.6985	-1.254	15.7464	-18.613	13.4848	32.0979	-1.8094	15.8707	1.3259	5.3704	1.4011	16.061	-6.7515	35.3671	42.1185	8.1727	16.213	6.1463
Ctrl.F3	F_Ctrl	-1.5891	23.6077	29.3695	-38.3357	74.5126	112.8483	45.6263	47.4961	61.1587	11.4569	-10.348	18.126	-34.0424	30.6276	64.6699	-9.2392	24.4184	-16.9068	47.1502	-11.3858	14.1753	-7.0274	51.2558	58.2832	24.3786	22.9136	29.5524	-2.9952	6.899	20.2802	-22.6628	29.6446	52.3075	10.8028	23.0278	23.2259	-1.9195	-8.0208	14.3168	-41.694	7.7622	49.4562	-17.961	19.126	-21.8129	29.5255	-7.7883	12.6604	-5.0161	36.1997	41.2158	13.9488	17.6616	13.9884	13.0439	-5.9359	12.3438	-17.0472	19.0957	36.1429	1.1721	15.5067	-3.9573	-33.9814	5.8042	6.352	-41.813	-15.5712	26.2418	-22.373	11.161	-16.6773	-9.7296	3.8865	25.6251	-41.7672	22.15	63.9173	-1.9567	26.3516	1.2734	6.174	-7.0809	18.6045	-35.0467	23.8771	58.9238	-7.9879	21.7135	-5.189
Ctrl.F4	F_Ctrl	-88.3284	26.8788	76.2765	-105.8453	110.9656	216.8109	-34.5708	87.3171	-75.353	-69.5127	26.9614	100.1128	-105.5582	164.5115	270.0697	-15.59	108.8111	-44.3767	7.0515	-2.2194	34.6497	-51.1801	40.6066	91.7868	2.6127	34.8269	11.7565	31.3775	12.9193	50.8319	-11.9429	114.0365	125.9793	57.2161	54.7828	66.5668	-11.1139	-10.3497	18.1676	-58.1121	7.6751	65.7872	-31.8133	24.451	-37.802	15.8399	-11.732	9.7573	-35.1872	20.7057	55.8929	-7.6242	20.9596	-5.1787	32.0314	-1.5254	14.4412	18.2058	54.0331	35.8273	28.9807	14.6412	21.7175	-35.7428	8.4639	18.3654	-47.8467	9.1283	56.9749	-18.8151	22.724	-21.2672	-9.1016	4.5262	22.964	-35.7655	27.32	63.0856	-0.0492	24.0533	-0.0269	4.5039	3.3564	20.1404	-12.6786	32.2346	44.9132	11.2167	20.8278	20.1677
Ctrl.F5	F_Ctrl	-75.7991	37.7428	20.5321	-67.5954	98.8167	166.4121	-0.3135	63.1099	-23.7082	-10.4836	11.6367	26.6337	-28.6438	61.3638	90.0077	12.7897	32.3711	8.0113	39.3635	-6.5344	8.0264	4.9407	36.711	31.7703	26.2947	13.0831	30.8553	-66.5058	27.7709	12.6678	-75.878	42.7617	118.6396	-10.964	45.7004	4.868	-52.5769	2.4144	19.5341	-69.8771	-23.117	46.7601	-47.7481	19.9036	-48.0568	2.0137	0.3178	15.5409	-17.2335	25.1908	42.4242	2.6493	15.549	-1.2453	-20.6213	1.3471	8.8655	-27.8384	-7.3617	20.4767	-17.927	9.1178	-18.2524	-24.5551	4.3187	2.4975	-26.9959	-7.5616	19.4343	-15.9177	7.2708	-16.0805	11.7684	-1.6535	20.6331	-18.0508	33.4206	51.4714	8.4614	20.7981	2.9459	-5.1347	2.3444	7.7112	-12.5402	10.697	23.2372	-0.4458	8.5559	0.3261
Ctrl.M1	M_Ctrl	-67.8008	28.2508	36.1248	-63.2002	86.8737	150.0739	-11.2991	57.448	-27.0928	10.8713	-11.3429	13.7561	-49.9813	9.8635	59.8448	-11.8146	22.6028	-5.2016	66.1393	-16.7631	8.2827	-7.1446	58.5081	65.6527	32.6132	27.7688	45.7728	-19.719	8.9455	10.0202	-29.5265	17.6586	47.185	-1.8281	17.3337	-1.1813	-2.8391	2.4666	18.6863	-20.2875	22.5617	42.8491	2.0941	19.089	12.0517	-29.9435	6.3156	21.3969	-55.6461	6.7206	62.3666	-17.3124	23.6123	-13.3358	5.0484	-10.7786	20.5344	-50.7192	21.4836	72.2027	-16.5088	26.6853	-12.4322	28.8125	-0.6416	5.5601	20.7716	34.386	13.6143	27.5292	5.6519	29.8429	9.4031	-7.9835	9.9294	-28.3137	15.5303	43.844	-6.5638	16.0603	-8.0377	25.9292	-4.8347	24.7786	-14.7307	48.6342	63.3649	16.2597	25.9309	20.6009
Ctrl.M2	M_Ctrl	-22.5287	31.3884	26.0287	-54.4585	82.1634	136.6219	40.248	56.0407	65.2061	-38.0845	-5.8949	28.2006	-87.8174	-12.1423	75.6751	-49.8743	29.701	-52.1477	47.3511	-11.4767	12.0521	-5.3348	45.6884	51.0231	24.3977	21.784	33.0748	-38.5732	13.1836	16.6376	-59.4937	3.9614	63.4552	-12.2059	26.6708	-3.0738	16.1463	-1.682	19.7974	-5.9581	34.5184	40.4765	12.7823	19.9752	6.901	-32.519	6.4663	19.3862	-56.4278	-1.0054	55.4223	-19.5863	21.9171	-17.7324	19.8117	-12.4304	7.5789	-25.5093	23.9287	49.438	-5.0491	21.0648	-12.6394	23.6956	-1.4651	11.087	6.3886	33.7488	27.3602	20.7654	11.3264	24.0796	5.6367	-2.6524	24.6276	-26.1255	31.0627	57.1882	0.3318	24.9822	7.6247	3.5165	-5.9032	7.0603	-23.1963	5.4449	28.6413	-8.2899	11.7033	-4.1476
Ctrl.M3	M_Ctrl	-61.8265	29.9341	53.3612	-93.5536	69.8879	163.4415	-1.9582	71.3271	-14.4354	-17.4538	-7.3162	43.6731	-77.0526	35.7634	112.816	-32.0862	45.1792	-26.4295	54.0652	-13.5058	21.8389	-10.1378	70.3725	80.5103	27.0537	30.5443	26.7366	-13.0021	7.9904	16.7569	-26.8532	22.6582	49.5114	2.9787	20.986	8.5266	35.6465	-12.0479	18.0549	-16.1633	37.3164	53.4798	11.5508	26.2461	17.5371	8.9286	-6.5605	11.6658	-25.1606	14.7127	39.8734	-4.1924	15.6106	-5.5614	-11.394	-5.7083	18.7935	-57.4538	-2.4118	55.0421	-22.8106	20.8484	-15.9253	24.2932	-0.6062	7.5202	14.9639	33.4134	18.4495	23.0808	7.5811	20.0179	-1.9235	-0.3755	14.1015	-18.8569	13.0106	31.8675	-2.6744	14.114	-1.1084	17.8893	-2.7334	8.7688	-1.7445	22.182	23.9265	12.4225	9.7761	12.6425
Ctrl.M4	M_Ctrl	-48.0736	16.7275	56.145	-72.2743	62.9567	135.2309	-14.6185	62.0627	-41.4085	-19.5734	-0.7824	7.3264	-28.9564	-8.7988	20.1576	-21.1382	7.4301	-22.7097	57.5823	-13.1896	10.3301	3.3529	58.7541	55.4012	31.2031	23.2729	36.8636	-29.9495	24.1246	36.6118	-50.5485	94.275	144.8236	18.2997	52.8717	20.8873	11.2407	-3.2595	25.1972	-28.8117	33.1285	61.9401	4.7218	25.7188	1.937	-22.5771	1.2199	22.1625	-46.7919	5.7851	52.5771	-20.1374	22.2463	-23.7402	10.7466	-9.5068	6.0624	-29.172	15.6022	44.7742	-8.2671	16.2081	-9.9379	28.4177	-2.9997	7.7574	13.8887	35.8752	21.9865	22.4184	9.0924	23.6488	7.7399	-3.2666	11.3021	-12.6773	19.1393	31.8166	1.2066	12.4263	-2.1026	6.8287	0.2726	10.8063	-4.6047	22.6622	27.2669	7.374	10.8149	7.3725
Met.F1	F_Met	22.7855	-15.1038	11.879	-40.8877	33.8196	74.7073	-7.4221	26.6725	-10.0745	-24.8324	16.7671	29.5086	-46.0261	56.7989	102.825	8.7017	39.6685	5.4647	8.8452	-19.1934	20.021	-65.6921	31.0659	96.758	-29.5417	36.3567	-34.2725	-33.2932	8.8736	35.1101	-58.9081	43.9306	102.8387	-15.5459	37.8097	-16.4919	16.7027	-13.6668	28.7438	-72.2227	18.7827	91.0054	-10.6308	35.9605	4.8947	61.4922	-14.8511	17.9174	-9.7304	63.0872	72.8175	31.7901	29.5367	40.0416	23.1629	-4.3635	15.9982	-9.7417	33.4933	43.235	14.4358	17.4225	18.7853	8.4447	4.482	4.1839	7.0977	29.0987	22.0011	17.4087	8.2296	19.0773	10.8658	-5.6962	29.6614	-33.117	41.1639	74.2809	-0.5266	30.9987	-6.4623	-9.7338	3.2179	22.185	-35.2891	28.898	64.1871	-3.2981	22.7609	-2.2493
