SampleID	MouseID	onMetformin	isFemale	WeekOffset	SexMet	PC01_94_log_POS_3643_2._Hydroxymethyl_.3.	PC02_90_log_POS_1920_SenkyunolideH_C12H16O	PC03_90_log_NEG_6406_C4H7ClO6	PC04_82_log_NEG_2675_Alliin_C6H11NO3S	PC05_73_log_NEG_887_C10H18O5	PC06_72_log_POS_7424_C12H33N10O6P	PC07_66_log_POS_4442_C7H15NOS2	PC08_72_log_NEG_3439_C19H36O18	PC09_63_log_POS_6891_1S_4S_6S_.6.Isoprop	PC10_52_log_POS_7331_C39H91N10O7P3S
Wk0_Ctrl_F1	Ctrl.F1	FALSE	FALSE	0	F_Ctrl	31.8795012584097	-2.74751845889632	55.7215496646747	-20.7149378970535	8.44476089196576	41.2791721561444	-9.79674293148593	-39.3842530892661	-10.0562695737264	-5.05763273953219
Wk0_Ctrl_F2	Ctrl.F2	FALSE	FALSE	0	F_Ctrl	-7.07554812960393	52.6412062884992	77.0607398051826	32.2768279103649	4.11152939265715	32.3297193231143	5.45617705835379	-30.8595842039224	-18.1158085940123	6.14625332903095
Wk0_Ctrl_F3	Ctrl.F3	FALSE	FALSE	0	F_Ctrl	-38.3356840109862	-6.06930496317701	29.5524329434776	-3.73971050691056	7.76220383005122	26.2040456013028	15.4518406511469	-41.8129739607389	-41.7672452410021	23.8771471370635
Wk0_Ctrl_F4	Ctrl.F4	FALSE	FALSE	0	F_Ctrl	-19.5885374148975	-0.885962123957741	20.2352951161837	14.5444112219601	7.67508236652578	20.7056682222927	21.2080071797097	-47.8466821740282	-35.7655296888224	25.8420751738728
Wk0_Ctrl_F5	Ctrl.F5	FALSE	FALSE	0	F_Ctrl	-67.5954338985324	-28.6438177670533	30.8552724105915	-75.8779691401271	-48.0567758501099	-1.24529057046246	-10.2645333062512	-26.9958522958202	2.94587897607088	-3.65462231053763
Wk0_Ctrl_M1	Ctrl.M1	FALSE	FALSE	0	M_Ctrl	-63.2002179786301	-3.38345332086156	58.5080740664378	-29.52645179819	-16.1790737349175	-55.6460690388833	21.4835580347214	29.8428880580823	-0.180313339070192	-4.57376993193116
Wk0_Ctrl_M2	Ctrl.M2	FALSE	FALSE	0	M_Ctrl	-54.4584752157884	-12.142324884328	39.8609354000528	-59.493729217025	-4.92720920792288	-56.4277693617124	23.9286906003808	11.8975422176479	-24.5822937565885	-2.17752250735476
Wk0_Ctrl_M3	Ctrl.M3	FALSE	FALSE	0	M_Ctrl	-93.5535522091057	-69.8063224664521	26.7366237604242	-26.8531923400873	17.5370638784691	-5.56140229681574	-2.41175588861843	14.9639453400778	-15.164902379698	12.6425479350041
Wk0_Ctrl_M4	Ctrl.M4	FALSE	FALSE	0	M_Ctrl	-72.2742893565612	-22.7096663633558	45.6308724908072	-50.5485101475592	-9.69831270824432	-46.7919410464499	15.6022060322823	23.6487831488873	-2.10256544571693	-4.60471272560551
Wk0_Met_F1	Met.F1	TRUE	FALSE	0	F_Met	33.8196253780586	-46.0261251812683	31.0658843966561	-13.5227036368508	18.7826861671597	51.6992140795369	33.4932668629949	12.683145780803	-6.46231230993709	-35.2890951644853
Wk0_Met_F2	Met.F2	TRUE	FALSE	0	F_Met	17.0084265871078	43.7885275953182	30.0977729901798	-73.4658614698371	-21.3068079990363	9.96120761616741	32.5279788760316	2.34950511343479	-15.7719476033687	8.03759632519688
Wk0_Met_F3	Met.F3	TRUE	FALSE	0	F_Met	-12.1931166756604	-3.104946882889	20.263464219375	-12.8917383400222	18.5306939817683	55.1681011915696	21.2494389850483	11.4623001662246	-15.927822174543	-12.3709880646544
Wk0_Met_F4	Met.F4	TRUE	FALSE	0	F_Met	44.923405896908	-54.7366120682573	28.6886619374774	-16.8217542078154	16.4388582107228	48.9630208656534	33.866001738944	18.3926327544279	-9.76494859419892	-34.7384327417744
Wk0_Met_F5	Met.F5	TRUE	FALSE	0	F_Met	-47.2529467991878	21.9301636962644	33.6371734819034	56.8022651544456	8.08449702364251	42.6194929681096	42.594597031858	26.7315624061383	-10.7385462210834	-23.0187712062225
Wk0_Met_M1	Met.M1	TRUE	FALSE	0	M_Met	-67.0452254935186	39.05854941614	65.4432066350146	30.6663107955349	50.2060424275539	-25.9264071797802	20.2565815547683	-9.70845428055247	-15.4541957879018	-13.4145929239589
Wk0_Met_M2	Met.M2	TRUE	FALSE	0	M_Met	-32.7625904952933	36.6887340753912	59.0293994307629	-32.0888180844948	15.9790156932246	-56.8207990558601	35.5908000081184	-13.5761062227395	-3.17078739588736	-10.8712335062157
Wk0_Met_M3	Met.M3	TRUE	FALSE	0	M_Met	-28.4748811592848	9.20484588739407	48.564718000012	-54.4352812805405	8.22863011756473	-52.2669252858477	29.7534728924997	-18.8800553079606	-20.447719181822	3.7494412278172
Wk0_Met_M4	Met.M4	TRUE	FALSE	0	M_Met	-22.8753827824875	2.53087157697251	32.2431591508611	-34.4402565207703	66.8065058895016	-11.3130207111198	-7.3574656147972	-36.4926327492323	-9.99634461884963	15.5853054023718
Wk1_Ctrl_F1	Ctrl.F1	FALSE	FALSE	1	F_Ctrl	-24.7333031536347	25.2244284795309	48.7136265333277	26.2799155600102	-27.7593974213787	28.9239120779258	-29.2410470767044	-19.9626204874092	15.5250851254287	1.52327962173224
Wk1_Ctrl_F2	Ctrl.F2	FALSE	FALSE	1	F_Ctrl	-51.7821831477404	-2.51791978309496	23.3474870240771	-0.330368764550415	-36.2732391118665	22.4994543777708	-44.6140915569997	-21.7108185625778	12.8710807171146	7.08865723850995
Wk1_Ctrl_F3	Ctrl.F3	FALSE	FALSE	1	F_Ctrl	61.1587369039755	30.6275780487192	51.2557717903371	23.225933080763	-6.50151733886898	36.1996765515855	-3.95728532042653	-21.864662812533	22.1500367657769	-5.18899972892431
