SampleID	ETA.Staphylococcus	ETA.Prevotella	ETA.Streptococcus	ETA.Veillonella	ETA.Haemophilus	ETA.Pseudomonas	ETA.Klebsiella	ETA.Granulicatella	ETA.Rothia	ETA.Neisseria	ETA.Gemella	ETA.Moraxella	ETA.Prevotellaceae_Uncltrd	ETA.Lactobacillus	ETA.Acinetobacter
s101	3.10799423243108	-6.10300592184089	1.36196226046036	-3.15856694267445	-7.71244383427499	-7.71244383427499	-7.71244383427499	-6.61383154560688	-7.71244383427499	-7.71244383427499	-7.71244383427499	-7.71244383427499	-6.10300592184089	-7.71244383427499	-7.71244383427499
s102	-8.61104776688786	-1.6963168741693	-0.568133999580148	0.353690402366624	-7.3117647827576	-9.70966005555597	-9.70966005555597	-2.239435919656	-1.63221290622477	-1.85760984829008	-4.25007454141181	-8.61104776688786	-4.98227223684363	-7.76374990650066	-9.70966005555597
s103	3.31170433022869	-3.99618479774986	-5.00170666335195	-6.10031895202006	-7.70975686445416	-7.70975686445416	-0.225950176788328	-6.61114457578605	-7.70975686445416	-7.70975686445416	-7.70975686445416	-7.70975686445416	-7.70975686445416	-4.49088103958596	-7.70975686445416
s104	-3.96116584108774	-0.0845781299672277	-1.87097976012493	0.421015102667533	-8.35561499576018	-8.35561499576018	-1.53450752350372	-2.60941180522003	-3.03260501662177	-2.01525569203243	-4.21248026936865	-8.35561499576018	-8.35561499576018	-5.05977812975585	-8.35561499576018
s105	-3.56513606785558	-3.02204958187136	-3.59847248812317	-4.96795973092668	-7.67600993202889	-6.57739764336078	-7.67600993202889	-5.11106057456735	-7.67600993202889	-7.67600993202889	-3.91480981633533	-7.67600993202889	-6.06657201959479	-7.67600993202889	-7.67600993202889
s107	-2.53832985235947	0.748176040163127	-1.11771778423854	0.535467168347513	-9.42690231192484	-9.42690231192484	-9.42690231192484	-3.31987942418258	-0.542153585473656	-9.42690231192484	-9.42690231192484	-9.42690231192484	-4.9382659421927	-4.08456805996003	-9.42690231192484
s108	-7.35627987655075	1.07687931925548	-7.35627987655075	-7.35627987655075	-7.35627987655075	-7.35627987655075	-7.35627987655075	-7.35627987655075	-7.35627987655075	-7.35627987655075	-7.35627987655075	-7.35627987655075	-7.35627987655075	-4.06044301054642	-7.35627987655075
s109	-5.87252012301534	2.40746681343631	1.18328563469052	1.52285063916612	-7.81843027207066	-7.81843027207066	-7.81843027207066	0.452094822984414	0.0505891044283666	-7.81843027207066	-7.81843027207066	-7.81843027207066	-2.53522654333267	-0.0635200000492269	-7.81843027207066
s110	-8.72171102260725	-7.87441316222005	-2.69022480114978	-8.72171102260725	-8.21088539884126	-9.82032331127536	-9.82032331127536	-1.33792862540182	-3.75886639234734	-6.10675124457105	-2.20207221339866	-9.82032331127536	-9.82032331127536	-8.72171102260725	-8.72171102260725
s111	-5.05379302020888	-2.47707882116776	2.35674020203686	-2.806558022298	-7.61874237767042	-6.52013008900231	2.71408955676382	-7.61874237767042	-3.3560625006291	-7.61874237767042	-7.61874237767042	-7.61874237767042	-4.00782446502619	-0.382403034916072	-7.61874237767042
s112	-6.4813353010539	0.601301646560407	-1.71646594683447	-0.723430204999988	-9.42577428022034	-9.42577428022034	-9.42577428022034	-0.727093212758725	-1.85584662497769	-6.71772407911813	-9.42577428022034	-9.42577428022034	-9.42577428022034	-7.81633636778624	-9.42577428022034
s113	-2.06104275427643	-1.33182479474705	-0.916666280264564	-1.36068304078038	-7.39483450901813	-8.49344679768624	-9.59205908635435	-6.4565648704252	-8.49344679768624	-6.1580718818692	-8.49344679768624	-9.59205908635435	-3.01977654366034	-6.03671102486493	-9.59205908635435
s114	-7.29009796966945	0.321815078821239	-2.94629254781576	-2.71244581257525	-9.23600811872476	-9.23600811872476	-9.23600811872476	-6.67105876126322	-4.2320618127793	-9.23600811872476	-5.52243605202045	-9.23600811872476	0.275547339985787	-2.47559342764133	-9.23600811872476
s115	-3.99078034667006	-3.26421716919027	-4.54797189099398	-4.77536173318964	-6.42828475756348	-5.07016127341028	-8.6255093348997	-7.0160714224656	-5.49001511897055	-4.15960121624511	-5.01459142225547	-8.6255093348997	-6.42828475756348	-4.33504989375131	-5.91745913379749
