SampleID	GA.Prevotella	GA.Veillonella	GA.Streptococcus	GA.Enterococcus	GA.Lactobacillus	GA.Klebsiella	GA.Staphylococcus	GA.Rothia	GA.Granulicatella	GA.Escherichia_Shigella	GA.Afipia	GA.Haemophilus	GA.Neisseria	GA.Mycoplasma	GA.Fusobacterium
s101	-4.46166440207057	-0.745528231397327	0.445946826028876	-5.79666546880291	-1.42216710054982	-6.3074910925689	-0.620515736229084	-2.22995364866318	-7.40610338123701	2.71310020678453	-4.36158094351359	-7.40610338123701	-7.40610338123701	-4.84115402377548	-7.40610338123701
s102	-0.611597941629436	-0.457323726213476	-0.739994903882516	-9.8618318772673	-4.30500381556776	-9.8618318772673	-4.74383806485054	-1.45915207263982	-3.66538774947277	-9.8618318772673	-6.56599501126297	-5.46738272259486	-4.64147605218897	-3.80974270834288	-1.75260692417734
s103	1.23715289542429	-3.34291020853119	-2.00935214349225	-4.07802158819017	1.73491420036255	-0.668289304078178	0.900287267767319	-7.63336964967958	-6.02393173724548	-0.141724176074451	-7.63336964967958	-7.63336964967958	-7.63336964967958	-7.63336964967958	-7.63336964967958
s104	-1.02718336238328	-0.0988880011522088	-1.04099204505041	-8.34505956100977	-4.9777637310233	-6.61045850562167	-2.00000816656229	-3.00272530904496	-2.13111835157528	-6.73562164857567	-9.44367184967788	-9.44367184967788	-3.65371167878063	-3.80531718034414	-3.61767174229743
s105	-1.55931731356798	-2.47338109847463	-3.80555502277465	-2.87330043991148	-4.04706545095893	-9.37007543009734	-3.0953134088554	-9.37007543009734	-6.00277960011087	-3.06562662767536	-4.62514330173409	-4.59095193698581	-3.07665615125086	0.129271137292753	-4.11780200205071
s106	-7.35500192110526	-7.35500192110526	-4.13612609623706	-7.35500192110526	-7.35500192110526	-7.35500192110526	-3.59380180541169	-4.05916505510093	-7.35500192110526	-7.35500192110526	-4.95710664830689	-7.35500192110526	-7.35500192110526	-7.35500192110526	-7.35500192110526
s107	-0.729532353060984	-1.59382451783847	-2.56364873652738	-1.90249804277103	-3.83267222589453	-9.04215837873595	-2.7636369545701	-2.34389032462053	-7.09624822968063	-2.95765896566078	-5.11033274601162	-4.21384464143365	-3.17569032180265	-3.3088171018382	-3.72895239969416
s108	-7.49108759353488	-7.49108759353488	-7.49108759353488	-3.68442510376456	-4.92613823607334	-7.49108759353488	-4.92613823607334	-7.49108759353488	-7.49108759353488	-7.49108759353488	-3.17359947999857	-7.49108759353488	-7.49108759353488	-7.49108759353488	-7.49108759353488
s109	1.66743234035324	0.766566604030109	0.203608524573445	-5.7221316133244	0.294838224191947	-7.91935619066062	-4.15815607496705	-0.369220848172187	0.834804558662901	-7.91935619066062	-3.04415886745946	-7.91935619066062	-7.91935619066062	-7.91935619066062	-3.34464521215723
s110	-4.24417627188694	-2.21265237010863	-2.49911418615519	-5.82064416508347	-6.72351187662548	-7.82212416529359	-5.32068821355438	-1.53018472393508	-1.54660913196788	-5.62489958795737	-7.82212416529359	-5.53974177961707	-4.87768518612715	-6.72351187662548	-3.10541260457259
s111	-0.86447001415258	-2.25383594521067	-0.392245381479271	-7.16239749735572	-1.09938778308464	-4.17223626885118	-3.97972472115148	-2.17803013008007	-5.09694219765062	-9.35962207469194	-6.22412785876279	-9.35962207469194	-9.35962207469194	-0.914354622847289	-1.3799407723042
s112	-0.0363492393193557	-2.41316784171716	-3.27851224040542	-3.12028823519053	-3.29178677161412	-9.39880965935637	-2.2655137044603	-4.066090866091	-3.67849788274896	-2.36795218324025	-9.39880965935637	-3.77479215316903	-2.67617986450092	-9.39880965935637	-4.50846053113462
s113	-1.68042568148941	-3.06375456701944	-3.1447847897623	-2.68515589334211	-2.89591984219173	-4.77274174996363	-2.53083969170698	-4.4551379976468	-7.83613267199144	-3.22101215515018	-7.24834600708932	-5.30243585803401	-3.37946249432179	-5.0511214297531	-5.24087796503457
s114	0.377523825907716	-7.46278915741245	-5.06489388461408	-6.36417686874434	-3.65612666764213	-7.46278915741245	-5.51687900835713	-7.46278915741245	-7.46278915741245	-7.46278915741245	-1.84601805974588	-7.46278915741245	-7.46278915741245	-5.85335124497835	-5.85335124497835
s115	-7.44565117427079	-2.70071904590754	-1.93302920507575	-9.05508908670489	-5.75925222070056	-1.39356200534637	-7.95647679803678	-7.95647679803678	-9.05508908670489	-9.05508908670489	-3.31529617452566	-9.05508908670489	-9.05508908670489	-9.05508908670489	-7.95647679803678
s116	-1.50732694565506	-1.02398645716976	-3.97910929864452	-8.96954188542325	-1.53883480287728	-8.96954188542325	-4.27819400319411	-8.96954188542325	-5.53555468093811	-8.96954188542325	-2.91745271649884	-8.96954188542325	-4.24215406671091	-8.96954188542325	-4.02078199504508
s117	-7.7898685590547	-4.0762964923504	0.0192668390658327	-7.7898685590547	-4.65437434312556	-0.508482895484422	-2.63657696455693	-3.08033835774237	-2.91467123585355	-5.84395840999939	-6.6912562703866	0.129851201869869	-7.7898685590547	-7.7898685590547	-7.7898685590547
s118	-6.59741851596555	-8.20685642839965	-8.20685642839965	-8.20685642839965	-8.20685642839965	-2.77313442484541	-5.80896115560128	-8.20685642839965	-8.20685642839965	-8.20685642839965	-8.20685642839965	-8.20685642839965	-8.20685642839965	-8.20685642839965	-8.20685642839965
s120	1.53476029706876	-1.1972651212667	-0.611337192959204	-6.56976188598899	-7.08058750975498	-8.17919979842309	-6.56976188598899	-2.76309939621867	-3.18876721164435	-5.98197522108687	-2.68613835508254	-7.08058750975498	-3.88874035727469	-1.83884049469533	-4.68269223695661
s121	-1.85968960814226	-0.839689207043801	-1.3055782980913	-8.83229585944401	-3.97248345508234	-8.83229585944401	-2.900050671996	-3.36423571830888	-3.07339408556673	-8.83229585944401	-5.39830865495886	-2.19242002561747	-8.83229585944401	-2.26001331675	-2.53518653951008
