SampleID	Oral.Veillonella	Oral.Streptococcus	Oral.Prevotella	Oral.Rothia	Oral.Staphylococcus	Oral.Klebsiella	Oral.Granulicatella	Oral.Mycoplasma	Oral.Fusobacterium	Oral.Capnocytophaga	Oral.Neisseria	Oral.Actinomyces	Oral.Campylobacter	Oral.Prevotellaceae_Uncltrd	Oral.Lautropia
s102	-3.30631524479096	-3.70720368587171	-1.32436515925245	-6.388225214586	-0.561045861785874	1.69281683138971	-7.9976631270201	1.63040025045975	-3.82327585712446	-5.80043854968388	-6.388225214586	-5.05322414785366	-3.65385770516642	-5.80043854968388	-6.388225214586
s103	-5.32522481946796	-3.51842747287537	-1.80512269704022	-8.82173238093444	-0.383365970064175	0.687452530699633	-8.82173238093444	-8.82173238093444	-7.21229446850034	-8.82173238093444	-8.82173238093444	-8.82173238093444	-7.72312009226633	-8.82173238093444	-8.82173238093444
s104	-0.860723034612884	-0.136587197606705	-1.7186310741121	-4.98296927305706	-3.75373680197189	-8.74416938875062	-3.29313093518492	-2.15249565674197	0.443413996102943	-3.66276502376616	-3.63822391485004	-2.01673766389977	-1.49922784241362	-5.24766182728414	-8.74416938875062
s105	-1.276375415809	-2.12620652644264	-1.73887138063527	-3.14209690374967	-2.1729379362227	-9.48948611340568	-9.48948611340568	-0.271276783050799	-2.88961561419284	-4.32470013948216	-8.39087382473757	-4.58421133496725	-3.49552468609911	-4.05576410985144	-9.48948611340568
s106	-0.530642036654847	-1.98656558268425	-1.67186488814631	-1.73391201794611	0.3925151537552	-8.88930831984285	-4.378448813326	-4.65520181524559	-6.69208374250663	-2.60331022533398	-8.88930831984285	-5.39280075837637	-8.88930831984285	-3.63703489179622	-8.88930831984285
s107	-0.768267811028053	-0.693878442018492	-0.40163473406793	-0.599033888989467	-5.96834212968713	-7.91425227874244	-1.8252074032956	-7.91425227874244	-2.58153348547707	-6.30481436630834	-7.91425227874244	-5.20620207764023	-4.35890421725303	-7.91425227874244	-7.91425227874244
s108	-0.838686554163315	0.336283752971612	0.388315072155747	-0.464565496380614	-1.78126068512984	-7.72929567431048	-7.72929567431048	-6.11985776187638	-3.55490840441484	-7.72929567431048	-7.72929567431048	-5.02124547320827	-6.11985776187638	-7.72929567431048	-7.72929567431048
s109	-0.695453986657861	-0.909211394932163	0.416919987082931	-1.20936365296081	-6.76619171466035	-7.86480400332846	-2.3800070698378	-2.62305698826882	-2.7710538025217	-6.76619171466035	-7.86480400332846	-3.23007501509882	-2.74681019091171	-3.31092711172792	-7.86480400332846
s110	-4.73558728148326	-3.00980462539267	-4.43677336866263	-5.36606335508043	-8.42945427710823	-10.0388921895423	-1.2321686348167	-4.79714517448269	-4.68703405606626	-3.62379523037074	-5.31150437082999	-4.88560059504455	-4.42942039435737	-7.47394283208079	-10.0388921895423
s111	-0.924286602738032	-0.494871695823749	-0.866643528393274	-0.234927857424556	-1.31330824212108	-0.371759789904772	-2.19791733801512	-1.38444934214632	-0.959814317930437	-2.81695654642134	-8.37378460812088	-3.30488040590065	-3.09058087938289	-7.27517231945277	-8.37378460812088
s112	-1.23976191217752	0.477543492278974	-0.289245794427963	-0.463152154296633	1.25019270390778	-7.84776253747361	-0.811614043723072	-7.84776253747361	-1.38473308055294	-0.957153417326441	-7.84776253747361	-2.20231563983037	-1.67606194006269	-7.84776253747361	-7.84776253747361
s113	-1.51782540819035	-0.912792748692193	-0.915203840878925	-1.26749149230569	-8.32796785830549	-8.32796785830549	-4.01047974476918	-0.916411570494325	-1.95294303847739	-2.75581382612772	-5.93007258550712	-3.77409096670495	-2.58817494612625	-5.76301850084395	-6.13074328096927
s114	-1.15348889889394	-0.997541632097768	0.11951407226076	-2.98665328309012	-2.58410788508529	-8.82438373025606	-5.52854686425173	-0.888796344666862	-1.45983671600042	-3.46309156454664	-6.87847358120075	-3.88990979712537	-3.7429793652716	-3.62588669899024	-6.25943437279452
s115	0.809629089088948	0.0299362319497425	-2.01972777802135	-2.90865798171958	-6.3778600924958	-8.57508466983201	-8.57508466983201	-8.57508466983201	-2.25611655608558	-2.72575988988516	-5.8670344687298	-1.27056872337186	-2.32318078666613	-1.15032290800881	-6.6291745207767
s116	-6.57368016696065	-0.827476976420492	-8.18311807939475	-3.06512426697799	-2.77594630793463	-1.5380271098891	-5.78522280659638	-8.18311807939475	-8.18311807939475	-8.18311807939475	-8.18311807939475	-8.18311807939475	-8.18311807939475	-8.18311807939475	-8.18311807939475
s117	-5.69035945432406	-1.37668813931445	-8.73488189204748	-2.10816414279846	0.328233760172174	1.11852216032066	-3.87506948768581	-8.73488189204748	-7.63626960337937	-8.73488189204748	-8.73488189204748	-7.63626960337937	-8.73488189204748	-8.73488189204748	-8.73488189204748
s118	-0.217658621083639	0.966679617407285	-2.02192763547923	0.00995033085316919	0.372115128426611	1.70758044098545	-4.52820914485196	-4.45675018086982	-3.5335865697079	-6.21460809842219	-4.87960703168985	-4.45675018086982	-1.32425897020044	-6.72543372218818	-7.82404601085629
s119	0.431693272447668	0.732870366753939	-0.68840658700982	-0.241594136326239	-5.8416981815076	-8.23959345430597	-1.01921961758202	-3.31961252847784	-1.62085447078875	-2.41951052395361	-2.8877353208299	-2.25565717361878	-2.01503502503061	-3.58563310414845	-8.23959345430597
s120	-0.354179621371331	-0.18959340428459	-0.917697091977817	-1.83908287700614	-5.67363562075829	-8.07153089355666	-3.0675845876112	-1.28594324854873	-2.77822606883217	-3.05425105674174	-4.17971059544603	-2.21645897135423	-2.74852091441825	-4.40796924742701	-6.46209298112256
s121	1.43816941440541	0.436029393160986	-7.91132401896335	-0.78926413733421	-5.20327381786114	-7.91132401896335	-7.91132401896335	-7.91132401896335	-4.35597595747394	-7.91132401896335	-7.91132401896335	-1.42974688968692	-2.10920564358629	-7.91132401896335	-7.91132401896335
s122	-0.194785270822792	-1.5211252990865	0.319898967253233	-1.32140078938388	-8.16621626859214	-8.16621626859214	-2.38856394536949	-2.85301028955036	-3.10997046324383	-2.99006653601831	-1.13535879247602	-4.79892043860567	-5.76832099579377	-4.23439063586782	-8.16621626859214
s123	0.0902159585534997	-1.38952422217282	0.132523181218027	-3.02518359321657	-7.01786450166217	-7.52869012542816	0.392966447625899	-1.18715573343358	-2.65349280222701	-2.04113075924159	-1.43061584326192	-3.99257342586663	-4.20846180629967	-8.62730241409627	-8.62730241409627
s124	0.300054965890193	-1.71360812888875	0.561209616968114	-2.54614557369283	-7.30831950849059	-8.4069317971587	0.956215495061241	-1.7437991011679	-1.63958867189331	-2.69319899164933	-8.4069317971587	-3.94102367850412	-5.57371845310248	-0.879137809437256	-8.4069317971587
s125	0.0113664127577452	-1.22763504700064	0.370191080302911	-8.76186337327473	-2.99667227048988	-8.76186337327473	-4.95520088350441	-4.25100386675788	-1.65443789916402	-3.12350870394098	-5.7173409355513	-6.36396810047636	-1.99452024800934	-2.04164321813943	-6.56463879593851
s126	-2.2463905346504	-2.05771398597407	-3.71030188970134	-2.6767531943803	-4.06585260642779	-8.55448897615993	-6.35726439882372	-5.9895396186984	-4.79328886046637	-7.45587668749182	-8.55448897615993	-5.05798141469345	-5.61004999699349	-4.29180909911862	-8.55448897615993
s127	-1.53752533084381	0.020465830592291	-2.05224579887135	-0.545462040497329	-2.76013526116849	-7.37525577800975	-3.40496386445763	-7.37525577800975	-7.37525577800975	-7.37525577800975	-7.37525577800975	-2.59613228489822	-4.66720557690754	-7.37525577800975	-7.37525577800975
s128	-4.71000424730367	-3.3369551129338	-6.555830937802	-2.53644941405336	-3.25999407179767	-7.65444322647011	-4.71000424730367	-7.65444322647011	-7.65444322647011	-7.65444322647011	-7.65444322647011	-7.65444322647011	-7.65444322647011	-7.65444322647011	-7.65444322647011
s129	0.331972331298361	0.0141846349919566	-3.57555076880693	-2.3493772545008	-4.90242170945602	-7.46737106691756	-7.46737106691756	-7.46737106691756	-4.52293208775112	-3.14988295338125	-7.46737106691756	-1.8952170347398	-6.36875877824945	-7.46737106691756	-7.46737106691756
s130	-1.9898989022644	-3.56007331988143	-2.06135786624654	-8.79118193673602	-2.74854910305363	-8.79118193673602	-8.79118193673602	-4.32527381808143	-8.79118193673602	-8.79118193673602	-3.47797595769423	-5.84674295756958	-5.29467437526954	-8.79118193673602	-8.79118193673602
s131	-2.21275009307781	-1.02007076721338	-2.78356922472323	-3.52519116178558	-0.854932232398877	-8.54247099860051	-4.12363039080391	-2.78989835977487	-2.87604431048807	-3.78029706380275	-5.17517516861403	-3.68265859423883	-4.8288989318962	-1.8793383026097	-8.54247099860051
s132	-0.347460219050678	-0.638134743020459	-0.620449838897105	-1.85059996925099	-5.3892190160676	-8.82320622055274	-2.7853353006306	-8.82320622055274	-1.72400447699965	-3.81925991460728	-6.87729607149743	-2.99132374326923	-2.38545457081634	-1.38305953989005	-8.82320622055274
