SampleID	RS.Staphylococcus	RS.Escherichia_Shigella	RS.Enterococcus	RS.Corynebacterium	RS.Anaerococcus	RS.Prevotella	RS.Bacteroides	RS.Finegoldia	RS.Peptoniphilus	RS.Lactobacillus	RS.Porphyromonas	RS.Megasphaera	RS.Klebsiella	RS.Akkermansia	RS.Proteus
s101	-1.48106885054044	-2.54210446395498	-8.00168997809913	-2.51689304460848	-1.91264510265229	-3.11134084987738	-3.53578185944455	-4.10986967998851	-3.89081611392582	-6.90307768943103	-8.00168997809913	-2.05365498891849	0.195022429113934	-8.00168997809913	-8.00168997809913
s102	-1.7095050461929	0.188043369358034	-6.97976581495841	-2.70032576905963	-1.06788574719327	-6.19130845459414	-5.8811535262903	-1.91086161273818	-0.954383049646967	-8.07837810362652	-3.77161395345318	-8.07837810362652	-5.48312339666965	-9.68781601606062	-9.68781601606062
s103	-1.70163740832271	-0.316035807881725	-3.41612809675996	-5.25514045083856	-2.35230192417726	1.02350200939618	-1.64422253819433	-1.14004494451142	-1.75473044539515	1.53836184483702	-5.64460521760028	0.337169678960182	-1.52440727655185	-8.68912765532371	-8.68912765532371
s104	-2.81235711673176	-9.04480513328229	-3.69865043732009	-5.00879614807315	-2.39815491190148	-4.79345682225052	-3.31665530217779	-3.60238742276049	-2.58115184602323	-4.22613777303179	-3.84189795153891	-10.6542430457164	-3.1989445600331	-9.04480513328229	-9.55563075704828
s105	-3.69307774867053	0.528949148844846	-7.48050887651296	-6.38189658784485	-3.12930970563434	-0.110368199169974	-4.50643809974015	-3.25890253467993	-1.19344723497483	-0.813006976411491	-2.43708375959371	-1.85340176951572	-8.32780673690016	-9.42641902556827	-9.42641902556827
s106	-3.51445119144967	-1.16898333569583	0.38240496571575	-2.16390350110494	-1.02727597773614	-7.7360575332827	-7.28407240953964	-2.05881461386111	-0.924970498714461	-3.72872434805023	-1.5897282756138	-0.956297976650972	-5.17110817582117	-9.68196768233802	-9.68196768233802
s107	-0.922921317024438	-7.1761088974141	-4.65611092781483	-6.21329814990506	-2.56761092133334	-3.50524794880285	-1.78226492426726	-4.07859392955017	-4.3655594129351	-6.21329814990506	-4.74416778320602	-2.61723199539686	-9.12201904646942	-1.38120972751693	-10.2206313351375
s108	-0.053172756909746	-8.9242570208881	-1.58147783155625	-2.65705647234674	-4.60676890735179	-1.56351711782982	0.282376489156756	-4.11207266551568	-4.30913650404684	-5.36890895939869	-3.90697718407318	1.76620952704184	-5.36890895939869	-0.861194109561308	-8.9242570208881
s109	-6.32521679011147	-5.86050884844045	-0.724554254921087	-5.44623311065013	-10.5878966671528	-5.58395036120733	-1.9730324485631	-5.10309973366213	-6.41350939725715	-2.69320581672716	-8.97845875471869	-10.5878966671528	-10.5878966671528	-10.5878966671528	-10.5878966671528
s110	-0.607015015439422	-8.07837810362652	-5.5660724796504	-2.44716632180515	-1.56465355512688	-3.87368548423555	-5.16965720706216	-3.76088999009021	-1.51264376019601	-3.15839717779839	-1.36380312477321	-9.17699039229463	-9.17699039229463	-8.07837810362652	-9.17699039229463
