SampleID	ETA.Staphylococcus	ETA.Prevotella	ETA.Streptococcus	ETA.Veillonella	ETA.Haemophilus	ETA.Pseudomonas	ETA.Klebsiella	ETA.Granulicatella	ETA.Rothia	ETA.Neisseria	ETA.Gemella	ETA.Moraxella	ETA.Prevotellaceae_Uncltrd	ETA.Lactobacillus	ETA.Acinetobacter	GA.Prevotella	GA.Veillonella	GA.Streptococcus	GA.Enterococcus	GA.Lactobacillus	GA.Klebsiella	GA.Staphylococcus	GA.Rothia	GA.Granulicatella	GA.Escherichia_Shigella	GA.Afipia	GA.Haemophilus	GA.Neisseria	GA.Mycoplasma	GA.Fusobacterium	Oral.Veillonella	Oral.Streptococcus	Oral.Prevotella	Oral.Rothia	Oral.Staphylococcus	Oral.Klebsiella	Oral.Granulicatella	Oral.Mycoplasma	Oral.Fusobacterium	Oral.Capnocytophaga	Oral.Neisseria	Oral.Actinomyces	Oral.Campylobacter	Oral.Prevotellaceae_Uncltrd	Oral.Lautropia	RS.Staphylococcus	RS.Escherichia_Shigella	RS.Enterococcus	RS.Corynebacterium	RS.Anaerococcus	RS.Prevotella	RS.Bacteroides	RS.Finegoldia	RS.Peptoniphilus	RS.Lactobacillus	RS.Porphyromonas	RS.Megasphaera	RS.Klebsiella	RS.Akkermansia	RS.Proteus
s102	-8.61104776688786	-1.6963168741693	-0.568133999580148	0.353690402366624	-7.3117647827576	-9.70966005555597	-9.70966005555597	-2.239435919656	-1.63221290622477	-1.85760984829008	-4.25007454141181	-8.61104776688786	-4.98227223684363	-7.76374990650066	-9.70966005555597	-0.611597941629436	-0.457323726213476	-0.739994903882516	-9.8618318772673	-4.30500381556776	-9.8618318772673	-4.74383806485054	-1.45915207263982	-3.66538774947277	-9.8618318772673	-6.56599501126297	-5.46738272259486	-4.64147605218897	-3.80974270834288	-1.75260692417734	-3.30631524479096	-3.70720368587171	-1.32436515925245	-6.388225214586	-0.561045861785874	1.69281683138971	-7.9976631270201	1.63040025045975	-3.82327585712446	-5.80043854968388	-6.388225214586	-5.05322414785366	-3.65385770516642	-5.80043854968388	-6.388225214586	-1.7095050461929	0.188043369358034	-6.97976581495841	-2.70032576905963	-1.06788574719327	-6.19130845459414	-5.8811535262903	-1.91086161273818	-0.954383049646967	-8.07837810362652	-3.77161395345318	-8.07837810362652	-5.48312339666965	-9.68781601606062	-9.68781601606062
s103	3.31170433022869	-3.99618479774986	-5.00170666335195	-6.10031895202006	-7.70975686445416	-7.70975686445416	-0.225950176788328	-6.61114457578605	-7.70975686445416	-7.70975686445416	-7.70975686445416	-7.70975686445416	-7.70975686445416	-4.49088103958596	-7.70975686445416	1.23715289542429	-3.34291020853119	-2.00935214349225	-4.07802158819017	1.73491420036255	-0.668289304078178	0.900287267767319	-7.63336964967958	-6.02393173724548	-0.141724176074451	-7.63336964967958	-7.63336964967958	-7.63336964967958	-7.63336964967958	-7.63336964967958	-5.32522481946796	-3.51842747287537	-1.80512269704022	-8.82173238093444	-0.383365970064175	0.687452530699633	-8.82173238093444	-8.82173238093444	-7.21229446850034	-8.82173238093444	-8.82173238093444	-8.82173238093444	-7.72312009226633	-8.82173238093444	-8.82173238093444	-1.70163740832271	-0.316035807881725	-3.41612809675996	-5.25514045083856	-2.35230192417726	1.02350200939618	-1.64422253819433	-1.14004494451142	-1.75473044539515	1.53836184483702	-5.64460521760028	0.337169678960182	-1.52440727655185	-8.68912765532371	-8.68912765532371
s104	-3.96116584108774	-0.0845781299672277	-1.87097976012493	0.421015102667533	-8.35561499576018	-8.35561499576018	-1.53450752350372	-2.60941180522003	-3.03260501662177	-2.01525569203243	-4.21248026936865	-8.35561499576018	-8.35561499576018	-5.05977812975585	-8.35561499576018	-1.02718336238328	-0.0988880011522088	-1.04099204505041	-8.34505956100977	-4.9777637310233	-6.61045850562167	-2.00000816656229	-3.00272530904496	-2.13111835157528	-6.73562164857567	-9.44367184967788	-9.44367184967788	-3.65371167878063	-3.80531718034414	-3.61767174229743	-0.860723034612884	-0.136587197606705	-1.7186310741121	-4.98296927305706	-3.75373680197189	-8.74416938875062	-3.29313093518492	-2.15249565674197	0.443413996102943	-3.66276502376616	-3.63822391485004	-2.01673766389977	-1.49922784241362	-5.24766182728414	-8.74416938875062	-2.81235711673176	-9.04480513328229	-3.69865043732009	-5.00879614807315	-2.39815491190148	-4.79345682225052	-3.31665530217779	-3.60238742276049	-2.58115184602323	-4.22613777303179	-3.84189795153891	-10.6542430457164	-3.1989445600331	-9.04480513328229	-9.55563075704828
s105	-3.56513606785558	-3.02204958187136	-3.59847248812317	-4.96795973092668	-7.67600993202889	-6.57739764336078	-7.67600993202889	-5.11106057456735	-7.67600993202889	-7.67600993202889	-3.91480981633533	-7.67600993202889	-6.06657201959479	-7.67600993202889	-7.67600993202889	-1.55931731356798	-2.47338109847463	-3.80555502277465	-2.87330043991148	-4.04706545095893	-9.37007543009734	-3.0953134088554	-9.37007543009734	-6.00277960011087	-3.06562662767536	-4.62514330173409	-4.59095193698581	-3.07665615125086	0.129271137292753	-4.11780200205071	-1.276375415809	-2.12620652644264	-1.73887138063527	-3.14209690374967	-2.1729379362227	-9.48948611340568	-9.48948611340568	-0.271276783050799	-2.88961561419284	-4.32470013948216	-8.39087382473757	-4.58421133496725	-3.49552468609911	-4.05576410985144	-9.48948611340568	-3.69307774867053	0.528949148844846	-7.48050887651296	-6.38189658784485	-3.12930970563434	-0.110368199169974	-4.50643809974015	-3.25890253467993	-1.19344723497483	-0.813006976411491	-2.43708375959371	-1.85340176951572	-8.32780673690016	-9.42641902556827	-9.42641902556827
s107	-2.53832985235947	0.748176040163127	-1.11771778423854	0.535467168347513	-9.42690231192484	-9.42690231192484	-9.42690231192484	-3.31987942418258	-0.542153585473656	-9.42690231192484	-9.42690231192484	-9.42690231192484	-4.9382659421927	-4.08456805996003	-9.42690231192484	-0.729532353060984	-1.59382451783847	-2.56364873652738	-1.90249804277103	-3.83267222589453	-9.04215837873595	-2.7636369545701	-2.34389032462053	-7.09624822968063	-2.95765896566078	-5.11033274601162	-4.21384464143365	-3.17569032180265	-3.3088171018382	-3.72895239969416	-0.768267811028053	-0.693878442018492	-0.40163473406793	-0.599033888989467	-5.96834212968713	-7.91425227874244	-1.8252074032956	-7.91425227874244	-2.58153348547707	-6.30481436630834	-7.91425227874244	-5.20620207764023	-4.35890421725303	-7.91425227874244	-7.91425227874244	-0.922921317024438	-7.1761088974141	-4.65611092781483	-6.21329814990506	-2.56761092133334	-3.50524794880285	-1.78226492426726	-4.07859392955017	-4.3655594129351	-6.21329814990506	-4.74416778320602	-2.61723199539686	-9.12201904646942	-1.38120972751693	-10.2206313351375
s108	-7.35627987655075	1.07687931925548	-7.35627987655075	-7.35627987655075	-7.35627987655075	-7.35627987655075	-7.35627987655075	-7.35627987655075	-7.35627987655075	-7.35627987655075	-7.35627987655075	-7.35627987655075	-7.35627987655075	-4.06044301054642	-7.35627987655075	-7.49108759353488	-7.49108759353488	-7.49108759353488	-3.68442510376456	-4.92613823607334	-7.49108759353488	-4.92613823607334	-7.49108759353488	-7.49108759353488	-7.49108759353488	-3.17359947999857	-7.49108759353488	-7.49108759353488	-7.49108759353488	-7.49108759353488	-0.838686554163315	0.336283752971612	0.388315072155747	-0.464565496380614	-1.78126068512984	-7.72929567431048	-7.72929567431048	-6.11985776187638	-3.55490840441484	-7.72929567431048	-7.72929567431048	-5.02124547320827	-6.11985776187638	-7.72929567431048	-7.72929567431048	-0.053172756909746	-8.9242570208881	-1.58147783155625	-2.65705647234674	-4.60676890735179	-1.56351711782982	0.282376489156756	-4.11207266551568	-4.30913650404684	-5.36890895939869	-3.90697718407318	1.76620952704184	-5.36890895939869	-0.861194109561308	-8.9242570208881
s109	-5.87252012301534	2.40746681343631	1.18328563469052	1.52285063916612	-7.81843027207066	-7.81843027207066	-7.81843027207066	0.452094822984414	0.0505891044283666	-7.81843027207066	-7.81843027207066	-7.81843027207066	-2.53522654333267	-0.0635200000492269	-7.81843027207066	1.66743234035324	0.766566604030109	0.203608524573445	-5.7221316133244	0.294838224191947	-7.91935619066062	-4.15815607496705	-0.369220848172187	0.834804558662901	-7.91935619066062	-3.04415886745946	-7.91935619066062	-7.91935619066062	-7.91935619066062	-3.34464521215723	-0.695453986657861	-0.909211394932163	0.416919987082931	-1.20936365296081	-6.76619171466035	-7.86480400332846	-2.3800070698378	-2.62305698826882	-2.7710538025217	-6.76619171466035	-7.86480400332846	-3.23007501509882	-2.74681019091171	-3.31092711172792	-7.86480400332846	-6.32521679011147	-5.86050884844045	-0.724554254921087	-5.44623311065013	-10.5878966671528	-5.58395036120733	-1.9730324485631	-5.10309973366213	-6.41350939725715	-2.69320581672716	-8.97845875471869	-10.5878966671528	-10.5878966671528	-10.5878966671528	-10.5878966671528
s110	-8.72171102260725	-7.87441316222005	-2.69022480114978	-8.72171102260725	-8.21088539884126	-9.82032331127536	-9.82032331127536	-1.33792862540182	-3.75886639234734	-6.10675124457105	-2.20207221339866	-9.82032331127536	-9.82032331127536	-8.72171102260725	-8.72171102260725	-4.24417627188694	-2.21265237010863	-2.49911418615519	-5.82064416508347	-6.72351187662548	-7.82212416529359	-5.32068821355438	-1.53018472393508	-1.54660913196788	-5.62489958795737	-7.82212416529359	-5.53974177961707	-4.87768518612715	-6.72351187662548	-3.10541260457259	-4.73558728148326	-3.00980462539267	-4.43677336866263	-5.36606335508043	-8.42945427710823	-10.0388921895423	-1.2321686348167	-4.79714517448269	-4.68703405606626	-3.62379523037074	-5.31150437082999	-4.88560059504455	-4.42942039435737	-7.47394283208079	-10.0388921895423	-0.607015015439422	-8.07837810362652	-5.5660724796504	-2.44716632180515	-1.56465355512688	-3.87368548423555	-5.16965720706216	-3.76088999009021	-1.51264376019601	-3.15839717779839	-1.36380312477321	-9.17699039229463	-9.17699039229463	-8.07837810362652	-9.17699039229463
s111	-5.05379302020888	-2.47707882116776	2.35674020203686	-2.806558022298	-7.61874237767042	-6.52013008900231	2.71408955676382	-7.61874237767042	-3.3560625006291	-7.61874237767042	-7.61874237767042	-7.61874237767042	-4.00782446502619	-0.382403034916072	-7.61874237767042	-0.86447001415258	-2.25383594521067	-0.392245381479271	-7.16239749735572	-1.09938778308464	-4.17223626885118	-3.97972472115148	-2.17803013008007	-5.09694219765062	-9.35962207469194	-6.22412785876279	-9.35962207469194	-9.35962207469194	-0.914354622847289	-1.3799407723042	-0.924286602738032	-0.494871695823749	-0.866643528393274	-0.234927857424556	-1.31330824212108	-0.371759789904772	-2.19791733801512	-1.38444934214632	-0.959814317930437	-2.81695654642134	-8.37378460812088	-3.30488040590065	-3.09058087938289	-7.27517231945277	-8.37378460812088	-7.14636127683078	-2.39015083342982	-5.3765807143215	-6.61829384663028	-3.83772423605948	-1.62786125985154	-1.81911848713975	-3.31677514715852	-3.21624212916221	-7.33741651359348	-3.57377140890686	-10.2818554927599	-0.399540505456598	-9.18324320409182	-10.2818554927599
s112	-6.4813353010539	0.601301646560407	-1.71646594683447	-0.723430204999988	-9.42577428022034	-9.42577428022034	-9.42577428022034	-0.727093212758725	-1.85584662497769	-6.71772407911813	-9.42577428022034	-9.42577428022034	-9.42577428022034	-7.81633636778624	-9.42577428022034	-0.0363492393193557	-2.41316784171716	-3.27851224040542	-3.12028823519053	-3.29178677161412	-9.39880965935637	-2.2655137044603	-4.066090866091	-3.67849788274896	-2.36795218324025	-9.39880965935637	-3.77479215316903	-2.67617986450092	-9.39880965935637	-4.50846053113462	-1.23976191217752	0.477543492278974	-0.289245794427963	-0.463152154296633	1.25019270390778	-7.84776253747361	-0.811614043723072	-7.84776253747361	-1.38473308055294	-0.957153417326441	-7.84776253747361	-2.20231563983037	-1.67606194006269	-7.84776253747361	-7.84776253747361	-0.517355318562323	-7.35704586663033	-3.111411856862	-0.538996500732687	0.730532956444739	-0.993672994943027	-2.46369373314881	-0.525955672583679	0.0537850826577352	-8.96648377906443	-0.890279251825405	-0.236924909505863	-8.96648377906443	-8.96648377906443	-8.96648377906443
