SampleID	L.threonine.biosynthesis	HOMOSERDEAM-RXN	L.homoserine.biosynthesis	L.methionine.biosynthesis.III	L.isoleucine.biosynthesis.I..from.threonine.	lactose.and.galactose.degradation.I	L.cysteine.degradation.II	LCYSDESULF-RXN	L.lyxose.degradation	malate.L.aspartate.shuttle.pathway	maltose.degradation	D.mannose.degradation.I	mannitol.degradation.I	menaquinol.8.biosynthesis	METBALT-RXN	L.methionine.degradation.I..to.L.homocysteine.	METHIONINE-GAMMA-LYASE-RXN	MONOPHENOL-MONOOXYGENASE-RXN	nitrogen.fixation.I..ferredoxin.	NAD.phosphorylation.and.transhydrogenation	lipid.IV.sub.A..sub..biosynthesis...i.E..coli..i..	methylerythritol.phosphate.pathway.I	pentose.phosphate.pathway..non.oxidative.branch..I	nopaline.degradation	X.i.O..i..antigen.building.blocks.biosynthesis...i.E..coli..i..	octopine.degradation	L.ornithine.degradation.I..L.proline.biosynthesis.	superpathway.of.ornithine.degradation	pentose.phosphate.pathway..oxidative.branch..I	adenine.and.adenosine.salvage.I	pyruvate.fermentation.to.acetate.I	formaldehyde.assimilation.III..dihydroxyacetone.cycle.	pentose.phosphate.pathway..partial.	hydrogen.oxidation.I..aerobic.	L.sorbose.degradation	incomplete.reductive.TCA.cycle	choline..i.O..i..sulfate.degradation	phosphopantothenate.biosynthesis.I	peptidoglycan.monomer.biosynthesis.I...I.meso..I..diaminopimelate.containing.	X2.aminoethylphosphonate.degradation.I	ppGpp.metabolism	propanoyl.CoA.degradation.I	L.proline.biosynthesis.I..from.L.glutamate.	L.proline.degradation.I	putrescine.degradation.I	cellulose.biosynthesis	glycolysis.IV	taurine.degradation.I	CMP.3.deoxy.D..I.manno..I..octulosonate.biosynthesis	formate.assimilation.into.5.10.methylenetetrahydrofolate	formaldehyde.assimilation.II..assimilatory.RuMP.Cycle.
0251_6001_20231228_ST	-6.75820527946761	-4.69007539132658	-8.40237101047732	-5.60296128279592	-15.9192544279298	-15.4688621607567	-4.69007539132658	-4.69007539132658	-16.2470134111403	-6.60647336627137	-8.49856796896185	-6.6278715109726	-4.07319272542524	-3.43637062783807	-4.69007539132658	-8.42673530401913	-4.69007539132658	-3.31986505876663	-3.50892129498668	-6.8311150160719	-22.9394014061183	-26.056560044726	-13.3186175588836	-4.47615916796493	-3.2950414750416	-4.47615916796493	-4.2729098397559	-4.19600233321053	-10.2260603038037	-7.19753797329787	-2.47324903579519	-38.0706960238825	-6.20026083163335	-3.94825398881695	-6.72257375576727	-22.8645718732397	-3.31986505876663	-13.5694064584198	-6.01125279947371	-11.3287226457008	-14.3459639657969	-10.1220252401571	-9.71122305808062	-7.00371794728176	-8.8241225590927	-4.55031398014491	-31.8881479887434	-4.55031398014491	-15.2769766345177	-9.71027606795889	-28.3097556966324
0251_6002_20221003_ST	-6.62775759849539	-4.76255406494736	-8.85287913888915	-6.33236594192928	-16.3738174085568	-17.224955731226	-4.76255406494736	-4.76255406494736	-16.4352485744918	-6.62517560734657	-7.8292955900025	-7.29781667296024	-3.80381129828004	-3.48598154678561	-4.76255406494736	-8.79347097462683	-4.76255406494736	-3.18495155112163	-3.96310280150528	-7.88959526435792	-21.2089503467064	-27.4610884989183	-14.5168279497292	-4.43422625579715	-3.26413279716926	-4.43422625579715	-4.01453954135514	-4.23108776937907	-10.0899678550623	-7.57402308489919	-2.35208796752439	-38.8053976058487	-6.16465361444637	-4.57072889552778	-7.16123276429607	-22.5321057516323	-3.08804153811358	-14.5459861784704	-6.19683829781777	-11.3098821049014	-13.7863206619658	-9.69566213104531	-9.80117231581528	-9.13032558566648	-8.66852268876195	-3.96310280150528	-31.9588526771152	-4.11858795381493	-15.3750412673464	-10.2333899973646	-28.6230232593062
0251_6003_20220918_ST	-6.7945017365288	-4.85939051129534	-8.55361034327876	-5.87696288574967	-16.5108965619928	-15.3941249240544	-4.85939051129534	-4.85939051129534	-15.6357468765999	-6.31738048180914	-8.57265298691244	-6.3606104101402	-3.78020926524772	-3.38226925657568	-4.85939051129534	-7.86806432782828	-4.85939051129534	-3.17814927391975	-3.78020926524772	-7.1878463508828	-21.2104728721352	-25.1719363415943	-12.9684354568648	-4.49596709399123	-3.23614122089744	-4.49596709399123	-4.0812392609117	-4.55836051563136	-10.4709615642382	-6.39080939896767	-2.42695573677383	-37.5100148544736	-5.93089567164976	-3.41223247995312	-6.83341980255917	-22.3712740777897	-3.0268815985891	-13.8361974815151	-5.97245825750073	-10.9848854668656	-14.6620780744486	-9.70426993602156	-9.37908036945228	-7.50129707837677	-9.11672103126272	-4.24215599547759	-31.6829258923422	-3.78020926524772	-14.8989883113745	-9.34365425037334	-27.3313604860461
0251_6004_20220919_ST	-6.63756631454911	-4.7206180267519	-9.20760421820356	-6.17538540962239	-16.5819084941461	-16.4153744882125	-4.7206180267519	-4.7206180267519	-16.20043896677	-6.37950539227831	-7.78942858145515	-6.52060629746529	-3.68975269613916	-3.38872270047518	-4.7206180267519	-8.58264816659261	-4.7206180267519	-3.06650340574126	-3.61057145009153	-7.69365449352684	-21.279796156917	-26.3625712962472	-13.2944377842936	-4.55142483527706	-3.27477934816834	-4.55142483527706	-3.99233695771745	-4.38872270047518	-9.52947965347224	-7.39723415923874	-2.48608533935214	-37.4676200442029	-6.19823362071885	-4.08769270481119	-7.11141193383344	-21.6128936593686	-2.83242019970789	-13.9705595775332	-6.5319327331362	-11.8651381057615	-13.7884779547883	-9.17850183649925	-9.54707477079878	-7.47102037339966	-8.01299547675509	-4.08769270481119	-32.1763994551279	-4.38872270047518	-14.4603411361547	-9.49759583224097	-27.6750282451564
0251_6005_20221003_ST	-6.64058401259575	-4.46226900346806	-8.59145656618383	-5.71934176325934	-15.9490377818347	-15.1652913122473	-4.46226900346806	-4.46226900346806	-16.0195964200984	-7.09199986708051	-8.15595343758049	-6.61904531727298	-3.85100596491158	-3.46215457502563	-4.46226900346806	-8.24436830610901	-4.46226900346806	-3.58709331163393	-3.76318457068961	-7.40650844898789	-23.260848627587	-26.0400043289161	-13.7237856053655	-4.32259358158111	-3.16112457936165	-4.32259358158111	-4.36524456201757	-4.00981096267342	-11.0543410008945	-7.21197518415726	-2.29061094372067	-38.3806866501409	-6.37350772304201	-4.2516759518283	-7.11071688398999	-23.2636084586305	-3.16112457936165	-13.6828269976866	-5.9523378736515	-11.8526956373664	-14.2889081770364	-10.3515367004649	-9.59742313226311	-7.52636914137922	-8.77620909338349	-3.85272764434161	-32.4403486711586	-3.58709331163393	-16.7620082437343	-10.1414911766134	-27.6915761671427
0251_6006_20221003_ST	-6.53959854652835	-4.76348705593002	-9.0525601699505	-5.98329604576106	-16.0915975941007	-15.303833473237	-4.76348705593002	-4.76348705593002	-15.6593772426613	-7.50483644026914	-8.01671980124801	-7.06247729180869	-3.96039865462486	-4.158874898456	-4.76348705593002	-8.91893707617168	-4.76348705593002	-4.158874898456	-4.158874898456	-7.48383006720251	-23.0474190265412	-25.9749266212881	-13.1983835007759	-4.15397134695738	-2.90360239335269	-4.15397134695738	-4.26394583592885	-4.14664704143718	-11.6984734449843	-6.89846146257948	-2.3247722427432	-37.2435213035412	-5.95981494991154	-4.31276499466518	-6.91548841445731	-22.6321378031372	-3.158874898456	-13.1761071060648	-6.15938730481674	-12.0877291846551	-13.6007063469926	-10.8333092979933	-9.99950344064833	-7.26659727446461	-8.59436992559943	-4.05175047642796	-31.253371863336	-3.6489753109925	-15.4851002451218	-9.9905485979954	-27.6721447828305
0251_6007_20220918_ST	-6.45297780128659	-4.81722549787032	-8.58630353649392	-5.53050773552763	-16.1053268419323	-15.0180751260664	-4.81722549787032	-4.81722549787032	-15.2634481503899	-7.72943960545984	-8.42840960979585	-6.99704584563687	-3.76265981140196	-3.25077645042308	-4.81722549787032	-9.19989874374276	-4.81722549787032	-3.51962176271566	-3.21859176705168	-7.34441301256977	-23.8852366031089	-24.7774440171192	-12.9181900589902	-4.3286538735005	-3.08596620177709	-4.3286538735005	-4.06368980706594	-3.88759854801026	-11.3177520251325	-6.48889035717724	-2.4571293145113	-37.9742934974479	-5.87894653355887	-4.36471980272992	-6.97014102139096	-24.4710157838617	-4.36471980272992	-12.8533586874822	-6.03571265653619	-12.2378942735351	-14.6223968534615	-11.9978996758238	-9.657996761149	-9.3314995967878	-9.14628511226296	-4.36471980272992	-31.4804607369206	-4.36471980272992	-16.7297567378317	-9.17351440678297	-27.8993990292359
0251_6008_20221006_ST	-6.87676691177101	-4.80973806979452	-8.63810278447849	-5.8875440027872	-16.2006317513185	-14.5911823759007	-4.80973806979452	-4.80973806979452	-16.1128892396132	-6.74706438536664	-8.76042834692462	-6.14698296002077	-3.74371353743044	-3.46495993647761	-4.80973806979452	-8.54797645647914	-4.80973806979452	-3.14165354610248	-3.40129085660824	-7.4639812573937	-20.3956482329917	-24.7554825589266	-13.1720530681587	-4.4463162554175	-2.88638104099918	-4.4463162554175	-4.14165354610248	-3.51326461605217	-11.0058313305655	-6.98227709654098	-2.43836216798382	-37.2744137565688	-6.08602653407934	-3.36350229571884	-6.89636246783439	-21.9423578221672	-3.66453229138282	-12.8294215417052	-6.19164013460928	-11.1027413435735	-13.3416281587331	-10.1696881332041	-9.23906450635147	-7.98227709654098	-8.70775986038233	-4.05175047642796	-31.6462532767162	-3.87443492541632	-14.6246061313876	-9.69101143473998	-27.1657119498771
0251_6009_20221109_ST	-6.66767185118052	-4.6217026155178	-8.57479690058608	-6.42168942184744	-15.9561802548749	-15.3922011537372	-4.6217026155178	-4.6217026155178	-15.7348097433654	-6.98989114591444	-7.63770862780307	-6.68886115025045	-3.90242252210291	-3.54340057946125	-4.6217026155178	-8.53334827781823	-4.6217026155178	-3.21604164507492	-3.44649056645319	-6.96356220719209	-22.5400094584622	-25.8930588190555	-13.9807673565799	-4.74752056211717	-3.36730932040557	-4.74752056211717	-4.45780472923764	-3.96936931173353	-10.6881936853614	-7.26973184250848	-2.39856701413601	-37.8262228430999	-6.34305872877687	-3.49224805701387	-7.04052113111654	-22.4149263337192	-3.04855055778115	-13.9966636546533	-6.18883061606658	-11.2970931012197	-13.9447232015849	-10.1380745750391	-9.40295795688068	-8.64994308422008	-8.17711925130753	-3.96936931173353	-31.5817615450272	-3.84443057512523	-15.4337797477014	-9.6411971226852	-27.964144018126
0251_6010_20230207_ST	-6.72911747469565	-4.43458295829824	-8.59533940597835	-6.2867583262352	-15.6633526661925	-15.1460517865396	-4.43458295829824	-4.43458295829824	-14.5608324642229	-6.91361688119388	-9.29910381646111	-6.35521570689105	-3.74543915444556	-3.52359040482921	-4.43458295829824	-8.98086627298835	-4.43458295829824	-3.92153041350124	-3.62050041783726	-6.7919083045551	-24.4041974252686	-26.0451490004025	-13.4430836053187	-4.49704714037389	-3.37746236915097	-4.49704714037389	-3.92153041350124	-4.03850779154897	-10.588499981448	-7.14409082266647	-2.42725983751338	-38.1678169722041	-5.84306082700248	-4.33111152315456	-6.46284958529088	-22.3736451381555	-3.1433791631176	-14.0512683315291	-6.21723411371677	-10.361256199945	-14.0414369356091	-10.8277661486269	-9.99743537442155	-7.49087830889112	-8.68429095473277	-4.40416976323288	-31.2598244869317	-4.22256040916522	-17.4620789632588	-10.072460660698	-26.706721457661
