MedbioID	SampleDate	sample_id	total	GO:0000015
m42007	20180420	0159_AA34_42007_20180420_ST	100520	9
m42138	20190306	0159_AA34_42138_20190306_ST	10261	0
m42214	201801102	0159_AA34_42214_201801102_ST	10267	0
m42341	20190130	0159_AA34_42341_20190130_ST	10312	0
m42327	20190109	0159_AA34_42327_20190109_ST	10618	2
m42157	20180706	0159_AA34_42157_20180706_ST	1062387	24
m42335	20190115	0159_AA34_42335_20190115_ST	10698	0
m42045	20180907	0159_AA34_42045_20180907_ST	1076	0
m42195	20180809	0159_AA34_42195_20180809_ST	109783	1
m42358	20190207	0159_AA34_42358_20190207_ST	1109	0
m42295	20181127	0159_AA34_42295_20181127_ST	1156205	52
m42029	20180719	0159_AA34_42029_20180719_ST	116	0
m42283	20181102	0159_AA34_42283_20181102_ST	117698	6
m42100	20180523	0159_AA34_42100_20180523_ST	11859102	678
m42236	20181116	0159_AA34_42236_20181116_ST	1194742	58
m42076	20180823	0159_AA34_42076_20180823_ST	1226	0
m42146	20180730	0159_AA34_42146_20180730_ST	1268089	59
m42090	20180515	0159_AA34_42090_20180515_ST	1281859	53
m42031	20180409	0159_AA34_42031_20180409_ST	130864	5
m42183	20180730	0159_AA34_42183_20180730_ST	1309744	188
m42117	20180619	0159_AA34_42117_20180619_ST	1339178	115
m42217	201800907	0159_AA34_42217_201800907_ST	134917	1
m42047	20180417	0159_AA34_42047_20180417_ST	14153	1
m42077	20180504	0159_AA34_42077_20180504_ST	145	0
m42237	20181127	0159_AA34_42237_20181127_ST	14919	2
m42269	20181008	0159_AA34_42269_20181008_ST	158489	10
m42081	20180515	0159_AA34_42081_20180515_ST	16	0
m42186	20180806	0159_AA34_42186_20180806_ST	161108	29
m42208	20180907	0159_AA34_42208_20180907_ST	165715	6
m42260	201800927	0159_AA34_42260_201800927_ST	167852	12
m42222	201800920	0159_AA34_42222_201800920_ST	167865	7
m42197	20180809	0159_AA34_42197_20180809_ST	1740831	45
m42238	20181126	0159_AA34_42238_20181126_ST	182613	15
m42151	20180907	0159_AA34_42151_20180907_ST	1870458	62
m42061	20180423	0159_AA34_42061_20180423_ST	188	0
m42231	20181203	0159_AA34_42231_20181203_ST	191296	8
m42114	20180813	0159_AA34_42114_20180813_ST	1920082	61
m42304	201812213	0159_AA34_42304_201812213_ST	196448	2
m42067	20180503	0159_AA34_42067_20180503_ST	2	0
m42340	20190125	0159_AA34_42340_20190125_ST	20077	2
m42258	20181005	0159_AA34_42258_20181005_ST	2017894	81
m42328	20190211	0159_AA34_42328_20190211_ST	2034	0
m42021	20181004	0159_AA34_42021_20181004_ST	20436	2
m42108	20180523	0159_AA34_42108_20180523_ST	2104539	108
m42073	20180514	0159_AA34_42073_20180514_ST	21205	0
m42366	20190305	0159_AA34_42366_20190305_ST	2128119	88
m42127	20190206	0159_AA34_42127_20190206_ST	2164317	192
m42352	20190207	0159_AA34_42352_20190207_ST	2174	0
m42212	201800907	0159_AA34_42212_201800907_ST	2187323	83
m42337	20190123	0159_AA34_42337_20190123_ST	22129	0
m42273	20190102	0159_AA34_42273_20190102_ST	2242286	12
m42256	20180919	0159_AA34_42256_20180919_ST	2276677	65
m42345	20190125	0159_AA34_42345_20190125_ST	22785	1
m42139	201900301	0159_AA34_42139_201900301_ST	2319060	99
m42359	20190211	0159_AA34_42359_20190211_ST	23762	2
m42246	20180801	0159_AA34_42246_20180801_ST	2395769	53
m42043	20180410	0159_AA34_42043_20180410_ST	24	0
m42133	20190227	0159_AA34_42133_20190227_ST	240014	15
m42172	20190116	0159_AA34_42172_20190116_ST	2422376	85
m42349	20190203	0159_AA34_42349_20190203_ST	248	0
m42204	20180619	0159_AA34_42204_20180619_ST	24909	0
m42285	20181015	0159_AA34_42285_20181015_ST	250298	4
m42149	20180619	0159_AA34_42149_20180619_ST	256091	10
m42097	20180525	0159_AA34_42097_20180525_ST	2585173	173
m42028	20180918	0159_AA34_42028_20180918_ST	26136	1
m42005	20180409	0159_AA34_42005_20180409_ST	262705	12
m42083	20180504	0159_AA34_42083_20180504_ST	2647160	147
m42250	20180920	0159_AA34_42250_20180920_ST	2666771	21
m42302	20181203	0159_AA34_42302_20181203_ST	268094	10
m42325	20190102	0159_AA34_42325_20190102_ST	272130	5
m42306	20181205	0159_AA34_42306_20181205_ST	276077	24
m42143	20180613	0159_AA34_42143_20180613_ST	2783181	117
m42111	20180531	0159_AA34_42111_20180531_ST	2785843	81
m42323	20190102	0159_AA34_42323_20190102_ST	28034	1
m42177	20180806	0159_AA34_42177_20180806_ST	2865746	310
m42190	20181015	0159_AA34_42190_20181015_ST	288226	14
m42165	20180723	0159_AA34_42165_20180723_ST	2924134	79
m42318	20190102	0159_AA34_42318_20190102_ST	2937924	129
m42220	201801015	0159_AA34_42220_201801015_ST	295561	15
m42129	20190318	0159_AA34_42129_20190318_ST	2991427	102
m42360	20190304	0159_AA34_42360_20190304_ST	30320	1
m42098	20180531	0159_AA34_42098_20180531_ST	3084609	232
