#seq_id	seq_len	geom_mean_qv	median_qv	min_qv	max_qv
MISEQ-LAB244-W7:202:000000000-A9WPT:1:1101:13955:3080/2	215	32.7	35	10	37
MISEQ-LAB244-W7:202:000000000-A9WPT:1:1101:10054:3858/2	251	32.8	35	10	37
MISEQ-LAB244-W7:202:000000000-A9WPT:1:1101:9938:4306/2	218	23.4	30	10	37
MISEQ-LAB244-W7:202:000000000-A9WPT:1:1101:20250:13171/1	116	36.3	37	32	37
MISEQ-LAB244-W7:202:000000000-A9WPT:1:1101:23157:14047/2	251	34.2	36	0	37
MISEQ-LAB244-W7:202:000000000-A9WPT:1:1102:17953:8762/1	181	36.2	36	31	37
MISEQ-LAB244-W7:202:000000000-A9WPT:1:1102:4625:14858/2	251	35.5	36	12	37
MISEQ-LAB244-W7:202:000000000-A9WPT:1:1102:3080:17920/2	251	33.2	35	0	37
MISEQ-LAB244-W7:202:000000000-A9WPT:1:1102:19725:23812/1	101	36.3	37	31	38
MISEQ-LAB244-W7:202:000000000-A9WPT:1:1103:21993:10165/1	251	34.4	36	0	37
MISEQ-LAB244-W7:202:000000000-A9WPT:1:1103:4512:11173/2	251	35.4	36	13	37
MISEQ-LAB244-W7:202:000000000-A9WPT:1:1103:5850:20784/1	126	36.4	37	32	37
MISEQ-LAB244-W7:202:000000000-A9WPT:1:1104:16355:4575/2	251	31.8	36	0	37
MISEQ-LAB244-W7:202:000000000-A9WPT:1:1104:20282:9485/1	143	0.0	0	0	0
MISEQ-LAB244-W7:202:000000000-A9WPT:1:1104:13854:20497/2	154	36.2	37	29	37
MISEQ-LAB244-W7:202:000000000-A9WPT:1:1106:14660:6701/1	251	34.9	36	10	37
MISEQ-LAB244-W7:202:000000000-A9WPT:1:1106:5832:8954/2	251	32.3	35	10	37
MISEQ-LAB244-W7:202:000000000-A9WPT:1:1106:21427:15567/1	154	36.3	37	32	37
