#id	len	geom_mean	median	min	max
71c8299b-384a-45c4-b23b-9cf0dd21b69e	205	17.0	25	3	50
4947833f-8707-4f0c-b27c-77ced5334c4f	11	18.7	18	16	26
b60d89f8-4ea6-4c37-8f39-acd14ab98df2	425	18.1	19	4	50
5e35de0c-eab9-4b95-a902-1da3ff8f5730	145	33.5	37	8	50
94fb467d-6409-4d0d-b68b-274461ba414b	116	16.8	22	3	50
f8e0bd63-091a-4e09-9226-03ac524427a9	32	6.5	6	3	19
f0d7c4d9-a739-4739-9412-0967b7efdf4f	162	13.7	14	3	42
9f2f33ab-01bb-4eb5-990c-ddb93d8337e2	152	20.1	24	3	50
decfb51e-f57f-4231-9179-50b625590195	40	15.7	22	4	43
275fdaf1-ac50-48cf-9349-ef75d26675b9	133	18.7	23	4	50
c1253fa3-6bc1-445e-9371-4a2d8cf30378	157	18.6	22	3	50
586ed3dd-4ee4-468c-acdc-2a8804d109d9	133	17.0	22	4	41
5d4ccf31-7338-4478-8636-8be3ce0e0b1f	49	21.0	31	3	40
becb410e-8c17-4fec-bc6a-7613286b5dad	131	24.2	29	4	50
a3c2cccb-e5ca-4b20-a0c3-0bd01d02b1d2	2988	31.4	37	3	50
91076dc1-c2c2-4c8f-8d54-bf269958a08c	12	6.8	6.5	6	9
95a93344-7ae4-4c03-af4a-46ac93a46430	155	15.1	14	4	50
541ce1fc-bf1f-4b86-9c6a-b3a2a4c65d4b	63	25.2	35	4	50
04e95ab0-8c11-4d8f-bb77-83bd028dd97e	8	20.3	28	8	45
55b284a1-f517-448d-8e92-a9bab1b487ca	73	19.2	23	6	50
1d92f24b-bf5b-43c2-b2e2-eac4fb7f7ed8	362	36.3	40	7	50
5ac6b9e3-cecc-41aa-950c-0fadeef9626b	60	23.1	36	4	50
673b69c2-95c0-4a33-86fa-3fd76e5403c8	133	30.2	37	4	50
3e6cd47d-1900-4118-9ea0-c4bdcbf51b0c	224	20.3	35	3	50
3210b5c4-45e5-49d3-a4c7-e0ba49e2d04a	126	24.1	35.5	4	50
457cd38d-a098-4e19-8fd9-ff9ed6395de5	143	19.1	31	3	50
2d65e3c9-f1e9-4bed-94c6-47ee8f4c711c	317	14.3	16	4	31
c6836807-a05c-4a2e-84ae-5c9cbd6237d3	75	20.7	30	3	46
51deb060-0ec6-4b60-8b4c-23e9bd8af4fa	27	12.0	13	6	22
90d52687-ec34-4b0b-be35-89bea58145e2	195	13.3	13	3	47
892201fa-b0b1-4fcf-ae51-e5f37a0d11f5	203	18.6	32	3	50
1a5a845f-812f-4350-bb53-37f04b7873d0	273	28.9	35	3	50
aea66c3d-6e99-47a8-8414-43ac827ecc41	6	8.5	8.5	7	11
f38d4afc-5f52-48ad-8710-03013134b615	156	20.6	36	2	50
ffc4a2ab-0d10-41ef-b1e3-0c6fc6dc191e	138	11.4	12	2	50
294af595-44cf-4519-93d9-6bd7f8b39209	2094	33.8	39	3	50
432e62b5-8c5e-4fa2-9b8c-38d64dfe7ea6	18	14.7	14.5	8	24
ce4c718c-5923-47a2-9529-d0b570237a06	48	14.2	17.5	6	25
766bf1eb-95a2-4760-bf86-b5e8946c54da	49	15.1	28	4	50
cebb3dc0-baa9-42c0-beda-e164ee639ba3	47	20.9	30	5	50
e25afff6-c908-45ac-8a09-c1c7e413d8c2	58	35.9	38.5	17	50
899941eb-8b8d-4856-bd75-180c2c04f232	198	20.7	29.5	4	50
5c09cbfd-c21a-4165-abe2-69490d999ef2	49	28.4	33	6	48
490affd7-a12b-4a65-8936-78cb9ae806ed	159	18.2	23	4	50
245c3275-4e97-4eab-a43e-a0b2c721a1f1	659	24.5	32	3	50
c3380046-b77b-4dab-877a-0e884d026cd1	142	11.4	11	3	44
281d5c12-df80-428d-ab0c-d5a7246d3f48	121	24.5	34	4	50
2e4ce9c9-18f2-491b-a274-2241de71c49a	349	24.2	33	2	50
02623a44-dd6c-4bd0-adfe-04492205a020	255	15.9	21	2	32
de738148-1e73-4502-84d5-4b245828dbcb	209	15.7	18	2	50
71f7d16d-5f93-4a5c-b9fe-b479d16484ff	39	7.5	8	4	24
c3cdb39b-00a7-4322-8cbd-11c8a4e008c2	370	26.9	30	7	50
0e5f32d6-b6b5-40c4-a2e7-5dc9778d3bc6	929	30.1	37	2	50
7fe51f36-97e9-4352-a198-53eb5094a6ef	64	18.3	28	4	50
7f66308b-9da6-463e-bfc9-7979c87d10db	128	28.3	36	3	50
e24ed114-2e68-4c6e-8ed2-5f22a269e0b7	132	17.2	20.5	3	44
534b62fd-c8f4-4645-a470-7033a01afe60	61	19.0	25	3	47
f32bd064-6bef-4b16-83bd-9fbe72da0947	115	31.5	35	4	50
c41c664b-9588-48fd-be4d-74c8bf5ba91e	354	26.9	33	4	50
2656fd77-65cc-4db1-aedc-caa81c49030b	233	30.1	39	3	50
be9d4cb2-ad65-4d88-825f-694d5dacdee7	1	8.0	8	8	8
2c5567c3-02be-4b10-b3cc-9e3eef3f6d25	445	38.2	41	8	50
76c22520-7c82-4a37-aa36-e2f7def45619	129	18.5	24	2	50
f3760856-f199-41f3-91fa-369f4f8d8906	760	25.1	34	2	50
773d4e40-8bd5-4e62-8d4d-df163dca3f28	143	26.5	33	4	50
8a3a1093-1eaf-44f2-9c49-749ab96e89c1	88	18.0	22.5	3	39
4f4bfcba-f77a-48dd-8f6b-3c7fa44f67a7	32	7.0	7	4	13
c0249511-8c3c-482c-970d-5e23a21610ea	68	11.4	8	4	40
3c572d7a-7d5d-4a90-819f-ace860e8f513	1	13.0	13	13	13
0f5406bf-6891-4ef4-bdd8-ef3701793e4f	108	11.7	14	2	50
11345787-e88c-4103-8044-a75260429e85	152	22.9	33	3	50
e8b89223-143b-4aff-901b-767c5826e7fa	196	11.0	11	2	50
75b28b86-0768-45ce-88be-7dac1cc97f50	90	17.3	21	2	50
69ca9997-fe3b-4939-9d39-0f98e413e3d3	105	17.7	24	3	50
65353302-80fb-48a0-a2c4-13272fbd91b2	170	26.0	36	2	50
a733e945-3747-4397-beeb-c8e28516aeee	112	20.9	28.5	2	50
4b490037-a695-4504-af3e-120e642abbaf	127	19.0	29	2	50
8f0398c9-c40d-448e-ae4c-674dda67b1cd	141	24.9	29	7	50
a369ce7e-5437-431b-95b2-86255bc47d25	61	28.1	32	8	41
0a71fd6f-0e9a-410e-9d4d-b363f337f042	66	14.8	18	3	35
987a22d3-0f1b-471c-8e86-f89043fe5bf2	128	10.6	10	1	39
ffcd5c05-dbf0-4cc6-8188-462ce21aca5d	141	14.3	15	3	39
92833a63-bdc5-4be8-a889-bd2d1de40a66	217	30.2	38	5	50
d4b66041-af70-499f-a74e-4a72b8ce6d93	155	21.7	26	6	50
20a425c1-607e-46d7-85b1-5af946b93cda	784	29.6	37	4	50
a188bb20-ab51-441e-9bd4-28f779deb1d1	91	26.5	29	6	50
af268440-a055-43c6-b03c-87bcc26dd353	129	19.9	30	3	50
4865c02a-8a40-4fdb-8b39-6129f0d6d154	624	28.2	34	3	50
3b6175cd-d5c0-40a6-be1a-5380d48d90be	218	29.9	36	6	50
ae4b3109-267a-4a0b-8d25-d2ed3321f570	495	35.0	40	5	50
af182426-e252-4459-8c2e-d52c1247c3cc	57	16.2	14	2	42
5d968b8b-19d6-4fe4-b1e8-1ecf2fde5989	10	6.9	7	4	13
aa91f3d2-aeee-439d-b3d6-dd8d98c27d4f	121	23.0	35	5	50
750ffbd2-1fd3-4f6f-8275-2978e161663f	130	22.2	31.5	5	50
8e22e847-b6e3-4615-8487-6d69b6d019b7	131	14.3	15	3	44
cfb9983b-93f7-45e4-956f-597f49cb9edb	130	28.3	38	4	50
1014b01c-d2a8-426d-960a-c7dc8f79a3b4	18	3.1	3	2	9
