Taxa	Index	Abundance	Cumulative	NumPresent	Model
Bacteroides	1	0.184919299747033	0.184919299747033	138	Bacteroides_ovatus_CL02T12C04.xml
Segatella	2	0.16228108926382	0.347200389010853	138	Prevotella_copri_CB7_DSM_18205.xml
Phocaeicola	3	0.103612981824113	0.450813370834966	138	Phocaeicola_abscessus_CCUG_55929.xml
Faecalibacterium	4	0.0745511294986437	0.52536450033361	139	Faecalibacterium_prausnitzii_M21_2.xml
Blautia	5	0.0330731615714199	0.55843766190503	138	Blautia_torques_ERR1022404.xml
Alistipes	6	0.029975581228548	0.588413243133578	138	Alistipes_shahii_WAL_8301.xml
Parabacteroides	7	0.0298928060744857	0.618306049208064	138	Parabacteroides_distasonis_CL09T03C24.xml
Agathobacter	8	0.0232249243088015	0.641530973516865	138	Eubacterium_rectale_ATCC_33656.xml
Mediterraneibacter	9	0.0195070354137669	0.661038008930632	138	Mediterraneibacter_massiliensis_DSM_100837.xml
Roseburia	10	0.0176388686573396	0.678676877587972	138	Roseburia_intestinalis_XB6B4.xml
Ruminococcus	11	0.0132712623930446	0.691948139981016	138	Ruminococcus_albus_8.xml
Escherichia	12	0.0129465399437248	0.704894679924741	136	Escherichia_coli_MP021552_7.xml
Akkermansia	13	0.0118558746163041	0.716750554541045	136	Akkermansia_muciniphila_YL44.xml
Salmonella	14	0.0098639627635041	0.726614517304549	138	Salmonella_enterica_subsp_enterica_serovar_Montevideo_str_SARB31.xml
Coprococcus	15	0.00983815733055602	0.736452674635105	138	Coprococcus_catus_GD_7.xml
Staphylococcus	16	0.00980492239649733	0.746257597031603	138	Staphylococcus_warneri_L37603.xml
Phascolarctobacterium	17	0.00930327112086966	0.755560868152472	137	Phascolarctobacterium_succinatutens_YIT_12067.xml
Vescimonas	18	0.00810789757510837	0.763668765727581	137	NA
Collinsella	19	0.00805629361764584	0.771725059345227	136	Collinsella_tanakaei_YIT_12063.xml
Enterocloster	20	0.00751923267449499	0.779244292019721	138	Clostridium_bolteae_ATCC_BAA_613.xml
Dorea	21	0.00751357469258846	0.78675786671231	138	Dorea_longicatena_ERR1022383.xml
Bifidobacterium	22	0.00638287249715043	0.79314073920946	137	Bifidobacterium_dentium_ATCC_27679.xml
Flavonifractor	23	0.00605022792701313	0.799190967136474	138	Flavonifractor_plautii_ERR1022420.xml
Prevotella	24	0.00602113641137733	0.805212103547851	137	Prevotella_intermedia_ATCC_25611
Anaerostipes	25	0.00536739852687501	0.810579502074726	138	Anaerostipes_hadrus_ERR1022376.xml
Catenibacterium	26	0.00531628465434793	0.815895786729074	135	Catenibacterium_mitsuokai_ERR1022284.xml
Lachnospira	27	0.00521932576300246	0.821115112492076	138	Lachnospira_multipara_ATCC_19207.xml
Streptococcus	28	0.00521408685741327	0.82632919934949	138	Streptococcus_agalactiae_CCUG_25532.xml
Acidaminococcus	29	0.00447715412013985	0.830806353469629	131	Acidaminococcus_fermentans_DSM_20731.xml
Oscillibacter	30	0.00441280568100547	0.835219159150635	137	Oscillibacter_ruminantium_GH1.xml
Dysosmobacter	31	0.00399552384678401	0.839214682997419	136	NA
Benincasa	32	0.0039825740780117	0.843197257075431	138	NA
Simiaoa	33	0.00392571568218776	0.847122972757618	137	NA
Carjivirus	34	0.00372471139698787	0.850847684154606	55	NA
Megasphaera	35	0.00366227157653719	0.854509955731143	136	Megasphaera_elsdenii_DSM_20460.xml
Klebsiella	36	0.00364879609952479	0.858158751830668	138	Klebsiella_pneumoniae_1162281.xml
Clostridium	37	0.00339271123789562	0.861551463068564	138	Clostridium_beijerinckii_G117.xml
Anaerobutyricum	38	0.00331479017943816	0.864866253248002	138	Eubacterium_hallii_L2_7.xml
Veillonella	39	0.00328026861218077	0.868146521860183	137	Veillonella_parvula_ATCC_17745.xml
Streptomyces	40	0.00318855261258593	0.871335074472769	138	Streptomyces_massiliensis_AP10.xml
Paraprevotella	41	0.00306134164870995	0.874396416121479	136	Paraprevotella_clara_YIT_11840.xml
Eubacterium	42	0.00291550942804555	0.877311925549524	138	Eubacterium_ventriosum_ATCC_27560.xml
Bartonella	43	0.00289057436940838	0.880202499918933	138	Bartonella_quintana_RM_11.xml
Pseudomonas	44	0.00287935697684617	0.883081856895779	138	Pseudomonas_aeruginosa_PA7.xml
Wujia	45	0.0028362811338472	0.885918138029626	137	Lachnospiraceae_bacterium_2_1_58FAA.xml
Odoribacter	46	0.00271315361371225	0.888631291643338	134	Odoribacter_splanchnicus_1651_6_DSM_20712.xml
Lawsonibacter	47	0.00266721362405398	0.891298505267392	137	Pseudoflavonifractor_capillosus_ERR1022447.xml
Ruthenibacterium	48	0.00258306982036363	0.893881575087756	137	Ruthenibacterium_lactatiformans_585_1.xml
Eshraghiella	49	0.00245626478175023	0.896337839869506	137	Butyrivibrio_crossotus_DSM_2876.xml
Butyricimonas	50	0.00237118260118502	0.898709022470691	137	Butyricimonas_synergistica_DSM_23225.xml
Bilophila	51	0.00220412352710988	0.900913145997801	129	Bilophila_wadsworthia_3_1_6.xml
Subdoligranulum	52	0.00216071477471769	0.903073860772518	137	Subdoligranulum_variabile_DSM_15176.xml
Intestinimonas	53	0.00213674445695653	0.905210605229475	137	Intestinimonas_butyriciproducens_SRB_521_5_I.xml
Hungatella	54	0.00207205343492736	0.907282658664402	138	Clostridium_hathewayi_12489931.xml
Eisenbergiella	55	0.00189888224065221	0.909181540905055	138	Eisenbergiella_tayi_ERR1022439.xml
Desulfovibrio	56	0.00188772906267279	0.911069269967727	133	Desulfovibrio_desulfuricans_subsp_desulfuricans_str_ATCC_27774.xml
Sutterella	57	0.00165670213004968	0.912725972097777	130	Sutterella_wadsworthensis_HGA0223.xml
Barnesiella	58	0.00163226550834098	0.914358237606118	136	Barnesiella_intestinihominis_YIT_11860.xml
Burkholderia	59	0.00147946908254475	0.915837706688663	138	Burkholderia_cenocepacia_J2315.xml
Enterobacter	60	0.00145263624854505	0.917290342937208	138	Enterobacter_aerogenes_FGI35.xml
Pusillibacter	61	0.00143751639446837	0.918727859331676	137	Oscillibacter_ruminantium_GH1.xml
Burzaovirus	62	0.00142247877589356	0.92015033810757	28	NA
Corynebacterium	63	0.00138016434720265	0.921530502454773	137	Corynebacterium_glucuronolyticum_ATCC_51866.xml
Lachnoclostridium	64	0.00133052658682969	0.922861029041602	138	Lachnoclostridium_nov_ERR171281.xml
Sellimonas	65	0.00131903495278968	0.924180063994392	138	Sellimonas_intestinalis_BR72.xml
Faecalibacillus	66	0.0012165388689304	0.925396602863322	134	Coprobacillus_sp_8_2_54BFAA.xml
Fusobacterium	67	0.0012153354532883	0.926611938316611	137	Fusobacterium_ulcerans_12_1B.xml
Megamonas	68	0.00119704902677519	0.927808987343386	130	Megamonas_funiformis_YIT_11815.xml
Anaerotruncus	69	0.00115910325250103	0.928968090595887	138	Anaerotruncus_colihominis_ERR1022453.xml
Eggerthella	70	0.00115690812102471	0.930124998716911	137	Eggerthella_lenta_11C.xml
Flintibacter	71	0.00113291932202976	0.931257918038941	137	NA
Dialister	72	0.00109237539529087	0.932350293434232	132	Dialister_succinatiphilus_YIT_11850.xml
Faecalimonas	73	0.00108341030916873	0.933433703743401	138	NA
Paenibacillus	74	0.00108282591324887	0.93451652965665	138	Paenibacillus_daejeonensis_DSM_15491.xml
Enterococcus	75	0.00103673678685889	0.935553266443509	138	Enterococcus_cecorum_DSM_20682.xml
Clostridioides	76	0.00100858019580314	0.936561846639312	138	Clostridioides_difficile_ATCC_9689.xml
Thomasclavelia	77	0.000966913088042903	0.937528759727355	138	Coprobacillus_sp_8_2_54BFAA.xml
Otoolea	78	0.000965707806226043	0.938494467533581	138	NA
Mycobacterium	79	0.000872782694584368	0.939367250228165	136	Mycobacterium_avium_subsp_paratuberculosis_S397.xml
Curtobacterium	80	0.000835713202439195	0.940202963430604	132	Curtobacterium_flaccumfaciens_UCD_AKU.xml
Adlercreutzia	81	0.00076623772506626	0.940969201155671	132	Adlercreutzia_muris_DSM_29508.xml
Agathobaculum	82	0.000763573086162225	0.941732774241833	137	Eubacterium_desmolans_ATCC_43058.xml
Xanthobacter	83	0.000754405133009092	0.942487179374842	138	NA
Lacrimispora	84	0.000748323509405097	0.943235502884247	138	Clostridium_sphenoides_JCM_1415.xml
Pseudoalteromonas	85	0.000716289659991722	0.943951792544239	134	Pseudoalteromonas_arctica_A_37_1_2.xml
Selenomonas	86	0.000705195521337657	0.944656988065576	136	Selenomonas_ruminantium_AC2024.xml
Pseudoflavonifractor	87	0.000690051557160306	0.945347039622737	137	Pseudoflavonifractor_capillosus_ERR1022447.xml
Xanthomonas	88	0.000626251534939927	0.945973291157677	137	Xanthomonas_massiliensis_CSUR_P2129.xml
Monoglobus	89	0.000597827447129101	0.946571118604806	132	NA
Paracoccus	90	0.000597110580462531	0.947168229185268	133	Paracoccus_yeei_ATCC_BAA_599.xml
Bradyrhizobium	91	0.000590557311836458	0.947758786497105	137	Bradyrhizobium_elkanii_USDA_76.xml
Aeromonas	92	0.00056397434623473	0.948322760843339	137	Aeromonas_dhakensis_277.xml
Cryptomeria	93	0.000558014597566681	0.948880775440906	137	NA
