SampleID PreNormCov NumCatAbvCutoff
012219A01A 0.98643 29
012219A02A 0.99197 49
012219A03A 0.99338 47
012219A04A 0.98596 27
012219A05A 0.99184 23
012219B01A 0.98938 38
012219B02A 0.99105 44
012219B03A 0.994 47
012219B04A 0.99059 45
012219C01A 0.99363 51
012219C02A 0.98666 28
012219C03A 0.99364 57
012219C04A 0.99167 49
012219D01A 0.99313 29
012219D02A 0.99269 52
012219D03A 0.9898 45
012219D04A 0.98933 38
012219E01A 0.9907 28
012219E02A 0.99157 52
012219E03A 0.99185 46
012219E04A 0.99151 35
012219F01A 1 1
012219F02A 0.99123 50
012219F03A 0.98994 26
012219F04A 0.99186 39
012219G01A 0.99118 46
012219G02A 0.99077 44
012219G03A 0.9899 44
012219G04A 0.98713 31
012219H01A 0.98795 43
012219H02A 0.98989 42
012219H03A 0.99097 50
012219H04A 0.98847 13
021420A07D 0.99173 35
021420A08D 0.98987 31
021420A09D 0.9934 48
021420B07D 0.99064 23
021420B08D 0.99269 49
021420B09D 0.99168 39
021420C07D 0.99061 33
021420C08D 0.99091 36
021420D07D 0.99083 23
021420D08D 0.9918 34
021420E07D 0.991 41
021420E08D 0.99207 36
021420F06D NA NA
021420F07D 0.99102 40
021420F08D 0.99219 46
021420G06D NA NA
021420G07D 0.99098 33
021420G08D 0.99303 39
021420H06D NA NA
021420H07D 0.98875 31
021420H08D 0.99163 37
112019A01C 0.99235 47
112019A02C 0.99354 49
112019A03C 0.99117 40
112019A04C 0.99225 44
112019A05C 0.98482 28
112019A06C 0.9868 30
112019A07C 0.99139 52
112019A08C 0.98925 41
112019A09C 0.98701 41
112019A10C 0.99388 36
112019A11C 0.99189 35
112019B01C 0.99227 50
112019B02C 0.993 37
112019B03C 0.99482 41
112019B04C 0.99387 45
112019B05C 0.99107 37
112019B06C 0.99374 51
112019B07C 0.99211 48
112019B08C 0.99242 42
112019B09C 0.99339 49
112019B10C 0.9926 39
112019B11C 0.99239 42
112019B12C 0.99062 43
112019C02C 0.99056 49
112019C03C 0.99063 42
112019C04C 0.98937 30
112019C05C 0.99222 44
112019C06C 0.99228 35
112019C07C 0.98767 21
112019C08C 0.98489 35
112019C09C 0.99226 44
112019C10C 0.99054 38
112019C11C 0.9907 40
112019C12C 0.99216 33
112019D01C 0.99074 47
112019D02C 0.99078 49
112019D03C 0.98832 37
112019D04C 0.98927 36
112019D06C 0.99125 39
112019D07C 0.99023 33
112019D08C 0.99228 50
112019D09C 0.99024 48
112019D10C 0.99167 41
112019D11C 0.99264 47
112019D12C 0.99305 37
112019E02C 0.99221 49
112019E03C 0.99289 43
112019E04C 0.9926 54
112019E05C 0.98949 33
112019E06C 0.99181 42
112019E07C 0.99308 46
112019E08C 0.99089 47
112019E09C 0.99106 24
112019E10C 0.99046 34
112019E11C 0.99079 42
112019F01C 0.99393 49
112019F02C 0.98984 44
112019F03C 0.98943 39
112019F04C 0.99141 25
112019F05C 0.9909 43
112019F06C 0.9905 46
112019F07C 0.9892 43
112019F08C 0.98988 44
112019F09C 0.98806 29
112019F10C 0.99227 40
112019F11C 0.98847 28
112019G01C 0.99089 50
112019G02C 0.99379 45
112019G03C 0.99093 39
112019G04C 0.98659 24
112019G05C 0.9941 48
112019G06C 0.99241 44
112019G07C 0.99043 36
112019G08C 0.9911 42
112019G09C 0.98947 21
112019G10C 0.9933 36
112019G11C 0.98821 34
112019H01C 0.98979 44
112019H02C 0.99085 47
112019H03C 0.9905 31
112019H04C 0.99128 50
112019H05C 0.99024 47
112019H06C 0.99135 51
112019H07C 0.99008 29
112019H08C 0.98937 33
112019H09C 0.98913 30
112019H10C 0.99385 35
112019H11C 0.98966 45
