sample_id	total	Acidaminococcus	Agathobacter	Akkermansia	Alistipes	Anaerobutyricum	Anaerostipes	Bacteroides	Barnesiella	Bartonella	Bifidobacterium	Bilophila	Blautia	Bradyrhizobium	Butyricimonas	Catenibacterium	Clostridium	Collinsella	Coprococcus	Corynebacterium	Curtobacterium	Desulfovibrio	Dialister	Dorea	Dysosmobacter	Eisenbergiella	Enterobacter	Enterocloster	Escherichia	Eshraghiella	Eubacterium	Faecalibacillus	Faecalibacterium	Faecalimonas	Flavonifractor	Fusobacterium	Helicobacter	Hungatella	Intestinimonas	Klebsiella	Lachnospira	Lawsonibacter	Mediterraneibacter	Megamonas	Megasphaera	Odoribacter	Oscillibacter	Otoolea	Parabacteroides	Paracoccus	Paraprevotella	Phascolarctobacterium	Phocaeicola	Prevotella	Pseudomonas	Ralstonia	Roseburia	Ruminococcus	Ruthenibacterium	Salmonella	Segatella	Selenomonas	Simiaoa	Staphylococcus	Streptococcus	Streptomyces	Subdoligranulum	Succinivibrio	Sutterella	Thomasclavelia	Veillonella	Vescimonas	Wujia
012219A01A	6426725	126179	73824	129	61102	5407	8762	2700594	520	5014	145680	31609	54058	676	923	85	6086	47341	1551	957	901	230	6100	2847	44289	20100	7495	67334	608158	175	5359	2501	5962	2471	31726	315	102	14589	3139	27643	4708	7310	124115	88	229023	234	61289	3563	511854	745	1992	187	999343	66486	6629	257	4721	5062	38781	57852	3329	351	631	136735	29598	4727	450	24	228	438	1962	1833	247
012219A02A	588412	4114	934	127	66637	1248	253	49589	319	589	2332	893	13620	781	9361	174	4441	22011	2851	651	294	554	4799	2834	4186	1407	543	7254	43356	230	996	326	25433	82	3958	75	28	1135	3249	1125	93	2211	7603	49	492	4673	4306	859	85439	927	369	234	57434	4555	2393	119	1988	3023	1921	45468	9176	1054	1906	5263	1783	6006	6989	0	29	269	31	48924	37
012219A03A	2331812	310	15382	764	202083	7795	2537	521493	2526	1535	1738	34	94411	23670	21532	19431	8349	33002	13048	1883	790	521	190	13216	26227	6101	2414	5699	83547	1277	3766	96	160004	147	12965	106	59	8706	32718	58338	4005	7488	135268	92	539	15594	26988	501	190702	2521	1627	26250	89858	25673	81069	26259	9330	14031	11925	21394	87927	977	6507	16650	1615	17519	9375	10	291	151	40	111071	155
012219A04A	1075716	6745	6313	127	3341	330	873	31085	235	246	4318	538	5426	108	902	3519	937	5982	438	80	59	629	1550	2598	1244	56	374	1228	469	129	308	69	60542	34	1192	2516	0	275	292	292	599	236	6314	17	149	668	1283	80	10373	129	1696	35	19083	5031	478	17	7510	951	838	3951	853970	49	1346	3128	569	452	520	13	9325	194	211	1052	50
012219A05A	4674952	92	481	95	133104	177	2221	1608272	206	556	8857	40390	22786	347	3637	13	4471	79	224	345	122	200	898	572	1805	347	2673	87290	168848	18	943	0	119406	12358	59632	192	18	7498	1300	8819	19	8612	39076	62	2370	56121	720	98042	920948	477	1113	144	1106742	444	1372	117	763	1465	1128	14112	375	769	82	4766	58006	1799	209	0	2012	15849	37292	639	15
012219B01A	7542204	58833	124279	308	10834	1486	2933	166726	2661	29394	22117	6345	37235	3259	6092	39883	4654	67530	17945	1303	5815	800	115	24225	20201	1035	29964	14340	13426	428	8759	209	450236	199	12981	620	315	3834	5181	25423	1818	20024	21775	111	29082	1091	14009	866	257380	4615	12374	178085	44094	103473	26476	1523	73575	5307	7415	346375	4652746	514	8154	338475	5298	20455	3033	278	32885	258	370	20469	87878
012219B02A	3883909	146	86421	278	35291	3096	4820	229901	2117	4577	1807	693	46485	1595	12854	14902	6249	62410	16654	1214	1156	26974	349	42380	4777	834	4195	6328	1422	1356	11387	2164	453853	353	8939	29752	83942	3200	2909	58201	28719	2292	77294	106	274	18376	6376	721	59164	1501	7076	151734	72256	50450	8038	470	73423	20380	2332	29756	1842239	434	20029	71848	11879	9829	6304	94	13855	1358	7017	11815	489
012219B03A	25438169	2083	208753	3959	63774	87046	66524	951849	12618	54158	16846	76616	769209	12520	154762	305676	66897	147996	121279	8063	9791	2831	61127	317120	66147	11422	38676	56466	5939331	5763	138336	2102	3405847	2056	80692	1633	784	26672	46897	35974	4862	195594	296422	1132	7564	94044	92914	7149	477619	13912	139833	2677	1303105	300713	64740	3580	464896	69554	27411	240052	5862359	5304	120319	417866	53365	84369	38680	186	64791	3446	10258	564322	1024836
012219B04A	974491	1184	119137	177	52465	1227	4300	161075	9313	331	609	4165	14230	530	1946	2471	2664	13548	7563	577	136	8459	90	7355	2100	699	747	3022	340	322	10089	73	86129	82	1626	118	24	858	2032	479	16340	1209	18281	41	376	6464	3323	1709	34909	575	3472	27304	229818	3087	1642	659	37263	22335	3665	6393	5366	843	1177	3960	1311	3280	3281	13	31	190	34	13634	214
012219C01A	2701890	1783	34258	857	9319	3586	2071	367968	1195	662415	3647	212	82383	5479	4801	14202	12590	13024	13422	3472	2940	3157	11936	10971	15366	3992	16559	7766	10069	1330	7060	160	200847	346	8978	1096	352	2045	14643	158563	4577	3954	18261	297	10175	775	14549	510	17147	6770	1079	1043	5638	49797	18722	998	15210	21886	6524	167343	200429	4047	10254	263699	7941	37184	4711	87	426	347	213	73000	19437
