UDPNACETYLGLUCOSAMACYLTRANS-ENZRXN	UDP-N-acetylglucosamine acyltransferase
ENZRXN-15368	pelargonidin reductase
ENZRXN-10341	sinapoylglucose:sinapoylglucose <i>O</i>-sinapoyltransferase
ENZRXN-20142	2,2'-hydroxybiphenyl monooxygenase
ENZRXN-14155	2-(S)-hydroxypropyl-CoM dehydrogenase
ENZRXN-6389	UDP-glucose:isopentenyladenine 7-N-glucosyltransferase
ENZRXN-16461	indole-3-acetyl-tryptophan synthetase
ENZRXN-21712	5-methylthioribulose-1-phosphate dehydratase
ENZRXN-9327	phosphoglycerate mutase
ENZRXN-21574	6-aminohexanoate oligomermer exohydrolase
ENZRXN-18569	glucosylglycerate synthase
ENZRXN-12923	salutaridine synthase
ENZRXN-12214	phytol kinase
ENZRXN-17618	di-<i>trans</i>,poly-<i>cis</i>-decaprenyl diphosphate:isopentenyl-diphosphate undecaprenylcistransferase
ENZRXN-39	pentaketide chromone synthase
ENZRXN-20352	6-oxocamphor hydrolase
ENZRXN-16471	indole-3-acetyl-tyrosine synthetase
ENZRXN0-5261	ribonuclease
ENZRXN3O-1008	dihydrosphingosine phosphate lyase
ENZRXN66-2952	cysteine desulfurase
UDP-NACMURALGLDAPAALIG-ENZRXN	D-alanyl-D-alanine-adding enzyme
ENZRXN0-6535	transport of a lipopolysaccharide
ENZRXN-561	methyl-CoM reductase
ENZRXN-18595	ADP-ribose 1''-phosphate phosphatase
ENZRXN-5184	vestitone reductase
ENZRXN-15166	9,12-cis-hexadecadienoic acid delta 15 desaturase
ENZRXN-19404	quercetin 2,3-dioxygenase
ENZRXN-13538	myrcene synthase
ENZRXN-20363	diacylglycerol kinase
ENZRXN-16218	serine racemase
ENZRXN-16951	glutathione lyase
GLUTRACE-ENZRXN	glutamate racemase
ENZRXN-5802	3&beta;-hydroxysteroid dehydrogenase/&Delta;<sup>5</sup>-&Delta;<sup>4</sup>-isomerase
ENZRXN-12914	acetoacetyl-CoA thiolase
ENZRXN1G-180	6-O-cis-methoxy-mycolyl-trehalose-6-phosphate phosphohydrolase
ENZRXN-13744	fructose-1,6-bisphosphate aldolase
ENZRXN-17431	sterol 24C methyltransferase
ENZRXN-21493	GA4 desaturase
ENZRXN-15684	3-chloro-cis,cis-muconate dehalogenase
ENZRXN-13755	phosphohexose isomerase
ENZRXN-17709	GA<sub>20</sub> carboxyl methyltransferase
ENZRXN-18360	2-heptyl-3-hydroxy-4(1<i>H</i>)-quinolone synthase
ENZRXN1G-307	cis,cis-delta3,15-C34:2-[acyl-carrier protein]:malonyl-[acyl-carrier protein] C-acyltransferase (decarboxylating)
ENZRXN-18946	cellulase
ENZRXN-19957	trehalase
ENZRXN-15007	halimadienyl-diphosphate synthase
ENZRXN-19218	tRNA (guanine<sup>26</sup>-<i>N<sup>2</sup></i>-methyltransferase
ENZRXN-16044	potassium transporter
ENZRXN0-283	molybdopterin guanine dinucleotide synthase
ENZRXN-12830	xanthoxin dehydrogenase
ENZRXN-16069	GTP cyclohydrolase
ENZRXN-1974	2,2',3-trihydroxybiphenyl dioxygenase
ENZRXN-19969	lipoate adenylyl transferase
ENZRXN-20213	7-ketocholesterol synthase
ENZRXN3O-286	phosphopantothenate-cysteine ligase
