Organizations	FRAMES	
Evidence	FRAMES	
Paralogous-Gene-Groups	FRAMES	
Enzymatic-Reactions	FRAMES	
People	FRAMES	
EC-BOOKKEEPING	FRAMES	
Polymer-Segments	FRAMES	
Databases	FRAMES	Databases
Protein-Features	FRAMES	
Compound-Mixtures	FRAMES	
Publications	FRAMES	
Chemicals	FRAMES	a chemical
Regulation	FRAMES	
CCO	FRAMES	Cell Component Ontology
KB-DESCRIPTOR	FRAMES	
Growth-Observations	FRAMES	
Notes	FRAMES	
Generalized-Reactions	FRAMES	
Organisms	FRAMES	
Gene-Ontology-Terms	FRAMES	
EV-EXP	Evidence	Inferred from experiment
EV-COMP	Evidence	Inferred by computational analysis
EV-ND	Evidence	No biological Data available
EV-AS	Evidence	Author statement
EV-IC	Evidence	Inferred by curator
DNA-Segments	Polymer-Segments	a DNA segment
mRNA-Segments	Polymer-Segments	
Protein-Segments	Protein-Features;Polymer-Segments	
Polymer-Segment-Enzyme-Substrates	Compounds;Polymer-Segments	
Protein-Binding-Features	Protein-Features	
Amino-Acid-Sites	Protein-Features	
Non-Defined-Mixtures	Compound-Mixtures	
Growth-Media	Compound-Mixtures	
Biomass-Compositions	Compound-Mixtures	
Compounds-And-Elements	Chemicals	a small molecule or an element
Subatomic-Particles	Chemicals	a subatomic particle
Macromolecules	Chemicals	a macromolecule
Holder-Class	Chemicals	a nonspecific substrate
Regulation-of-Transcription	Regulation	
Regulation-of-Reactions	Regulation	
Regulation-of-Gene-Products	Regulation	
Regulation-of-Translation	Regulation	
Regulation-of-Enzyme-Activity	Regulation	
CCO-ENVELOPE	CCO	envelope
CCO-SPACE	CCO	space
CCO-SURFACE-MAT	CCO	cell surface matrix
CCO-CELL-FRACT	CCO	cell fraction
CCO-ORGANELLE	CCO	organelle
CCO-SUPER-COMP	CCO	super component
CCO-MEMBRANE	CCO	membrane
CCO-SUBORG-CMPT	CCO	suborganelle compartment
Primary-Growth-Observations	Growth-Observations	
Consensus-Growth-Results	Growth-Observations	
Pathways	Generalized-Reactions	
Reactions	Generalized-Reactions	
TAX-1	Organisms	root
Multi-Organism-Groupings	Organisms	
GO:0003674	Gene-Ontology-Terms	molecular_function
GO:0008150	Gene-Ontology-Terms	biological_process
GO:0005957	Gene-Ontology-Terms	debranching enzyme
GO:0005575	Gene-Ontology-Terms	cellular_component
EV-EXP-IDA	EV-EXP	Inferred from direct assay
EV-EXP-IEP	EV-EXP	Inferred from expression pattern
EV-EXP-IGI	EV-EXP	Inferred from genetic interaction
EV-EXP-IMP	EV-EXP	Inferred from mutant phenotype
EV-EXP-IPI	EV-EXP	Inferred from physical interaction
EV-EXP-TAS	EV-EXP	Traceable author statement to experimental support
EV-COMP-AINF	EV-COMP	Inferred computationally without human oversight
EV-COMP-HINF	EV-COMP	Inferred by a human based on computational evidence
EV-COMP-IBA	EV-COMP	Inferred from Biological aspect from Ancestor
EV-AS-HYPO	EV-AS	Author hypothesis
EV-AS-NAS	EV-AS	Non-traceable author statement
EV-AS-TAS	EV-AS	Traceable author statement
EV-IC-ADJ-GENES-SAME-BIO-PROCESS	EV-IC	Products of adjacent genes in the same biological process
All-Genes	DNA-Segments	
Genomic-Islands	DNA-Segments	
Promoters	DNA-Segments	
Transposons	DNA-Segments	
Extragenic-Sites	DNA-Segments	
Misc-Features	DNA-Segments	
Transcription-Units	DNA-Segments	
