PWY-6146	Super-Pathways;Biosynthesis	<i>Methanobacterium thermoautotrophicum</i> biosynthetic metabolism
COLANSYN-PWY	Super-Pathways;Metabolic-Clusters;Cell-Structure-Biosynthesis	colanic acid building blocks biosynthesis
PWY-5514	UDP-Nac-Galactosamine-Biosynthesis;Cell-Structure-Biosynthesis	UDP-<i>N</i>-acetyl-D-galactosamine biosynthesis II
PWY-5512	UDP-Nac-Galactosamine-Biosynthesis;Cell-Structure-Biosynthesis	UDP-<i>N</i>-acetyl-D-galactosamine biosynthesis I
TEICHOICACID-PWY	Cell-Structure-Biosynthesis	teichoic acid (poly-glycerol) biosynthesis
ECASYN-PWY	Cell-Structure-Biosynthesis	enterobacterial common antigen biosynthesis
PWY-6626	Cell-Structure-Biosynthesis	CDP-2-glycerol biosynthesis
PWY0-1338	Lipopolysaccharide-Biosynthesis;Antibiotic-Resistance	polymyxin resistance
KDO-NAGLIPASYN-PWY	Super-Pathways;Lipopolysaccharide-Biosynthesis;Lipid-Biosynthesis	superpathway of (KDO)<SUB>2</SUB>-lipid A biosynthesis
NAGLIPASYN-PWY	Lipopolysaccharide-Biosynthesis;Lipid-Biosynthesis	lipid IV<sub>A</sub> biosynthesis
PWY-6467	Super-Pathways;Lipopolysaccharide-Biosynthesis;KDO-Lipid-IV-Transfer	Kdo transfer to lipid IV<SUB>A</SUB> II (Chlamydia)
KDOSYN-PWY	Lipopolysaccharide-Biosynthesis;KDO-Lipid-IV-Transfer	KDO transfer to lipid IV<sub>A</sub> I
PWY-5740	SUGAR-NUCLEOTIDES;O-Antigen-Biosynthesis	GDP-L-colitose biosynthesis
PWY-5823	Super-Pathways;SUGAR-NUCLEOTIDES;O-Antigen-Biosynthesis	superpathway of CDP-3,6-dideoxyhexose biosynthesis
PWY-5830	SUGAR-NUCLEOTIDES;O-Antigen-Biosynthesis	CDP-ascarylose biosynthesis
PWY-5831	SUGAR-NUCLEOTIDES;O-Antigen-Biosynthesis	CDP-abequose biosynthesis
PWY-5832	SUGAR-NUCLEOTIDES;O-Antigen-Biosynthesis	CDP-paratose biosynthesis
PWY-5833	SUGAR-NUCLEOTIDES;O-Antigen-Biosynthesis	CDP-3,6-dideoxyhexose biosynthesis
PWY-5834	SUGAR-NUCLEOTIDES;O-Antigen-Biosynthesis	CDP-tyvelose biosynthesis
OANTIGEN-PWY	Super-Pathways;O-Antigen-Biosynthesis	<i>O</i>-antigen building blocks biosynthesis (<i>E. coli</i>)
DTDPRHAMSYN-PWY	Rhamnose-Biosynthesis;O-Antigen-Biosynthesis	dTDP-L-rhamnose biosynthesis I
UDPNAGSYN-PWY	UDP-NAc-Glucosamine-Biosynthesis;O-Antigen-Biosynthesis	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis I
PWY-6397	Cell-Wall-Biosynthesis	mycolyl-arabinogalactan-peptidoglycan complex biosynthesis
PWY-6455	Vancomycin-Resistnace;Cell-Wall-Biosynthesis	vancomycin resistance II
PWY-6454	Vancomycin-Resistnace;Cell-Wall-Biosynthesis	vancomycin resistance I
PWY-6404	Super-Pathways;Cell-Wall-Biosynthesis	superpathway of mycolyl-arabinogalactan-peptidoglycan complex biosynthesis
PWY-6462	Peptidoglycan-Cross-Bridge-Biosynthesis	peptidoglycan cross-bridge biosynthesis III (Enterococcus faecalis)
PWY-6461	Peptidoglycan-Cross-Bridge-Biosynthesis	peptidoglycan cross-bridge biosynthesis II (E. faecium)
PWY-6459	Peptidoglycan-Cross-Bridge-Biosynthesis	peptidoglycan cross-bridge biosynthesis I (S. aureus)
