RXN-11539			PWY-6544
RXN-13833		ENZRXN-21059;ENZRXN-21058	
RXN-11250			
RXN-12965			PWY-6982
RXN-12206			PWYQT-4476
RXN-12208			PWY-6738
RXN-13428			PWY-7049
RXN-13879			PWY-7154
RXN-13880			PWY-7154
RXN-13895			PWY-7155
RXN-13896			PWY-7155
RXN-13897			PWY-7155
RXN-14030			PWY-6326;RXN-10864
RXN-14036			PWY-6326;RXN-10864
RXN-11243			PWY-6432
RXN-11248			PWY-6438
RXN-12350			PWY-6792
RXN-14373			PWY-622
RXN-14374			PWY-622
RXN-8349		ENZRXN-13233	PWY-6958
RXN-12549		ENZRXN-19434	PWY-6861;PWY-6872;PWY-6875;PWY-6857
RXN-13365			PWY-7042
RXN-12548		ENZRXN-19429;ENZRXN-19428	PWY-6875;PWY-6872;PWY-6857;PWY-6861
RXN-13357			PWY-7043
RXN-13356			PWY-7043
2.7.8.14-RXN	EC-2.7.8.14		
RXN-11508	EC-1.1.1	ENZRXN-17917	PWY-6531
RXN-8411		ENZRXN-13320;ENZRXN-13316;ENZRXN-13313	PWY-5373
RXN-14432	EC-2.4.1.299	ENZRXN-21663;ENZRXN-21660	PWY-7256
PANTEPADENYLYLTRAN-RXN	EC-2.7.7.3	PANTEPADENYLYLTRAN-ENZRXN;ENZRXN3O-488;ENZRXN-12676	COA-PWY
RXN-12573	EC-3.1.2	ENZRXN-19464	PWY-6048
TYROSINE-AMINOTRANSFERASE-RXN	EC-2.6.1.57;EC-2.6.1.5	TYRAMINOTRANS-ENZRXN;ENZRXN0-7332;ENZRXN-14577;ENZRXN-16213;ENZRXN-16919;ENZRXN-12632;ENZRXN-12552;ENZRXN-12547;ENZRXN-12171;ENZRXN-12170;ENZRXN-1561	PWY3O-4108;TYRSYN;PWY-3581;PWY-5886;PWY-5048;TYRFUMCAT-PWY;PWY-5151
RXN0-1861	EC-1.1.1.305	ENZRXN0-2381	PWY0-1338
ASPAROXO-RXN	EC-2.6.1		
RXN-11509		ENZRXN-17919	PWY-6533
2.7.8.15-RXN	EC-2.7.8.15	ENZRXN-7362	MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS
RXN-8412		ENZRXN-13325;ENZRXN-13324;ENZRXN-13323	PWY-5374
RXN-14434	EC-2.4.1.300	ENZRXN-21670;ENZRXN-21654	PWY-7256
RXN-12575	EC-3.1.1.1	ENZRXN-19469	PWY-6857
PANTETHEINE-KINASE-RXN	EC-2.7.1.34		
TYROSINE-DECARBOXYLASE-RXN	EC-4.1.1.25	ENZRXN-19144;ENZRXN-19143;ENZRXN-13828;ENZRXN-12860;ENZRXN-8562	PWY-6133;PWY-6802;PWY-3581;PWY-5474;PWY-5254
RXN0-1862	EC-2.1.2.13	ENZRXN0-2382	PWY0-1338
ASPARTASE-RXN	EC-4.3.1.1	ASPARTASE-ENZRXN	GLUTDEG-PWY
RXN-11510	EC-1.4.99	ENZRXN-17925;ENZRXN-17923	PWY-6534
RXN-12577	EC-1.1.1	ENZRXN-19472	
2.7.8.17-RXN	EC-2.7.8.17		
RXN-8413		ENZRXN-13340;ENZRXN-13339;ENZRXN-13336	PWY-5375
RXN-14435	EC-3.2.1	ENZRXN-21655	PWY-7256
PANTOATE-4-DEHYDROGENASE-RXN	EC-1.1.1.106		
TYROSINE-ESTER-SULFOTRANSFERASE-RXN	EC-2.8.2.9		
RXN-11511	EC-1.14.12.22	ENZRXN-17933	PWY-6550
RXN0-1863	EC-2.6.1.87	ENZRXN0-2383	PWY0-1338
ASPARTATE--TRNA-LIGASE-RXN	EC-6.1.1.12	ASPS-ENZRXN;ENZRXN-15095;ENZRXN-15094	TRNA-CHARGING-PWY
RXN-12579	EC-3.1.1.3	ENZRXN-19475	PWY-6857
2.7.8.18-RXN	EC-2.7.8.18		
RXN-8414	EC-4.2.3.57	ENZRXN-18550;ENZRXN-16635;ENZRXN-16633;ENZRXN-16627;ENZRXN-16624;ENZRXN-16623;ENZRXN-16616;ENZRXN-16559;ENZRXN-13584;ENZRXN-13331	PWY-6275;PWY-5425
RXN-14436	EC-3.2.1	ENZRXN-21666	PWY-7256
RXN-11513	|EC-1.14.13.bq|	ENZRXN-17955;ENZRXN-20054;ENZRXN-17957;ENZRXN-17956	PWY-6538
PANTOATE-BETA-ALANINE-LIG-RXN	EC-6.3.2.1	PANTOATE-BETA-ALANINE-LIG-ENZRXN;ENZRXN3O-1252;ENZRXN-9681;ENZRXN-9645	PANTO-PWY
TYROSINE-N-MONOOXYGENASE-RXN		ENZRXN-20763;ENZRXN-20759;ENZRXN-12406	PWY-7088;PWY-861;RXN-13187
RXN-12581	EC-1.1.1.105	ENZRXN-19492;ENZRXN-19491	PWY-6872
RXN0-1922	EC-3.2.2.28	ENZRXN0-2462	
ASPARTATE-4-DECARBOXYLASE-RXN	EC-4.1.1.12		
2.7.8.19-RXN	EC-2.7.8.19		
RXN-11516	|EC-1.14.13.br|	ENZRXN-20055;ENZRXN-17944	PWY-6538
RXN-8415	EC-4.2.3.104	ENZRXN-18549;ENZRXN-16625;ENZRXN-16558;ENZRXN-13620;ENZRXN-13333	PWY-6265;PWY-6275
RXN-14437	EC-2.1.1.44		RXN-14431
PANTOTHENASE-RXN	EC-3.5.1.22		
RXN-12582	EC-1.1.1	ENZRXN-19480	
TYROSINE-PHENOL-LYASE-RXN	EC-4.1.99.2		
RXN0-1941	EC-1.1.1	ENZRXN0-2481	
ASPARTATE-N-ACETYLTRANSFERASE-RXN	EC-2.3.1.17		
RXN-11517	|EC-1.14.13.bq|	ENZRXN-20056	PWY-6538
2.7.8.22-RXN	EC-2.7.8.22		
RXN-8416	EC-4.2.3.133	ENZRXN-13625;ENZRXN-13603;ENZRXN-13334	
RXN-14438	EC-2.1.1.44		RXN-14431
RXN-12583			RXN0-1134
PANTOTHENATE-KIN-RXN	EC-2.7.1.33	PANTOTHENATE-KIN-ENZRXN;ENZRXN3O-271;ENZRXN-13305;ENZRXN-12673	PANTO-PWY;PWY-3961
UDP-ARABINOSE-4-EPIMERASE-RXN	EC-5.1.3.5	ENZRXN-75;ENZRXN-69	PWY-63
RXN0-2001	EC-2.4.2.43	ENZRXN0-2541	PWY0-1338
ASPARTATE-RACEMASE-RXN	EC-5.1.1.13	ENZRXN-17592	
RXN-11518	EC-1.14.13.128	ENZRXN-20058;ENZRXN-17954	PWY-6538
RXN-12584	EC-3.9.1	ENZRXN-19827	
2.7.8.23-RXN	EC-2.7.8.23		
RXN-8417	EC-4.2.3.69	ENZRXN-13335	
RXN-14439	EC-2.4.1.299	ENZRXN-21667;ENZRXN-21661	PWY-7259
PANTOTHENOYLCYSTEINE-DECARBOXYLASE-RXN	EC-4.1.1.30		
UDP-GALACTURONATE-DECARBOXYLASE-RXN	EC-4.1.1.67		
RXN-11519		ENZRXN-17941	PWY-6632
RXN0-2022		ENZRXN0-2581;ENZRXN3O-462;ENZRXN3O-465;ENZRXN3O-467	PWY3O-440
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	EC-1.2.1.11	ASP-SEMIALDEHYDE-DEHYDROGENASE-ENZRXN;ENZRXN-18063;ENZRXN-12386;ENZRXN-6803;ENZRXN-3382	PWY-5097;PWY-2942;PWY-2941;DAPLYSINESYN-PWY;PWY-7153;PWY-6562;PWY-6559;HOMOSERSYN-PWY;P101-PWY
RXN-12585	EC-1.2.1.36	ENZRXN-19496;ENZRXN-19494;ENZRXN-19493	PWY-6872
2.7.8.24-RXN	EC-2.7.8.24	ENZRXN-19334	PWY-6826
RXN-8418	EC-4.2.3.79	ENZRXN-13337	
RXN-1444		ENZRXNQT-12535	PWYQT-4476;PWY-601;PWYQT-4477
RXN-11520		ENZRXN-17942	PWY-6632
PCP4MONO-RXN	EC-1.14.13.50	ENZRXN-2201	PCPDEG-PWY
UDP-GLUCOSAMINE-EPIMERASE-RXN	EC-5.1.3.16		
RXN-12587	EC-2.8.1.7	ENZRXN-19524;ENZRXN3O-10843;ENZRXN-19525	RXN-12588
RXN0-2023		ENZRXN0-2584	
ASPARTATEKIN-RXN	EC-2.7.2.4	ASPARTATEKINIII-ENZRXN;ASPARTATEKINI-ENZRXN;ASPARTATEKINII-ENZRXN;ENZRXN-12385;ENZRXN-6802;ENZRXN-6801;ENZRXN-6721;ENZRXN-3381	PWY-5097;PWY-2942;PWY-2941;DAPLYSINESYN-PWY;PWY-7153;PWY-6562;PWY-6559;HOMOSERSYN-PWY;P101-PWY
2.7.8.25-RXN	EC-2.4.2.52	ENZRXN-1;ENZRXN-15380	PWY-5796;P2-PWY
RXN-11521		ENZRXN-17943	PWY-6632
RXN-8419	EC-4.2.3	ENZRXN-13341	
RXN-14440	EC-2.4.1.300	ENZRXN-21656	PWY-7259
PDXJ-RXN	EC-2.6.99.2	PDXJ-ENZRXN	PYRIDOXSYN-PWY
RXN-12590			RXN-11322
UDP-GLUCOSE-46-DEHYDRATASE-RXN	EC-4.2.1.76	ENZRXN-13058	PWY-3261
RXN0-2042	EC-1.14.13.149	ENZRXN0-2601;ENZRXN-18271	PWY0-321
ASPARTOACYLASE-RXN	EC-3.5.1.15	ENZRXN66-2169	
RXN-11522		ENZRXN-17939	PWY-6633
2.7.8.27-RXN	EC-2.7.8.27	ENZRXN3DJ-8252;ENZRXN3DJ-96	PWY-7277;PWY3DJ-11281
RXN-8421	EC-4.2.3	ENZRXN-13342	
RXN-14441	EC-2.4.1.299	ENZRXN-21668;ENZRXN-21662	PWY-7260
RXN-12591			PWY-6824
