id	name	parent_id	level	external_id	ec_id	child_count	level_backup
2	Alanine Biosynthesis	27	level 1	ALANINE-SYN		0	super-pathway
3	Arginine Biosynthesis	27	level 1	ARGININE-SYN		0	super-pathway
4	Asparagine Biosynthesis	27	level 1	ASPARAGINE-SYN		0	super-pathway
5	Aspartate Biosynthesis	27	level 1	ASPARTATE-SYN		0	super-pathway
6	&beta; Alanine Biosynthesis	27	level 1	Beta-Alanine-Biosynthesis		0	super-pathway
7	Cysteine Biosynthesis	27	level 1	CYSTEINE-SYN		0	super-pathway
8	Glutamate Biosynthesis	27	level 1	GLUTAMATE-SYN		0	super-pathway
9	Glutamine Biosynthesis	27	level 1	GLUTAMINE-SYN		0	super-pathway
10	Glycine Biosynthesis	27	level 1	GLYCINE-SYN		0	super-pathway
11	Histidine Biosynthesis	27	level 1	HISTIDINE-SYN		0	super-pathway
12	Isoleucine Biosynthesis	27	level 1	ISOLEUCINE-SYN		0	super-pathway
13	Leucine Biosynthesis	27	level 1	LEUCINE-SYN		0	super-pathway
14	Lysine Biosynthesis	27	level 1	LYSINE-SYN		0	super-pathway
15	<i>S</i>-adenosyl-L-methionine cycle	16	level 1	S-adenosyl-L-methionine-cycle		0	super-pathway
16	Methionine Biosynthesis	27	level 1	METHIONINE-SYN		0	super-pathway
17	Citrulline-Biosynthesis	18	level 1	Citrulline-Biosynthesis		0	super-pathway
18	Other Amino Acid Biosynthesis	27	level 1	Other-Amino-Acid-Biosynthesis		0	super-pathway
19	Phenylalanine Biosynthesis	27	level 1	PHENYLALANINE-SYN		0	super-pathway
20	Proline Biosynthesis	27	level 1	PROLINE-SYN		0	super-pathway
21	Selenocysteine Biosynthesis	27	level 1	Selenocysteine-Biosynthesis		0	super-pathway
22	Serine Biosynthesis	27	level 1	SERINE-BIOSYNTHESIS		0	super-pathway
23	Threonine Biosynthesis	27	level 1	THREONINE-BIOSYNTHESIS		0	super-pathway
24	Tryptophan Biosynthesis	27	level 1	TRYPTOPHAN-BIOSYNTHESIS		0	super-pathway
25	Tyrosine Biosynthesis	27	level 1	TYROSINE-SYN		0	super-pathway
26	Valine Biosynthesis	27	level 1	VALINE-BIOSYNTHESIS		0	super-pathway
27	Individual Amino Acids Biosynthesis	28	level 2	IND-AMINO-ACID-SYN		0	level 2
28	Amino Acids Biosynthesis	223	super-pathway	Amino-Acid-Biosynthesis		0	super-pathway
29	Aminoacyl-tRNA Charging	223	super-pathway	Aminoacyl-tRNAs-Charging		0	super-pathway
30	3-Dehydroquinate Biosynthesis	33	level 1	3-Dehydroquinate-Biosynthesis		0	super-pathway
31	4-Hydroxybenzoate Biosynthesis	33	level 1	4-Hydroxybenzoate-Biosynthesis		0	super-pathway
32	Chorismate Biosynthesis	33	level 1	Chorismate-Biosynthesis		0	super-pathway
33	Aromatic Compounds Biosynthesis	223	super-pathway	AROMATIC-COMPOUNDS-BIOSYN		0	super-pathway
34	Gluconeogenesis	42	level 1	Gluconeogenesis		0	super-pathway
35	Sorbitol Biosynthesis	36	level 1	Sorbitol-Biosynthesis		0	super-pathway
36	Sugar Alcohols Biosynthesis	42	level 1	Sugar-Alcohols-Biosynthesis		0	super-pathway
