2.7.9.2	R00199	ATP:pyruvate,water phosphotransferase
2.3.1.9	R00238	Acetyl-CoA:acetyl-CoA C-acetyltransferase
1.1.1.37	R00342	(S)-malate:NAD+ oxidoreductase
1.1.1.299	R00342	(S)-malate:NAD+ oxidoreductase
4.1.1.31	R00345	phosphate:oxaloacetate carboxy-lyase (adding phosphate;phosphoenolpyruvate-forming);
6.2.1.5	R00405	Succinate:CoA ligase (ADP-forming)
4.2.1.2	R01082	(S)-malate hydro-lyase (fumarate-forming)
1.2.7.1	R01196	pyruvate:ferredoxin 2-oxidoreductase (CoA-acetylating)
1.1.1.35	R01975	(S)-3-Hydroxybutanoyl-CoA:NAD+ oxidoreductase
1.3.5.1	R02164	succinate:quinone oxidoreductase
1.3.5.4	R02164	succinate:quinone oxidoreductase
4.2.1.17	R03026	(S)-3-hydroxybutanoyl-CoA hydro-lyase
6.2.1.40	R09279	4-hydroxybutanoate:CoA ligase (AMP-forming)
1.2.1.76	R09280	succinate-semialdehyde:NADP+ oxidoreductase (CoA-acylating)
1.1.1.-	R09281	4-hydroxybutanoate:NADP+ oxidoreductase
4.2.1.120	R10782	4-hydroxybutanoyl-CoA hydro-lyase
