1.2.1.43	R00134	formate:NADP+ oxidoreductase
6.3.4.3	R00943	Formate:tetrahydrofolate ligase (ADP-forming)
1.5.1.5	R01220	5,10-methylenetetrahydrofolate:NADP+ oxidoreductase
3.5.4.9	R01655	5,10-Methenyltetrahydrofolate 5-hydrolase (decyclizing)
2.1.1.258	R02289	5-methyltetrahydrofolate:corrinoid/iron-sulfur protein methyltransferase
1.2.7.4	R07157	carbon-monoxide,water:ferredoxin oxidoreductase
1.2.99.2	R07157	carbon-monoxide,water:ferredoxin oxidoreductase
1.5.1.20	R07168	5-methyltetrahydrofolate:NAD+ oxidoreductase
2.3.1.169	R08433	acetyl-CoA:corrinoid protein O-acetyltransferase
2.1.1.258	R10243	
2.3.1.169	R10243	
