TIGR00001	ribosomal protein L35
TIGR00002	ribosomal protein S16
TIGR00003	copper ion binding protein
TIGR00004	reactive intermediate/imine deaminase
TIGR00005	pseudouridine synthase, RluA family
TIGR00006	16S rRNA (cytosine(1402)-N(4))-methyltransferase
TIGR00007	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase
TIGR00008	translation initiation factor IF-1
TIGR00009	ribosomal protein L28
TIGR00010	hydrolase, TatD family
TIGR00011	Cys-tRNA(Pro) deacylase
TIGR00012	ribosomal protein L29
TIGR00013	4-oxalocrotonate tautomerase family enzyme
TIGR00014	arsenate reductase (glutaredoxin)
TIGR00016	acetate kinase
TIGR00017	cytidylate kinase
TIGR00018	pantoate--beta-alanine ligase
TIGR00019	peptide chain release factor 1
TIGR00020	peptide chain release factor 2
TIGR00021	ribose 5-phosphate isomerase A
TIGR00022	YhcH/YjgK/YiaL family protein
TIGR00023	acyl-phosphate glycerol 3-phosphate acyltransferase
TIGR00024	putative phosphoesterase
TIGR00025	ABC transporter efflux protein, DrrB family
TIGR00026	deazaflavin-dependent oxidoreductase, nitroreductase family
TIGR00027	methyltransferase, TIGR00027 family
TIGR00028	toxin-antitoxin system PIN domain toxin
TIGR00029	ribosomal protein S20
TIGR00030	ribosomal protein S21
TIGR00031	UDP-galactopyranose mutase
TIGR00032	argininosuccinate synthase
TIGR00033	chorismate synthase
TIGR00034	3-deoxy-7-phosphoheptulonate synthase
TIGR00035	aspartate racemase
TIGR00036	4-hydroxy-tetrahydrodipicolinate reductase
TIGR00037	translation elongation factor IF5A
TIGR00038	translation elongation factor P
TIGR00039	6-pyruvoyl tetrahydropterin synthase/QueD family protein
TIGR00040	phosphodiesterase, MJ0936 family
TIGR00041	dTMP kinase
TIGR00042	non-canonical purine NTP pyrophosphatase, RdgB/HAM1 family
TIGR00043	probable rRNA maturation factor YbeY
TIGR00044	pyridoxal phosphate enzyme, YggS family
TIGR00045	glycerate kinase
TIGR00046	RNA methyltransferase, RsmE family
TIGR00048	23S rRNA (adenine(2503)-C(2))-methyltransferase
TIGR00049	iron-sulfur cluster assembly accessory protein
TIGR00050	RNA methyltransferase, TrmH family, group 1
TIGR00051	acyl-CoA thioester hydrolase, YbgC/YbaW family
TIGR00052	nudix-type nucleoside diphosphatase, YffH/AdpP family
TIGR00053	addiction module toxin component, YafQ family
TIGR00054	RIP metalloprotease RseP
TIGR00055	di-trans,poly-cis-decaprenylcistransferase
TIGR00056	ABC transport permease subunit
TIGR00057	tRNA threonylcarbamoyl adenosine modification protein, Sua5/YciO/YrdC/YwlC family
TIGR00058	hemerythrin family non-heme iron protein
TIGR00059	ribosomal protein L17
TIGR00060	ribosomal protein L18
TIGR00061	ribosomal protein L21
TIGR00062	ribosomal protein L27
TIGR00063	GTP cyclohydrolase I
TIGR00064	signal recognition particle-docking protein FtsY
TIGR00065	cell division protein FtsZ
TIGR00066	gamma-glutamyltransferase
TIGR00067	glutamate racemase
TIGR00068	lactoylglutathione lyase
TIGR00069	histidinol dehydrogenase
TIGR00070	ATP phosphoribosyltransferase
TIGR00071	tRNA pseudouridine(38-40) synthase
TIGR00072	hydrogenase maturation protease
TIGR00073	hydrogenase accessory protein HypB
TIGR00074	hydrogenase assembly chaperone HypC/HupF
TIGR00075	hydrogenase expression/formation protein HypD
TIGR00077	signal peptidase II
TIGR00078	nicotinate-nucleotide diphosphorylase (carboxylating)
TIGR00079	peptide deformylase
TIGR00080	protein-L-isoaspartate O-methyltransferase
TIGR00081	phosphoribosylaminoimidazolesuccinocarboxamide synthase
TIGR00082	ribosome-binding factor A
TIGR00083	riboflavin biosynthesis protein RibF
TIGR00084	Holliday junction DNA helicase RuvA
TIGR00086	SsrA-binding protein
TIGR00087	5'/3'-nucleotidase SurE
TIGR00088	tRNA (guanine(37)-N(1))-methyltransferase
TIGR00089	radical SAM methylthiotransferase, MiaB/RimO family
TIGR00090	ribosome silencing factor
TIGR00091	tRNA (guanine-N(7)-)-methyltransferase
TIGR00092	GTP-binding protein YchF
TIGR00093	pseudouridine synthase
TIGR00094	tRNA pseudouridine synthase, TruD family
TIGR00095	16S rRNA (guanine(966)-N(2))-methyltransferase RsmD
TIGR00096	16S rRNA (cytidine(1402)-2'-O)-methyltransferase
TIGR00097	hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase
TIGR00099	Cof-like hydrolase
TIGR00100	hydrogenase nickel insertion protein HypA
TIGR00101	urease accessory protein UreG
TIGR00103	DNA-binding protein, YbaB/EbfC family
TIGR00104	tRNA-Thr(GGU) m(6)t(6)A37 methyltransferase TsaA
TIGR00105	ribosomal protein L31
TIGR00106	uncharacterized protein, MTH1187 family
TIGR00107	purine nucleoside phosphorylase
TIGR00109	ferrochelatase
TIGR00110	dihydroxy-acid dehydratase
TIGR00111	mRNA surveillance protein pelota
TIGR00112	pyrroline-5-carboxylate reductase
TIGR00113	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
TIGR00114	6,7-dimethyl-8-ribityllumazine synthase
TIGR00115	trigger factor
TIGR00116	translation elongation factor Ts
TIGR00117	aconitate hydratase 2
