Target	CorrelatedName	Correlation	orig_name	Source	Formula	ChemName
nmndf_nrcp_POS_00284.2068460.1:		NA	NA_NA	NA	NA	NA
	nmndf_nrcp_POS_00284.2068460.1	1	POS_00284.2068460.1	NA	NA	NA
	nmndf_log_POS_00281.1595460	0.92918	POS_00281.1595460	serum	C12 H24 O7	
	nmndf_nrcp_POS_00297.1909660	0.91113	POS_00297.1909660	serum	C13 H28 O7	
	nmndf_nrcp_POS_00314.2174660	0.9089	POS_00314.2174660	serum	C14 H27 N5 O3	
	nmndf_nrcp_POS_00289.1622360	0.9065	POS_00289.1622360	serum	C10 H20 N6 O4	
	nmndf_nrcp_POS_00175.0964560	0.90491	POS_00175.0964560	serum	C8 H14 O4	Subericacid
	nmndf_orig_POS_00239.1488360	0.90479	POS_00239.1488360	serum	C10 H22 O6	
	nmndf_orig_POS_00237.1332260	0.89473	POS_00237.1332260	serum	C10 H20 O6	
	nmndf_orig_POS_00193.1070560	0.89267	POS_00193.1070560	serum	C8 H16 O5	
	nmndf_nrcp_POS_00328.2331360	0.88779	POS_00328.2331360	serum	C15 H29 N5 O3	
	nmndf_orig_POS_00163.0964260	0.88699	POS_00163.0964260	serum	C7 H14 O4	
	nmndf_nrcp_POS_00269.1594660	0.88502	POS_00269.1594660	serum	C11 H24 O7	
	nmndf_nrcp_POS_00413.2382860	0.88224	POS_00413.2382860	serum	C18 H36 O10	
	nmndf_orig_POS_00372.2594160	0.88079	POS_00372.2594160	serum	C17 H33 N5 O4	
	nmndf_orig_POS_00369.2121160	0.88064	POS_00369.2121160	serum	C17 H28 N4 O5	
	nmndf_nrcp_POS_00282.1911660	0.87923	POS_00282.1911660	serum	C12 H27 N O6	
	nmndf_nrcp_POS_00251.1489260	0.87849	POS_00251.1489260	serum	C11 H22 O6	
	nmndf_nrcp_POS_00283.1750860	0.87571	POS_00283.1750860	serum	C12 H26 O7	
	nmndf_orig_POS_00269.1383060	0.87247	POS_00269.1383060	serum	C14 H20 O5	
	nmndf_orig_POS_00287.1466060	0.87095	POS_00287.1466060	serum	C10 H18 N6 O4	
	nmndf_nrcp_POS_00237.1332660	0.86538	POS_00237.1332660	serum	C10 H20 O6	
	nmndf_nrcp_POS_00253.1645260	0.86345	POS_00253.1645260	serum	C6 H21 N8 O P	
