Target	CorrelatedName	Correlation	orig_name	Source	Formula	ChemName	[edits] DBChemName
nmndf_nrcp_POS_00284.2068460.1:		NA	NA_NA	NA	NA	NA	
	nmndf_nrcp_POS_00284.2068460.1	1	POS_00284.2068460.1	NA	NA	NA	
	nmndf_log_POS_00281.1595460	0.92918	POS_00281.1595460	serum	C12 H24 O7		[1] C12H24O6: 1,4,7,10,13,16-Hexaoxacyclooctadecane
	nmndf_nrcp_POS_00297.1909660	0.91113	POS_00297.1909660	serum	C13 H28 O7		[0] C13H28O7: Hexaethylene glycol monomethyl ether
	nmndf_nrcp_POS_00314.2174660	0.9089	POS_00314.2174660	serum	C14 H27 N5 O3		[2] C15H27N5O2: Imidazole-4-carboxylic acid, 5-(3-methyl-3-octyltriazeno)-, ethyl ester
	nmndf_nrcp_POS_00289.1622360	0.9065	POS_00289.1622360	serum	C10 H20 N6 O4		[0] C10H20N6O4: gly-gly-arg
	nmndf_nrcp_POS_00175.0964560	0.90491	POS_00175.0964560	serum	C8 H14 O4	Subericacid	[0] C8H14O4: Mono ethyl adipate;Cyclohexanecarboxylic acid, 3,4-dihydroxy-cis-3, cis-4, methyl ester;2,3-Butanedioldiacetate;1,3-Butanediol, diacetate;Diethyl succinate;1,2-Ethanediol, dipropanoate;1,2-butanediol diacetate;Propanedioic acid, propyl-, dimethyl ester;2,3-butanediol, diacetate, (R*,S*)-;Pentanedioic acid, 3-methyl-, dimethyl ester;Ethylene glycol diglycidyl ether;Bis(1-oxobutyl)peroxide;Sym. dimethyladipic acid;2,5-Dihydroperoxy-2,5-dimethylhex-3-yne;Racemic-2,3-diethylbutanedioic acid;Meso-2,3-diethylbutanedioic acid;3-Propylglutaric acid;Hexanedioic acid, 2,5-dimethyl-;Octanedioic acid;1,3-Propanediol, 2-methyl-, diacetate;2,2-Diethylbutanedioic acid;Propanedioic acid, methyl-, diethyl ester;diisopropyl oxalate;Di-N-propyl oxalate;n-Pentylmalonic acid;Hexanedioic acid, monoethyl ester;Hexanedioic acid, dimethyl ester;1,4-Butanediol, diacetate;Tetramethylbutanedioic acid;Ethyl 2-methyl-1,3-dioxolane-2-acetate
	nmndf_orig_POS_00239.1488360	0.90479	POS_00239.1488360	serum	C10 H22 O6		[0] C10H22O6: HO[CH2CH2O]5H
	nmndf_orig_POS_00237.1332260	0.89473	POS_00237.1332260	serum	C10 H20 O6		[0] C10H20O6: 1,3,6,9,11,14-Hexaoxacyclohexadecane
	nmndf_orig_POS_00193.1070560	0.89267	POS_00193.1070560	serum	C8 H16 O5		[1] C8H16O4: Acetaldehyde, tetramer;Ethanol, 2-(2-ethoxyethoxy)-, acetate;Peroxycarbonic acid, oo-tert-butyl isopropyl ester;1,3,7,9 Tetraoxacyclododecane;12-Crown-4;Acetic acid, diethoxy-, ethyl ester;1,4-Anhydro-2,3,5-tri-O-methyl-D-ribitol;1,5-Anhydro-2,3,4-tri-O-methyl-L-arabinitol;1,5-Anhydro-2,3,4-tri-O-methyl-D-ribitol;3,4,5-Trimethoxy-tetrahydro-pyran
