Target	CorrelatedName	Correlation
nmndf_nrcp_POS_00147.0651360:
	nmndf_nrcp_POS_00147.0651360	1
	nmndf_nrcp_POS_00193.1070360	0.97328
	nmndf_nrcp_POS_00131.0702160	0.97269
	nmndf_nrcp_POS_00370.2698960	0.9667
	nmndf_nrcp_POS_00339.2167660.1	0.96194
	nmndf_nrcp_POS_00087.0440160.1	0.96189
	nmndf_nrcp_POS_00831.5638860	0.95989
	nmndf_nrcp_POS_00087.0440260.1	0.95888
	nmndf_nrcp_POS_00372.2593660	0.95877
	nmndf_nrcp_POS_00103.0389260.2	0.95862
	nmndf_nrcp_POS_00101.0232560	0.95808
	nmndf_nrcp_POS_00369.2121360	0.95709
	nmndf_nrcp_POS_00328.2330960	0.95644
	nmndf_nrcp_POS_00119.0701960	0.95528
	nmndf_nrcp_POS_00251.1488860	0.95444
	nmndf_nrcp_POS_00314.2174060	0.95381
	nmndf_nrcp_POS_00326.2174960.1	0.95225
	nmndf_nrcp_POS_00281.1595060	0.95177
	nmndf_nrcp_POS_00284.2067860	0.95156
	nmndf_nrcp_POS_00241.1282060	0.94878
	nmndf_nrcp_POS_00297.1908660	0.94857
	nmndf_nrcp_POS_00237.1332260	0.94849
	nmndf_nrcp_POS_00259.1151760	0.94657
	nmndf_nrcp_POS_00446.2961460	0.94655
	nmndf_nrcp_POS_00442.2649160	0.94654
	nmndf_nrcp_POS_00337.2011360	0.94622
	nmndf_nrcp_POS_00413.2383260	0.94613
	nmndf_nrcp_POS_00222.1463160	0.94456
	nmndf_nrcp_POS_00356.2433460	0.94433
	nmndf_nrcp_POS_00474.2910860	0.94415
	nmndf_nrcp_POS_00413.2381260	0.94412
	nmndf_nrcp_POS_00297.1907060	0.94406
	nmndf_nrcp_POS_00460.3118360	0.94374
	nmndf_log_POS_00101.0345060	0.94221
	nmndf_nrcp_POS_00460.3118260	0.94168
	nmndf_nrcp_POS_00293.1747260	0.94125
	nmndf_nrcp_POS_00781.3809060	0.94121
	nmndf_nrcp_POS_00358.2437460	0.94076
	nmndf_nrcp_POS_00333.1885160	0.94015
	nmndf_nrcp_POS_00101.0232460	0.94011
	nmndf_nrcp_POS_00237.1332360	0.94002
	nmndf_nrcp_POS_00175.0964460	0.93958
	nmndf_nrcp_POS_00193.1070160	0.93856
	nmndf_nrcp_POS_00457.2645360	0.93834
	nmndf_nrcp_POS_00402.2699360	0.93742
	nmndf_nrcp_POS_00413.2380160	0.93739
	nmndf_nrcp_POS_00372.2593760	0.9365
	nmndf_nrcp_POS_00207.1226960	0.93579
	nmndf_nrcp_POS_00267.1802360	0.93538
	nmndf_nrcp_POS_00201.0392460	0.93526
	nmndf_nrcp_POS_00223.1539560	0.93508
	nmndf_nrcp_POS_00326.2174960	0.93475
	nmndf_nrcp_POS_00284.2068760	0.93461
	nmndf_nrcp_POS_00263.1488760	0.934
	nmndf_nrcp_POS_00721.3902260	0.93293
	nmndf_nrcp_POS_00501.2904360	0.93215
	nmndf_nrcp_POS_00416.2855960	0.93202
	nmndf_nrcp_POS_00325.1858360	0.93018
	nmndf_nrcp_POS_00342.2124160	0.92949
	nmndf_nrcp_POS_00414.2700260	0.92805
	nmndf_log_POS_00319.8739160	0.92722
	nmndf_log_POS_00265.9229760	0.92705
	nmndf_nrcp_POS_00131.0702260	0.92661
	nmndf_nrcp_POS_00197.1536160	0.92608
	nmndf_nrcp_POS_00370.2437760	0.92595
	nmndf_nrcp_POS_00328.2331060	0.9253
	nmndf_log_POS_00235.9123860	0.92525
	nmndf_nrcp_POS_00149.0807960.1	0.92465
	nmndf_nrcp_POS_00263.1490160	0.92363
	nmndf_nrcp_POS_00129.0545660	0.92308
	nmndf_nrcp_POS_00269.1594960	0.92239
	nmndf_nrcp_POS_00243.1954460	0.9219
	nmndf_nrcp_POS_00287.1465560	0.9218
	nmndf_log_POS_00191.9715360	0.92102
	nmndf_nrcp_POS_00235.1176260	0.92097
	nmndf_nrcp_POS_00103.0753160	0.91993
	nmndf_log_POS_00276.1189960	0.91967
	nmndf_nrcp_POS_00623.3962060	0.91967
	nmndf_nrcp_POS_00312.2017560	0.91958
	nmndf_nrcp_POS_00237.1332960	0.91946
	nmndf_nrcp_POS_00175.0964560.1	0.91934
	nmndf_nrcp_POS_00129.0545660.2	0.91931
	nmndf_nrcp_POS_00490.3224560	0.91906
	nmndf_log_POS_00219.0975260.1	0.91727
	nmndf_log_POS_00118.0610660	0.91696
	nmndf_nrcp_POS_00239.1487860	0.91688
	nmndf_nrcp_POS_00253.1645360	0.91616
	nmndf_log_POS_00103.0389260.1	0.91569
	nmndf_nrcp_POS_00503.2809960	0.91483
	nmndf_nrcp_POS_00222.1463260	0.91439
	nmndf_nrcp_POS_00279.1439460	0.91438
	nmndf_nrcp_POS_00313.1857060	0.9133
	nmndf_nrcp_POS_00131.0702260.1	0.9132
	nmndf_nrcp_POS_00135.0842660	0.91238
	nmndf_nrcp_POS_00417.2693860	0.91185
	nmndf_nrcp_POS_00133.0858660	0.91172
	nmndf_nrcp_POS_00347.1678160	0.91169
	nmndf_nrcp_POS_00250.2012260	0.91097
	nmndf_log_POS_00186.1124460.1	0.9108
	nmndf_log_POS_00115.0501360	0.90982
	nmndf_log_POS_00149.0807960	0.90971
	nmndf_nrcp_POS_00414.2700060	0.90968
