GroupID	PGNumber	Actual_SB.mns.LB.mns.Num	swFriendlyStrainName	ClusterMapping	Diet	MiSeqRun	SampleType	RV_end.mns.systolic_pressure_HFD_Mean_STRAIN	PercentageIncrease_STRAIN	PercentageIncrease_STRAIN	RV_Heart_Rate	RV_RAP	RV_End.mns.diastolic_pressure	RV_Maximum_Pressure	RV_End.mns.systolic_pressure	RV_mean_Pressure	RV_Maximum_dP.ovr.dt	RV_Min_dP.ovr.dt	RV_End.mns.diastolic_volume	RV_End.mns.Systolic_volume	RV_Stroke_Volume	RV_Cardiac_Output	RV_Resistance__PVR_Woods_	RV_Resistance__PVR_Dynes_	RV_Contractile_Index	RV_Ejection_Fraction	RV_Stroke_Work	RV_Peak_Power	RV_Peak_Power.ovr.EDV	RV_Ees	RV_Ea	RV_Ees.ovr.Ea	PA_Maximum_Pressure	PA_Min_Pressure	PA_mean_Pressure	PA_Pulse_Pressure	PA_Compliance	PA_RC_time	LV_Heart_Rate	LV_LAP	LV_End.mns.diastolic_pressure	LV_Maximum_Pressure	LV_End.mns.systolic_pressure	LV_mean_Pressure	LV_Maximum_dP.ovr.dt	LV_Min_dP.ovr.dt	LV_End.mns.diastolic_volume	LV_End.mns.Systolic_volume	LV_Stroke_Volume	LV_Cardiac_Output	LV_Resistance__SVR_Woods_	LV_Resistance__SVR_Dynes_	LV_Ejection_Fraction	LV_Contractile_Index	LV_Stroke_Work	LV_Peak_Power	LV_Peak_Power.ovr.EDV	LV_Ees	LV_Ea	LV_Ees.ovr.Ea	AO_Maximum_Pressure	AO_Min_Pressure	AO_mean_Pressure	AO_Pulse_Pressure	AO_Compliance	AO_RC_time	Duration	Weight	RV	LV.pls.S	Tibia	Fulton _RV.ovr.LV.pls.S_	RV.ovr.Tibia	LV.pls.S.ovr.Tibia	RV.ovr.weight	LV.pls.S.ovr.weight
0115.PG064.LB.MST	64	31	AKR_J	BALB_A	HighFat	run_1	LargeBowel	1.381701202	38.2	High	471.2106	1.2678	0.8832	33.1624	19.2593	21.8812	1803	-1610	17.3212	3.716	13.6052	6410	46200	3690000	54.3688	78.5465	288.7353	0.173	0.01	1.9538	1.6384	1.1925	1	0	22.1056	1	13.6052	0.0636	515.7934	0.8832	0.8832	87.8205	44.2593	55.8634	7860	-4920	17.6636	1.0977	16.566	8540	39000	3120000	93.7856	89.4514	0.3024	0.0171	1.2544	5.3159	5.3281	0.9977	NA	NA	57.6333	NA	NA	NA	20	48.44	44.6	112.5	17	0.40	2.62	6.62	0.92	2.32
0115.PG065.LB.MST	65	32	AKR_J	BALB_A	HighFat	run_1	LargeBowel	1.381701202	38.2	High	489.8941	1.5385	1.8946	41.8091	23.9744	27.6013	2538	-2049	35.9315	18.8922	17.0393	8340	36800	2940000	60.7045	47.4215	440.1473	0.4649	0.0129	0.8134	2.9183	0.2787	1	0	27.7259	1	17.0393	0.0613	502.8011	1.8946	1.8946	77.5499	35.812	50.6583	6282	-3876	NA	NA	NA	NA	NA	NA	100	81.006	NA	NA	1.1291	6.6407	5.3593	1.2391	NA	NA	50.9574	NA	NA	NA	20	46.24	45.5	114.8	18.5	0.40	2.46	6.21	0.98	2.48
0115.PG066.LB.MST	66	33	AKR_J	BALB_A	HighFat	run_1	LargeBowel	1.381701202	38.2	High	511.3719	4.6296	1.8803	43.9031	21.3675	29.0372	2780	-2509	34.8741	11.5106	23.3635	11900	23800	1910000	63.4275	66.9939	635.6449	0.6326	0.0181	0.5643	2.1933	0.2573	1	0	29.087	1	23.3635	0.0587	505.626	1.8803	1.8803	100.9544	53.4188	66.3199	8460	-5470	NA	NA	NA	NA	NA	NA	100	83.8167	NA	NA	1.4477	NA	6.0791	NA	NA	NA	66.1704	NA	NA	NA	20	46.87	43.6	124.2	17	0.35	2.56	7.31	0.93	2.65
0115.PG067.LB.MST	67	34	AKR_J	BALB_A	HighFat	run_1	LargeBowel	1.381701202	38.2	High	501.4006	2.9345	0.698	42.037	25.0285	27.4752	2100	-2075	40.4935	17.6569	22.8365	11500	26000	2080000	49.9956	56.3956	620.6069	0.2295	0.0057	0.1949	NA	NA	1	0	27.8741	1	22.8365	0.0598	504.2254	0.698	0.698	96.6524	46.1823	63.4738	7990	-5610	17.7744	1.6012	16.1732	8150	40100	3210000	90.9915	82.6812	0.6834	0.0384	1.2627	0.2117	5.3991	0.0392	NA	NA	63.3741	NA	NA	NA	20	45.41	43.5	109.5	19	0.40	2.29	5.76	0.96	2.41
0115.PG068.LB.MST	68	35	AKR_J	BALB_A	HighFat	run_1	LargeBowel	1.381701202	38.2	High	485.2033	1.5242	1.2251	32.8917	18.661	21.8798	1980	-1760	33.0111	14.572	18.4391	8940	33600	2690000	60.157	55.8572	381.7729	0.3253	0.0099	0.9576	1.8571	0.5157	1	0	21.9296	1	18.4391	0.0619	505.626	1.2251	1.2251	75.7835	38.6752	49.4104	5783	-3490	12.9809	1.3494	11.6314	5880	55100	4410000	89.6043	76.3095	0.2553	0.0197	0.9927	7.74	3.7859	2.0445	NA	NA	49.8093	NA	NA	NA	20	49.17	51.9	117.5	19.5	0.44	2.66	6.03	1.06	2.39
0115.PG069.LB.MST	69	36	AKR_J	BALB_A	HighFat	run_1	LargeBowel	1.381701202	38.2	High	473.6908	NA	1.0541	31.8376	18.0769	19.8734	1790	-1605	38.0363	16.6264	21.4099	10100	NA	NA	56.3694	56.2881	432.272	0.325	0.0085	0.1392	3.071	0.0453	1	0	21.2444	1	21.4099	0.0633	NA	1.0541	1.0541	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	47.05	40.2	116.3	18	0.35	2.23	6.46	0.85	2.47
0115.PG070.LB.MST	70	37	AKR_J	BALB_A	HighFat	run_1	LargeBowel	1.381701202	38.2	High	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	47.5	50.1	114.2	17	0.44	2.95	6.72	1.05	2.40
0115.PG071.LB.MST	71	38	AKR_J	BALB_A	HighFat	run_1	LargeBowel	1.381701202	38.2	High	486.5151	3.3333	1.2393	34.2593	21.2108	21.4474	1960	-1610	63.3031	39.708	23.5952	11500	24100	1930000	57.1427	37.2733	509.1649	0.4211	0.0067	0.7247	1.5562	0.4657	1	0	22.8185	1	23.5952	0.0617	562.511	1.2393	1.2393	99.3447	51.4672	63.753	7280	-5530	26.0624	7.5227	18.5398	10400	34700	2770000	71.136	73.2668	0.8899	0.0341	1.0579	NA	4.8179	NA	NA	NA	65.1241	NA	NA	NA	20	44.14	42	109.1	18.5	0.38	2.27	5.90	0.95	2.47
0115.PG072.LB.MST	72	39	AKR_J	BALB_A	Regular	run_1	LargeBowel	1.381701202	38.2	High	625	2.5641	1.1823	31.4103	15.9829	20.7174	2365	-2110	44.854	11.1581	33.6959	21100	17400	1390000	75.2939	75.1235	666.6502	0.5737	0.0128	0.8984	1.0849	0.8281	1	0	20.9667	1	33.6959	0.048	618.5567	1.1823	1.1823	80.5983	36.1823	52.5151	6800	-5110	13.8872	5.71	8.1772	5060	78500	6280000	58.8833	84.4104	0.3019	0.0217	0.6939	3.4885	9.9601	0.3502	NA	NA	52.9389	NA	NA	NA	20	36.42	33.5	103.5	17	0.32	1.97	6.09	0.92	2.84
0115.PG073.LB.MST	73	40	AKR_J	BALB_A	Regular	run_1	LargeBowel	1.381701202	38.2	High	524.7902	2.8917	1.51	33.3333	17.151	21.9923	2090	-2050	50.7351	23.4441	27.291	14300	21200	1700000	62.83	53.7912	565.1072	0.5934	0.0117	0.5768	1.4704	0.3923	1	0	22.2167	1	27.291	0.0572	543.8758	1.51	1.51	75.6838	34.8718	49.5201	5978	-4270	17.7744	5.6093	12.1652	6620	52400	4190000	68.4419	78.9866	0.5066	0.0285	0.7519	5.1389	3.7216	1.3808	NA	NA	49.7444	NA	NA	NA	20	36.5	40.9	102.5	18	0.40	2.27	5.69	1.12	2.81
