Variable	beta
sqrt_POS_00179.0550060	2.90166975719542
sqrt_POS_00100.9319860	3.68773968221388
sqrt_POS_00141.9585260	166929.941244896
sqrt_POS_00141.9585560	2.72414131869231
sqrt_POS_00233.1747660	2.48027417806967
log_POS_00192.1382760	3.00678032337634
sqrt_POS_00118.9425460	3.123484688963
log_POS_00259.1692660	1.97987819870393
sqrt_POS_00291.1955060	1.76899028832318
log_POS_00144.1382460	2.32228491594276
log_POS_00308.0932960	2.49895298799699
sqrt_POS_00255.1567560	2.31251069354499
log_POS_00267.1719460	1.42664057018224
log_POS_00275.1611360	3.52731379567162
log_POS_00657.3517460	4.66081516886915
log_POS_00110.0712260	1.18081264498256
log_POS_00671.3961060	1.25754951102968
log_POS_00159.0651060	2.28996461011185
log_POS_00276.1593360	4.58601864480104
log_POS_00171.0627160	1.26033755294636
log_POS_00211.1093460	1.41750070469396
log_POS_00336.2018760	1.00998033741573
log_POS_00189.0733460	1.42910329129045
orig_NEG_00138.9405640	4.2359399632256
log_POS_00427.2490560	2.05096730773476
sqrt_POS_00131.9503960	1.42962653807168
log_POS_00196.9439460	2.23499481787068
NEG_00197.8950840	1.70626694358882
sqrt_POS_00159.9691160	2.88234831140785
log_POS_00209.1535860	1.70213715274313
log_POS_00317.6172160	6.26244875554467
log_POS_00223.1539760	0.917958403435088
log_POS_00604.2575160	1245.65288284549
log_POS_00321.6059160	10204.1536801347
log_POS_00302.6323760	14270.9172606069
log_POS_00642.2045860	195.64487956748
log_POS_00657.1691960	17.3455790528548
log_POS_00430.2441760	2.31431623300719
log_POS_00329.0883760	6118.42062267732
log_POS_00126.0548960	0.619205857430493
log_POS_00086.9921060	0.91773319952412
log_POS_00117.9797260	1.69443144100578
log_POS_00140.9507860	0.853496575321792
log_POS_00220.9676360	3.48970377651808
log_POS_00203.0227460	1.33784865086948
log_POS_00555.1495960	0.701056622608273
log_NEG_00191.9949440	2.18855207038093
orig_NEG_00092.0432640	0.733880985094586
orig_POS_00193.9297960	2.93326672242114
log_POS_00401.1781160	10.8507815658477
sqrt_POS_00142.9663860	2.43299254118324
log_NEG_00170.0430340	1.86465108657218
log_POS_00113.0344660	1.68012087941354
log_NEG_00384.1525640	10228.361740472
log_POS_00307.1753160	1.13534265753779
log_POS_00314.2173560	1.05108024994042
log_POS_00521.1181960	1.50181900340005
log_POS_00258.9538760	2.04152002319419
log_POS_00351.1360160	0.997671971511141
log_POS_00084.0807260	1.65160859247532
log_NEG_00227.0676140	2.50083950615288
sqrt_NEG_00112.9856340	1.37512927792797
log_POS_00771.3272860	8571.80061781087
log_NEG_00145.9307540	2.59073106938133
log_POS_00386.1672560	31.5455328074972
sqrt_POS_00228.9701660	2.578848649932
log_POS_00267.1719560	1.49622117334111
POS_00149.9609360	2.03868140001374
log_NEG_00193.0870940	1.10385165753649
log_POS_00110.9874960	4.34209663076719
log_POS_00256.1292860	8.13047188432271
log_POS_01055.5481460	34.0823372237441
log_POS_00387.1512960	5.15684943661028
log_NEG_00273.0730840	2.68800527509529
log_POS_00547.1769260	32.6980600606403
sqrt_POS_00133.0970960	1.78468595111824
log_POS_00242.9494160	1.96521658754047
log_POS_00511.2510760	6.11443893587178
log_POS_00603.3548460	0.73232499294556
log_POS_00211.1093560	1.66321475200593
log_POS_00381.2134360	9.22321004706682
log_NEG_00078.9591140	1.28212936980576
log_NEG_00133.0506240	2.07171568169217
log_POS_00528.2778860	7.3722914661586
log_POS_00938.4330460	8.00263503140809
log_POS_01010.4674660	10.6808458413415
log_POS_00505.7379360	7745.00714817198
sqrt_NEG_00112.9550140	2.24599498419905
log_NEG_00268.9301340	2.42935223712816
NEG_00190.8830240	2.11697774577176
log_POS_00097.0395760	0.983969474543781
log_POS_00523.0976760	1.39601267745582
log_POS_00183.0780060	1.75148041931187
sqrt_POS_00283.0340560	1.94161836347617
sqrt_NEG_00257.9137040	0.982567581317624
log_POS_00154.9416660	1.4625382288432
log_NEG_00229.0119640	2.68498685362583
log_NEG_00082.9720240	2.09119279568676
log_NEG_00257.0282140	11.4821313760353
log_NEG_00385.1366340	6074.3221174647
sqrt_POS_00250.8803460	1.37108678239039
log_POS_00318.9949160	2.12563472935467
log_POS_00351.0216460	3.02189538956024
log_NEG_00144.0050440	1.80972520361681
log_POS_00597.1164960	1.37400744940668
log_POS_00155.0814460	2.49605946251663
log_POS_00444.2443860	0.985740936475143
log_POS_00273.1192860	6604.53297480824
log_POS_00769.3116360	4.81119357613907
log_POS_00179.1277460	1.71550556463475
log_POS_00311.1338260	1.46999693662915
log_NEG_00529.2154940	8.24272353826752
log_NEG_00239.9371740	0.541839289184585
log_POS_00295.1532760	0.578521046398273
log_NEG_00207.9994840	0.349213409151032
log_POS_00385.1594660	4.70489455022874
orig_POS_00778.6411360	2.43005139875398
sqrt_POS_00147.9511460	2.83094012424587
log_NEG_00378.1042240	2.00201216043048
log_NEG_00527.2112740	7.94048030896523
log_POS_00751.4289760	1.09266965073444
log_POS_00383.6719760	5.20079419829501
log_NEG_00241.9206440	3.89398240750152
log_POS_00171.0627860	1.04691862174828
log_NEG_00287.9577640	6.5476719914183
NEG_00154.9283440	2.5126611004063
log_NEG_00147.0662740	2.01201885726947
log_POS_00291.1299060	3.92977029580969
log_POS_00691.2897960	1.07893200092991
log_POS_00346.1484060	3.60537905638078
log_POS_00143.0015860	0.839256816810815
log_POS_00190.0286460	0.717497908039744
sqrt_POS_00090.9476560	1.93373681453506
log_POS_01057.4442560	6.50735125724657
log_POS_00470.2190260	10.9005760114965
log_POS_00206.1386460	0.368731204514722
log_POS_00117.9711160	1.90789602475292
log_POS_00575.2909560	3.78779907844585
log_POS_00173.0784060	0.786015467142197
sqrt_POS_00123.0427060	184003.073385966
log_POS_00254.1135260	4.7094124779311
log_POS_00766.3371860	5.52487226194724
sqrt_POS_00146.9612960	2.09672004281939
log_POS_00316.1141060	4.03837375738841
log_POS_00783.3637760	6.01438486879134
log_POS_00392.1854560	5.84064436140223
log_POS_00089.0596760	0.808473630542196
NEG_00205.9358240	1.45048349291221
log_POS_00271.5966760	5241.8423682061
log_POS_00257.1748060	2.42034456952095
log_POS_00416.8602660	1.70107672978071
sqrt_NEG_00155.0211340	1.5843207862021
log_POS_00542.1860060	32.5730187890404
log_POS_00529.2254760	7.50776209245423
log_POS_00178.0896160	6.60815764732196
log_POS_00332.1917660	2.05473175833062
log_NEG_00635.2795640	6.77927979348142
log_POS_00581.2801060	1.51556300193764
log_NEG_00134.8948340	1.92431566739469
log_POS_00083.0253060	0.829303170452228
log_NEG_00267.0722040	2.65267983249768
log_POS_00529.2366260	5.16584834861981
sqrt_NEG_00199.0109540	1.71158592535708
sqrt_POS_00334.9180860	1.72743834417102
log_POS_00096.0443960	1.493734847381
log_POS_00228.1206060	0.316879347996834
orig_POS_00144.0059360	155925.93847823
log_POS_00213.0482060	2.30471225940139
sqrt_NEG_00155.0210340	1.6676070234694
log_POS_00665.3292660	2739.96217792722
log_NEG_00211.0013140	1.44154525421135
log_NEG_00165.0768240	2.38589784504496
log_POS_00307.9825860	6.22925826739533
log_POS_00236.9386460	4.1079717152026
log_POS_00117.0545760	1.52902524220266
log_NEG_00687.2585940	5.9815984894319
log_POS_00325.9931960	6.38197257045178
log_POS_00199.0325760	2.75701059296063
log_POS_00156.0266860	1.2847981289435
log_POS_01087.5424360	3.7873426276236
sqrt_NEG_00164.9572640	1.48013259199348
log_POS_00333.1683660	139.2120023259
log_POS_00297.1697060	1.27532857329934
log_POS_00222.1124560	4.18745165874859
log_POS_00316.1967360	1.29235389794719
orig_POS_00181.9508160	1.1107916996878
log_POS_00345.1405360	3.65064278155614
log_POS_00508.2517760	5.73552085893161
log_POS_00138.0073160	4.78905016852874
orig_NEG_00160.0306540	1.48101812160924
sqrt_NEG_00196.9470740	1.42133613422224
log_POS_00615.3332360	1.37609654393753
log_POS_00820.2804060	3.58482953765827
log_POS_00120.0290660	0.753070767601244
log_POS_00147.0327660	0.573186545117472
log_POS_00289.9719260	3.89868585693113
log_POS_00410.6437760	3.23317901905562
sqrt_POS_00301.1858460	0.690734740884928
log_NEG_00175.0723140	3.00380759824349
log_NEG_00462.1842740	0.448364612152953
log_POS_00196.6182360	32.3566936416175
log_POS_00689.2738460	4.15011549724314
log_POS_00392.2292660	3892.15856254098
log_POS_00365.1057060	1.12401286926994
log_POS_00526.2623960	2.90563144440865
log_POS_00214.9545460	1.52592769407426
log_POS_00743.3680760	2.17572827103228
log_POS_00308.1704360	1.4433797301942
log_POS_00579.1059960	1.36476434499694
orig_NEG_00246.8637840	217905.517330491
sqrt_POS_00126.9206260	0.858533137529852
log_POS_00751.3739060	7.4608383962464
log_POS_00275.0073760	5.00330420496363
log_POS_00529.2365860	16.4642736678606
sqrt_NEG_00241.8921140	1.55618234314594
log_POS_00247.1176260	1.00199431711555
log_POS_00334.1861960	1.29621158014841
log_POS_00955.4523860	1.78078027903403
log_POS_00358.2437360	1.06879007515125
log_POS_00191.0662460	2.24990981919334
log_POS_00223.1176160	4.84393606747309
log_POS_00132.5889160	31.4692959327549
log_NEG_00238.9290940	1.56246230168646
log_NEG_00287.0088240	5291.3544880566
log_NEG_00200.0565240	2.60308490550612
log_POS_00101.0232660	2.66142949642166
log_POS_00227.2005060	1.14130357990665
log_POS_00169.0184260	5.91545044773634
log_NEG_00140.0118940	1137916.85742911
sqrt_POS_00796.6610660	1.76652647109634
log_POS_00265.1218760	7.26984956924623
POS_00196.0447760	3.08654962304223
log_POS_00299.0617960	2.08417918850232
log_POS_01329.6509260	31.5574292615864
log_NEG_00146.9659140	5.70361995368113
log_NEG_00216.9444940	6197.48436541488
sqrt_POS_00746.6935260	1.55834131526675
log_POS_00256.6086760	7.0600985420286
log_POS_00733.3192760	7.08471886065931
log_POS_00159.0400160	2.58192971727344
log_POS_00307.1243260	14.0604714803499
log_POS_00217.9871660	4531.84485478849
log_POS_00831.3999260	2.04615749768084
