Variable	beta
log_POS_00183.9719660	2.72508338441976
log_POS_00085.0105960	1.90291605176628
POS_00172.0579960	2.33631832073137
log_POS_00821.5709660	2.97925808563034
log_POS_00313.1258560	2.3866080769172
sqrt_NEG_00313.0786040	7.51660517724486
POS_00137.0960460	3.28595091203793
log_POS_00102.0371560	1.95247316524102
log_POS_00239.0890560	4.8486593000185
log_POS_00147.0803860	2.80995304328392
log_NEG_00792.8592540	3.18010394069124
sqrt_NEG_01518.7387440	3.41006321392238
log_POS_00329.1747860	4.10725306731565
POS_00261.6368360	2.81793118405845
POS_00131.0702260	3.60434836262779
POS_00193.1070560	3.12206254352515
orig_POS_00337.1470860	4.00047868707292
log_POS_00103.0389160	3.49116573707051
log_POS_00679.4114760	1.74372161494195
log_NEG_01246.7890140	2.56589606551065
log_NEG_00468.8968340	1.78977740150916
sqrt_NEG_00165.0409140	2.01160597107864
log_NEG_00298.9654040	1.55595401180515
orig_POS_00155.9770360	2.10497725040829
log_NEG_00725.3738740	3.58481054098968
log_NEG_01588.7316040	2.62867458457472
log_NEG_00441.6821040	2.86505546796815
POS_00119.0855060	2.47364774812657
log_POS_00196.0447260	2.58433669993983
log_POS_00092.0674360	4.13156538850828
log_POS_00224.0760360	5.28429248923628
log_NEG_00620.8451040	3.06829804334958
sqrt_POS_00264.0762760	2.47904252558292
POS_00313.1799660	2.24602144240157
NEG_00161.0456240	1.66351073512883
log_POS_00187.0729260	4.96657428953789
log_POS_00283.1304860	2.85555214266621
POS_00195.1226860	4.22752248813399
log_POS_00083.0213860	3.49921483619161
log_NEG_00658.8890940	2.92683905461185
log_POS_00657.3671760	1.89703196283974
POS_00151.0964260	1.57850268015741
log_POS_00311.1642260	5.81145524249325
log_POS_00701.3935260	1.83594575495836
POS_00245.1383360	2.36549517365405
log_NEG_01586.7261640	1.84863066677496
log_NEG_00328.9862140	1.4902306258269
POS_00133.0858760	1.57782637459
log_NEG_00313.1132340	3.11430569468812
log_POS_00696.4380160	1.44362824519581
log_NEG_01382.7640140	4.34825469546741
log_POS_00383.1031960	2.42945697548515
orig_POS_00165.0909860	6.01913934263081
log_NEG_00349.0243240	2.5254023430337
log_POS_00564.3589460	2.47982652270978
NEG_00101.0244940	1.67197189290525
POS_00235.1176160	2.43925251883077
log_POS_00323.0822660	1.3798404929824
log_POS_00547.3325360	2.42628127717217
log_POS_00162.0447460	1.85134865427111
log_POS_00325.2163460	1.81534326225673
log_NEG_01452.7574240	2.22238342068465
log_NEG_00250.9648340	3.86605298166181
sqrt_POS_00527.1452360	1.97850479062254
log_POS_00239.1278260	2.84822337728925
POS_00337.2042560	2.50014767057137
NEG_00073.0295040	1.90871196686321
log_POS_00340.2093760	1.39252284973934
NEG_00453.9262940	2.04050744717735
sqrt_NEG_00589.9007140	1.38708824518978
log_POS_00297.0091660	2.7008159690284
POS_00241.1046560	3.00694236926094
log_NEG_00725.8751040	2.34345667222583
log_POS_00213.1098360	1.82639330152392
NEG_00119.0350140	1.78533595978529
POS_00316.0549560	2.07817777384983
log_POS_00089.0596760	5.16517912856646
sqrt_POS_00355.2148160	2.54712765128404
log_POS_00613.3407560	1.58643050242673
log_POS_00292.0722360	2.3995983232463
log_POS_00315.1150060	1.5441926568698
POS_00233.0995660	2.45935767697381
log_NEG_01587.7294040	2.34225899963941
POS_00473.2899160	3.97782866465604
log_NEG_00308.9942340	1.49825361316328
log_POS_00635.3853560	2.09379549045103
log_POS_00337.7004760	2.20282997016894
log_POS_00351.2003660	1.45994885804062
log_NEG_00097.0296340	1.70621853935208
log_NEG_00552.8582640	1.36940742963569
log_NEG_00199.0338440	2.38153828322879
POS_00164.1070060	2.84324455336281
POS_00191.0914760	2.4245349543723
log_POS_00281.1595460	1.95710246423765
log_POS_00591.3590560	1.7422566569872
log_POS_00189.0467660	2.64124706341112
log_POS_00072.0807160	3.46007328370692
orig_POS_00149.0807960	4.56628941080293
log_POS_00399.2410360	2.17045708123777
log_POS_00296.1831360	1.77531568385026
log_POS_00205.0641360	1.68450174978752
sqrt_POS_00509.1348460	1.64161136229296
log_POS_00506.3243460	3.38990115063698
POS_00199.1306360	3.33553538884975
sqrt_POS_00263.0725260	1.63186451924747
log_POS_00174.0446860	1.33281728306057
log_POS_00674.3937160	1.77159726740497
POS_00103.0389260	1.82886376382411
log_NEG_00604.8712640	2.54602653485053
NEG_00400.9093640	1.73319461118593
log_POS_00258.8993360	6.05328298212105
NEG_00113.0244540	1.92062087395377
log_POS_00416.2676560	2.06620579894385
log_POS_00144.9984460	1.63716314563486
POS_00339.2168160	2.69915278815857
orig_NEG_00143.0351140	1.28216320818004
log_NEG_00688.8324640	1.66895421012178
log_NEG_00213.0494740	3.01253525557665
POS_00142.0500160	2.34793640788854
log_POS_00352.8977160	1.55688415371672
log_POS_00315.0190360	1.64282104713696
log_POS_00222.0352260	2.19339067005763
log_POS_00525.1146760	1.74938095246799
log_POS_00381.0706460	2.57723931135433
log_NEG_00239.0597740	2.1523183195162
POS_00490.2438760	2.39432185129471
log_POS_00472.3122760	10.0627078722532
log_NEG_00521.9137440	1.4462908426356
log_NEG_00281.0370240	2.22116044886314
POS_00133.0858760.1	1.857141116844
POS_00295.1904660	2.43799696575348
NEG_00085.0295740	1.73762593251443
log_POS_00110.0361460	1.53156720015959
