Variable	beta
log_POS_00085.0105960	1.90291605176628
POS_00172.0579960	2.33562834995465
log_POS_00821.5709660	2.97906093790551
log_POS_00313.1258560	2.38666525321668
sqrt_NEG_00313.0786040	7.51311689302321
POS_00137.0960460	3.28505271946033
log_POS_00102.0371560	1.95247316524102
log_POS_00239.0890560	4.8481103198743
log_POS_00147.0803860	2.80991052270913
log_NEG_00792.8592540	3.18010394069124
sqrt_NEG_01518.7387440	3.4113873694648
log_POS_00329.1747860	4.10731041828376
POS_00261.6368360	2.8181531984232
POS_00131.0702260	3.60378846326175
POS_00193.1070560	3.12346073772537
orig_POS_00337.1470860	3.91300521445872
log_POS_00103.0389160	3.49091669492782
log_POS_00679.4114760	1.74369491111542
log_NEG_01246.7890140	2.56548121242796
log_NEG_00468.8968340	1.78977740150916
sqrt_NEG_00165.0409140	2.0119680818869
log_NEG_00298.9654040	1.55611091810272
orig_POS_00155.9770360	2.10444885109285
log_NEG_00725.3738740	3.58481054098968
log_NEG_01588.7316040	2.62867458457472
log_NEG_00441.6821040	2.86562463865076
POS_00119.0855060	2.4724087162292
log_POS_00196.0447260	2.58393519247928
log_POS_00092.0674360	4.13154808343229
log_POS_00224.0760360	5.28275920054069
log_NEG_00620.8451040	3.06831530247762
sqrt_POS_00264.0762760	2.48098910267703
POS_00313.1799660	2.24674116133089
NEG_00161.0456240	1.66439635202499
log_POS_00187.0729260	4.96542567619743
log_POS_00283.1304860	2.85554286148512
POS_00195.1226860	4.22418636692957
log_POS_00083.0213860	3.49810907655263
log_NEG_00658.8890940	2.92683905461185
log_POS_00657.3671760	1.89703196283974
POS_00151.0964260	1.57721174308202
log_POS_00311.1642260	5.81130718693988
log_POS_00701.3935260	1.83594575495836
POS_00245.1383360	2.36488011016913
log_NEG_01586.7261640	1.84837982126559
log_NEG_00328.9862140	1.49013753203858
POS_00133.0858760	1.57735406435084
log_NEG_00313.1132340	3.11382309563014
log_POS_00696.4380160	1.44375174912649
log_NEG_01382.7640140	4.34825469546741
log_POS_00383.1031960	2.42945697548515
orig_POS_00165.0909860	6.02548376567105
log_NEG_00349.0243240	2.52541456988344
log_POS_00564.3589460	2.47887658708505
NEG_00101.0244940	1.6719768810501
POS_00235.1176160	2.43976460599256
log_POS_00323.0822660	1.37988247592148
log_POS_00547.3325360	2.42642311136327
log_POS_00162.0447460	1.85134865427111
log_POS_00325.2163460	1.81532190517927
log_NEG_01452.7574240	2.22238342068465
log_NEG_00250.9648340	3.86612503546625
sqrt_POS_00527.1452360	1.97852508396892
log_POS_00239.1278260	2.84832713406916
POS_00337.2042560	2.500521148886
NEG_00073.0295040	1.90816454200898
log_POS_00340.2093760	1.39252807688571
NEG_00453.9262940	2.04047552607419
sqrt_NEG_00589.9007140	1.38653486832513
log_POS_00297.0091660	2.7008159690284
POS_00241.1046560	3.00729211033256
log_NEG_00725.8751040	2.34345667222583
log_POS_00213.1098360	1.82637915942589
NEG_00119.0350140	1.78486269003021
POS_00316.0549560	2.07812183383898
log_POS_00089.0596760	5.16640404617107
sqrt_POS_00355.2148160	2.54782241808042
log_POS_00613.3407560	1.58652497568945
log_POS_00292.0722360	2.39957345513695
log_POS_00315.1150060	1.5441926568698
POS_00233.0995660	2.45830425470498
log_NEG_01587.7294040	2.34225899963941
POS_00473.2899160	3.97546069554117
log_NEG_00308.9942340	1.49807617565953
log_POS_00635.3853560	2.09379549045103
log_POS_00337.7004760	2.20282997016894
log_POS_00351.2003660	1.45994885804062
log_NEG_00097.0296340	1.70629516675987
log_NEG_00552.8582640	1.36944699742516
log_NEG_00199.0338440	2.3817544931434
POS_00164.1070060	2.84544841905643
POS_00191.0914760	2.42402458584726
log_POS_00281.1595460	1.95735577234159
log_POS_00591.3590560	1.74227146784122
log_POS_00189.0467660	2.64124706341112
log_POS_00072.0807160	3.46007328370692
orig_POS_00149.0807960	4.56228358909042
log_POS_00399.2410360	2.16996458149326
log_POS_00296.1831360	1.77535550417306
log_POS_00205.0641360	1.68455041476232
