SampleID	log_POS_00183.9719660	log_POS_00085.0105960	POS_00172.0579960	log_POS_00821.5709660	log_POS_00313.1258560	sqrt_NEG_00313.0786040	POS_00137.0960460	log_POS_00102.0371560	log_POS_00239.0890560	log_POS_00147.0803860	log_NEG_00792.8592540	sqrt_NEG_01518.7387440	log_POS_00329.1747860	POS_00261.6368360	POS_00131.0702260	POS_00193.1070560	orig_POS_00337.1470860	log_POS_00103.0389160	log_POS_00679.4114760	log_NEG_01246.7890140	log_NEG_00468.8968340	sqrt_NEG_00165.0409140	log_NEG_00298.9654040	orig_POS_00155.9770360	log_NEG_00725.3738740	log_NEG_01588.7316040	log_NEG_00441.6821040	POS_00119.0855060	log_POS_00196.0447260	log_POS_00092.0674360	log_POS_00224.0760360	log_NEG_00620.8451040	sqrt_POS_00264.0762760	POS_00313.1799660	NEG_00161.0456240	log_POS_00187.0729260	log_POS_00283.1304860	POS_00195.1226860	log_POS_00083.0213860	log_NEG_00658.8890940	log_POS_00657.3671760	POS_00151.0964260	log_POS_00311.1642260	log_POS_00701.3935260	POS_00245.1383360	log_NEG_01586.7261640	log_NEG_00328.9862140	POS_00133.0858760	log_NEG_00313.1132340	log_POS_00696.4380160	log_NEG_01382.7640140	log_POS_00383.1031960	orig_POS_00165.0909860	log_NEG_00349.0243240	log_POS_00564.3589460	NEG_00101.0244940	POS_00235.1176160	log_POS_00323.0822660	log_POS_00547.3325360	log_POS_00162.0447460	log_POS_00325.2163460	log_NEG_01452.7574240	log_NEG_00250.9648340	sqrt_POS_00527.1452360	log_POS_00239.1278260	POS_00337.2042560	NEG_00073.0295040	log_POS_00340.2093760	NEG_00453.9262940	sqrt_NEG_00589.9007140	log_POS_00297.0091660	POS_00241.1046560	log_NEG_00725.8751040	log_POS_00213.1098360	NEG_00119.0350140	POS_00316.0549560	log_POS_00089.0596760	sqrt_POS_00355.2148160	log_POS_00613.3407560	log_POS_00292.0722360	log_POS_00315.1150060	POS_00233.0995660	log_NEG_01587.7294040	POS_00473.2899160	log_NEG_00308.9942340	log_POS_00635.3853560	log_POS_00337.7004760	log_POS_00351.2003660	log_NEG_00097.0296340	log_NEG_00552.8582640	log_NEG_00199.0338440	POS_00164.1070060	POS_00191.0914760	log_POS_00281.1595460	log_POS_00591.3590560	log_POS_00189.0467660	log_POS_00072.0807160	orig_POS_00149.0807960	log_POS_00399.2410360	log_POS_00296.1831360	log_POS_00205.0641360
FL10436.0	-7.53865550140296	-7.34260927627231	0.00160563934024173	-7.5770043900335	-9.34143224060445	0.00493092596661692	0.00170034054120032	-7.91254768318276	-8.79010802936859	-6.45238757723177	-4.7150764444374	0.0516595892188928	-6.00457834293269	3.14236492445045e-05	0.000669201747570248	0.00209966754866335	6.6721970951202e-05	-8.11720780453342	-4.70989226314909	-7.66222673444151	-5.1181158606557	0.00521642824562474	-7.47837996480052	0.000221504420439661	-7.19233430913052	-6.55690487857185	-5.0178546873438	0.000428164499234694	-7.09823702612416	-9.60010983132574	-6.63109475956869	-7.55909105238121	0.029628052499635	0.00655353859946858	0.0319840498250212	-7.06619556450482	-7.85556262250539	0.000185791166559423	-6.40696672923801	-7.11954668857947	-7.07664035358215	0.000824115776213605	-5.95018972968142	-7.43804580806905	0.00020498657344395	-5.00075390228161	-6.53298251857326	0.000733318297304869	-4.86572811807707	-4.53954791259923	-5.82794134734618	-4.55720537258461	0.00188574332306244	-7.05404279724152	-5.37179637448041	0.0657897070555293	8.28856880969804e-05	-6.82423368694995	-5.20594520301236	-6.42307519295281	-7.6404498372788	-5.87502111866969	-5.70644188307776	0.0299120181256226	-9.3880268659681	0.000333946997652338	0.0242709854909829	-5.00428903621471	0.00876688746366123	0.083449161655199	-9.87536835217876	0.000110996387597659	-5.87502111866969	-8.45512358750291	0.0574422952206221	0.000245029630612114	-8.38387026392479	0.0267498180461263	-8.35638005134649	-8.21006433824993	-7.0771886130691	0.000394181096393685	-6.07761464999521	0.00298070219737366	-6.02597210085631	-5.31830359982265	-8.32456568377679	-7.39253598945933	-3.4866292861843	-7.46289075902852	-6.48087792741295	0.000554464323207816	3.82033283455796e-05	-5.5362477174578	-5.49355824001593	-5.09124361392139	-2.87182431648344	0.000642237948415014	-6.71113866086284	-5.49798445818269	-8.5183652009387
FL10453.0	-7.63166888206032	-7.18288124078288	0.00167100580669056	-7.62358129691006	-9.0842575529082	0.00473281818679726	0.001769771721129	-7.62326373044167	-8.7118042588555	-6.42602311120413	-4.83697003241248	0.051407023688965	-5.76961867221117	6.56069720039376e-05	0.00065233517751802	0.00207264623077496	5.91753194489433e-05	-8.17529322947812	-4.40967906203339	-7.71231520062149	-5.14000038040306	0.00485938674360394	-7.79166307504909	0.00023750686613664	-7.30815536659956	-6.72731214541689	-5.31794116671214	0.000423652618598998	-7.25775404897914	-9.52773994581248	-6.7159141175469	-7.51255808415359	0.0250287650037795	0.00654332770279464	0.038000087712616	-7.02415890077487	-7.88702414240947	0.000203090565389123	-6.82644224730107	-7.36116131596772	-6.7271600203861	0.000864418771471352	-5.78371276043922	-7.05465846195325	0.000193135800483246	-4.97918987922385	-6.82948301796217	0.000781982975984794	-5.12459912230918	-4.23700470171516	-6.08954001259688	-4.67012672194486	0.0018860974763241	-7.56962618931495	-5.11395709519939	0.0770980309044589	9.35723306495435e-05	-6.99799595533278	-4.93702740945801	-6.62582512026936	-7.55237045733356	-6.20214111726398	-5.69009009399993	0.0296160243221079	-8.99167575670926	0.000483175047599783	0.027811002236789	-4.68492049998488	0.00788098909695466	0.0780922631572208	-9.73666219618845	0.000110150795420986	-6.20214111726398	-8.42004480127239	0.0661089860832282	0.000271890669971369	-8.21401208144809	0.0310594714717649	-8.19998145525611	-9.02014154494829	-7.44832716943793	0.000385844849631803	-6.84629961910312	0.00290357413116379	-6.31759409083862	-4.93182548089537	-8.12881649134356	-7.02869447028154	-3.36606049371728	-7.32323198180007	-6.83882990228718	0.00055349524007681	3.89930425962107e-05	-5.54648172610725	-5.20692823134931	-5.29609364155488	-2.89449519820441	0.000644452925227924	-6.33269342975581	-5.20763646282641	-8.27464655478264
FL10454.0	-7.47429847073601	-7.41498277072894	0.00123480580836636	-7.68990916314136	-9.42858888864036	0.00447585176768972	0.00150262176383346	-7.8677070038613	-8.88282750110524	-6.53960361275443	-5.00239246245898	0.052175411079359	-5.78283371908221	6.56923891124905e-05	0.000593422484911767	0.00187205148950196	6.22139587121335e-05	-8.19832610265304	-4.80318137447541	-7.98593235589052	-5.39756602787304	0.00406711033227205	-7.84881438052949	0.000232916450182863	-7.36739287222559	-6.74493608225884	-5.13319812481452	0.000380212058340249	-7.36619420777044	-9.56225390471533	-6.95046698446046	-7.69116349780633	0.0301482267285779	0.00578959087668645	0.023801499602587	-7.19986009219543	-8.02864478574414	0.000167339404007128	-6.73809474000153	-7.49697707323381	-6.93963198308401	0.000794382987702207	-5.77860492157305	-7.48364986438633	0.000159067427657206	-5.11489267175831	-6.80784444017494	0.000709280420676129	-5.30645392152597	-4.64154448799349	-6.25349616074112	-4.43070123336069	0.00167436740885144	-7.55235361108436	-5.42886965059854	0.0513763019986108	7.85232316392506e-05	-6.87996678549202	-5.26845912677394	-6.46285657988706	-7.71131898108126	-6.36162226775072	-6.02848978361052	0.030340611893076	-9.84050767561144	0.000363934982184916	0.0188219700301012	-5.08941837799049	0.00592717700215548	0.0832447997685905	-10.5142000150484	0.000110827737862688	-6.36162226775072	-8.58299408016359	0.0458703546515431	0.000250058435760608	-8.37051765662229	0.0266335493839491	-8.6387745616654	-8.89409126097035	-7.32894577053928	0.000379385828426781	-6.59950089092818	0.0028220407253041	-6.41904484288483	-5.49425103301463	-8.50457218095305	-7.46672975721675	-3.75849185031863	-7.6516632611905	-7.0886700592147	0.000432372913877457	3.13565413958407e-05	-5.62690966651258	-5.56790014998658	-5.6631752296009	-2.91962208045927	0.000623794984337483	-6.62552789560272	-5.56662547637162	-9.46010198855653
FL10324.0	-7.38992493628393	-7.59502557641212	0.00102345187740613	-7.74939512114114	-9.25092516669944	0.00361473855398198	0.00164995051725301	-8.0079241948695	-8.65806768772479	-6.48192357372794	-5.07931007475404	0.0470411397509884	-5.7125595269159	9.02751822992638e-05	0.000666623558295861	0.00203830219377893	6.16420429734489e-05	-8.19058461056117	-4.9516016879492	-7.80626367174243	-5.38594968929841	0.00408976664172338	-8.09976920783444	0.000234099176350613	-7.54174210940264	-7.05405839578957	-5.27193064290405	0.000381958378327274	-7.30913076667533	-9.42258673042029	-6.94853597415557	-7.83537828569588	0.0324225298611848	0.00645857521208247	0.0270960580631609	-7.14964439954436	-8.6633415314139	0.000194126700871122	-6.83839935327881	-7.03400764084005	-7.22972743991122	0.000864818650507291	-5.71428776939553	-7.6313521378422	0.000185165577838945	-5.18806981885266	-7.02017105389813	0.000765534201350855	-5.09639664519706	-4.79829098592469	-6.28888793134538	-4.4938991782689	0.00171862774908986	-7.64556949323244	-5.59959427353823	0.0580122285724472	9.40036460277073e-05	-6.93498877111914	-5.42758074921247	-6.51589783214343	-7.6219671654371	-6.33978550230566	-5.91128590341602	0.0285758078390571	-9.56278566025683	0.000335069635857447	0.0217544214155014	-5.28364322625201	0.00368464812131282	0.0638358928574087	-10.4732063416951	9.87763020311088e-05	-6.33978550230566	-8.49562575560847	0.0520478211770588	0.00032807698965594	-8.24696145115012	0.0257314642151985	-8.71342274161855	-8.5444248443077	-7.12859164295145	0.000369845549550527	-6.62506276574016	0.00269553310851826	-6.62568524606617	-5.460913607736	-8.72787046572912	-7.6460446133908	-3.62577242843401	-7.77731425907448	-6.76058690841933	0.000510324324382865	3.843334812213e-05	-5.57068535859263	-5.71326883730595	-5.38570240322739	-3.05849371333557	0.000624361042426712	-6.71142547437234	-5.72089163750337	-8.47505883634934
FL10428.0	-7.55073495763518	-7.1804777568173	0.00115409209848461	-7.68674889672308	-9.17159321123923	0.00422940921260517	0.00166794452876534	-7.64086908750968	-8.64430772906592	-6.47705481384477	-4.98271384141346	0.0437443353631606	-6.00971809964161	5.88864999167025e-05	0.000642884000836216	0.00202336475786252	6.30251279381255e-05	-8.21463703699526	-4.65290664923318	-8.17454506407138	-5.28319730788642	0.00391435804431713	-7.77061250926432	5.96499546866147e-05	-7.43004396915812	-7.00201950425541	-5.42947681549163	0.000331459749528261	-7.39384994705493	-9.5667293937228	-6.85597355105505	-7.64222912955894	0.0321816003201165	0.00642337544962357	0.0334194542768823	-7.33229772348709	-8.11136615063377	0.000163911301364112	-6.92114311118019	-7.32714441052154	-7.0676736292851	0.000874141801247015	-6.05194630133846	-7.41337447092048	0.000165166913660994	-5.18428475897794	-6.78908878896943	0.000776308876682404	-5.35128103286169	-4.50586288610561	-6.82230209294971	-4.44830439007184	0.00154330295078901	-7.99829982328452	-5.42003991214735	0.0705328521990127	9.54394260264542e-05	-6.85176934013412	-5.24805651526833	-6.50115465719168	-7.56638733244984	-6.15844477835986	-5.75481923875914	0.0309874132445888	-9.33320175751985	0.000426841584969973	0.0253312747119801	-4.99349072971865	0.00880592500068416	0.0662980593724086	-10.1003094918755	0.00011252834687464	-6.15844477835986	-8.40058800137999	0.0616687002986118	0.000291360294071574	-8.35106094692054	0.028743218772054	-8.4840067460215	-8.12836704032569	-7.74461245802174	0.000366930964205162	-6.47685024550165	0.00270505976287724	-6.14116631086837	-5.168566939713	-8.39964571503505	-7.4018777372368	-3.48133957194346	-7.62041813271892	-6.88197228776571	0.000470821069909023	3.69339778556219e-05	-5.59793110890351	-5.49605748414469	-5.89261959047351	-2.60831571715563	0.000620475222294333	-6.49999593245074	-5.4963345383541	-8.72409596220296
FL10425.0	-7.49011337494162	-7.4634239455967	0.00132958267802398	-7.61990560513424	-9.28576529952412	0.00431651567247302	0.00162164748410396	-7.91966507223749	-8.77640843912101	-6.48504592053248	-5.07774017602578	0.0481971843782946	-5.94709687565227	2.95357577645687e-05	0.000652069070403556	0.00199490892675454	5.73792529749087e-05	-8.21710822160194	-4.53721950927158	-7.99596291604639	-5.65878932588722	0.00588819195258435	-7.98390941105727	0.000197740670780778	-7.56270506747993	-7.03072252983527	-5.34198319430318	0.000380206574249577	-7.42672123306418	-9.5835442293419	-6.85711824589345	-7.79117586149799	0.0278419007754575	0.00610407981440981	0.0219002782431388	-7.21980163310754	-8.18370046785409	0.00018734306154142	-6.88116851067951	-7.36061908656793	-6.80968077493816	0.000868664249114753	-5.96344321845167	-7.27659770724315	0.000185527313996611	-5.1023134520743	-7.08657547151832	0.000779981111140187	-5.42830076209175	-4.41083333156797	-6.00971278399806	-4.59624626772678	0.00167240243105717	-8.11244194631688	-5.20316685861433	0.0460109748810536	9.81865324016958e-05	-6.90010977651841	-5.04533033499758	-6.53194895338171	-7.65562008284596	-6.58236827986107	-5.94002668862775	0.0278419007754575	-9.7088636950965	0.000450197503619724	0.016705441903231	-4.83750251327777	0.00704269130369331	0.0667722083846706	-10.4686583767625	0.000109775572235535	-6.58236827986107	-8.28979899148021	0.0403737002614251	0.000241019473541533	-8.23960221942389	0.0304665130286027	-8.08260287512237	-8.3233220835234	-7.69678562484862	0.000374499069469166	-7.12573825097119	0.00248964737822131	-6.31355374552534	-5.05285901740142	-8.13794254305802	-7.2576478109041	-3.85076354009426	-7.66156233852309	-7.31904869750138	0.000488649590874402	3.51987208445657e-05	-5.58646003367283	-5.20955847370206	-5.67986818557794	-3.0176968664988	0.00066979241734319	-6.28625117869827	-5.2084809716918	-9.25432649224284
FL10479.0	-7.32646547708317	-7.47547945235863	0.000834016765416082	-7.6634245363685	-9.39364488395366	0.00444816571916198	0.00156367293152294	-7.9734771661381	-8.78398743002785	-6.45055636622668	-5.04815647265788	0.0468915373367504	-5.76234859971311	5.40270242293553e-05	0.000642409981028728	0.00202816512026956	5.22194574039855e-05	-8.21578843345824	-4.66912146156082	-7.62089296915084	-5.70386430400865	0.00433549121991548	-7.74855100049913	0.000225519896760481	-7.51551242727234	-7.07656130861089	-5.37855727183709	0.000371083846681932	-7.83006834191845	-9.58447180405736	-6.89315004267826	-8.00458363360955	0.0255408154273432	0.00566112350589115	0.0256046179716075	-7.22054146375895	-8.10199697430521	0.000182159050251333	-7.30743533007274	-7.45781152296318	-7.03914009835309	0.000906137914780885	-5.78961161096912	-7.40490514173125	0.000206897600298852	-5.27409136616092	-7.00900757996702	0.000814097765111702	-5.39784794230862	-4.52669235190311	-6.07487166174419	-4.58072745700767	0.00155742744209277	-7.38515241563745	-5.36439890943664	0.0529465561340284	8.39912230722046e-05	-7.00756083551982	-5.19343417692523	-6.65241057821044	-7.57347808584075	-6.51785697486118	-5.86817736362392	0.0250133435126877	-9.43645849222514	0.000444298515277793	0.0199684981621006	-4.98779310309254	0.00997348710962124	0.0688937296888608	-10.8785129968852	0.000101316472688328	-6.51785697486118	-8.62640709192426	0.0468012949932509	0.000197413843925879	-8.25145699654423	0.0292791376962155	-8.38375753755795	-9.1438122058884	-7.58356817929119	0.000388707723369095	-6.48788231963989	0.00256288530338441	-6.27819601807094	-5.19542141651103	-8.39177984519947	-7.40051701731666	-3.76502282018991	-7.89873932312213	-6.82834144995077	0.000467433615367814	4.46752481307404e-05	-5.5219120924311	-5.37770333166827	-5.14163765228062	-3.12909832848062	0.000689547746057983	-6.47427030191494	-5.37655441609011	-8.62995745134332
FL10558.0	-7.66677446740811	-7.74062798013737	0.00132313865747729	-7.53301937038746	-9.33079206677576	0.00468039423618319	0.0016683792467086	-8.1861662677918	-8.79296881679726	-6.45418733484185	-5.12425240102396	0.0536139354454671	-5.53107193102562	5.56904993286853e-05	0.000631604194464255	0.00202670694004274	6.2792750610116e-05	-8.25271676216666	-4.9900678438334	-7.56838344735542	-5.38568080821123	0.00340564973801778	-8.00506598513396	0.000199841068016614	-7.58115289079081	-7.13990018480238	-5.50852316283475	0.000433635639735231	-7.40856572340588	-9.79541875534405	-6.69320778270537	-7.91607454688578	0.033002700101084	0.00606235428083995	0.0240220424928317	-7.29735011083843	-8.05544634990205	0.000179800746284361	-6.87474496889018	-7.49978321010549	-7.3764399297672	0.00093886929455312	-5.5637264151126	-7.6956671913136	0.000182047925014303	-5.1974121709867	-7.5034681850078	0.000838730176710747	-5.29034147250368	-4.8575053057575	-6.79867543126617	-4.42768629656141	0.00156223681953722	-8.00492971955176	-5.61258404257015	0.0497024944809663	8.00892258717727e-05	-6.91599994793902	-5.45190783264365	-6.56028679115231	-7.62898016040185	-6.52486080203215	-5.91829740764811	0.0315417977488085	-9.38327401690116	0.000504779528531822	0.0180383848321988	-5.34433806511685	0.00571026945947216	0.0641186136810005	-10.2899133750128	0.000110732202596196	-6.52486080203215	-8.53408189943162	0.0432004256458201	0.000219324112735301	-8.2709933398379	0.0315665102930889	-8.76041413950669	-8.45154390969872	-7.59375148503376	0.000409569240970114	-6.64613499470691	0.00273060107744754	-6.57252970092557	-5.53016985163148	-8.80993963961128	-7.71796008288683	-3.80334605648031	-7.68862401341238	-7.29376172409935	0.000473514169830611	3.64939951766017e-05	-5.52966191113306	-5.75608765781298	-5.84299477742259	-2.94664564911695	0.000622067597379458	-6.36916756816042	-5.75197201023277	-9.089745695195
FL10559.0	-7.63184473845504	-7.29374169256794	0.00110495564087136	-7.60025338310259	-9.31227197782001	0.00532234948860119	0.0017832793303639	-7.73012068402075	-8.63535890956745	-6.23570227202362	-4.76544766886315	0.056678229909835	-5.60658944602804	8.00308153986291e-05	0.00070045659701697	0.00210829009528037	6.39394885861089e-05	-8.21203820240423	-4.98486592573077	-7.3015744256589	-5.00563861128363	0.00437215513149792	-7.74980326285616	0.000232553550367022	-7.12905756932902	-6.68794397208545	-4.91463886086252	0.000416523877879363	-7.41434839196356	-9.56778501822923	-6.885370564594	-7.56623093807556	0.0374779696696486	0.00697240248623873	0.030409176349717	-6.99545571917279	-8.04425223492083	0.000220858987592434	-6.38610514080024	-7.25221306129365	-7.32126073838211	0.000964623342354311	-5.62867090643984	-7.75568675157689	0.000221791191328326	-4.9186194393271	-6.54851597072729	0.00085579827909988	-5.21892500098898	-4.83730798830466	-6.02041389638893	-3.9740750384275	0.00194058581442131	-7.42124975050066	-5.6187385662423	0.0636057285198838	9.41137796258351e-05	-6.32536058240487	-5.45151513536408	-5.87886601125566	-7.4878930932004	-6.31621617432176	-5.59801685053566	0.0385952247645093	-9.20646673387884	0.000411151010516088	0.0232541068648399	-5.32930715344323	0.00864058461879766	0.0879045006544431	-10.17293819938	0.000118759530255479	-6.31621617432176	-8.40376225996785	0.0558405220759124	0.000244673597098306	-8.10910081251882	0.0293210434038481	-8.61052549436709	-7.93578713726634	-7.56122249490478	0.000407271352535431	-6.52388773149463	0.00304926477366974	-6.34488589824733	-5.46384641522743	-8.63346052691628	-7.76530833129441	-3.53906439399988	-7.2786925682623	-6.85704396116478	0.000587275802445367	3.52322442524798e-05	-5.50381200774315	-5.72410405566192	-5.31884063431448	-2.82671342417447	0.000612857991850277	-6.41168531295487	-5.72317345877338	-8.52149136698999
FL10560.0	-7.60378455913787	-7.46206813195555	0.00133854486326163	-7.654371160475	-9.38315546214612	0.00490048635732911	0.0016439241257546	-7.93739725604684	-8.7576926737034	-6.44472414189453	-4.7965946792212	0.0494303276943139	-5.88828777887029	7.58744932119474e-05	0.000638471608893742	0.00197682934158349	6.06788321354685e-05	-8.23795939318913	-4.90315141264949	-7.65643005210583	-5.0683344308676	0.00477363986809574	-7.82696402318824	0.000177622393736452	-7.57352344044078	-6.63645278696052	-5.27679373288998	0.00042501438447958	-7.33812017081292	-9.70008189430176	-6.76365147508294	-7.64661494340928	0.0348858587275823	0.00616077075496797	0.0270590622101849	-7.14221818685843	-8.35903528595199	0.000189205030355703	-6.78183342547436	-7.12126953501232	-7.31442646973116	0.000881280457605856	-5.8802273595696	-7.71792987401188	0.000182672825700178	-4.91800166562698	-6.95491426089793	0.000788043054823332	-5.12242252560619	-4.74222824585005	-6.39205799299147	-4.35337040279675	0.00174974883359719	-7.79614918540792	-5.46512279134186	0.0558306018299	8.73459070238196e-05	-6.85551297913021	-5.30196095683307	-6.36202943319549	-7.49246201332383	-6.44680833646551	-5.92150641189586	0.0348858587275823	-9.41654958994328	0.000555942747742429	0.021399357664483	-5.20423522389922	0.00698578887145817	0.0757512113491453	-10.7651356573897	0.000116836436280351	-6.44680833646551	-8.48617058459188	0.0495996963278031	0.000224348929477546	-8.22135625174401	0.032640012881262	-8.49761524153184	-8.24654525375757	-7.54992546645616	0.000389322131378069	-6.61275614588981	0.00276652797816568	-6.3775742534519	-5.47120195846039	-8.669514848986	-7.63473521611713	-3.68701096011292	-7.47873052157819	-6.9471786822343	0.000490030634396216	3.45169909100971e-05	-5.53368298418463	-5.59883055072783	-5.52981771581847	-2.86509685275505	0.000608964804167141	-6.25957945539971	-5.59890661980269	-8.77704109486116
