sample_id	total	P 1.3.8.1	P 5.2.1.8	P 6.5.1.1	N 2.1.1.72	P 1.4.1.2	P 3.1.6.-	P 1.2.7.8	P 3.5.4.4	P 2.8.3.16	P 3.1.13.1	Remaining
PHYLLO09	16376	326	2116	1332	116	104	58	101	66	85	365	11707
PHYLLO10	7124	133	1078	635	92	0	20	35	0	20	251	4860
PHYLLO11	672	0	0	0	0	0	0	0	0	0	0	672
PHYLLO12	4674	0	557	165	34	59	52	0	0	41	168	3598
PHYLLO13	18855	274	2336	819	86	127	78	43	79	74	563	14376
PHYLLO14	11319	223	1251	278	0	82	53	0	61	0	455	8916
PHYLLO15	15515	286	1952	574	87	106	110	64	70	59	451	11756
PHYLLO16	13965	242	1776	633	89	72	67	50	64	58	336	10578
PHYLLO21	18482	339	2354	732	117	152	81	64	69	60	546	13968
PHYLLO22	12691	214	1831	372	77	85	90	30	37	52	420	9483
PHYLLO23	52953	1008	7025	2978	410	315	196	193	193	255	1480	38900
PHYLLO24	14191	229	1959	650	99	74	52	95	38	43	386	10566
PHYLLO25	49877	908	6622	2373	374	297	207	210	188	214	1328	37156
PHYLLO26	35431	704	4762	2061	266	215	88	172	161	194	751	26057
PHYLLO27	40568	847	5165	1782	236	265	145	190	201	129	794	30814
PHYLLO28	44191	906	6018	2719	375	297	126	219	160	223	968	32180
PHYLLO29	12125	213	1594	600	76	67	0	61	78	46	122	9268
