Sample	Description	Region	Type	Day	Infection	unit names	Replicate
01d0_202_V3V5	Day 0  replicate 1 Infected  Nasal Wash Sample for V3V5 region 	V3V5	Wash	0	I	1	1
01d0_65_V1V3	Day 0 replicate 1 Infected  Nasal Wash Sample for V1V3 region 	V1V3	Wash	0	I	1	1
01d0_65_V3V5	Day 0  replicate 2 Infected  Nasal Wash Sample for V3V5 region 	V3V5	Wash	0	I	1	2
01d0_66_V1V3	Day 0 replicate 2 Infected  Nasal Wash Sample for V1V3 region 	V1V3	Wash	0	I	1	2
01d0_66_V3V5	Day 0  replicate 3 Infected  Nasal Wash Sample for V3V5 region 	V3V5	Wash	0	I	1	3
01d1_72_V1V3	Day 1 replicate 1 Infected  Nasal Wash Sample for V1V3 region 	V1V3	Wash	1	I	1	1
01d1_73_V1V3	Day 1 replicate 2 Infected  Nasal Wash Sample for V1V3 region 	V1V3	Wash	1	I	1	2
01d1_73_V3V5	Day 1  replicate 1 Infected  Nasal Wash Sample for V3V5 region 	V3V5	Wash	1	I	1	1
01d1_74_V1V3	Day 1 replicate 3 Infected  Nasal Wash Sample for V1V3 region 	V1V3	Wash	1	I	1	3
01d1_74_V3V5	Day 1  replicate 2 Infected  Nasal Wash Sample for V3V5 region 	V3V5	Wash	1	I	1	2
01d1_75_V3V5	Day 1  replicate 3 Infected  Nasal Wash Sample for V3V5 region 	V3V5	Wash	1	I	1	3
01d2_80_V1V3	Day 2 replicate 1 Infected  Nasal Wash Sample for V1V3 region 	V1V3	Wash	2	I	1	1
01d2_81_V1V3	Day 2 replicate 2 Infected  Nasal Wash Sample for V1V3 region 	V1V3	Wash	2	I	1	2
01d2_81_V3V5	Day 2  replicate 1 Infected  Nasal Wash Sample for V3V5 region 	V3V5	Wash	2	I	1	1
01d2_82_V1V3	Day 2 replicate 3 Infected  Nasal Wash Sample for V1V3 region 	V1V3	Wash	2	I	1	3
01d2_82_V3V5	Day 2 replicate 2 Infected  Nasal Wash Sample for V3V5 region 	V3V5	Wash	2	I	1	2
01d2_83_V3V5	Day 2  replicate 3 Infected  Nasal Wash Sample for V3V5 region 	V3V5	Wash	2	I	1	3
06d0_19_V1V3	Day 0 replicate 1 Uninfected  control Nasal Wash Sample for V1V3 region 	V1V3	Wash	0	U	6	1
06d0_20_V1V3	Day 0 replicate 2 Uninfected  control Nasal Wash Sample for V1V3 region 	V1V3	Wash	0	U	6	2
06d0_20_V3V5	Day 0  replicate 1 Uninfected  control Nasal Wash Sample for V3V5 region 	V3V5	Wash	0	U	6	1
06d0_21_V1V3	Day 0 replicate 3 Uninfected  control Nasal Wash Sample for V1V3 region 	V1V3	Wash	0	U	6	3
06d0_21_V3V5	Day 0 replicate 2 Uninfected  control Nasal Wash Sample for V3V5 region 	V3V5	Wash	0	U	6	2
06d0_22_V3V5	Day 0 replicate 3 Uninfected  control Nasal Wash Sample for V3V5 region 	V3V5	Wash	0	U	6	3
06d1_27_V1V3	Day 1 replicate 1 Uninfected  control Nasal Wash Sample for V1V3 region 	V1V3	Wash	1	U	6	1
06d1_28_V3V5	Day 1 replicate 1 Uninfected  control Nasal Wash Sample for V3V5 region 	V3V5	Wash	1	U	6	1
06d1_29_V1V3	Day 1 replicate 2 Uninfected  control Nasal Wash Sample for V1V3 region 	V1V3	Wash	1	U	6	2
06d1_29_V3V5	Day 1  replicate 2Uninfected  control Nasal Wash Sample for V3V5 region 	V3V5	Wash	1	U	6	2
06d1_30_V3V5	Day 1  replicate 3Uninfected  control Nasal Wash Sample for V3V5 region 	V3V5	Wash	1	U	6	3
06d2_35_V1V3	Day 2 replicate 1 Uninfected  control Nasal Wash Sample for V1V3 region 	V1V3	Wash	2	U	6	1
06d2_36_V3V5	Day 2  replicate 1 Uninfected  control Nasal Wash Sample for V3V5 region 	V3V5	Wash	2	U	6	1
