Compound Group	Compound Name	Compound ID	EC
Amino Acids	N-epsilon-Acetyl-beta-lysine	C03846	2.6.1.65
	N-delta-Acetyl-ornithine	C00437	2.1.3.9
			2.3.1.35
			2.6.1.11
			3.5.1.14
			3.5.1.16
	Alanine	C00041	1.4.1.1
			1.5.1.17
			2.3.1.47
			2.6.1.2
			2.6.1.12
			2.6.1.15
			2.6.1.18
			2.6.1.30
			2.6.1.37
			2.6.1.40
			2.6.1.41
			2.6.1.43
			2.6.1.44
			2.6.1.46
			2.6.1.47
			2.6.1.51
			2.6.1.56
			2.6.1.58
			2.6.1.66
			2.6.1.71
			2.6.1.77
			2.6.1.84
			2.6.1.96
			2.6.1.99
			2.6.1.-
			2.8.1.7
			3.5.1.28
			3.7.1.3
			4.1.1.12
			4.1.1.64
			4.4.1.16
			5.1.1.1
			6.1.1.7
			6.3.2.8
	Ectoine	C06231	4.2.1.108
	hydroxyectoine	C16432	1.14.11.-
	alpha-Glutamate	C00025	1.2.1.88
			1.4.1.2
			1.4.1.3
			1.4.1.4
			1.4.1.13
			1.4.1.14
			1.4.3.11
			1.4.7.1
			1.5.1.9
			1.5.1.10
			1.5.3.18
			1.5.99.5
			2.1.1.21
			2.1.2.5
			2.3.1.1
			2.3.1.14
			2.3.1.35
			2.3.2.2
			2.3.2.-
			2.4.2.14
			2.4.2.-
			2.6.1.1
			2.6.1.2
			2.6.1.3
			2.6.1.4
			2.6.1.5
			2.6.1.6
			2.6.1.7
			2.6.1.8
			2.6.1.9
			2.6.1.11
			2.6.1.13
			2.6.1.16
			2.6.1.17
			2.6.1.19
			2.6.1.22
			2.6.1.23
			2.6.1.24
			2.6.1.26
			2.6.1.27
			2.6.1.29
			2.6.1.33
			2.6.1.34
			2.6.1.36
			2.6.1.38
			2.6.1.39
			2.6.1.40
			2.6.1.42
			2.6.1.44
			2.6.1.48
			2.6.1.49
			2.6.1.52
			2.6.1.55
			2.6.1.57
			2.6.1.59
			2.6.1.65
			2.6.1.67
			2.6.1.68
			2.6.1.72
			2.6.1.75
			2.6.1.76
			2.6.1.79
			2.6.1.80
			2.6.1.81
			2.6.1.82
			2.6.1.83
			2.6.1.85
			2.6.1.86
			2.6.1.87
			2.6.1.89
			2.6.1.90
			2.6.1.92
			2.6.1.93
			2.6.1.94
			2.6.1.95
			2.6.1.98
			2.6.1.102
			2.6.1.103
			2.6.1.104
			2.6.1.-
			2.7.2.11
			2.7.2.13
			3.4.17.21
			3.4.19.9
			3.4.19.13
			3.4.19.14
			3.5.1.2
			3.5.1.38
			3.5.1.55
			3.5.1.65
			3.5.1.68
			3.5.1.87
			3.5.1.94
			3.5.1.96
			3.5.2.9
			3.5.3.8
			4.1.1.15
			4.1.3.27
			4.1.3.-
			4.3.3.6
			5.1.1.3
			5.4.3.9
			5.4.99.1
			6.1.1.17
			6.1.1.24
			6.2.1.39
			6.3.1.2
			6.3.1.6
			6.3.1.11
			6.3.1.17
			6.3.1.18
			6.3.2.2
			6.3.2.12
			6.3.2.17
			6.3.2.18
			6.3.2.31
			6.3.2.32
			6.3.2.33
			6.3.2.34
			6.3.2.41
			6.3.2.42
			6.3.4.2
			6.3.4.12
			6.3.5.1
			6.3.5.2
			6.3.5.3
			6.3.5.4
			6.3.5.5
			6.3.5.6
			6.3.5.7
			6.3.5.9
			6.3.5.10
			6.3.5.11
			6.3.5.-
	alpha/beta-Glutamine	C00064	1.4.1.13
			1.4.1.14
			1.4.7.1
			2.3.1.14
			2.3.1.68
			2.3.2.1
			2.3.2.14
			2.4.2.14
			2.4.2.-
			2.6.1.15
			2.6.1.16
			2.6.1.50
			2.6.1.64
			2.6.1.85
			2.6.1.86
			2.6.1.100
			2.6.1.101
			3.5.1.2
			3.5.1.38
			4.1.3.27
			4.1.3.-
			4.3.3.6
			5.1.1.10
			6.1.1.18
			6.3.1.2
			6.3.4.2
			6.3.5.1
			6.3.5.2
			6.3.5.3
			6.3.5.4
			6.3.5.5
			6.3.5.6
			6.3.5.7
			6.3.5.9
			6.3.5.10
			6.3.5.11
			6.3.5.-
	Glycine betaine	C00719	1.1.3.17
			1.2.1.8
			1.21.4.4
			2.1.1.5
			2.1.1.157
			2.1.1.161
			2.1.1.162
	Proline	C00148	1.5.1.1
			1.5.1.2
			1.5.5.2
			1.5.-.-
			1.14.11.2
			1.14.11.28
			3.4.11.5
			3.5.1.101
			4.3.1.12
			5.1.1.4
			6.1.1.15
			6.3.3.-
Sugars	Sucrose	C00089	1.1.99.13
			2.4.1.4
			2.4.1.5
			2.4.1.7
			2.4.1.9
			2.4.1.10
			2.4.1.13
			2.4.1.82
			2.4.1.99
			2.4.1.125
			2.4.1.166
			2.4.1.167
			2.7.1.69
			3.1.3.24
			3.2.1.10
			3.2.1.20
			3.2.1.22
