OTU	Size	Taxonomy
Otu0001	1470	Bacteria Proteobacteria Gammaproteobacteria Alteromonadales Alteromonadaceae Alishewanella
Otu0002	625	Bacteria
Otu0003	554	Bacteria Proteobacteria Betaproteobacteria Rhodocyclales Rhodocyclaceae
Otu0004	457	Bacteria Gemmatimonadetes Gemmatimonadetes Gemmatimonadales Gemmatimonadaceae Gemmatimonas
Otu0005	401	Bacteria
Otu0006	389	Bacteria Actinobacteria Actinobacteria Solirubrobacterales
Otu0007	387	Bacteria Cyanobacteria_Chloroplast Chloroplast Chloroplast
Otu0008	351	Bacteria Acidobacteria Acidobacteria_Gp1 Granulicella
Otu0009	301	Bacteria Cyanobacteria_Chloroplast Chloroplast Chloroplast
Otu0010	286	Bacteria Actinobacteria Actinobacteria Actinomycetales Pseudonocardiaceae Actinomycetospora
Otu0011	230	Bacteria
Otu0012	196	Bacteria Bacteroidetes Sphingobacteria Sphingobacteriales Cytophagaceae Spirosoma
Otu0013	174	Bacteria Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae
Otu0014	136	Bacteria
Otu0015	119	Bacteria Actinobacteria Actinobacteria
Otu0016	117	Bacteria
Otu0017	107	Bacteria Bacteroidetes Sphingobacteria Sphingobacteriales Cytophagaceae
Otu0018	106	Bacteria
Otu0019	77	Bacteria Firmicutes Clostridia Clostridiales Lachnospiraceae
Otu0020	65	Bacteria Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae Prevotella
Otu0021	65	Bacteria Acidobacteria Acidobacteria_Gp4 Gp4
Otu0022	64	Bacteria
Otu0023	52	Bacteria Bacteroidetes Sphingobacteria Sphingobacteriales Cytophagaceae Siphonobacter
Otu0024	51	Bacteria
Otu0025	51	Bacteria
Otu0026	35	Bacteria Firmicutes Clostridia Clostridiales Ruminococcaceae Fastidiosipila
Otu0027	33	Bacteria Firmicutes Clostridia Clostridiales Clostridiales_Incertae_Sedis_XI Helcococcus
Otu0028	32	Bacteria Firmicutes Negativicutes Selenomonadales Veillonellaceae Selenomonas
Otu0029	25	Bacteria Spirochaetes Spirochaetes Spirochaetales Spirochaetaceae Treponema
Otu0030	24	Bacteria Actinobacteria Actinobacteria Actinomycetales Nocardioidaceae Nocardioides
Otu0031	24	Bacteria Bacteroidetes Bacteroidia Bacteroidales
Otu0032	21	Bacteria Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae Prevotella
Otu0033	21	Bacteria Firmicutes Clostridia Clostridiales Clostridiales_Incertae_Sedis_XIII Mogibacterium
Otu0034	21	Bacteria
Otu0035	20	Bacteria Proteobacteria Gammaproteobacteria Alteromonadales Alteromonadaceae Alishewanella
Otu0036	19	Bacteria Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae Tannerella
Otu0037	18	Bacteria
Otu0038	18	Bacteria Actinobacteria Actinobacteria Actinomycetales Propionibacteriaceae
Otu0039	18	Bacteria Bacteroidetes Sphingobacteria Sphingobacteriales Cytophagaceae Dyadobacter
Otu0040	17	Bacteria Actinobacteria Actinobacteria Actinomycetales Nocardiopsaceae Nocardiopsis
Otu0041	17	Bacteria Firmicutes Negativicutes Selenomonadales Veillonellaceae Veillonella
Otu0042	15	Bacteria Firmicutes Bacilli Bacillales Staphylococcaceae Jeotgalicoccus
Otu0043	14	Bacteria Firmicutes Bacilli Lactobacillales Lactobacillaceae Lactobacillus
Otu0044	14	Bacteria
Otu0045	14	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0046	14	Bacteria Actinobacteria Actinobacteria Actinomycetales Actinomycetaceae Actinomyces
Otu0047	13	Bacteria Actinobacteria Actinobacteria Actinomycetales Nocardiopsaceae Nocardiopsis
Otu0048	13	Bacteria Proteobacteria Gammaproteobacteria Pasteurellales Pasteurellaceae Aggregatibacter
Otu0049	13	Bacteria Firmicutes Clostridia Clostridiales
Otu0050	13	Bacteria
Otu0051	12	Bacteria Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae Prevotella
Otu0052	12	Bacteria Actinobacteria Actinobacteria Actinomycetales Propionibacteriaceae
Otu0053	12	Bacteria Bacteroidetes Sphingobacteria Sphingobacteriales Chitinophagaceae
Otu0054	11	Bacteria Firmicutes Bacilli Bacillales Bacillales_Incertae_Sedis_XII Exiguobacterium
Otu0055	11	Bacteria Synergistetes Synergistia Synergistales Synergistaceae Jonquetella
Otu0056	11	Bacteria Actinobacteria Actinobacteria Actinomycetales Pseudonocardiaceae Actinomycetospora
Otu0057	11	Bacteria Acidobacteria Acidobacteria_Gp1
Otu0058	11	Bacteria Proteobacteria Betaproteobacteria Neisseriales Neisseriaceae Aquaspirillum
Otu0059	11	Bacteria Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae Prevotella
Otu0060	11	Bacteria
Otu0061	10	Bacteria Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae Prevotella
Otu0062	10	Bacteria Proteobacteria
Otu0063	10	Bacteria Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae Prevotella
Otu0064	10	Bacteria Proteobacteria Betaproteobacteria Rhodocyclales Rhodocyclaceae
Otu0065	10	Bacteria
Otu0066	9	Bacteria Bacteroidetes Flavobacteria Flavobacteriales Flavobacteriaceae
Otu0067	9	Bacteria
Otu0068	9	Bacteria Actinobacteria Actinobacteria Actinomycetales Corynebacteriaceae Corynebacterium
Otu0069	9	Bacteria Firmicutes Clostridia Clostridiales Ruminococcaceae
Otu0070	9	Bacteria Firmicutes Bacilli Lactobacillales Aerococcaceae Eremococcus
Otu0071	8	Bacteria Firmicutes Negativicutes Selenomonadales Veillonellaceae Dialister
Otu0072	8	Bacteria Firmicutes Bacilli Bacillales
Otu0073	8	Bacteria Firmicutes Clostridia Clostridiales
Otu0074	8	Bacteria Actinobacteria Actinobacteria Actinomycetales Pseudonocardiaceae Actinomycetospora
Otu0075	8	Bacteria
Otu0076	8	Bacteria
Otu0077	7	Bacteria Actinobacteria Actinobacteria Actinomycetales Actinomycetaceae Actinomyces
Otu0078	7	Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae
Otu0079	7	Bacteria
Otu0080	7	Bacteria Proteobacteria
Otu0081	7	Bacteria
Otu0082	7	Bacteria Proteobacteria Betaproteobacteria Burkholderiales Alcaligenaceae
Otu0083	7	Bacteria
Otu0084	7	Bacteria Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae
Otu0085	7	Bacteria
Otu0086	6	Bacteria Actinobacteria Actinobacteria Actinomycetales Actinomycetaceae Actinomyces
Otu0087	6	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0088	6	Bacteria
Otu0089	6	Bacteria Firmicutes Bacilli Lactobacillales Lactobacillaceae Lactobacillus
Otu0090	6	Bacteria
Otu0091	6	Bacteria Firmicutes Clostridia Clostridiales Ruminococcaceae
Otu0092	6	Bacteria
Otu0093	6	Bacteria Bacteroidetes Flavobacteria Flavobacteriales Flavobacteriaceae
Otu0094	5	Bacteria Proteobacteria Deltaproteobacteria Myxococcales Kofleriaceae Kofleria
Otu0095	5	Bacteria Actinobacteria Actinobacteria
Otu0096	5	Bacteria Bacteroidetes Bacteroidetes_incertae_sedis Ohtaekwangia
Otu0097	5	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0098	5	Bacteria
Otu0099	5	Bacteria
Otu0100	5	Bacteria Proteobacteria Gammaproteobacteria
Otu0101	5	Bacteria
Otu0102	5	Bacteria Firmicutes Clostridia Clostridiales Lachnospiraceae
Otu0103	5	Bacteria Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae Prevotella
Otu0104	5	Bacteria Spirochaetes Spirochaetes Spirochaetales Spirochaetaceae
Otu0105	5	Bacteria Proteobacteria
