Exp_all	type 	sex	species	region	StationID	regionWithStation	Fathoms
14_016_LEM_RS_M_L	LEM	M	red_snapper	Florida	offshore	Florida_offshore	40
14_016_SKM_RS_M_L	SKM	M	red_snapper	Florida	offshore	Florida_offshore	40
16_082_LEM_RG_F_L	LEM	F	red_grouper	Florida	offshore	Florida_offshore	60
16_082_SKM_RG_F_L	SKM	F	red_grouper	Florida	offshore	Florida_offshore	60
23_015_LEM_SH_F_L	LEM	F	southern_hake	East_Louisiana	offshore	East_Louisiana_offshore	100
23_015_SKM_SH_F_L	SKM	F	southern_hake	East_Louisiana	offshore	East_Louisiana_offshore	100
24_038_LEM_SH_F_L	LEM	F	southern_hake	East_Louisiana	offshore	East_Louisiana_offshore	80
24_038_SCR_SH_F_L	SCR	F	southern_hake	East_Louisiana	offshore	East_Louisiana_offshore	80
24_038_SKM_SH_F_L	SKM	F	southern_hake	East_Louisiana	offshore	East_Louisiana_offshore	80
24_061_LEM_KSE_F_L	LEM	F	king_snake_eel	East_Louisiana	offshore	East_Louisiana_offshore	80
24_061_LEM_KSE_F_L_1	LEM	F	king_snake_eel	East_Louisiana	offshore	East_Louisiana_offshore	80
24_061_LEM_KSE_F_L_2	LEM	F	king_snake_eel	East_Louisiana	offshore	East_Louisiana_offshore	80
30_039_LEM_SBS_M_L	LEM	M	sandbar_shark	East_Louisiana	offshore	East_Louisiana_offshore	40
30_039_SCR_SBS_M_L	SCR	M	sandbar_shark	East_Louisiana	offshore	East_Louisiana_offshore	40
30_039_SKM_SBS_M_L	SKM	M	sandbar_shark	East_Louisiana	offshore	East_Louisiana_offshore	40
30_082_LEM_RS_M_L	LEM	M	red_snapper	East_Louisiana	offshore	East_Louisiana_offshore	40
30_082_SCR_RS_M_L	SCR	M	red_snapper	East_Louisiana	offshore	East_Louisiana_offshore	40
30_082_SKM_RS_M_L	SKM	M	red_snapper	East_Louisiana	offshore	East_Louisiana_offshore	40
39_020_LEM_GS_M_L	LEM	M	gulf_smoothhound	West_Louisiana	offshore	West_Louisiana_offshore	60
39_020_SCR_GS_M_L	SCR	M	gulf_smoothhound	West_Louisiana	offshore	West_Louisiana_offshore	60
39_020_SKM_GS_M_L	SKM	M	gulf_smoothhound	West_Louisiana	offshore	West_Louisiana_offshore	60
39_021_LEM_SS_M_L_A	LEM	M	sharksucker	West_Louisiana	offshore	West_Louisiana_offshore	60
39_021_LEM_SS_M_L_B	LEM	M	sharksucker	West_Louisiana	offshore	West_Louisiana_offshore	60
