Sample	OldID	Description	Region	Day	Infection	FerretId
581I_00_V1V3	in_581_0d	Infected Ferret 581 day 0 V1V3 Sample	V1V3	0	I	581I
581I_14_V1V3	in_581_14d	Infected Ferret 581 day 14 V1V3 Sample	V1V3	14	I	581I
581I_01_V1V3	in_581_1d	Infected Ferret 581 day 1 V1V3 Sample	V1V3	1	I	581I
581I_03_V1V3	in_581_3d	Infected Ferret 581 day 3 V1V3 Sample	V1V3	3	I	581I
581I_05_V1V3	in_581_5d	Infected Ferret 581 day 5 V1V3 Sample	V1V3	5	I	581I
581I_07_V1V3	in_581_7d	Infected Ferret 581 day 7 V1V3 Sample	V1V3	7	I	581I
586I_00_V1V3	in_586_0d	Infected Ferret 586 day 0 V1V3 Sample	V1V3	0	I	586I
586I_14_V1V3	in_586_14d	Infected Ferret 586 day 14 V1V3 Sample	V1V3	14	I	586I
586I_01_V1V3	in_586_1d	Infected Ferret 586 day 1 V1V3 Sample	V1V3	1	I	586I
586I_03_V1V3	in_586_3d	Infected Ferret 586 day 3 V1V3 Sample	V1V3	3	I	586I
586I_05_V1V3	in_586_5d	Infected Ferret 586 day 5 V1V3 Sample	V1V3	5	I	586I
586I_07_V1V3	in_586_7d	Infected Ferret 586 day 7 V1V3 Sample	V1V3	7	I	586I
587I_00_V1V3	in_587_0d	Infected Ferret 587 day 0 V1V3 Sample	V1V3	0	I	587I
587I_14_V1V3	in_587_14d	Infected Ferret 587 day 14 V1V3 Sample	V1V3	14	I	587I
587I_01_V1V3	in_587_1d	Infected Ferret 587 day 1 V1V3 Sample	V1V3	1	I	587I
587I_03_V1V3	in_587_3d	Infected Ferret 587 day 3 V1V3 Sample	V1V3	3	I	587I
587I_05_V1V3	in_587_5d	Infected Ferret 587 day 5 V1V3 Sample	V1V3	5	I	587I
587I_07_V1V3	in_587_7d	Infected Ferret 587 day 7 V1V3 Sample	V1V3	7	I	587I
588I_00_V1V3	in_588_0d	Infected Ferret 588 day 0 V1V3 Sample	V1V3	0	I	588I
588I_14_V1V3	in_588_14d	Infected Ferret 588 day 14 V1V3 Sample	V1V3	14	I	588I
588I_01_V1V3	in_588_1d	Infected Ferret 588 day 1 V1V3 Sample	V1V3	1	I	588I
588I_03_V1V3	in_588_3d	Infected Ferret 588 day 3 V1V3 Sample	V1V3	3	I	588I
588I_05_V1V3	in_588_5d	Infected Ferret 588 day 5 V1V3 Sample	V1V3	5	I	588I
588I_07_V1V3	in_588_7d	Infected Ferret 588 day 7 V1V3 Sample	V1V3	7	I	588I
589I_00_V1V3	in_589_0d	Infected Ferret 589 day 0 V1V3 Sample	V1V3	0	I	589I
589I_14_V1V3	in_589_14d	Infected Ferret 589 day 14 V1V3 Sample	V1V3	14	I	589I
589I_01_V1V3	in_589_1d	Infected Ferret 589 day 1 V1V3 Sample	V1V3	1	I	589I
589I_03_V1V3	in_589_3d	Infected Ferret 589 day 3 V1V3 Sample	V1V3	3	I	589I
589I_05_V1V3	in_589_5d	Infected Ferret 589 day 5 V1V3 Sample	V1V3	5	I	589I
589I_07_V1V3	in_589_7d	Infected Ferret 589 day 7 V1V3 Sample	V1V3	7	I	589I
595I_00_V1V3	in_595_0d	Infected Ferret 595 day 0 V1V3 Sample	V1V3	0	I	595I
595I_14_V1V3	in_595_14d	Infected Ferret 595 day 14 V1V3 Sample	V1V3	14	I	595I
595I_01_V1V3	in_595_1d	Infected Ferret 595 day 1 V1V3 Sample	V1V3	1	I	595I
595I_03_V1V3	in_595_3d	Infected Ferret 595 day 3 V1V3 Sample	V1V3	3	I	595I
595I_05_V1V3	in_595_5d	Infected Ferret 595 day 5 V1V3 Sample	V1V3	5	I	595I
595I_07_V1V3	in_595_7d	Infected Ferret 595 day 7 V1V3 Sample	V1V3	7	I	595I
596I_00_V1V3	in_596_0d	Infected Ferret 596 day 0 V1V3 Sample	V1V3	0	I	596I
