sample_id	condition
147406386_Stool	Condition1
158013734_Stool	Condition1
158114885_Stool	Condition1
158155345_Stool	Condition1
158216035_Stool	Condition1
158236265_Stool	Condition1
158256496_Stool	Condition1
158276726_Stool	Condition1
158337416_Stool	Condition1
158357646_Stool	Condition1
158398106_Stool	Condition1
158418336_Stool	Condition1
158438567_Stool	Condition1
158458797_Stool	Condition1
158479027_Stool	Condition1
158499257_Stool	Condition1
158721788_Stool	Condition1
158742018_Stool	Condition1
158802708_Stool	Condition1
158822939_Stool	Condition1
158883629_Stool	Condition1
158924089_Stool	Condition1
158944319_Stool	Condition1
158964549_Stool	Condition1
158984779_Stool	Condition1
159005010_Stool	Condition1
159025240_Stool	Condition1
159085930_Stool	Condition1
159146620_Stool	Condition1
159166850_Stool	Condition1
159207311_Stool	Condition1
159227541_Stool	Condition1
159247771_Stool	Condition1
159268001_Stool	Condition1
159288231_Stool	Condition1
159308461_Stool	Condition1
159328691_Stool	Condition1
159369152_Stool	Condition1
159389382_Stool	Condition1
159429842_Stool	Condition1
159450072_Stool	Condition1
159470302_Stool	Condition1
159490532_Stool	Condition1
159510762_Stool	Condition1
159551223_Stool	Condition1
159571453_Stool	Condition1
159591683_Stool	Condition1
159611913_Stool	Condition1
159632143_Stool	Condition1
159672603_Stool	Condition1
159713063_Stool	Condition1
159733294_Stool	Condition1
159753524_Stool	Condition1
159814214_Stool	Condition1
159915365_Stool	Condition1
160016515_Stool	Condition1
160036745_Stool	Condition1
160056975_Stool	Condition1
160097436_Stool	Condition1
160137896_Stool	Condition1
160158126_Stool	Condition1
160178356_Stool	Condition1
160218816_Stool	Condition1
160239046_Stool	Condition1
160259276_Stool	Condition1
160319967_Stool	Condition1
160380657_Stool	Condition1
160400887_Stool	Condition1
160421117_Stool	Condition1
160441347_Stool	Condition1
160461578_Stool	Condition1
160481808_Stool	Condition1
160502038_Stool	Condition1
160542498_Stool	Condition1
160582958_Stool	Condition1
160603188_Stool	Condition1
160643649_Stool	Condition1
160663879_Stool	Condition1
160684109_Stool	Condition1
160704339_Stool	Condition1
160744799_Stool	Condition1
160765029_Stool	Condition1
160825720_Stool	Condition1
160845950_Stool	Condition1
160866180_Stool	Condition1
160886410_Stool	Condition1
160906640_Stool	Condition1
160947100_Stool	Condition1
160967330_Stool	Condition1
160987560_Stool	Condition1
161007791_Stool	Condition1
161028021_Stool	Condition1
161068481_Stool	Condition1
161230322_Stool	Condition1
161270782_Stool	Condition1
161311242_Stool	Condition1
161331472_Stool	Condition1
161351702_Stool	Condition1
161412393_Stool	Condition1
161473083_Stool	Condition1
161493313_Stool	Condition1
161554003_Stool	Condition1
178713055_Stool	Condition1
184349034_Stool	Condition2
206906765_Stool	Condition2
208027353_Stool	Condition2
246515023_Stool	Condition2
257905678_Stool	Condition2
275382046_Stool	Condition2
289996019_Stool	Condition2
295137534_Stool	Condition2
336497421_Stool	Condition2
338793263_Stool	Condition2
355657046_Stool	Condition2
368533040_Stool	Condition2
370027359_Stool	Condition2
370425937_Stool	Condition2
375450439_Stool	Condition2
404239096_Stool	Condition2
414519462_Stool	Condition2
432193348_Stool	Condition2
441369442_Stool	Condition2
451588811_Stool	Condition2
492786515_Stool	Condition2
508703490_Stool	Condition2
516889361_Stool	Condition2
517810313_Stool	Condition2
533247696_Stool	Condition2
553359145_Stool	Condition2
604812005_Stool	Condition2
612472597_Stool	Condition2
638754422_Stool	Condition2
643185023_Stool	Condition2
650853796_Stool	Condition2
663835652_Stool	Condition2
668248235_Stool	Condition2
675950834_Stool	Condition2
686765762_Stool	Condition2
706846339_Stool	Condition2
737052003_Stool	Condition2
763395383_Stool	Condition2
763435843_Stool	Condition2
763456073_Stool	Condition2
763476303_Stool	Condition2
763516763_Stool	Condition2
763536994_Stool	Condition2
763557224_Stool	Condition2
763597684_Stool	Condition2
763638144_Stool	Condition2
763678604_Stool	Condition2
763698834_Stool	Condition2
763719065_Stool	Condition2
763721271_Stool	Condition2
763759525_Stool	Condition2
763820215_Stool	Condition2
763840445_Stool	Condition2
763860675_Stool	Condition2
763880905_Stool	Condition2
763901136_Stool	Condition2
763921366_Stool	Condition2
763982056_Stool	Condition2
764002286_Stool	Condition2
764042746_Stool	Condition2
764062976_Stool	Condition2
764083206_Stool	Condition2
764143897_Stool	Condition2
764184357_Stool	Condition2
764224817_Stool	Condition2
764245047_Stool	Condition2
764285508_Stool	Condition2
764305738_Stool	Condition2
764325968_Stool	Condition2
764346198_Stool	Condition2
764366428_Stool	Condition2
764447348_Stool	Condition2
764467579_Stool	Condition2
764487809_Stool	Condition2
764508039_Stool	Condition2
764588959_Stool	Condition2
764649650_Stool	Condition2
764669880_Stool	Condition2
764710340_Stool	Condition2
764750800_Stool	Condition2
764811490_Stool	Condition2
764831721_Stool	Condition2
764872181_Stool	Condition2
764892411_Stool	Condition2
764953101_Stool	Condition2
765013792_Stool	Condition2
765034022_Stool	Condition2
765074482_Stool	Condition2
765094712_Stool	Condition2
765135172_Stool	Condition2
765661155_Stool	Condition2
765701615_Stool	Condition2
809635352_Stool	Condition2
840279516_Stool	Condition2
857980665_Stool	Condition2
861967750_Stool	Condition2
866653606_Stool	Condition2
872848689_Stool	Condition2
892969023_Stool	Condition2
901775393_Stool	Condition2
937415040_Stool	Condition2
937495960_Stool	Condition2
953045535_Stool	Condition2
964271349_Stool	Condition2
970836795_Stool	Condition2
