name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Faecalibacterium	216851	G	1051518	58634	1110152	0.15137
Ruminococcus	1263	G	203650	13222	216872	0.02957
Vescimonas	2892396	G	60177	5813	65990	0.00900
Lawsonibacter	2172004	G	33430	1168	34598	0.00472
Flavonifractor	946234	G	19789	735	20524	0.00280
Anaerotruncus	244127	G	17675	1472	19147	0.00261
Subdoligranulum	292632	G	16813	641	17454	0.00238
Oscillibacter	459786	G	11742	17481	29223	0.00398
Pusillibacter	2892397	G	9045	549	9594	0.00131
Ruthenibacterium	1905344	G	7426	248	7674	0.00105
Dysosmobacter	2591381	G	4637	12163	16800	0.00229
Pseudoflavonifractor	1017280	G	3739	157	3896	0.00053
Owariibacterium	3393728	G	2859	242	3101	0.00042
Caproicibacterium	2834348	G	2262	84	2346	0.00032
Solibaculum	2842531	G	1678	139	1817	0.00025
Bengtsoniella	3389389	G	564	2	566	0.00008
Ethanoligenens	253238	G	543	13	556	0.00008
Thermocaproicibacter	3048127	G	316	6	322	0.00004
Paludihabitans	2038676	G	264	0	264	0.00004
Amygdalobacter	3079925	G	240	9	249	0.00003
Acetivibrio	35829	G	211	25	236	0.00003
Ruminiclostridium	1508657	G	195	6	201	0.00003
Mageeibacillus	1637257	G	147	10	157	0.00002
Petroclostridium	2304687	G	112	0	112	0.00002
Thermoclostridium	2304691	G	105	3	108	0.00001
Fastidiosipila	236752	G	34	1	35	0.00000
Clostridium	1485	G	16089	1689	17778	0.00242
Lactonifactor	420345	G	952	34	986	0.00013
Haloimpatiens	1755832	G	467	19	486	0.00007
Proteiniclasticum	1155385	G	165	4	169	0.00002
Crassaminicella	1848399	G	108	1	109	0.00001
Wukongibacter	1884926	G	94	0	94	0.00001
Caloramator	44258	G	88	1	89	0.00001
Oceanirhabdus	1434026	G	43	0	43	0.00001
Candidatus Arthromitus	49082	G	36	0	36	0.00000
Hathewaya	1769729	G	20	0	20	0.00000
Sarcina	1266	G	18	0	18	0.00000
Eubacterium	1730	G	14861	1266	16127	0.00220
Acetobacterium	33951	G	362	3	365	0.00005
Pseudoramibacter	113286	G	214	1	215	0.00003
Anaerofustis	264995	G	205	5	210	0.00003
Alkalibacter	274470	G	49	0	49	0.00001
Intestinimonas	1392389	G	9219	323	9542	0.00130
Flintibacter	1918454	G	3357	108	3465	0.00047
Thermaerobacter	73918	G	153	0	153	0.00002
Sulfobacillus	28033	G	12	0	12	0.00000
Levyella	1715798	G	81	3	84	0.00001
Proteiniborus	415014	G	71	1	72	0.00001
Fenollaria	1686313	G	65	2	67	0.00001
Fusibacter	76008	G	52	0	52	0.00001
Carboxydocella	178898	G	51	0	51	0.00001
Agathobaculum	2048137	G	3262	1944	5206	0.00071
Butyricicoccus	580596	G	1165	45	1210	0.00016
Intestinibacillus	1928820	G	340	428	768	0.00010
Acutalibacter	1918385	G	1319	14	1333	0.00018
Caproiciproducens	1738645	G	1011	58	1069	0.00015
Caproicibacter	2576755	G	474	345	819	0.00011
Dehalobacter	56112	G	283	12	295	0.00004
Desulfosporosinus	79206	G	272	1	273	0.00004
Desulfitobacterium	36853	G	259	5	264	0.00004
Syntrophobotulus	51196	G	80	0	80	0.00001
Aristaeella	3046369	G	677	0	677	0.00009
Desulforamulus	2916693	G	156	5	161	0.00002
Dehalobacterium	51514	G	101	6	107	0.00001
Candidatus Formimonas	2840454	G	61	0	61	0.00001
Desulfofundulus	2282741	G	53	0	53	0.00001
Acididesulfobacillus	2924872	G	44	0	44	0.00001
Thermanaerosceptrum	2651578	G	43	0	43	0.00001
Phosphitispora	2903061	G	32	1	33	0.00000
Desulfofarcimen	2282742	G	31	0	31	0.00000
Desulfoscipio	2867376	G	163	0	163	0.00002
Caldinitratiruptor	1006480	G	55	0	55	0.00001
Symbiobacterium	2733	G	51	0	51	0.00001
Heliomicrobium	2831443	G	81	1	82	0.00001
Proteinivorax	1491776	G	49	0	49	0.00001
Alkalicella	2838170	G	10	0	10	0.00000
Syntrophomonas	862	G	21	0	21	0.00000
Syntrophothermus	129001	G	16	0	16	0.00000
Thermincola	278993	G	43	0	43	0.00001
Desulfotomaculum	1562	G	23	2	25	0.00000
Agathobacter	1766253	G	366438	49699	416137	0.05674
Blautia	572511	G	322116	84036	406152	0.05538
Mediterraneibacter	2316020	G	130685	12569	143254	0.01953
Roseburia	841	G	78915	12095	91010	0.01241
Dorea	189330	G	72819	8643	81462	0.01111
Anaerostipes	207244	G	47686	2421	50107	0.00683
Anaerobutyricum	2569097	G	36833	4011	40844	0.00557
Coprococcus	33042	G	35131	28063	63194	0.00862
Enterocloster	2719313	G	22387	839	23226	0.00317
Lachnoclostridium	1506553	G	12253	443	12696	0.00173
Hungatella	1649459	G	7106	309	7415	0.00101
Eisenbergiella	1432051	G	5993	277	6270	0.00085
Simiaoa	2944193	G	5842	454	6296	0.00086
Sellimonas	1769710	G	4915	340	5255	0.00072
Lachnospira	28050	G	4206	114	4320	0.00059
Lacrimispora	2719231	G	3709	24	3733	0.00051
Wansuia	2944198	G	2326	46	2372	0.00032
Eshraghiella	3342669	G	2233	130	2363	0.00032
Otoolea	2941495	G	2144	80	2224	0.00030
Butyrivibrio	830	G	1482	7	1489	0.00020
Anaerocolumna	1843210	G	1366	2	1368	0.00019
Marvinbryantia	248744	G	1251	22	1273	0.00017
Claveliimonas	3076670	G	1009	38	1047	0.00014
Wujia	2944152	G	922	86	1008	0.00014
Qiania	2944195	G	859	23	882	0.00012
Novisyntrophococcus	2888809	G	845	14	859	0.00012
Faecalimonas	2005355	G	689	77	766	0.00010
Kineothrix	2163168	G	660	2	662	0.00009
Hominifimenecus	3073585	G	482	0	482	0.00007
Chordicoccus	3031933	G	474	5	479	0.00007
Lachnoanaerobaculum	1164882	G	400	7	407	0.00006
Stomatobaculum	1213720	G	393	1	394	0.00005
Pseudobutyrivibrio	46205	G	286	1	287	0.00004
Chakrabartyella	3088373	G	252	1	253	0.00003
Anaeromicropila	3024823	G	245	0	245	0.00003
Tyzzerella	1506577	G	147	0	147	0.00002
Anaeropeptidivorans	2997360	G	146	0	146	0.00002
Herbinix	1663717	G	116	5	121	0.00002
Sporofaciens	2811390	G	40	0	40	0.00001
Candidatus Epulonipiscium	2383	G	34	0	34	0.00000
Anaerotignum	2039240	G	834	19	853	0.00012
Vallitalea	1348611	G	165	2	167	0.00002
Petrocella	2603323	G	45	1	46	0.00001
Cellulosilyticum	698776	G	123	0	123	0.00002
Defluviitalea	1185408	G	87	3	90	0.00001
Clostridioides	1870884	G	4023	637	4660	0.00064
Terrisporobacter	1505652	G	202	2	204	0.00003
Peptostreptococcus	1257	G	198	13	211	0.00003
Paraclostridium	1849822	G	141	2	143	0.00002
Romboutsia	1501226	G	125	4	129	0.00002
Peptacetobacter	2743582	G	125	2	127	0.00002
Intestinibacter	1505657	G	112	3	115	0.00002
Tepidibacter	214904	G	68	0	68	0.00001
Emergencia	1926556	G	2202	57	2259	0.00031
Aminipila	2060094	G	337	1	338	0.00005
Ihubacter	1926667	G	252	9	261	0.00004
Mogibacterium	86331	G	215	4	219	0.00003
Anoxybacterium	3408579	G	109	0	109	0.00001
Sinanaerobacter	2886866	G	93	0	93	0.00001
Filifactor	44259	G	73	5	78	0.00001
Acetoanaerobium	186831	G	40	0	40	0.00001
Geosporobacter	390805	G	94	0	94	0.00001
Alkaliphilus	114627	G	68	0	68	0.00001
Serpentinicella	1890059	G	13	0	13	0.00000
Caminicella	166484	G	42	0	42	0.00001
Peptoclostridium	1481960	G	38	0	38	0.00001
Christensenella	990721	G	2303	52	2355	0.00032
Thermoanaerobacterium	28895	G	223	4	227	0.00003
Thermoanaerobacter	1754	G	179	1	180	0.00002
Gelria	189326	G	88	0	88	0.00001
Aceticella	3051499	G	66	0	66	0.00001
Thermacetogenium	140458	G	51	1	52	0.00001
Carboxydothermus	129957	G	23	0	23	0.00000
Ammonifex	42837	G	13	0	13	0.00000
Caldanaerobacter	249529	G	12	0	12	0.00000
Candidatus Desulforudis	471826	G	89	0	89	0.00001
Mahella	252965	G	56	1	57	0.00001
Neomoorella	44260	G	259	0	259	0.00004
Thermanaeromonas	202949	G	30	0	30	0.00000
Zhaonella	2748674	G	61	0	61	0.00001
Metallumcola	3234175	G	44	0	44	0.00001
Monoglobus	2039302	G	260	11	271	0.00004
Halanaerobium	2330	G	88	0	88	0.00001
Halocella	46466	G	21	25	46	0.00001
Acetohalobium	28186	G	29	0	29	0.00000
Natroniella	52003	G	21	0	21	0.00000
Anoxybacter	1769008	G	15	0	15	0.00000
Halothermothrix	32636	G	11	0	11	0.00000
Biomaibacter	2770094	G	37	0	37	0.00001
Tepidanaerobacter	499228	G	15	0	15	0.00000
Thermosediminibacter	291988	G	32	0	32	0.00000
Natranaerobius	375928	G	27	0	27	0.00000
Natranaerofaba	2807497	G	25	0	25	0.00000
Koleobacter	2786989	G	48	0	48	0.00001
Helicovermis	3136917	G	37	0	37	0.00001
Staphylococcus	1279	G	80106	34102	114208	0.01557
Macrococcus	69965	G	156	2	158	0.00002
Mammaliicoccus	2803850	G	110	1	111	0.00002
Salinicoccus	45669	G	52	0	52	0.00001
Jeotgalicoccus	227979	G	36	0	36	0.00000
Nosocomiicoccus	489909	G	31	0	31	0.00000
Macrococcoides	3076173	G	31	0	31	0.00000
Paenibacillus	44249	G	7283	128	7411	0.00101
Brevibacillus	55080	G	1118	16	1134	0.00015
Cohnella	329857	G	341	28	369	0.00005
Aneurinibacillus	55079	G	112	1	113	0.00002
Thermobacillus	76632	G	96	5	101	0.00001
Saccharibacillus	456492	G	70	1	71	0.00001
Candidatus Pristimantibacillus	2994560	G	24	3	27	0.00000
Bacillus	1386	G	2254	566	2820	0.00038
Neobacillus	2675232	G	691	23	714	0.00010
Lysinibacillus	400634	G	542	13	555	0.00008
Peribacillus	2675229	G	473	13	486	0.00007
Cytobacillus	2675230	G	299	99	398	0.00005
Priestia	2800373	G	287	12	299	0.00004
Halobacillus	45667	G	260	3	263	0.00004
Virgibacillus	84406	G	246	3	249	0.00003
Mesobacillus	2675231	G	229	7	236	0.00003
Oceanobacillus	182709	G	228	3	231	0.00003
Niallia	2837506	G	225	6	231	0.00003
Metabacillus	2675233	G	217	8	225	0.00003
Rossellomorea	2837508	G	169	4	173	0.00002
Heyndrickxia	2837504	G	123	6	129	0.00002
Psychrobacillus	1221880	G	116	1	117	0.00002
Sutcliffiella	2837511	G	98	3	101	0.00001
Alkalihalobacillus	2675234	G	95	1	96	0.00001
Terribacillus	459532	G	93	1	94	0.00001
Shouchella	2893057	G	68	1	69	0.00001
Salipaludibacillus	1884449	G	65	0	65	0.00001
Lentibacillus	175304	G	62	0	62	0.00001
Radiobacillus	2785518	G	58	1	59	0.00001
Fervidibacillus	3033930	G	56	1	57	0.00001
Pontibacillus	289201	G	55	0	55	0.00001
Gottfriedia	2837503	G	54	0	54	0.00001
Caldifermentibacillus	3034001	G	53	149	202	0.00003
Salicibibacter	2685905	G	50	0	50	0.00001
Salimicrobium	351195	G	45	0	45	0.00001
Gracilibacillus	74385	G	40	0	40	0.00001
Siminovitchia	2837510	G	40	0	40	0.00001
Robertmurraya	2837507	G	35	1	36	0.00000
Salisediminibacterium	1434042	G	35	0	35	0.00000
Evansella	2837485	G	34	0	34	0.00000
Pradoshia	2651279	G	29	0	29	0.00000
Paraliobacillus	200903	G	28	0	28	0.00000
Caldalkalibacillus	379065	G	28	0	28	0.00000
Pseudobacillus	108525	G	27	1	28	0.00000
Aeribacillus	1055323	G	27	3	30	0.00000
Domibacillus	1433999	G	27	0	27	0.00000
Sediminibacillus	482460	G	26	0	26	0.00000
Ornithinibacillus	484508	G	24	0	24	0.00000
Lederbergia	2804231	G	20	0	20	0.00000
Ectobacillus	2837502	G	17	0	17	0.00000
Alkalihalophilus	2893060	G	15	0	15	0.00000
Halalkalibacter	2893056	G	14	0	14	0.00000
Alkalicoccus	2005375	G	14	0	14	0.00000
Falsibacillus	1270155	G	14	0	14	0.00000
Paenalkalicoccus	2944627	G	13	1	14	0.00000
Mangrovibacillus	2920444	G	12	0	12	0.00000
Aciduricibacillus	3158337	G	12	0	12	0.00000
Alkalibacillus	331654	G	11	0	11	0.00000
Amphibacillus	29331	G	11	0	11	0.00000
Allobacillus	1400133	G	10	0	10	0.00000
Sporosarcina	1569	G	453	5	458	0.00006
Planococcus	1372	G	361	4	365	0.00005
Solibacillus	648800	G	103	1	104	0.00001
Ureibacillus	160795	G	77	2	79	0.00001
Rummeliibacillus	648802	G	64	1	65	0.00001
Paenisporosarcina	651660	G	56	1	57	0.00001
Kurthia	1649	G	41	2	43	0.00001
Jeotgalibacillus	157226	G	35	0	35	0.00000
Viridibacillus	496496	G	18	0	18	0.00000
Metasolibacillus	2703677	G	16	0	16	0.00000
Chryseomicrobium	889388	G	13	0	13	0.00000
Alicyclobacillus	29330	G	388	2	390	0.00005
Tumebacillus	432330	G	127	4	131	0.00002
Effusibacillus	1502725	G	24	0	24	0.00000
Kyrpidia	1129704	G	18	0	18	0.00000
Fodinisporobacter	3156481	G	18	0	18	0.00000
Geobacillus	129337	G	169	14	183	0.00002
Anoxybacillus	150247	G	81	1	82	0.00001
Parageobacillus	1906945	G	55	8	63	0.00001
