subject_id	v1	v2	v3
s114	NA	NA	0180.114.D03.ETA.Dep
s122	0180.122.D01.ETA.Dep	NA	NA
s123	0180.123.D01.ETA.Dep	0180.123.D02.ETA.Dep	NA
s124	0180.124.D01.ETA.Dep	0180.124.D02.ETA.Dep	NA
s125	0180.125.D01.ETA.Dep	0180.125.D02.ETA.Dep	0180.125.D03.ETA.Dep
s126	0180.126.D01.ETA.Dep	0180.126.D02.ETA.Dep	NA
s129	0180.129.D01.ETA.Dep	0180.129.D02.ETA.Dep	NA
s130	0180.130.D01.ETA.Dep	0180.130.D02.ETA.Dep	0180.130.D03.ETA.Dep
s131	0180.131.D01.ETA.Dep	0180.131.D02.ETA.Dep	NA
s132	0180.132.D01.ETA.Dep	0180.132.D02.ETA.Dep	0180.132.D03.ETA.Dep
s133	0180.133.D01.ETA.Dep	0180.133.D02.ETA.Dep	0180.133.D03.ETA.Dep
s134	0180.134.D01.ETA.Dep	NA	NA
s136	0180.136.D01.ETA.Dep	0180.136.D02.ETA.Dep	0180.136.D03.ETA.Dep
s137	0180.137.D01.ETA.Dep	0180.137.D02.ETA.Dep	0180.137.D03.ETA.Dep
s138	0180.138.D01.ETA.Dep	0180.138.D02.ETA.Dep	NA
s139	0180.139.D01.ETA.Dep	NA	NA
s142	0180.142.D01.ETA.Dep	0180.142.D02.ETA.Dep	0180.142.D03.ETA.Dep
s143	0180.143.D01.ETA.Dep	0180.143.D02.ETA.Dep	NA
s144	0180.144.D01.ETA.Dep	0180.144.D02.ETA.Dep	0180.144.D03.ETA.Dep
s145	0180.145.D01.ETA.Dep	NA	NA
s146	0180.146.D01.ETA.Dep	0180.146.D02.ETA.Dep	0180.146.D03.ETA.Dep
s147	0180.147.D01.ETA.Dep	0180.147.D02.ETA.Dep	0180.147.D03.ETA.Dep
s148	NA	0180.148.D02.ETA.Dep	0180.148.D03.ETA.Dep
s150	NA	0180.150.D02.ETA.Dep	NA
s151	0180.151.D01.ETA.Dep	NA	NA
s152	0180.152.D01.ETA.Dep	NA	NA
s153	0180.153.D01.ETA.Dep	0180.153.D02.ETA.Dep	0180.153.D03.ETA.Dep
s154	0180.154.D01.ETA.Dep	0180.154.D02.ETA.Dep	NA
s155	0180.155.D01.ETA.Dep	0180.155.D02.ETA.Dep	NA
s156	0180.156.D01.ETA.Dep	NA	NA
s157	0180.157.D01.ETA.Dep	0180.157.D02.ETA.Dep	NA
s158	NA	0180.158.D02.ETA.Dep	NA
