Original	Collapsed
0208.001001.20170331.BALL	0208.005012.20181005.BALR
0208.001001.20170331.BALR	0208.005012.20181005.BALR
0208.001001.20170331.BALR.2	0208.005012.20181005.BALR
0208.001002.20170307.BALR	0208.005012.20181005.BALR
0208.001002.20170331.BALL	0208.005012.20181005.BALR
0208.001002.20170331.BALL.2	0208.005012.20181005.BALR
0208.001002.20170331.BALR.2	0208.005012.20181005.BALR
0208.001002.20170627.BALL.2	0208.005012.20181005.BALR
0208.001002.20170627.BALR.2	0208.005012.20181005.BALR
0208.001003.20170205.BALR	0208.005012.20181005.BALR
0208.001003.20170822.BALL	0208.005012.20181005.BALR
0208.001003.20170822.BALL.2	0208.005012.20181005.BALR
0208.001003.20170822.BALR	0208.005012.20181005.BALR
0208.001004.20170502.BALL	0208.005012.20181005.BALR
0208.001004.20170725.BALL.2	0208.005012.20181005.BALR
0208.001005.20171020.BALR	0208.005012.20181005.BALR
0208.001005.20171020.BALR.2	0208.005012.20181005.BALR
0208.001005.20171212.BALR	0208.005012.20181005.BALR
0208.001005.20180313.BALR	0208.005012.20181005.BALR
0208.001005.20180318.BALL.2	0208.005012.20181005.BALR
0208.001006.20170316.BALL	0208.005012.20181005.BALR
0208.001006.20171020.BALR	0208.005012.20181005.BALR
0208.001006.20180316.BALR	0208.005012.20181005.BALR
0208.002001.20170720.BALR	0208.005012.20181005.BALR
0208.002001.20170804.BALL	0208.005012.20181005.BALR
0208.003001.20170816.BALR	0208.005012.20181005.BALR
0208.003001.20170920.BALL	0208.005012.20181005.BALR
0208.003001.20171213.BALL	0208.005012.20181005.BALR
0208.003002.20170920.BALL	0208.005012.20181005.BALR
0208.003002.20170920.BALL.2	0208.005012.20181005.BALR
0208.003002.20170920.BALR	0208.005012.20181005.BALR
0208.003002.20171213.BALL	0208.005012.20181005.BALR
0208.003002.20171213.BALR	0208.005012.20181005.BALR
0208.003003.20180117.BALL	0208.005012.20181005.BALR
0208.003005.20180718.BALR	0208.005012.20181005.BALR
0208.003005.20180815.BALL	0208.005012.20181005.BALR
0208.003006.20180815.BALL	0208.005012.20181005.BALR
0208.004002.20170322.BALR	0208.005012.20181005.BALR
0208.004002.20170803.BALL	0208.005012.20181005.BALR
0208.004002.20170803.BALR.2	0208.005012.20181005.BALR
0208.004003.20170530.BALR	0208.005012.20181005.BALR
0208.004003.20170711.BALL	0208.005012.20181005.BALR
0208.004006.20170803.BALR	0208.005012.20181005.BALR
0208.004006.20170914.BALL	0208.005012.20181005.BALR
0208.004006.20170914.BALL.2	0208.005012.20181005.BALR
0208.004006.20170914.BALR	0208.005012.20181005.BALR
0208.004007.20170724.BALR	0208.005012.20181005.BALR
0208.004007.20180329.BALR	0208.005012.20181005.BALR
0208.004007.20180426.BALL.2	0208.005012.20181005.BALR
0208.004007.20180426.BALR	0208.005012.20181005.BALR
0208.004008.20170414.BALR	0208.005012.20181005.BALR
0208.004008.20171025.BALR	0208.005012.20181005.BALR
0208.004008.20180117.BALL	0208.005012.20181005.BALR
0208.004008.20180117.BALR	0208.005012.20181005.BALR
0208.004008.20180117.BALR.2	0208.005012.20181005.BALR
0208.004009.20180723.BALR	0208.005012.20181005.BALR
0208.004011.20180328.BALL	0208.005012.20181005.BALR
0208.004011.20180725.BALL	0208.005012.20181005.BALR
0208.004011.20180725.BALR	0208.005012.20181005.BALR
0208.004012.20180425.BALL	0208.005012.20181005.BALR
0208.004012.20180425.BALR	0208.005012.20181005.BALR
0208.004012.20180530.BALR	0208.005012.20181005.BALR
0208.004012.20180910.BALL	0208.005012.20181005.BALR
0208.004012.20180910.BALR.2	0208.005012.20181005.BALR
0208.004013.20180829.BALL	0208.005012.20181005.BALR
0208.004015.20180730.BALR.2	0208.005012.20181005.BALR
0208.004015.20180911.BALR	0208.005012.20181005.BALR
0208.005001.20171026.BALR	0208.005012.20181005.BALR
0208.005002.20170525.BALL	0208.005012.20181005.BALR
0208.005002.20170525.BALR	0208.005012.20181005.BALR
0208.005002.20170821.BALL	0208.005012.20181005.BALR
0208.005002.20170821.BALR	0208.005012.20181005.BALR
0208.005007.20180306.BALR.2	0208.005012.20181005.BALR
0208.005008.20180124.BALR	0208.005012.20181005.BALR
0208.005008.20180306.BALL	0208.005012.20181005.BALR
0208.005008.20180531.BALL	0208.005012.20181005.BALR
0208.005009.20180608.BALR	0208.005012.20181005.BALR
0208.005009.20180707.BALL	0208.005012.20181005.BALR
0208.005009.20180707.BALR	0208.005012.20181005.BALR
0208.005010.20180124.BALR	0208.005012.20181005.BALR
0208.005010.20180305.BALL	0208.005012.20181005.BALR
0208.005010.20180305.BALR	0208.005012.20181005.BALR
0208.005010.20180531.BALR	0208.005012.20181005.BALR
0208.005011.20180508.BALR	0208.005012.20181005.BALR
0208.005011.20180727.BALL	0208.005012.20181005.BALR
0208.005012.20180608.BALL	0208.005012.20181005.BALR
0208.005012.20180608.BALR	0208.005012.20181005.BALR
0208.005012.20181005.BALL	0208.005012.20181005.BALR
0208.005012.20181005.BALR	0208.005012.20181005.BALR
