SampleID	EpochID
0172.M2813.16wpi.MkST	0172.M2813.Acute.MkST
0172.M2813.24wpi.MkST	0172.M2813.Chronic.MkST
0172.M2813.32wpi.MkST	0172.M2813.Chronic.MkST
0172.M2813.12mpi.MkST	0172.M2813.Chronic.MkST
0172.M2913.16wpi.MkST	0172.M2913.Acute.MkST
0172.M2913.24wpi.MkST	0172.M2913.Chronic.MkST
0172.M2913.32wpi.MkST	0172.M2913.Chronic.MkST
0172.M2913.12mpi.MkST	0172.M2913.Chronic.MkST
0172.M3013.16wpi.MkST	0172.M3013.Acute.MkST
0172.M3013.24wpi.MkST	0172.M3013.Chronic.MkST
0172.M3013.32wpi.MkST	0172.M3013.Chronic.MkST
0172.M3013.12mpi.MkST	0172.M3013.Chronic.MkST
0172.M3113.16wpi.MkST	0172.M3113.Acute.MkST
0172.M3113.24wpi.MkST	0172.M3113.Chronic.MkST
0172.M3113.32wpi.MkST	0172.M3113.Chronic.MkST
0172.M3113.12mpi.MkST	0172.M3113.Chronic.MkST
0172.M3213.16wpi.MkST	0172.M3213.Acute.MkST
0172.M3213.24wpi.MkST	0172.M3213.Chronic.MkST
0172.M3213.32wpi.MkST	0172.M3213.Chronic.MkST
0172.M3213.12mpi.MkST	0172.M3213.Chronic.MkST
0172.M3313.16wpi.MkST	0172.M3313.Acute.MkST
0172.M3313.24wpi.MkST	0172.M3313.Chronic.MkST
0172.M3313.32wpi.MkST	0172.M3313.Chronic.MkST
0172.M3313.12mpi.MkST	0172.M3313.Chronic.MkST
0172.M3413.16wpi.MkST	0172.M3413.Acute.MkST
0172.M3413.24wpi.MkST	0172.M3413.Chronic.MkST
0172.M3413.32wpi.MkST	0172.M3413.Chronic.MkST
0172.M3413.12mpi.MkST	0172.M3413.Chronic.MkST
0172.M3513.16wpi.MkST	0172.M3513.Acute.MkST
0172.M3513.24wpi.MkST	0172.M3513.Chronic.MkST
0172.M3513.32wpi.MkST	0172.M3513.Chronic.MkST
0172.M3513.12mpi.MkST	0172.M3513.Chronic.MkST
0172.M3613.16wpi.MkST	0172.M3613.Acute.MkST
0172.M3613.24wpi.MkST	0172.M3613.Chronic.MkST
0172.M3613.32wpi.MkST	0172.M3613.Chronic.MkST
0172.M3613.12mpi.MkST	0172.M3613.Chronic.MkST
0172.M10413.3mpi.MkST	0172.M10413.Acute.MkST
0172.M10413.5mpi.MkST	0172.M10413.Acute.MkST
0172.M10413.8mpi.MkST	0172.M10413.Chronic.MkST
0172.M10413.11mpi.MkST	0172.M10413.Chronic.MkST
0172.M10613.3mpi.MkST	0172.M10613.Acute.MkST
0172.M10613.5mpi.MkST	0172.M10613.Acute.MkST
0172.M10613.8mpi.MkST	0172.M10613.Chronic.MkST
0172.M10613.43wpi.MkST	0172.M10613.Chronic.MkST
0172.M10713.3mpi.MkST	0172.M10713.Acute.MkST
0172.M10713.5mpi.MkST	0172.M10713.Acute.MkST
0172.M10713.8mpi.MkST	0172.M10713.Chronic.MkST
0172.M10713.11mpi.MkST	0172.M10713.Chronic.MkST
0172.M11313.3mpi.MkST	0172.M11313.Acute.MkST
0172.M11313.5mpi.MkST	0172.M11313.Acute.MkST
0172.M11313.8mpi.MkST	0172.M11313.Chronic.MkST
0172.M11313.11mpi.MkST	0172.M11313.Chronic.MkST
0172.M11413.3mpi.MkST	0172.M11413.Acute.MkST
0172.M11413.5mpi.MkST	0172.M11413.Acute.MkST
0172.M11413.8mpi.MkST	0172.M11413.Chronic.MkST
0172.M11413.11mpi.MkST	0172.M11413.Chronic.MkST
0172.M11413.12mpi.MkST	0172.M11413.Chronic.MkST
0172.M11513.3mpi.MkST	0172.M11513.Acute.MkST
0172.M11513.5mpi.MkST	0172.M11513.Acute.MkST
0172.M11513.8mpi.MkST	0172.M11513.Chronic.MkST
0172.M11513.11mpi.MkST	0172.M11513.Chronic.MkST
0172.M11613.3mpi.MkST	0172.M11613.Acute.MkST
0172.M11613.5mpi.MkST	0172.M11613.Acute.MkST
0172.M11613.8mpi.MkST	0172.M11613.Chronic.MkST
0172.M11613.11mpi.MkST	0172.M11613.Chronic.MkST
0172.M6513.3mpi.MkST	0172.M6513.Acute.MkST
0172.M6513.5mpi.MkST	0172.M6513.Acute.MkST
0172.M6513.8mpi.MkST	0172.M6513.Chronic.MkST
0172.M6513.11mpi.MkST	0172.M6513.Chronic.MkST
0172.M6513R.8mpi.MkST	0172.M6513R.Chronic.MkST
0000.0770.20150226	0000.0770.20150226
0000.0771.20150226	0000.0771.20150226
0000.0772.20150227	0000.0772.20150227
0000.0773.20150302	0000.0773.20150302
0000.0774.20150302	0000.0774.20150302
0000.0775.20150304	0000.0775.20150304
0000.0776.20150304	0000.0776.20150304
0000.0777.20150304	0000.0777.20150304
0000.0778.20150305	0000.0778.20150305
0000.0779.20150306	0000.0779.20150306
0000.0780.20150306	0000.0780.20150306
0001.0781.20150309	0001.0781.20150309
0001.0782.20150310	0001.0782.20150310
0001.0783.20150316	0001.0783.20150316
0001.0784.20150309	0001.0784.20150309
0001.0785.20150310	0001.0785.20150310
0001.0786.20150311	0001.0786.20150311
0001.0787.20150315	0001.0787.20150315
0002.0788.20150309	0002.0788.20150309
0002.0789.20150310	0002.0789.20150310
0002.0790.20150309	0002.0790.20150309
0002.0791.20150310	0002.0791.20150310
0002.0792.20150311	0002.0792.20150311
0002.0793.20150315	0002.0793.20150315
