sample_id	total	GO:0000006	GO:0000006;GO:0008270	GO:0000007	GO:0000009	GO:0000009;GO:0000030;GO:0004376	GO:0000009;GO:0000030;GO:0052917	GO:0000009;GO:0004376	GO:0000010;GO:0008834	GO:0000014;GO:0003676;GO:0004521;GO:0004529;GO:0046872	GO:0000014;GO:0003676;GO:0004521;GO:0046872;GO:0051879	GO:0000014;GO:0003676;GO:0004521;GO:0046872;GO:0071949	GO:0000014;GO:0003677	GO:0000014;GO:0003677;GO:0005524;GO:0016887;GO:0017108;GO:0017116;GO:0043139;GO:0046872;GO:0051539	GO:0000014;GO:0003684;GO:0003697	GO:0000014;GO:0003690;GO:0042802	GO:0000014;GO:0003697	GO:0000014;GO:0003697;GO:0046872	GO:0000014;GO:0003924;GO:0005525;GO:0008296;GO:0030145	GO:0000014;GO:0008296;GO:0030145	GO:0000014;GO:0030697;GO:0051908	GO:0000016;GO:0017042;GO:0033956;GO:0050422	GO:0000026	GO:0000026;GO:0000030;GO:0004376	GO:0000026;GO:0004376	GO:0000030	GO:0000030;GO:0000031	GO:0000030;GO:0003882	GO:0000030;GO:0004190;GO:0030246	GO:0000030;GO:0004376;GO:0051751	GO:0000030;GO:0004497;GO:0005506;GO:0016705;GO:0020037	GO:0000030;GO:0004578	GO:0000030;GO:0005524;GO:0140658	GO:0000030;GO:0016763	GO:0000030;GO:0016763;GO:0016810	GO:0000030;GO:0016798	GO:0000030;GO:0016811;GO:0103015	GO:0000030;GO:0017070;GO:0030623	GO:0000030;GO:0046872	GO:0000030;GO:0103015	GO:0000033	GO:0000033;GO:0004378;GO:0033164;GO:0102704	GO:0000033;GO:0004378;GO:0102704	GO:0000034	GO:0000034;GO:0003677	GO:0000034;GO:0003999	GO:0000034;GO:0004000	GO:0000034;GO:0004000;GO:0008270	GO:0000034;GO:0004435;GO:0008270	GO:0000034;GO:0004553	GO:0000034;GO:0008270	GO:0000034;GO:0008448	GO:0000034;GO:0016407	GO:0000034;GO:0016811	GO:0000034;GO:0016829	GO:0000034;GO:0019213	GO:0000034;GO:0019213;GO:0046872	GO:0000034;GO:0043792	GO:0000034;GO:0046872	GO:0000034;GO:0051997	GO:0000035;GO:0000036	GO:0000035;GO:0000036;GO:0008137;GO:0046872	GO:0000035;GO:0000036;GO:0031177	GO:0000036	GO:0000036;GO:0003746;GO:0003924;GO:0005525	GO:0000036;GO:0003824;GO:0031177	GO:0000036;GO:0005524;GO:0046917	GO:0000036;GO:0008483;GO:0030170	GO:0000036;GO:0009055;GO:0020037;GO:0046872	GO:0000036;GO:0016301	GO:0000036;GO:0016740;GO:0016831	GO:0000036;GO:0016740;GO:0030170	GO:0000036;GO:0016746	GO:0000036;GO:0016773	GO:0000036;GO:0016831	GO:0000036;GO:0031177	GO:0000036;GO:0043811	GO:0000049	GO:0000049;GO:0000166;GO:0000175;GO:0009022;GO:0017111;GO:0035870;GO:0036220;GO:0036222;GO:0046872	GO:0000049;GO:0000166;GO:0000175;GO:0009022;GO:0017111;GO:0046872;GO:0047429	GO:0000049;GO:0000166;GO:0004407;GO:0009022;GO:0017111;GO:0046872;GO:0047429	GO:0000049;GO:0000166;GO:0009022;GO:0017111;GO:0035870;GO:0036220;GO:0036222;GO:0046872	GO:0000049;GO:0000175;GO:0004521	GO:0000049;GO:0000175;GO:0004521;GO:0008859;GO:0031267	GO:0000049;GO:0000175;GO:0004521;GO:0031267	GO:0000049;GO:0000175;GO:0009022	GO:0000049;GO:0000175;GO:0009022;GO:0047429	GO:0000049;GO:0000287;GO:0003677;GO:0004826;GO:0005524;GO:0030527	GO:0000049;GO:0000287;GO:0003682;GO:0004826;GO:0005524	GO:0000049;GO:0000287;GO:0003697;GO:0004813;GO:0005524;GO:0008270;GO:0008966;GO:0140664	GO:0000049;GO:0000287;GO:0004112;GO:0004810;GO:0005524;GO:0016437;GO:0016791	GO:0000049;GO:0000287;GO:0004112;GO:0005524;GO:0008168;GO:0016437;GO:0016791;GO:0052927;GO:0052928;GO:0052929	GO:0000049;GO:0000287;GO:0004112;GO:0005524;GO:0016437;GO:0016791;GO:0052927;GO:0052928;GO:0052929	GO:0000049;GO:0000287;GO:0004521;GO:0004540;GO:0008270;GO:0008995;GO:0019843	GO:0000049;GO:0000287;GO:0004521;GO:0004640;GO:0008270;GO:0008995;GO:0019843	GO:0000049;GO:0000287;GO:0004521;GO:0004801;GO:0008270;GO:0008995;GO:0019843	GO:0000049;GO:0000287;GO:0004521;GO:0008270;GO:0008995;GO:0016757;GO:0019843	GO:0000049;GO:0000287;GO:0004521;GO:0008270;GO:0008995;GO:0019843	GO:0000049;GO:0000287;GO:0004521;GO:0008995;GO:0019843
0159_AA34_42003_20180313_ST	4917399	0	0	0	0	0	0	125	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1262	0	0	9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	611	0	0	0	0	0	0	0	0	0	0	0	174	0	41	0	0	0	0	0	0	0	513	0	0	35	0	0	0	0	0	0	0	0	30	0
0159_AA34_42005_20180409_ST	442862	0	0	0	0	0	0	1	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	7	1	3	0	0	0	0	0	0	0	35	0	0	2	0	0	0	0	0	0	0	0	6	0
0159_AA34_42007_20180420_ST	173455	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	85	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	11	0	0	0	0	0	0	2	0	0	0	0	6	0
0159_AA34_42009_20180313_ST	5638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0159_AA34_42011_20180315_ST	94270	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	57	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0
0159_AA34_42013_20180321_ST	157435	0	0	0	0	0	0	6	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	4	0	1	1	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	5	0
0159_AA34_42014_20180323_ST	103830	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	3	0	0	6	0	0	0	0	0	0	0	0	1	0
0159_AA34_42015_20180329_ST	11270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0159_AA34_42018_20180409_ST	8096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0159_AA34_42019_20180402_ST	9985	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
