sample_id	total	catalytic_activity	structural_molecule_activity	transporter_activity	binding	electron_transfer_activity	molecular_carrier_activity	ATP_dependent_activity
0159_AA34_42003_20180313_ST	2894	1771	0	0	730.5	0	392.5	0
0159_AA34_42005_20180409_ST	260	191.833333333333	0	0	49.3333333333333	0	18.8333333333333	0
0159_AA34_42007_20180420_ST	134	98	0	0	24.5	0	11.5	0
0159_AA34_42009_20180313_ST	2	1.5	0	0	0.5	0	0	0
0159_AA34_42011_20180315_ST	79	69.8333333333333	0	0	5.33333333333333	0	3.83333333333333	0
0159_AA34_42013_20180321_ST	99	76	0	0	17.5	0	5.5	0
0159_AA34_42014_20180323_ST	54	43	0	0	9.5	0	1.5	0
0159_AA34_42015_20180329_ST	5	3	0	0	1	0	1	0
0159_AA34_42018_20180409_ST	1	1	0	0	0	0	0	0
0159_AA34_42019_20180402_ST	8	6.5	0	0	1	0	0.5	0
0159_AA34_42020_20180607_ST	9	6.5	0	0	2	0	0.5	0
0159_AA34_42021_20181004_ST	11	8	0	0	2.5	0	0.5	0
0159_AA34_42025_20180402_ST	58	50	0	0	7	0	1	0
0159_AA34_42027_20180402_ST	3	2.33333333333333	0	0	0.333333333333333	0	0.333333333333333	0
0159_AA34_42028_20180918_ST	28	19.5	0	0	6	0	2.5	0
0159_AA34_42031_20180409_ST	134	95	0	0	26	0	13	0
0159_AA34_42033_20180613_ST	30	21	0	0	6	0	3	0
0159_AA34_42037_20180418_ST	6	5.5	0	0	0.5	0	0	0
0159_AA34_42038_20180920_ST	62	47	0	0	11	0	4	0
0159_AA34_42039_20180413_ST	9	7	0	0	2	0	0	0
0159_AA34_42040_20180410_ST	4	1	0	0	1.5	0	1.5	0
0159_AA34_42045_20180907_ST	1	1	0	0	0	0	0	0
0159_AA34_42046_20180413_ST	6	6	0	0	0	0	0	0
0159_AA34_42047_20180417_ST	8	4.5	0	0	3	0	0.5	0
0159_AA34_42052_20180419_ST	1	1	0	0	0	0	0	0
0159_AA34_42053_20180420_ST	11	6	0	0	3	0	2	0
0159_AA34_42056_20180419_ST	1	0	0	0	1	0	0	0
0159_AA34_42057_20180419_ST	119	102.333333333333	0	0	11.8333333333333	0	4.83333333333333	0
0159_AA34_42070_20180503_ST	50	39.8333333333333	0	0	6.83333333333333	0	3.33333333333333	0
0159_AA34_42073_20180514_ST	25	18	0	0	5.5	0	1.5	0
0159_AA34_42076_20180823_ST	1	0.5	0	0	0.5	0	0	0
0159_AA34_42078_20180523_ST	65	49.5	0	0	12	0	3.5	0
0159_AA34_42082_20180514_ST	46	32.5	0	0	13.5	0	0	0
0159_AA34_42083_20180504_ST	2028	1361.66666666667	0	0.5	410.166666666667	0	255.666666666667	0
0159_AA34_42084_20180509_ST	8235	4816	0	52	2565	0	798.333333333333	3.66666666666667
0159_AA34_42085_20180717_ST	687	525	0	0	115.5	0	46.5	0
0159_AA34_42086_20180514_ST	1019	776.166666666667	0	0	198.166666666667	0	44.6666666666667	0
0159_AA34_42087_20180523_ST	10614	6251.5	0	0	3454.5	0	908	0
0159_AA34_42088_20180515_ST	3973	2720.5	0	0	783	0	469.5	0
0159_AA34_42089_20180515_ST	3756	2674.83333333333	0	0	691.833333333333	0	389.333333333333	0
0159_AA34_42090_20180515_ST	1366	1104	0	0	168	0	94	0
0159_AA34_42092_20180525_ST	5340	3733.83333333333	0	0	983.333333333333	0	622.833333333333	0
0159_AA34_42094_20180523_ST	4184	2737	0	0	868.5	0	578.5	0
0159_AA34_42097_20180525_ST	3075	2133	0	0	555.5	0	386.5	0
0159_AA34_42098_20180531_ST	5654	4441.5	0	0	1029	0	183.5	0
0159_AA34_42099_20180525_ST	5	3.5	0	0	1.5	0	0	0
0159_AA34_42100_20180523_ST	20075	14791.3333333333	0	0	3439.83333333333	0	1843.83333333333	0
0159_AA34_42101_20180611_ST	70	42.3333333333333	0.333333333333333	0	21.8333333333333	0	5.5	0
0159_AA34_42103_20180813_ST	1488	863.5	0	0	516.5	0	108	0
0159_AA34_42104_20180813_ST	973	801.333333333333	0	5	158.333333333333	0	8	0.333333333333333
0159_AA34_42106_20180813_ST	5983	4339.83333333333	0	0	972.833333333333	0	670.333333333333	0
0159_AA34_42108_20180523_ST	1849	1256	0	0	383.5	0	209.5	0
0159_AA34_42111_20180531_ST	1372	759.5	0	0	400	0	212.5	0
0159_AA34_42113_20180615_ST	4776	2980.66666666667	0	0.5	1093.66666666667	0	701.166666666667	0
0159_AA34_42114_20180813_ST	1457	1041	0	0	269.5	0	146.5	0
0159_AA34_42117_20180619_ST	918	572.166666666667	0	0	220.666666666667	0	125.166666666667	0
0159_AA34_42119_201800806_ST	2487	1646.33333333333	0	0	473.833333333333	0	366.833333333333	0
0159_AA34_42122_20180605_ST	1032	695.5	0	0	207.5	0	129	0
0159_AA34_42127_20190206_ST	6556	4403	0	0	2100	0	53	0
0159_AA34_42128_20190220_ST	2	1	0	0	1	0	0	0
0159_AA34_42129_20190318_ST	1940	1187.33333333333	0	0	470.833333333333	0	281.833333333333	0
0159_AA34_42131_20190211_ST	2661	1844.5	0	0	552.5	0	263.666666666667	0.333333333333333
0159_AA34_42132_20190220_ST	3149	2244	0	0	549.5	0	355.5	0
0159_AA34_42133_20190227_ST	523	408.333333333333	0	0	100.833333333333	0	13.8333333333333	0
0159_AA34_42135_20190211_ST	92	58.5	0	0	27	0	6.5	0
0159_AA34_42138_20190306_ST	20	12.5	0	0	7	0	0.5	0
0159_AA34_42139_201900301_ST	1695	982.5	0	0	427.166666666667	0.666666666666667	284.666666666667	0
0159_AA34_42143_20180613_ST	2043	1281.83333333333	0	0	501.833333333333	0	259.333333333333	0
0159_AA34_42146_20180730_ST	1647	1114.33333333333	0	0	311.333333333333	0	221.333333333333	0
0159_AA34_42148_20180706_ST	445	350.5	0	0	64.5	0	30	0
0159_AA34_42149_20180619_ST	391	251	0	9.5	112	0	18.5	0
0159_AA34_42150_20180907_ST	5915	4131.5	0	0	1061	0	722.5	0
0159_AA34_42151_20180907_ST	1579	1126.83333333333	0	0	295.333333333333	0	156.833333333333	0
0159_AA34_42157_20180706_ST	722	463	0	0	163	0	96	0
0159_AA34_42158_20180730_ST	933	645.5	0	0	270	0	17.5	0
0159_AA34_42162_20180717_ST	63	52.1666666666667	0	0	8.66666666666667	0	2.16666666666667	0
0159_AA34_42165_20180723_ST	2191	1465	0	0	464	0	262	0
0159_AA34_42167_20190116_ST	2187	1371.5	0	0	513.5	0	302	0
0159_AA34_42168_20190116_ST	1819	1090.83333333333	0	0	464.333333333333	0	263.833333333333	0
0159_AA34_42169_20190716_ST	1963	1118.83333333333	0	0	497.333333333333	0	346.833333333333	0
0159_AA34_42171_20180723_ST	579	473	0	0	80	0	26	0
0159_AA34_42172_20190116_ST	2168	1447.83333333333	0	0	469.333333333333	0	250.833333333333	0
0159_AA34_42173_20181025_ST	482	348.5	0	0	99.5	0	34	0
0159_AA34_42174_20180806_ST	127	77.5	0	0	45	0	4.5	0
