GO_ID	Name	[Num_Members]
GO:0003674	molecular_function	[1]
GO:0003774	cytoskeletal motor activity	[10]
GO:0003824	catalytic activity	[10452]
GO:0005198	structural molecule activity	[49]
GO:0005215	transporter activity	[5498]
GO:0005488	binding	[2960]
GO:0009055	electron transfer activity	[11]
GO:0016209	antioxidant activity	[31]
GO:0038024	cargo receptor activity	[18]
GO:0044183	protein folding chaperone	[2]
GO:0045182	translation regulator activity	[18]
GO:0045735	nutrient reservoir activity	[1]
GO:0060089	molecular transducer activity	[643]
GO:0060090	molecular adaptor activity	[139]
GO:0090729	toxin activity	[1]
GO:0098772	molecular function regulator activity	[630]
GO:0140104	molecular carrier activity	[27]
GO:0140110	transcription regulator activity	[42]
GO:0140223	general transcription initiation factor activity	[4]
GO:0140313	molecular sequestering activity	[10]
GO:0140489	molecular template activity	[4]
GO:0140522	fusogenic activity	[2]
GO:0140657	ATP-dependent activity	[280]
GO:0140691	RNA folding chaperone	[1]
GO:0140776	protein-containing complex destabilizing activity	[5]
GO:0140777	protein-containing complex stabilizing activity	[2]
GO:0140911	pore-forming activity	[1]
GO:0140912	membrane destabilizing activity	[1]
GO:0141047	molecular tag activity	[3]
GO:0180020	membrane bending activity	[1]
GO:0180024	membrane grommet activity	[1]
