sample_id	total	cellular_homeostasis	multicellular_organismal_homeostasis	homeostasis_of_number_of_cells	chemical_homeostasis	regulation_of_liquid_surface_tension	anatomical_structure_homeostasis	maintenance_of_stationary_phase	Remaining
m40055	174241359	72538.2205732704	0.180555555555555	0	806084.867334306	0	0.683333333333335	0	173362735.048204
m21110	130999038	49148.4544113004	0.111111111111111	0.177631578947369	398831.890672348	0	0.484126984126984	0	130551056.882047
m42475	111488220	60343.6264756944	0.1875	7.875	349541.206969246	0	9.41666666666665	0	111078317.687388
m42480	79089243	45384.9871093751	0.142857142857143	0	279271.596614583	0	0.0158730158730159	0	78764586.2575459
m21298	57892245	26081.6202287946	0.0638888888888888	0	175293.251804315	0	0.0158730158730159	1	57690869.048205
m21108	49162387	31546.3778155574	0.0625	0.375	227693.277445019	0	0.0769230769230769	0	48903146.8303163
m71062	48167112	24731.98984375	0	14.25	174168.787574404	0	1.475	0	47968195.4975818
m21129	43094386	22873.4763107639	0	0	155240.849878473	0	0.02	0	42916271.6538107
m21301	41557720	17255.7391493056	0	0	127096.592534722	0	0.166666666666666	0	41413367.5016493
m71054	31353698	26508.4769097222	0	0.5	99467.3836805556	0	0	0	31227721.6394097
m71051	30677676	11209.7703215188	0	0.25	101054.04905754	0	0	0	30565411.9306209
m41010	26329100	15000.1168309772	0.111111111111111	2.375	96451.343718998	0	0.0833333333333335	0	26217645.9700056
m66107	25918625	15481.3549262153	0	0	82863.1276475694	0	0	0	25820280.5174262
m21295	23598601	11385.2488560268	2.3922619047619	0.196428571428572	89033.2441530258	0	0	0	23498179.9183005
m100710	23465581	10802.2023148148	0	0.805555555555555	93411.287037037	0	0	0	23361366.7050926
m32019	23266629	15193.4857669891	0.508333333333333	2.25	95798.5248945932	0	0.666666666666665	0	23155633.5643384
m21065	23251625	12874.7105525984	0.00833333333333333	0.25	73228.3559552426	0	0.0317460317460317	0	23165521.6434128
m71050	22908156	12852.2093558351	0	0	83124.8757147366	0	0	0	22812178.9149294
m32013	22364500	13566.0140353137	0.375	0	95669.5629009012	0	0.538461538461539	0	22255263.5096022
m21076	21809905	10323.701640005	0.00833333333333333	0.125	71761.7526265835	0	0	0	21727819.4124001
m21119	21571050	13967.1400943024	0	0	66985.762109375	0	0	0	21490097.0977963
m10022	20764220	6333.81346705957	0	0	78129.1324384528	0	0	0	20679757.0540945
m26156	19951859	13870.0737906408	0	0.75	61814.5181113591	0	0.0158730158730159	0	19876173.642225
m32015	19254643	11969.2024829988	0.1875	0	77795.2422576122	0	0.125	0	19164878.2427594
m21090	19033213	13636.130859375	0.0166666666666667	0	60760.6555431547	0	0.25	0	18958815.9469308
m21330	18485852	9358.38567708334	0	0.0263157894736842	65338.0994791667	0	0	0	18411155.488528
m21314	18445058	10751.6067925347	0.0625	0	58700.9614149306	0	0	0	18375605.3692925
m71031	18386521	10283.6340026944	0	0.875	62952.8399491568	0	0.583333333333335	0	18313283.0677148
m71048	18023348	7888.9574342758	0.0555555555555555	0	81400.0900917658	0	0	0	17934058.8969184
m66163	17994071	9755.38389756944	0	0	59351.5030381944	0	0	0	17924964.1130642
m71023	17833556	8103.75086805556	0.173611111111111	0.125	66496.8552083333	0	0	0	17758955.0953125
m21289	17725209	6858.14064670138	0	0	52284.4671914457	0	0.0158730158730159	0	17666066.3762888
m71052	17361335	12327.7975260417	0	0.75	50164.0299479167	0	0	0	17298842.422526
m21282	17180440	11845.0626736111	0	5.375	49148.3919146826	0	0	0	17119441.1704117
m32016	17159390	10046.298828125	0	0	51539.185352408	0	0	0	17097804.5158195
m71024	17003481	8068.47912326388	0	0	56776.1264756944	0	0.5	0	16938635.894401
m32057	16713937	7944.11846788196	0	0	53149.5777467758	0	0.416666666666667	0	16652842.8871187
m21294	16210343	8647.05376674107	0	0	49829.1696490576	0	0	0	16151866.7765842
m21111	15642062	7491.29090711806	0	0.375	45132.89437624	0	0	0	15589437.4397166
m21220	15613916	9057.8058376736	0	0.125	55409.2514198909	0	0.0833333333333335	0	15549448.7344091
m21311	15304949	8314.13298864763	0.125	0.125	50907.8606460814	0	0	0	15245726.7563653
m10150	15261943	4713.70455306413	0.00833333333333333	0.125	52071.1434551993	0	0	0	15205158.0186584
m32038	15153857	8598.38237847223	0	0.125	44198.3019097223	0	0	0	15101060.1907118
m21368	14980858	9083.49628906249	0	0.5	57032.732421875	0	0.182539682539682	0	14914741.0887494
m71066	14686117	7492.88059895833	0	1	54053.2346354166	0	0.45	0	14624569.4347656
m21371	14644729	8644.97630208333	1.61805555555555	0	46821.159571158	0	0.333333333333333	0	14589260.9127379
m66160	14514933	11027.2524739583	0.0555555555555555	0	52675.5839409722	0	0.166666666666666	0	14451229.9413628
m21231	14453496	8203.33724969978	1.98948412698413	0.0714285714285715	50059.6442036079	0	0	0	14395230.957634
m10126	14364886	7912.24361359128	0	0	48795.8828125	0	0	0	14308177.8735739
m32033	14268874	9579.04157366071	0	0.25	57024.5361708604	0	0	0	14202270.1722555
m26288	14040796	8141.28172743056	0	0.125	54702.6740451389	0	0	0	13977951.9192274
m71057	13927355	8485.20690104167	0	0.5	61809.7998883928	0	0	0	13857059.4932106
m21215	13925779	7030.13447730654	0.125	0	53704.0193390377	0	0	0	13865044.7211837
m33022	13898439	7507.63279079861	0.0625	0	46650.7371961805	0	0	0	13844280.567513
m66184	13896244	5471.73919580853	0	0	46193.7477988592	0	0	0	13844578.5130053
m21086	13882181	9434.03575721153	0	0.125	38344.9781650641	0	0	0	13834401.8610777
m21325	13870794	8197.80971912201	0	0	46897.4085379464	0	0	2	13815696.7817429
m21284	13759188	3833.90169270832	0	0	35301.4466145833	0	0	0	13720052.6516927
m32051	13692080	7231.82300967261	0.125	0	48338.2658854167	0	0	0	13636509.7861049
m21278	13683931	10324.0824435764	0	0	49406.6601128472	0	0	0	13624200.2574436
m21216	13534973	7213.04789496528	0	0	40874.7292100695	0	0	0	13486885.222895
m21056	13415072	9458.43376068376	0	0	47199.9238247863	0	0	0	13358413.6424145
m21141	13287340	4473.81506497698	0	0.25	46450.4590947102	0	0.583333333333335	0	13236414.892507
m41015	13235486	7574.72092013889	0.3125	0.125	45951.9803819444	0	0	0	13181958.8611979
m21310	13117571	8480.27943948413	1.625	0	43379.1267090548	0	0.583333333333335	0	13065709.3855181
m32023	12965349	5300.35470441016	0.0625	0	51317.6287224928	0	0.166666666666666	0	12908730.7874064
m21331	12938281	6547.63807926016	0.00833333333333333	0.125	44829.0026876336	0	0.0158730158730159	0	12886904.2100268
m42476	12799296	8814.43726080777	0	2.25	42606.2087617677	0	0	0	12747873.1039774
m42100	12774147	10515.9236979167	0	0	40012.7942708333	0	0	0	12723618.2820312
m45014	12693372	9686.36803385416	0	0	71728.1805989584	0	0.0476190476190476	0	12611957.4037481
m21061	12583931	7884.50948660715	0.1875	0	42590.3496775794	0	0	0	12533455.9533358
m21407	12557001	10554.005202231	0.0625	0	54577.0850869428	0	0	0	12491869.8472108
m10020	12478391	2869.89475171963	0.4375	0.1	42686.4495243304	0	0.115384615384616	0	12432834.0028393
m33160	12441671	5959.21381758433	0.0638888888888888	0	52137.1368489583	0	0	0	12383574.5854446
m66162	12425518	5699.19309895834	0	0	43218.6707465277	0	0.1	0	12376600.0361545
