sample_id	total	small_molecule_metabolic_process	monosaccharide_metabolic_process	alcohol_metabolic_process	organic_acid_metabolic_process	one_carbon_metabolic_process	vitamin_metabolic_process	Entner_Doudoroff_pathway_through_6_phosphogluconate	ether_metabolic_process	urea_metabolic_process	cellular_ketone_metabolic_process	small_molecule_catabolic_process	small_molecule_biosynthetic_process	formaldehyde_metabolic_process	cellular_ketone_body_metabolic_process	nucleobase_containing_small_molecule_metabolic_process	cellular_lactam_metabolic_process	Remaining
m40055	174241359	161445.916666667	1507369.18938492	300245.589577822	2529201.07787008	133382.879166667	668063.704617504	16180.6666666666	0.333333333333333	6077.91944444444	177138.276851852	95688.5284145172	197649.253257941	2833.6625	4471.4	782693.148227293	1726.66944444444	167657190.784576
m21110	130999038	43119	1094182.94097222	169884.335069444	1794956.02521104	111407.944444444	439105.053955026	3023.75	0.0625	1986.84722222222	80627.4746527779	44093.5615141828	152667.386377544	1235.4375	1652.08333333333	657447.728435479	1698.82592592593	126401949.542886
m42475	111488220	7286.83333333333	960164.22906746	113011.456944444	1299629.75348603	100663.863888889	386228.23904321	5.5	3.3125	827.423611111111	41499.1917824074	34327.3046717572	114268.208083388	56.9375	1725.65	496385.088491846	1499.61388888889	107930637.393707
m42480	79089243	8193	652929.718650794	97926.8018518519	1057653.9965351	80733.9374999999	331745.15688492	56.75	0	946.447916666667	29705.4248842592	24359.9086240079	97728.6976309661	58	1215.6	402744.882896315	1197.99537037037	76302046.6812547
m21298	57892245	4079.5	481058.063095238	53444.185978836	690580.488173792	52582.6597222222	216462.338646385	13.6666666666667	0	343.305555555556	21648.6517939815	15547.0521409281	62604.2166614997	57.5	446.733333333333	264770.013892808	601.65925925926	56028004.9650795
m21108	49162387	39540.25	410409.433101851	73552.1391203704	688782.906003469	34132.825	157372.867748016	3817.91666666667	0.166666666666667	537.760416666667	48864.2069444444	26928.6471556688	54103.0485521844	1674.11458333334	2983.18333333333	226694.880224214	522.023148148149	47392470.631335
m71062	48167112	10745.6666666667	446576.462268519	50474.8739417989	654361.713989001	46942.3875	167306.027771164	501.666666666665	0	318.423611111111	29939.8940972222	17457.7312343925	54880.3633882872	233.116666666666	1606.9	236999.00931319	1176.10555555556	46447591.6573298
m21129	43094386	4893.83333333333	394972.3375	48292.1171296296	533584.945076989	43371.2222222222	143741.776895943	15.4166666666667	0	705.236111111111	18698.0168402778	14151.5360840398	46174.6506690228	80.1041666666666	800.45	205884.243441889	469.750925925927	41638550.3629363
m21301	41557720	2966.33333333333	338044.107638889	38906.6947916667	492627.530985474	37382.4722222222	152319.375284392	2.33333333333333	0	246.4375	14596.5975694444	10871.6210690586	44544.4791316689	37.5625	304.933333333333	190973.246952985	383.787037037037	40233512.4873172
m71054	31353698	4665.08333333333	272982.907638889	43691.7050925926	409340.259931422	29426.4069444445	109554.064166667	378	0	525.354166666666	15129.177816358	11331.7300863646	34014.8720243377	114.84375	628.6	154666.044508643	465.064814814816	30266783.8857255
m71051	30677676	8880.25	221850.678472222	41617.5935019841	396986.824874357	29338.2666666667	110585.377293871	787.5	0	411.166666666667	18131.280787037	9213.60688693232	34177.0278791887	154.9375	363.7	160367.567856388	468.168518518517	29644342.0530962
m41010	26329100	2110	251229.715277778	29846.2405092592	339227.742036051	27416.2111111111	85280.0107242064	0.416666666666667	0	152.5625	10171.8264660494	9112.34472066147	29113.8065602724	52.875	966.283333333333	127405.613809013	233.425	25416780.9262856
m66107	25918625	31820.3333333333	214058.480555555	34456.1400462963	377622.806404183	17039.1625	77960.3284281305	2440.75	0	87.5625	29739.7638888889	12734.3097522597	28670.3691205311	983.020833333334	669.1	129562.80330945	118.15	24960661.919328
m21295	23598601	3925.64285714286	191960.161805555	29151.9304232804	305840.429335829	22712.4638888889	79042.9578979277	266.75	1.75	349.020833333333	8939.9854552469	7925.12241074184	24937.3141676082	108.91875	365.833333333333	112835.238578185	297.611111111111	22809939.8691518
m100710	23465581	14860.6666666667	195273.537731481	38795.7386574074	342861.301998585	20773.8333333334	82375.0950286596	1498.75	0	497.006944444444	16359.5550154321	11271.7179184854	28285.1489231978	608.016666666666	1257.4	117079.671913866	231.794444444444	22593551.7647573
m32019	23266629	1393.75	190201.055324074	28555.7790509259	313330.074181012	28250.5208333334	66485.9727237654	7.5	1.58333333333333	241.208333333333	6937.30185185185	7844.65424632485	23657.996434634	53.3125	456.233333333333	120648.292827252	164.115185185185	22478399.6498416
m21065	23251625	1210.33333333333	220776.063888889	21201.9377314815	282125.082071955	22535.4930555555	86382.7664406965	1	0	277.5	10779.6020833333	7100.5848598059	24531.4551178305	13.375	370.116666666667	105713.584163788	371.992592592593	22468234.1129941
m71050	22908156	999.666666666667	207302.064583333	28238.7601025132	296079.331528404	23918.9763888889	68616.7540343915	2.66666666666667	0	267.25	8683.83310185184	6858.73783999218	24666.1305635013	87.25	296.233333333333	113513.713578854	211.732407407407	22128412.8992042
m32013	22364500	759	181384.344444444	23877.9025462963	275060.512522855	23760.5041666667	65387.5877281746	3.25	0	187.402777777778	8476.25632716048	7047.44258910033	21605.0720105131	25	568.75	107448.897152278	144.425925925926	21648763.6518088
m21076	21809905	1369.58333333333	192873.288425926	21540.4906084656	265841.696651507	22460.6125	79917.0410185187	0.25	0	57.1041666666667	7218.9224537037	5874.3050327381	23398.6460748732	10.4375	221.533333333333	101448.182249024	208.441111111111	21087464.4655408
m21119	21571050	1616.83333333333	184371.6625	19921.7169642857	269502.126666272	20689.3541666667	83252.0032936508	0.416666666666667	0.1875	145.604166666667	10066.2206018519	6144.52592380401	23621.8882074193	24.5	155.4	102886.885806103	339.408333333333	20848311.26587
m10022	20764220	2088.5	157100.795833333	25812.6485615079	285444.077301426	22152.9	72745.6014186508	19	0	90.9305555555556	6799.87847222222	5780.57585482804	24226.8822965811	17.125	267.35	111469.166227199	141.663888888889	20050062.9045898
m26156	19951859	3289.5	173515.094444444	17912.6544642857	245534.659238453	17620	78720.2734623016	169.083333333334	0.0625	176.9375	11132.1171875	6273.6939689429	21335.3632104966	32.125	275.4	93393.6118368076	189.897222222222	19282288.5266312
m32015	19254643	1299.66666666667	162178.711805556	25381.4988425926	257069.907036904	21610.8333333334	57998.6667140652	1.33333333333334	0.0625	218.833333333333	6592.32044753087	6377.3869153982	20942.5917359963	142.0625	514.9	97060.6934686194	213.104629629629	18597040.426737
m21090	19033213	802.166666666667	169192.065972222	17190.8466269841	246834.678573866	17666.0972222222	81102.2840299824	5.5	0.5	82.8958333333333	9176.97951388889	6012.24769300144	21539.4176363398	17.125	189.1	87747.626946963	221.863888888889	18375431.6043956
m21330	18485852	2611	158635.802777778	21102.5585648148	236844.025356019	16562.3638888889	65866.000255732	79.6666666666665	0.125	173.59375	7069.55069444445	6080.42613877866	20698.7244597158	46.9375	458.4	91957.9515965282	174.75	17857490.1233506
m21314	18445058	2892.30952380952	158545.822222222	17629.0217592593	221274.351295966	15829.7791666667	67647.1457462522	141.083333333334	0	305.895833333333	8578.56851851852	5664.68902821869	19102.7551885839	44.40625	161.75	80196.5657823012	196.812962962963	17846847.0433886
m71031	18386521	2188.5	163308.746527778	20729.44375	228098.892642872	18203.2847222222	65969.372590388	47.5	0.166666666666667	283.604166666667	6942.02037037038	5775.1918377425	19908.6489736965	17.8125	184.133333333333	86654.0763773352	322.873148148148	17767886.7323928
m71048	18023348	7570.33333333333	151633.692361111	25611.9408564815	242081.582813464	15699.9333333333	64894.5389098325	746.583333333335	0	640.375	10110.3923611111	7380.43481109458	20231.5523368836	141.5625	321.6	84580.6670908452	124.302777777778	17391578.5081814
m66163	17994071	2616.66666666667	155049.655555556	19046.6520833333	238393.912848802	17295.5208333333	70249.0673302469	7.5	0.333333333333333	190.895833333333	7208.81550925925	6517.10884143519	20641.7502926587	17.125	557.8	85052.5023189382	235.852777777778	17370989.8407753
m71023	17833556	2918	150538.49212963	18968.6877314815	228823.320493637	18378.2013888889	67924.9673555997	140.75	0.25	188.142361111111	8114.99772376542	5416.09293608456	20089.7497707461	42.025	237.5	85113.6417682001	136.413888888889	17226524.767452
m21289	17725209	954.833333333333	155627.885185185	17877.2016203704	229459.274794829	16144.5986111111	59213.422364418	8.75	0	96.6145833333333	7900.95138888889	4789.9004841821	19428.6588481959	4.8125	158.533333333333	84462.676953569	167.471296296296	17128913.414703
m71052	17361335	2630.5	150337.215972222	15666.8865740741	212226.311453832	15654.6458333333	69334.4626962081	3.25	0	89.8958333333333	9150.3611111111	6287.62341820988	18902.1599629354	13.0625	651.5	81820.0292363356	395.315740740739	16778171.7796677
m21282	17180440	4175.11904761905	168228.988425926	19183.8127314815	225490.608559441	16586.3958333333	56261.0822244268	263	0	146.590277777778	10286.6207561728	6397.07555169753	18504.9348408335	128.75	310.3	79079.3777671733	196.963888888889	16575200.3800952
m32016	17159390	1270.83333333333	152588.46875	13815.3280092593	207300.261445895	15790.9541666667	66441.7405456349	6.25	0	72.9375	8247.05729166667	5268.38925030313	17949.7874847286	5.1875	203.25	74754.7294758802	182.138888888889	16595492.6863577
m71024	17003481	2750.5	137045.9625	17445.1060185185	209167.499335878	16291.0458333333	62665.6729761905	175.75	0.5	435.666666666667	8608.11435185186	5743.6797341821	18208.6710474307	58.3125	152.95	78796.340541042	294.692592592593	16445640.5359023
m32057	16713937	1503.66666666667	131703.431944444	15985.309837963	198934.631386166	16217.375	57373.9126576278	3.5	0.5625	111.8125	5995.60243055555	4415.27340549593	17555.8963376782	14.0625	168.2	77891.3719845761	201.962962962963	16185860.4278859
m21294	16210343	2222.33333333333	136619.995833333	15467.0532407407	198520.361640625	14861.6125	60366.0411155203	70.5	0.25	143.465277777778	7024.35590277778	4841.51596312831	17375.6130398249	30.8125	138.5	75896.2692730379	232.549444444444	15676531.7709354
m21111	15642062	875.333333333333	135151.127777778	14137.1265046296	190501.213639991	13919.6458333333	57138.2083333333	0.666666666666665	0.416666666666667	82.1458333333333	7199.01643518518	4429.0774224537	16922.7698556915	2.0625	79.7	75949.4283923468	170.34537037037	15125503.7154349
m21220	15613916	762.5	135863.802777778	15607.782093254	204488.758209515	15463.7625	58039.0568694885	3.08333333333333	0	56.9583333333333	6757.48344907406	4767.9467029321	17514.97376805	8.8125	171.4	74589.8366077756	172.467592592593	15079647.3752629
m21311	15304949	817.833333333333	135403.473842593	15512.7219907407	187606.932136528	14186.2875	52641.8503031305	3.5	0	91.3263888888888	5306.47256944444	4205.51228433642	16150.3124924906	14.5625	143.6	71323.8279034595	259.411111111111	14801281.3756439
m10150	15261943	484.833333333333	124376.245517677	18263.5589436027	197763.433427842	16198.0458333333	39487.7686111111	4.41666666666667	0	49.7916666666667	6341.51319444445	4306.02507220018	15805.632216788	7.03125	185.833333333333	80062.0620151953	129.25	14758477.5589178
m32038	15153857	740.833333333333	124268.018055556	12611.531712963	177639.224515331	14152.3125	58085.8185670194	2.41666666666667	0.25	86.9583333333333	7590.73912037038	4425.1218275463	15677.7123047794	1.125	67.9	67728.4964196102	284.512037037037	14670494.0296065
m21368	14980858	889.166666666667	142282.549305556	14880.7689814815	185481.136660181	15235.95	49591.4205731922	0	0.0625	148.21875	6759.97708333333	4984.14519508745	15706.3616522909	6.6875	292.133333333333	69067.7568421762	134.094444444444	14475397.5705123
m71066	14686117	1940.16666666667	119763.651388889	15036.2664351852	192939.171617299	16045.4375	53130.5391159612	18.5	0.277777777777778	106.631944444444	6236.41446759258	4533.33935906185	16618.7402927506	52.375	204.35	72910.8880109484	253.586111111111	14186326.6643123
m21371	14644729	754.666666666667	122878.130555556	13398.4872685185	177276.962787857	14287.3111111111	49779.0505324074	1.25	0.25	89.375	6949.59016203703	4227.75991724537	15098.7789595504	5.8125	126.266666666667	67920.2980543308	230.706481481482	14171704.3033366
m66160	14514933	787	126569.125694444	15758.6188657407	186374.175748527	14416.5666666667	48122.2822078924	9.41666666666665	0	96.1527777777777	5810.60594135802	4303.54091282618	15364.3354305831	24.0625	138.6	69868.3778888236	260.259259259259	14027029.8794394
