sample_id	total	catalytic_complex	phosphopyruvate_hydratase_complex	histone_deacetylase_complex	anthranilate_synthase_complex	carbamoyl_phosphate_synthase_complex	X3_isopropylmalate_dehydratase_complex	acetyl_CoA_carboxylase_complex	exodeoxyribonuclease_VII_complex	phenylalanine_tRNA_ligase_complex	exodeoxyribonuclease_V_complex	beta_galactosidase_complex	ATP_independent_citrate_lyase_complex	ethanolamine_ammonia_lyase_complex	glutamate_cysteine_ligase_complex	dynein_complex	Elg1_RFC_like_complex	box_H_ACA_snoRNP_complex	SUMO_activating_enzyme_complex	DNA_helicase_complex	urease_complex	glutathione_synthase_complex	succinate_CoA_ligase_complex	isoamylase_complex	X_Ni_Fe__hydrogenase_complex	tRNA_specific_adenosine_34_deaminase_complex	catalytic_step_1_spliceosome	catalytic_step_2_spliceosome	phosphopantothenoylcysteine_decarboxylase_complex	viral_terminase__large_subunit	mannosyl_oligosaccharide_1_2_alpha_mannosidase_complex	ubiquitin_activating_enzyme_complex	endoribonuclease_complex	phosphatase_complex	glutaminase_complex	ATPase_complex	methylcrotonoyl_CoA_carboxylase_complex	endodeoxyribonuclease_complex	endonuclease_complex	exoribonuclease_complex	GTPase_complex	peptidase_complex	beta_N_acetylhexosaminidase_complex	oxidoreductase_complex	transferase_complex	Remaining
m40055	167641028	12.5	57187.6666666667	7.64583333333334	660	214.833333333333	31004.8333333333	164682.783333333	50441.5	0	73124.5	870022.166666667	10967	1486.75	0	3.08333333333333	1.5	0.166666666666667	1.5	33559.15	9966	2	133.75	2	0	0.5	0.125	7.125	6759.5	4819.5	0	0	12.2916666666667	7.93333333333334	0	148.1875	912.916666666667	228152.5	0.25	922.8	0	34819.375	0	877874.534722222	1074422.66855159	164108686.463393
m21110	125942242	3.66666666666667	48884.75	0.583333333333332	2859	76.3333333333333	30146	182959.45	41454	0	15891.5	785770.5	13698.8333333333	584.25	0	0.408333333333333	0	0	0	34588.525	3435	0	147.75	0	0	0.5	0	8	5104	11086	0	0	2.08333333333333	1.83333333333333	0	19.0833333333333	1106.25	174813.5	0	51.8	1	13326.75	0	385174.444444444	1013714.43472222	123177331.770833
m42475	114708520	5	35099.0333333333	0.5	87	148.833333333333	19343.5	139880	27597.5	0	248.5	860771.833333333	7414.66666666667	336.25	0	1	0	0.333333333333333	0	25556.5	1337.5	0	5.25	7	0	0	0	1	14982	1110	0	0	2.25	0.75	0.5	1	1555.33333333333	128259.916666666	0	583.75	0.5	7805.25	0	160378.5	753672.470833333	112522326.579167
m42480	76865758	3.33333333333333	34501.4166666667	0.25	19	11	16421.5	134518.533333333	21029.25	0	862	404074.5	9073.83333333333	644	0	0	0	0	0	23076.85	1417	0	3.75	2	0	0	0	44.5	6237	6079	0	0	2.25	0	0	2.75	630.333333333333	96085.5	0	125.3	2.5	25194.0833333333	0	142812.041666667	645757.404166667	75297127.1208333
m21298	58351570	4.5	20033.75	0	4	27.1666666666667	6884	79816	15177.25	0	470	418648.666666667	5174.33333333333	180.75	0	1.125	0	0	0	17072.9	512.5	0	2.25	3	0	0	0	0	6462	1950	0	0	5	0	0	2.25	460.25	66536.1666666665	0	79.1666666666667	0	6392.66666666665	0	69988.4791666666	386913.383333334	57248768.4458333
m21108	47890622	0	18380.3333333333	0	4620	58.1666666666667	10912	53924.0833333333	15843.6666666666	79	19272.5	216920	13443.5	660.75	0	333.1	0	0	0	8810.1	479	0	239	0	0	0	0	1.25	2215	1522	0	0	111.333333333333	0.666666666666665	0	3.375	1133.25	57005.75	0	766.133333333333	17	10263.75	0	269444.25	334807.65952381	46849355.3821429
m71062	46524471	2.5	19886.75	0.5	527	80.6666666666667	14001	61804.3333333333	14429.5	0	3077	347020.666666667	4806.16666666667	610.75	0	43	1	0	0	13293.25	737	0	25.25	0	0	0	0	1	4899	624	0	0	0	0	0	2.5	1588	66330.0833333335	0	256.833333333333	0	15525.75	0	106800.3125	361423.295833333	45486673.8916667
m21129	42174717	0	15037.5	0.75	6	40.5	7414	62859.25	12375.5	0	917	249440	2983.16666666667	414.75	0	2.33333333333333	0	0	1.25	12335.5	1495	0	1.5	2	0	0	0	1	5336	978.5	0	0	3.25	1.33333333333333	0	3	808.25	52346.6666666665	0	81.6666666666667	0.5	6621	0	67123.7083333333	320309.606547619	41355776.5184524
m21301	41945891	5.5	14430.4166666667	0	2	17.6666666666667	4428	57651.5333333333	10989.25	0	285.5	290458	4195.33333333333	94.75	0	0.25	0	0	0	12319.05	384	0	3.25	0	0	0	0	1	4130	1374	0	0	3.25	0	1	0.75	460.833333333333	47712.5833333334	0	49.6666666666667	0	5437.75	0	49440.5625	283126.504761905	41158888.5994047
m71054	30472858	0.5	11399.25	0	108	63.1666666666667	6307	41199.8333333333	9039.25	0	1878	193675.5	2563.5	357.25	0	1	0	0	0	7471.05	718.5	0	1.75	0	0	0	0	0	3588	2232.5	0	0	1.83333333333333	18	0.5	0.833333333333333	227.166666666667	39691.75	0	66.5	0	7343.5	0.166666666666667	85727.9166666666	218986.9375	29840188.8458334
m71051	29488025	5.5	12080.1166666667	2.49305555555556	340	13.8333333333333	3199	41127.6333333333	9468.25	0	4271.5	209482	16166.3333333333	156.75	0	4.16666666666667	268	0.166666666666667	0	8559.5	651	0	9.5	0	0	0	0	3	1350	1135.5	0	0	0.25	38.5	0	4.5625	403.416666666667	40771.4166666666	0	55.9166666666667	0.25	3220.45833333333	0	105389.027777778	235662.307638889	28794184.6506945
m66107	25109407	0	10757.8333333333	0	906	3.5	5427	32441.3333333333	8854	0	11752.5	132394.5	7168.83333333333	381	0	253.25	0	0	0	5321.75	30	0	138.25	0	0	0	0	0	821	921	0	0	0	0	0	0.5	680	35991.3333333334	0	5.83333333333333	0	5075.5	0	150209.25	201641.7125	24498231.1208333
m41010	25020998	3	9228.33333333333	0.5	3	11	3879	36111.3333333333	7023	0	157.5	145730.833333333	3461	435.75	0	0.25	0	0	0.5	7838.5	305.5	0	2	7	0	0	0	4	1486	866.5	0	0	1.5	0	0	6.5	368.916666666667	33674.75	0	103.083333333333	0	2348.5	0.2	39539.5833333333	193036.717857143	24535363.7488095
