sample_id	total	beta_galactosidase_complex	phosphopantothenoylcysteine_decarboxylase_complex	exodeoxyribonuclease_V_complex	transferase_complex	urease_complex	X3_isopropylmalate_dehydratase_complex	catalytic_complex	phenylalanine_tRNA_ligase_complex	ATPase_complex	Remaining
m40055	167641028	870022.166666667	6759.5	73124.5	1074422.66855159	9966	31004.8333333333	12.5	0	148.1875	165575567.643949
m21110	125942242	785770.5	5104	15891.5	1013714.43472222	3435	30146	3.66666666666667	0	19.0833333333333	124088157.815277
m42475	114708520	860771.833333333	14982	248.5	753672.470833333	1337.5	19343.5	5	0	1	113058158.195834
m42480	76865758	404074.5	6237	862	645757.404166667	1417	16421.5	3.33333333333333	0	2.75	75790982.5125
m21298	58351570	418648.666666667	6462	470	386913.383333334	512.5	6884	4.5	0	2.25	57531672.7
m21108	47890622	216920	2215	19272.5	334807.65952381	479	10912	0	79	3.375	47305933.4654762
m71062	46524471	347020.666666667	4899	3077	361423.295833333	737	14001	2.5	0	2.5	45793308.0375
m21129	42174717	249440	5336	917	320309.606547619	1495	7414	0	0	3	41589802.3934524
m21301	41945890.9999999	290458	4130	285.5	283126.504761905	384	4428	5.5	0	0.75	41363072.745238
m71054	30472858.0000001	193675.5	3588	1878	218986.9375	718.5	6307	0.5	0	0.833333333333333	30047702.7291667
m71051	29488025.0000001	209482	1350	4271.5	235662.307638889	651	3199	5.5	0	4.5625	29033399.1298612
m66107	25109407	132394.5	821	11752.5	201641.7125	30	5427	0	0	0.5	24757339.7875
m41010	25020998	145730.833333333	1486	157.5	193036.717857143	305.5	3879	3	0	6.5	24676392.9488095
m21065	23605340	219874.833333333	2490	49	160362.825	500	3350.5	2	0	0.5	23218710.3416667
m21295	23076371	136832.5	1178	1409	175736.220138889	555	2249	0	37	2.375	22758371.9048611
m100710	22476809.9999999	90112.3333333333	240	7011	171102.783333333	668	3045	2	100	9.33333333333333	22204519.5499999
m71050	22476650.0000001	116806	1702	161	170766.167857143	510	3070	1	0	0	22183633.8321429
m32013	21886689	103989.833333333	1879	151	164987.542974387	600	3449	1	54	29.594696969697	21611548.0289953
m32019	21736838.9999999	104890.5	1395	291.5	171473.889880953	509.5	2180	1.5	18	17.625	21456061.485119
