sample_id	total	Methanobrevibacter	Subgroup_6_unclassified	Bifidobacteriaceae_unclassified	Bifidobacterium	Corynebacteriaceae_unclassified	Corynebacterium_1	Geodermatophilaceae_unclassified	Brevibacterium	Brachybacterium	Dermacoccaceae_unclassified	Flexivirga	Curtobacterium	Rathayibacter	Arthrobacter	Sanguibacter	Pseudonocardiaceae_unclassified	Saccharopolyspora	Streptomycetaceae_unclassified	Incertae_Sedis	Coriobacteriaceae_unclassified	Eggerthella	Enterorhabdus	Gordonibacter	Senegalimassilia	Bacteria_unclassified	Bacteroidetes_unclassified	Bacteroides	Bacteroidales_S24-7_group_unclassified	Bacteroidales_unclassified	Barnesiella	Parabacteroides	Porphyromonadaceae_unclassified	Prevotella_2	Prevotella_7	Prevotella_9	Alistipes	Rikenellaceae_unclassified	Empedobacter	Chloroplast_unclassified	Gastranaerophilales_unclassified	uncultured	Tumebacillus	Aeribacillus	Bacillaceae_unclassified	Bacillus	Caldibacillus	Oceanobacillus	Paucisalibacillus	Bacillales_unclassified	Exiguobacterium	Listeria	Aneurinibacillus	Paenibacillus	Kurthia	Planococcaceae_unclassified	Sporosarcina	Staphylococcaceae_unclassified	Staphylococcus	Thermoactinomyces	Bacilli_unclassified	Enterococcaceae_unclassified	Enterococcus	Lactobacillaceae_unclassified	Lactobacillus	Pediococcus	Lactobacillales_unclassified	Leuconostoc	Weissella	Lactococcus	Streptococcus	Clostridia_unclassified	Caldicoprobacter	Christensenellaceae_R-7_group	Candidatus_Arthromitus	Clostridiaceae_1_unclassified	Clostridium_sensu_stricto_1	Clostridium_sensu_stricto_13	Clostridium_sensu_stricto_18	Clostridium_sensu_stricto_7	Clostridiales_unclassified	Clostridiales_vadinBB60_group_unclassified	Anaerofustis	Anaerosalibacter	Ezakiella	Tepidimicrobium	Anaerovorax	Family_XIII_AD3011_group	Family_XIII_UCG-001	Family_XIII_unclassified	Mogibacterium	[Eubacterium]_brachy_group	[Eubacterium]_nodatum_group	Acetatifactor	Acetitomaculum	Anaerosporobacter	Anaerostipes	Blautia	Coprococcus_1	Coprococcus_3	Dorea	Eisenbergiella	Epulopiscium	Acidobacteriaceae_(Subgroup_1)	Hungatella	Incertae_Sedis	Lachnoclostridium	Lachnoclostridium_5	Lachnospira	Lachnospiraceae_FCS020_group	Lachnospiraceae_NC2004_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_NK4B4_group	Lachnospiraceae_UCG-001	Lachnospiraceae_UCG-004	Lachnospiraceae_UCG-005	Lachnospiraceae_UCG-006	Lachnospiraceae_UCG-010	Lachnospiraceae_unclassified	Marvinbryantia	Oribacterium	Pseudobutyrivibrio	Roseburia	Stomatobaculum	Tyzzerella	Tyzzerella_3	[Eubacterium]_hallii_group	[Eubacterium]_oxidoreducens_group	[Eubacterium]_ventriosum_group	[Ruminococcus]_gauvreauii_group	Asaccharospora	Intestinibacter	Peptostreptococcaceae_unclassified	Peptostreptococcus	Romboutsia	Anaerofilum	Anaerotruncus	Candidatus_Soleaferrea	Faecalibacterium	Flavonifractor	Hydrogenoanaerobacterium	Intestinimonas	Oscillibacter	Pseudoflavonifractor	Ruminiclostridium	Ruminiclostridium_5	Ruminiclostridium_6	Ruminiclostridium_9	Ruminococcaceae_NK4A214_group	Ruminococcaceae_UCG-002	Ruminococcaceae_UCG-003	Ruminococcaceae_UCG-005	Ruminococcaceae_UCG-007	Ruminococcaceae_UCG-009	Ruminococcaceae_UCG-010	Ruminococcaceae_UCG-013	Ruminococcaceae_UCG-014	Ruminococcaceae_unclassified	Ruminococcus_1	Ruminococcus_2	Subdoligranulum	[Eubacterium]_coprostanoligenes_group	Gelria	Candidatus_Stoquefichus	Erysipelatoclostridium	Erysipelotrichaceae_unclassified	Faecalitalea	Holdemania	Incertae_Sedis	Turicibacter	Firmicutes_unclassified	Acidaminococcus	Phascolarctobacterium	Dialister	Megasphaera	Veillonella	Veillonellaceae_unclassified	Fusobacterium	Leptotrichia	Phenylobacterium	Methylobacterium	Thalassospira	Mitochondria_unclassified	Sphingomonas	Parasutterella	Sutterella	Bilophila	Campylobacter	Cosenzaea	Enterobacteriaceae_unclassified	Escherichia-Shigella	Proteus	Salmonella	Trabulsiella	Gammaproteobacteria_unclassified	Pasteurellaceae_unclassified	Pseudomonadaceae_unclassified	Candidatus_Saccharimonas	Anaeroplasma	Mollicutes_RF9_unclassified	Mollicutes_unclassified	Akkermansia
0000.2124.20200121	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001.2122.20200110	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001.2123.20200110	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0001.2125.20200124	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0002.2118.20200129	19380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	1792	0	0	0	56	0	3974	0	0	0	0	0	2	4389	0	109	0	2138	0	232	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	2354	0	2720	2	6	0	1548	0	0	0	0	1
0002.2126.20200124	3959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	297	0	0	0	1	0	664	0	0	0	0	0	0	871	0	7	0	435	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	607	0	695	0	0	0	344	0	0	0	0	0
0002.2127.20200124	30549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	9	2617	0	0	0	24	0	5670	0	0	0	0	0	1	6057	0	83	0	3625	0	385	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	4522	0	5313	1	0	0	2196	0	0	0	0	1
0187.gAm1c1.Day1.MST	12527	0	0	0	63	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1758	0	0	0	928	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1277	0	0	0	0	0	0	0	0	0	10	0	3	0	0	0	37	92	0	0	0	0	0	3	6	23	0	3	2	179	0	0	0	0	55	0	1	70	0	0	0	155	95	0	0	6	0	1220	0	260	11	0	220	1	3512	36	0	0	29	0	22	3	0	0	36	0	0	0	0	0	0	0	4	0	3	0	0	0	168	0	0	147	6	144	0	0	0	9	0	0	0	4	1089	459	0	1	1	126	0	0	60	5	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	3	41	0	74
0187.gAm1c1.Day10.MST	12659	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	671	0	0	0	331	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3418	0	1	0	0	0	0	2	0	0	25	0	184	0	0	0	16	46	0	0	0	0	0	2	3	3	0	3	0	168	0	0	0	0	75	0	0	31	0	0	0	92	112	0	0	9	0	1521	0	226	10	0	203	0	3137	26	0	0	170	0	21	0	0	0	3	0	0	0	0	0	37	0	0	0	0	0	0	0	522	0	0	79	31	187	0	0	3	6	0	0	0	0	154	382	0	0	0	18	0	2	10	4	0	0	0	489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	48	31	0	11
0187.gAm1c1.Day21.MST	13362	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1259	0	0	0	387	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1	2490	0	4	0	0	0	0	0	0	0	0	2	485	0	0	0	36	44	0	0	0	0	3	2	2	6	0	2	3	54	0	0	0	0	73	0	0	18	0	0	0	94	79	0	0	4	0	507	0	89	16	0	321	3	1751	22	0	0	73	0	22	13	0	0	14	0	0	0	0	0	146	1	0	1	0	1	0	0	383	0	0	111	15	161	0	0	16	100	0	0	0	5	660	383	84	0	0	126	1	0	5	10	0	2	0	2852	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	230	0	21
