sample_id	total	1.-.-.-	1.-.-.- ;1.1.1.- ;1.1.1.290	1.-.-.- ;1.1.1.100	1.-.-.- ;1.1.1.125	1.-.-.- ;1.1.1.131	1.-.-.- ;1.1.1.18	1.-.-.- ;1.1.1.274
0159_AP39_21002_20171217_ST	35829	84	0	0	0	0	0	0
0159_AP39_21006_20171202_ST	200401	442	0	0	0	0	0	0
0159_AP39_21009_20171107_ST	311056	339	0	0	0	0	0	0
0159_AP39_21010_20171118_ST	592593	1641	0	0	0	0	0	0
0159_AP39_21011_20171025_ST	148920	848	0	0	0	0	0	0
0159_AP39_21014_20171107_ST	450522	1708	0	0	0	0	0	0
0159_AP39_21016_20171117_ST	138309	387	0	0	0	0	0	0
0159_AP39_21017_20171111_ST	45760	140	0	0	0	0	0	0
0159_AP39_21019_20171025_ST	256684	753	0	0	0	0	0	0
0159_AP39_21020_20171127_ST	478810	1268	0	0	0	0	0	0
0159_AP39_21021_20171021_ST	1283286	3556	0	0	0	0	0	0
0159_AP39_21024_20171126_ST	1395	6	0	0	0	0	0	0
0159_AP39_21026_20171017_ST	84487	493	0	0	0	0	0	0
0159_AP39_21027_20171120_ST	468741	1154	0	0	0	0	0	0
0159_AP39_21031_20171208_ST	129652	462	0	0	0	0	0	0
0159_AP39_21032_20171214_ST	522664	1395	0	0	0	0	0	0
0159_AP39_21033_20171106_ST	454681	1154	0	0	0	0	0	0
0159_AP39_21034_20171102_ST	290362	1331	0	0	0	0	0	0
0159_AP39_21035_20171026_ST	39882	141	0	0	0	0	0	0
0159_AP39_21037_20171123_ST	407511	1318	0	0	0	0	0	0
0159_AP39_21038_20171212_ST	1352	3	0	0	0	0	0	0
0159_AP39_21039_20171025_ST	127649	580	0	0	0	0	0	0
0159_AP39_21040_20171006_ST	304507	2133	0	0	0	0	0	0
0159_AP39_21041_20171002_ST	302384	981	0	0	0	0	0	0
0159_AP39_21042_20171130_ST	483712	1483	0	0	0	0	0	0
0159_AP39_21043_20171031_ST	78476	233	0	0	0	0	0	0
0159_AP39_21044_20180525_ST	177377	779	0	0	0	0	0	0
0159_AP39_21045_20171020_ST	40781	154	0	0	0	0	0	0
0159_AP39_21046_20171002_ST	15025	57	0	0	0	0	0	0
0159_AP39_21047_20171127_ST	37926	115	0	0	0	0	0	0
0159_AP39_21048_20180418_ST	188501	520	0	0	0	0	0	0
0159_AP39_21049_20171023_ST	343111	1081	0	0	0	0	0	0
0159_AP39_21051_20180109_ST	889590	3133	0	0	0	0	0	0
0159_AP39_21052_20180510_ST	1098655	3374	93	0	1	4	1	2
0159_AP39_21053_20180126_ST	779333	2029	0	0	0	0	0	0
0159_AP39_21055_20180607_ST	1170167	3649	0	0	0	0	0	0
0159_AP39_21056_20180125_ST	1981508	5161	0	0	0	0	0	0
0159_AP39_21057_20180521_ST	2036948	6065	0	0	0	0	0	0
0159_AP39_21059_20171128_ST	82035	209	0	0	0	0	0	0
0159_AP39_21061_20180816_ST	1990302	5628	0	0	0	0	0	0
0159_AP39_21062_20180306_ST	2291154	6891	0	0	0	0	0	0
0159_AP39_21064_20171222_ST	453739	1469	0	0	0	0	0	0
0159_AP39_21065_20180201_ST	2110261	4872	0	0	0	0	0	0
0159_AP39_21066_20171129_ST	16667	42	0	0	0	0	0	0
0159_AP39_21069_20181105_ST	1676621	4587	0	0	0	0	0	0
0159_AP39_21072_20180914_ST	2295856	6195	0	0	0	0	0	0
0159_AP39_21076_20180429_ST	2129135	7097	0	0	0	0	0	0
0159_AP39_21082_20180405_ST	2304032	9812	0	0	0	0	0	0
0159_AP39_21083_20180113_ST	1438907	4764	0	0	0	0	0	0
0159_AP39_21084_20171121_ST	142294	471	0	0	0	0	0	0
0159_AP39_21085_20180602_ST	1826955	3711	0	0	0	0	0	0
0159_AP39_21086_20180503_ST	2201887	6954	0	0	0	0	0	0
0159_AP39_21087_20180228_ST	2340371	9750	0	0	0	0	0	0
0159_AP39_21088_20180323_ST	1505237	4955	0	0	0	0	0	0
0159_AP39_21090_20180504_ST	2477451	7708	0	0	0	0	0	0
0159_AP39_21093_20180310_ST	1802944	9197	0	0	0	0	0	0
0159_AP39_21094_20171202_ST	184688	471	0	0	0	0	0	0
0159_AP39_21099_20171122_ST	250971	780	0	0	0	0	0	0
0159_AP39_21101_20171111_ST	373013	872	0	0	0	0	0	0
0159_AP39_21102_20180117_ST	283860	883	0	0	0	0	0	0
0159_AP39_21103_20171121_ST	137393	415	0	0	0	0	0	0
0159_AP39_21104_20180817_ST	1226826	4880	0	0	0	0	0	0
0159_AP39_21105_20171117_ST	142673	606	0	0	0	0	0	0
0159_AP39_21106_20171115_ST	241279	707	0	0	0	0	0	0
0159_AP39_21108_20171121_ST	1627314	9126	0	0	0	0	0	0
0159_AP39_21109_20181018_ST	1976286	6096	0	0	0	0	0	0
