	isFemale	raceCaucasian	raceOther	AGE	BMI	CD4	log_vl_ll_nn	current_smoker	past_smoker	F5PPD_NOW	PACK_YEARS	IVDU_EVER	DIABETES	a4hivmed_nn	a4hivmed_current_nn	ADMA	ARG	SDMA	IL6	log_hscrp	ET1	D2D	log_bnp
Streptococcus	0.703264476615655	0.861743522677964	0.385940924183321	0.837670719196427	0.735561182234777	0.891086615906319	0.230021462001925	0.373050227163245	0.214146557054207	0.360755199848875	0.468543792734962	0.387324426570573	0.977424150646919	0.0417417533424864	0.195504951616147	0.593936880030361	0.703497496684449	0.869505983176631	0.583561396301346	0.863173480204746	0.234521256664177	0.25490267522424	0.380562767440077
Veillonella	0.888232574335338	0.996092724014838	0.0759576648462594	0.182071118302591	0.139480524617221	0.281874084409023	0.586591897575408	0.684724895552535	0.548405820276259	0.845299888910322	0.989854186843446	0.864162493611679	0.888736817426474	0.0340021375300411	0.174155071992124	0.506834759897585	0.707886330646594	0.720213860486934	0.0349243322474441	0.998981829962598	0.78026298052423	0.43006713909211	0.172782601086535
Prevotella_7	0.796970402809978	0.153921771847336	0.307455109887036	0.167547357756156	0.188434672033439	0.418248841449114	0.659361329875812	0.318746960364155	0.377845740971812	0.832759608224884	0.294437601359777	0.545346709578231	0.895674319821873	0.121969025500338	0.111052166730396	0.774837677440947	0.832475662715061	0.867818434474457	0.386511479683924	0.727182437222751	0.116542840678926	0.731514890416693	0.0858156826032755
Pasteurellaceae_unclassified	0.436293466466669	0.0128438090074709	0.850558860017277	0.612669460559677	0.148030764838221	0.87689180650888	0.56916490350495	0.832503801196661	0.291354296845175	0.71585394153708	0.0145816082267506	0.388561377917351	0.40187231692532	0.153329645695447	0.0613326624771688	0.54471271943952	0.234325808998559	0.363868020114771	0.799826197342897	0.0612240871685189	0.0667752041295365	0.841402526228643	0.174200064389419
Neisseria	0.830525573678978	0.0650572551951316	0.100333443266698	0.372207166373342	0.445278229775145	0.050770171999814	0.0289452803749997	0.517485387338281	0.0458228341543136	0.379834821919466	0.0677876675056479	0.228781085798739	0.0233060702477589	0.281577827952285	0.541982470698615	0.380447479751838	0.455293487081301	0.205364316648711	0.949122244764472	0.0826187946718261	0.0841485995520538	0.558267174612458	0.450281004787187
Rothia	0.292834884279194	0.176322613404782	0.130326669471875	0.389637957823185	0.989202339193487	0.652535849926135	0.997070867493812	0.458773458880873	0.24936066370477	0.472676751079125	0.901202262594051	0.891504405874123	0.995621352412251	0.0460720148089864	0.161648571788315	0.692739775641623	0.415726745187152	0.53252125068142	0.591150034431968	0.939658599920597	0.363642004585003	0.789853694135107	0.312626389407423
Fusobacterium	0.338658558796392	0.226274590076004	0.607970366886624	0.890261746464163	0.175504209257567	0.950023434598561	0.0511937227624836	0.627678044398327	0.674787115147819	0.407193064178217	0.873869078300788	0.348287786795273	0.132527188058836	0.6471604432511	0.573055453236678	0.812216905418036	0.670208765582601	0.779344536291622	0.851714681478009	0.45700925485289	0.369758942202367	0.0286542128559427	0.786076760160493
Leptotrichia	0.676652471063845	0.0106310345782679	0.0205741022250064	0.185776507859813	0.260194639586581	0.457652631869313	0.543488772312732	0.129097078896665	0.0763494752089819	0.669776989596944	0.0563622861668382	0.433633557587092	0.0535275398373385	0.0214990013000883	0.00452689513482981	0.858158604075073	0.269716070596589	0.0356046017571023	0.610971030538968	0.687689362985906	0.932039746005542	0.468526199374956	0.562814490179306
Prevotella	0.584181165644325	0.00353576515041596	0.398062084796495	0.488333464460022	0.848742252103965	0.953733785519867	0.0203799430459995	0.696854305396305	0.336494336706207	0.910221537249206	0.921481705569943	0.221313480112256	0.672506574625464	0.902090450180814	0.520566532984108	0.0358381259960312	0.0353418415203983	0.00635046436465267	0.386925635257954	0.154266687062392	0.255424724020371	0.259015196744431	0.382379399284319
Porphyromonas	0.948476365684321	0.217353318359358	0.28930825751146	0.265215417218266	0.735763691501207	0.430163953667444	0.0513300079624544	0.591679066534434	0.744891653080482	0.803585172860601	0.218274834534912	0.522767019998476	0.307178177369906	0.139166681487465	0.415550628803878	0.219585168048783	0.582329734469278	0.448868409779418	0.611504069444167	0.369058835582408	0.522151243486526	0.257036124010828	0.164813360397699
Alloprevotella	0.597591419959209	0.389371600978908	0.295891599412519	0.142996237669936	0.98278494688877	0.824702644526217	0.156124094355117	0.787150326005232	0.741547470854729	0.785863723321192	0.531649430108828	0.311086484504227	0.499240895909684	0.0959382172880078	0.343309483648598	0.481688746051986	0.721761823572614	0.793322223166877	0.990300606027654	0.46631137795455	0.485619885520323	0.308479848328592	0.168904104395938
Capnocytophaga	0.938834987210189	0.0293053585412097	0.19303778517056	0.462704899211879	0.0634257698786726	0.0654908244075045	0.318816687423825	0.370846238180276	0.944528678424946	0.879348411764738	0.998782703386225	0.550841264861381	0.393479124075958	0.581759502800249	0.8427937955281	0.963286267790253	0.193142202229206	0.644696856162074	0.331259817806024	0.196827935667464	0.607163421877514	0.830887661275583	0.805295955497049
Gemella	0.435040727331037	0.521068822653865	0.626194570031901	0.679048730415423	0.0358097803656557	0.0938428675776376	0.535109038712459	0.705680893807249	0.368798983978667	0.903816417807436	0.783796442226018	0.62168119735737	0.586783537031275	0.306793143421171	0.233017456270311	0.0956069593576517	0.224121063399383	0.635582343201344	0.791705720689758	0.752662389093619	0.140615900666148	0.157186956208677	0.70281056468875
Granulicatella	0.28371283797259	0.885452455121322	0.370183740074914	0.430378460502153	0.58615275763119	0.386676729486358	0.97243117233972	0.856532108096768	0.135754023674668	0.407752246163163	0.557642041627941	0.392060793788149	0.772277147037	0.20685915472942	0.239722567993115	0.291223309550094	0.378496296045834	0.967391183124152	0.776616428546455	0.885259018511925	0.769763429806035	0.354383833458896	0.280987671204058
Actinomyces	0.83510593650071	0.413097916871256	0.205239652853374	0.138004263803191	0.142353623296628	0.0586904923529411	0.0518648400468635	0.638651080094249	0.899362064762468	0.599360840448336	0.345558357673386	0.917572988027049	0.701427836987427	0.153244276813035	0.619893217636187	0.76424147085987	0.942236871629399	0.835296618898647	0.173947457158021	0.24558353596057	0.242320509878254	0.190837478524617	0.473120845799469
Campylobacter	0.757896833236656	0.0785201244508652	0.641993602749023	0.255554709680524	0.663820322337957	0.651358405606118	0.408247667345786	0.81593093643587	0.780636074566501	0.615295216009335	0.0325175369797926	0.277045524509479	0.189114636836777	0.00232261932910714	0.000731160062225323	0.560542145993403	0.652149757552336	0.845448651663917	0.645344066307033	0.00715134166503563	0.353307297532708	0.139687320715865	0.31045251475636
Saccharibacteria_unclassified	0.340928606603755	0.00676354707823621	0.197199780740394	0.158956246695166	0.288966370056635	0.771494351386147	0.0430167062136137	0.890949853820711	0.659487911167589	0.310394030701934	0.624835127895767	0.297858969993805	0.610546382249801	0.528297922317873	0.699352648838325	0.619297131366056	0.458654697537972	0.501802273061814	0.210410774231705	0.878972299572766	0.6701162671175	0.577191052319258	0.0392127070217312
Haemophilus	0.70807941178668	0.183344668205585	0.595861402631002	0.110622975622527	0.175528824706664	0.4179626533908	0.785163743785991	0.725776849054039	0.725396612084866	0.455040430459598	0.128351221758056	0.959952466752821	0.670004822345836	0.134659064145024	0.13580120603627	0.183544537972409	0.425347413716058	0.921795732678147	0.517379735631975	0.0979597192072256	0.897977928512868	0.0168130488950994	0.617795948686984
Megasphaera	0.302029249254608	0.0223407331735232	0.670754941267695	0.882421719813552	0.857149149135634	0.000658856938682126	0.015168491614906	0.148676793727507	0.198178109683159	0.200921880682961	0.0290151810408312	0.653458596216218	0.274019704718324	0.205960891167551	0.0157327304429965	0.395275955506107	0.513911780919016	0.955971887086333	0.645557463201242	0.0851851460266759	0.635091620282148	0.1004887892886	0.834238321793673
Prevotella_6	0.624295881820395	0.0168304968054641	0.582572751883936	0.560032105830118	0.713791796725964	0.022142200646492	0.132373918511553	0.69295346363438	0.347783055188675	0.958990132775106	0.374115061372927	0.751251156689725	0.711718311474772	0.696678304546335	0.820711127217694	0.548414604938757	0.924782782291173	0.511732745884404	0.286408927672752	0.0325212942173537	0.432681831339832	0.661783325268939	0.064299369903262
Treponema_2	0.733640712780111	0.459110099375546	0.459170240412242	0.0991651470323827	0.383071330047297	0.629972982374051	0.124378240848875	0.378442202628728	0.433436077997848	0.918005390962423	0.096528892687509	0.119867107315696	0.0300537348257435	0.351216722366841	0.835670441093432	0.0720580612684508	0.415815684181964	0.00827383325946199	0.545434112282388	0.420718034165639	0.394790639950328	0.555689426193021	0.105395766091584
