N:,468
Mean:,0.0599373
Stdev:,0.1595495
Median:,0
95% CI:(,0,0.5626992,)

eta_sqrd,effect,N1,N2,alpha,1-beta
0.0061,0.025,9,9,0.05,0.811,Small
0.0061,0.025,11,11,0.05,0.837,Small
0.0061,0.025,12,12,0.05,0.851,Small
0.0061,0.025,13,13,0.05,0.86,Small
0.0061,0.025,14,14,0.05,0.874,Small
0.024,0.05,7,7,0.05,0.851,Medium-Small
0.024,0.05,8,8,0.05,0.822,Medium-Small
0.024,0.05,9,9,0.05,0.84,Medium-Small
0.024,0.05,10,10,0.05,0.862,Medium-Small
0.024,0.05,11,11,0.05,0.887,Medium-Small
0.0525,0.075,4,4,0.05,0.853,Medium-Small
0.0525,0.075,7,7,0.05,0.866,Medium-Small
0.0525,0.075,8,8,0.05,0.877,Medium-Small
0.0525,0.075,9,9,0.05,0.886,Medium-Small
0.0525,0.075,10,10,0.05,0.904,Medium-Small
0.0896,0.1,4,4,0.05,0.897,Medium
0.0896,0.1,5,5,0.05,0.81,Medium
0.0896,0.1,6,6,0.05,0.84,Medium
0.0896,0.1,7,7,0.05,0.927,Medium
0.0896,0.1,8,8,0.05,0.916,Medium
0.1333,0.125,4,4,0.05,0.898,Medium-Large
0.1333,0.125,5,5,0.05,0.867,Medium-Large
0.1333,0.125,6,6,0.05,0.853,Medium-Large
0.1333,0.125,7,7,0.05,0.939,Medium-Large
0.1333,0.125,8,8,0.05,0.93,Medium-Large
0.1813,0.15,4,4,0.05,0.924,Medium-Large
0.1813,0.15,5,5,0.05,0.896,Medium-Large
0.1813,0.15,6,6,0.05,0.844,Medium-Large
0.1813,0.15,7,7,0.05,0.96,Medium-Large
0.1813,0.15,8,8,0.05,0.959,Medium-Large
0.2316,0.175,2,2,0.05,0.807,Large
0.2316,0.175,4,4,0.05,0.944,Large
0.2316,0.175,5,5,0.05,0.898,Large
0.2316,0.175,6,6,0.05,0.909,Large
0.2316,0.175,7,7,0.05,0.964,Large
0.2825,0.2,2,2,0.05,0.824,Very Large
0.2825,0.2,4,4,0.05,0.953,Very Large
0.2825,0.2,5,5,0.05,0.941,Very Large
0.2825,0.2,6,6,0.05,0.922,Very Large
0.2825,0.2,7,7,0.05,0.979,Very Large
0.3326,0.225,2,2,0.05,0.845,Very Large
0.3326,0.225,4,4,0.05,0.965,Very Large
0.3326,0.225,5,5,0.05,0.955,Very Large
0.3326,0.225,6,6,0.05,0.956,Very Large
0.3326,0.225,7,7,0.05,0.984,Very Large
0.3809,0.25,2,2,0.05,0.885,Very Large
0.3809,0.25,3,3,0.05,0.807,Very Large
0.3809,0.25,4,4,0.05,0.979,Very Large
0.3809,0.25,5,5,0.05,0.961,Very Large
0.3809,0.25,6,6,0.05,0.95,Very Large
0.4267,0.275,2,2,0.05,0.875,Very Large
0.4267,0.275,3,3,0.05,0.834,Very Large
0.4267,0.275,4,4,0.05,0.983,Very Large
0.4267,0.275,5,5,0.05,0.975,Very Large
0.4267,0.275,6,6,0.05,0.973,Very Large
0.4697,0.3,2,2,0.05,0.9,Very Large
0.4697,0.3,3,3,0.05,0.844,Very Large
0.4697,0.3,4,4,0.05,0.99,Very Large
0.4697,0.3,5,5,0.05,0.972,Very Large
0.4697,0.3,6,6,0.05,0.969,Very Large
0.5097,0.325,2,2,0.05,0.906,Very Large
0.5097,0.325,3,3,0.05,0.86,Very Large
0.5097,0.325,4,4,0.05,0.86,Very Large
0.5097,0.325,5,5,0.05,0.971,Very Large
0.5097,0.325,6,6,0.05,0.971,Very Large
0.5466,0.35,2,2,0.05,0.916,Very Large
0.5466,0.35,3,3,0.05,0.87,Very Large
0.5466,0.35,4,4,0.05,0.89,Very Large
0.5466,0.35,5,5,0.05,0.979,Very Large
0.5466,0.35,6,6,0.05,0.971,Very Large
0.5805,0.375,2,2,0.05,0.933,Very Large
0.5805,0.375,3,3,0.05,0.895,Very Large
