N:,468
Mean:,0.1919494
Stdev:,0.3012448
Median:,0
95% CI:(,0,0.9323317,)

eta_sqrd,effect,N1,N2,alpha,1-beta
0.0017,0.025,33,33,0.05,0.832,Small
0.0017,0.025,34,34,0.05,0.803,Small
0.0017,0.025,35,35,0.05,0.839,Small
0.0017,0.025,37,37,0.05,0.857,Small
0.0017,0.025,38,38,0.05,0.857,Small
0.0069,0.05,26,26,0.05,0.802,Small
0.0069,0.05,27,27,0.05,0.808,Small
0.0069,0.05,28,28,0.05,0.842,Small
0.0069,0.05,29,29,0.05,0.84,Small
0.0069,0.05,30,30,0.05,0.841,Small
0.0153,0.075,19,19,0.05,0.813,Small
0.0153,0.075,24,24,0.05,0.852,Small
0.0153,0.075,25,25,0.05,0.887,Small
0.0153,0.075,26,26,0.05,0.868,Small
0.0153,0.075,27,27,0.05,0.857,Small
0.0269,0.1,18,18,0.05,0.825,Medium-Small
0.0269,0.1,20,20,0.05,0.84,Medium-Small
0.0269,0.1,21,21,0.05,0.842,Medium-Small
0.0269,0.1,22,22,0.05,0.821,Medium-Small
0.0269,0.1,23,23,0.05,0.853,Medium-Small
0.0414,0.125,17,17,0.05,0.812,Medium-Small
0.0414,0.125,18,18,0.05,0.847,Medium-Small
0.0414,0.125,19,19,0.05,0.873,Medium-Small
0.0414,0.125,20,20,0.05,0.824,Medium-Small
0.0414,0.125,21,21,0.05,0.852,Medium-Small
0.0585,0.15,15,15,0.05,0.833,Medium-Small
0.0585,0.15,16,16,0.05,0.869,Medium-Small
0.0585,0.15,17,17,0.05,0.881,Medium-Small
0.0585,0.15,18,18,0.05,0.879,Medium-Small
0.0585,0.15,19,19,0.05,0.883,Medium-Small
0.078,0.175,13,13,0.05,0.807,Medium
0.078,0.175,14,14,0.05,0.841,Medium
0.078,0.175,15,15,0.05,0.839,Medium
0.078,0.175,16,16,0.05,0.85,Medium
0.078,0.175,17,17,0.05,0.849,Medium
0.0994,0.2,11,11,0.05,0.806,Medium
0.0994,0.2,12,12,0.05,0.803,Medium
0.0994,0.2,13,13,0.05,0.833,Medium
0.0994,0.2,14,14,0.05,0.877,Medium
0.0994,0.2,15,15,0.05,0.867,Medium
0.1226,0.225,11,11,0.05,0.817,Medium
0.1226,0.225,12,12,0.05,0.836,Medium
0.1226,0.225,13,13,0.05,0.869,Medium
0.1226,0.225,14,14,0.05,0.883,Medium
0.1226,0.225,15,15,0.05,0.902,Medium
0.1472,0.25,11,11,0.05,0.828,Medium-Large
0.1472,0.25,12,12,0.05,0.859,Medium-Large
0.1472,0.25,13,13,0.05,0.838,Medium-Large
0.1472,0.25,14,14,0.05,0.911,Medium-Large
0.1472,0.25,15,15,0.05,0.915,Medium-Large
0.1727,0.275,10,10,0.05,0.856,Medium-Large
0.1727,0.275,11,11,0.05,0.854,Medium-Large
0.1727,0.275,12,12,0.05,0.893,Medium-Large
0.1727,0.275,13,13,0.05,0.924,Medium-Large
0.1727,0.275,14,14,0.05,0.925,Medium-Large
0.199,0.3,9,9,0.05,0.846,Large
0.199,0.3,10,10,0.05,0.884,Large
0.199,0.3,11,11,0.05,0.874,Large
0.199,0.3,12,12,0.05,0.898,Large
0.199,0.3,13,13,0.05,0.896,Large
0.2258,0.325,8,8,0.05,0.808,Large
0.2258,0.325,9,9,0.05,0.801,Large
0.2258,0.325,10,10,0.05,0.881,Large
0.2258,0.325,11,11,0.05,0.908,Large
0.2258,0.325,12,12,0.05,0.915,Large
0.2527,0.35,8,8,0.05,0.826,Large
0.2527,0.35,9,9,0.05,0.877,Large
0.2527,0.35,10,10,0.05,0.87,Large
0.2527,0.35,11,11,0.05,0.922,Large
0.2527,0.35,12,12,0.05,0.937,Large
0.2797,0.375,8,8,0.05,0.832,Very Large
0.2797,0.375,9,9,0.05,0.906,Very Large
0.2797,0.375,10,10,0.05,0.907,Very Large
0.2797,0.375,11,11,0.05,0.929,Very Large
0.2797,0.375,12,12,0.05,0.954,Very Large
0.3064,0.4,7,7,0.05,0.837,Very Large
0.3064,0.4,8,8,0.05,0.89,Very Large
0.3064,0.4,9,9,0.05,0.924,Very Large
0.3064,0.4,10,10,0.05,0.934,Very Large
0.3064,0.4,11,11,0.05,0.945,Very Large
0.3327,0.425,6,6,0.05,0.823,Very Large
0.3327,0.425,7,7,0.05,0.862,Very Large
0.3327,0.425,8,8,0.05,0.895,Very Large
0.3327,0.425,9,9,0.05,0.905,Very Large
0.3327,0.425,10,10,0.05,0.933,Very Large
0.3586,0.45,7,7,0.05,0.849,Very Large
0.3586,0.45,8,8,0.05,0.908,Very Large
0.3586,0.45,9,9,0.05,0.897,Very Large
0.3586,0.45,10,10,0.05,0.945,Very Large
0.3586,0.45,11,11,0.05,0.967,Very Large
