,Bacteroidales_S24_7_grp_uncl,Lachnospiraceae_uncl,Lachnospiraceae_NK4A136_grp,Ruminococcaceae_uncl,Lactococcus,Romboutsia,Clostridiales_vadinBB60_grp_uncl,Akkermansia,Anaeroplasma,Oscillibacter,Acetatifactor,Ruminiclostridium_9,Enterobacteriaceae_uncl,Lactobacillus,Turicibacter,Lachnospiraceae_UCG_001,Clostridium_sensu_stricto_1,Clostridiales_uncl,Parabacteroides,Tyzzerella,Enterococcus,Peptostreptococcaceae_uncl,Ruminococcaceae_UCG_014,Bacteria_uncl,Parcubacteria_uncl,Lachnoclostridium,Lactobacillales_uncl,Epulopiscium,Clostridiaceae_1_uncl,Erysipelatoclostridium,Flavobacterium,Ruminiclostridium_5,Roseburia,Anaerotruncus,Eubacterium_coprostanoligenes_grp
0115.PG064.LB.MST,2.26164348605709,1.85416021379269,0.737198786456385,0.907097823251782,-4.350397548776,-7.47403227608231,0.509414855585673,-7.47403227608231,-7.47403227608231,-0.661518094662063,0.962808430265788,1.14266389456455,-7.47403227608231,-7.47403227608231,-7.47403227608231,-7.47403227608231,-7.47403227608231,-2.15317297143978,-7.47403227608231,-1.17234371842805,-7.47403227608231,-7.47403227608231,-7.47403227608231,-3.65725036821605,-7.47403227608231,-1.57780882653622,-7.47403227608231,-7.47403227608231,-7.47403227608231,-4.350397548776,-7.47403227608231,-4.350397548776,-7.47403227608231,-1.57780882653622,-7.47403227608231
0115.PG064.SB.MST,2.58278869317983,-2.22803972978145,-3.61433409090134,-8.08475465497642,0.528800635490192,-4.71294637956945,-2.63350483788961,-8.08475465497642,-4.01979919900951,-3.32665201844956,-3.10350846713535,-4.71294637956945,-4.71294637956945,-2.76703623051414,-8.08475465497642,-4.71294637956945,-8.08475465497642,-4.71294637956945,-8.08475465497642,-4.71294637956945,-8.08475465497642,-8.08475465497642,-4.71294637956945,-4.71294637956945,-3.61433409090134,-3.10350846713535,-8.08475465497642,-8.08475465497642,-8.08475465497642,-3.10350846713535,-8.08475465497642,-8.08475465497642,-4.71294637956945,-8.08475465497642,-8.08475465497642
0115.PG065.LB.MST,1.86312663430189,1.76265610393825,0.882297381290163,0.334862011911611,-7.64083225289053,-7.64083225289053,0.189150200730217,-7.64083225289053,-4.43582261255405,-0.629160122783734,1.29751866434369,0.877383366487734,-7.64083225289053,-7.64083225289053,-7.64083225289053,-7.64083225289053,-7.64083225289053,-1.54545085465789,-7.64083225289053,-1.72777241145184,-7.64083225289053,-7.64083225289053,-7.64083225289053,-2.13323751956001,-7.64083225289053,-2.35638107087422,-7.64083225289053,-7.64083225289053,-7.64083225289053,-3.33721032388594,-7.64083225289053,-2.48991246349874,-7.64083225289053,-2.35638107087422,-7.64083225289053
0115.PG065.SB.MST,3.24118602380896,-1.27332979391101,-2.88276770634511,-7.57917204393396,-1.67879490201917,-7.57917204393396,-7.57917204393396,-7.57917204393396,-7.57917204393396,-4.67452717557316,-2.72861702651785,-4.67452717557316,-7.57917204393396,-3.06508926313906,-4.67452717557316,-7.57917204393396,-7.57917204393396,-7.57917204393396,-7.57917204393396,-7.57917204393396,-7.57917204393396,-7.57917204393396,-4.67452717557316,-3.98137999501322,-7.57917204393396,-4.67452717557316,-7.57917204393396,-7.57917204393396,-7.57917204393396,-2.47730259823694,-4.67452717557316,-7.57917204393396,-7.57917204393396,-7.57917204393396,-7.57917204393396
0115.PG066.LB.MST,2.17239289717059,2.0185123051235,0.681997806395894,1.26497676972991,-4.2524761267348,-7.43754538924109,0.575837610567504,-7.43754538924109,-7.43754538924109,-0.994379588713315,1.17686950221964,0.382252861494838,-7.43754538924109,-7.43754538924109,-7.43754538924109,-7.43754538924109,-7.43754538924109,-1.30803714756836,-7.43754538924109,0.0241899922812581,-7.43754538924109,-7.43754538924109,-7.43754538924109,-2.46071665750674,-7.43754538924109,-1.47988740449502,-7.43754538924109,-7.43754538924109,-7.43754538924109,-7.43754538924109,-7.43754538924109,-2.30656597767948,-7.43754538924109,-2.17303458505496,-7.43754538924109
0115.PG066.SB.MST,3.69019748132976,-0.503417661912764,-2.44932781096808,-1.93850218720209,-0.113952895151041,-4.24108728019613,-2.63164936776203,-7.12072656412724,-7.12072656412724,-3.14247499152802,-2.44932781096808,-2.63164936776203,-7.12072656412724,-2.63164936776203,-7.12072656412724,-7.12072656412724,-7.12072656412724,-7.12072656412724,-7.12072656412724,-3.14247499152802,-3.14247499152802,-7.12072656412724,-7.12072656412724,-7.12072656412724,-7.12072656412724,-7.12072656412724,-7.12072656412724,-7.12072656412724,-7.12072656412724,-3.14247499152802,-7.12072656412724,-7.12072656412724,-7.12072656412724,-7.12072656412724,-7.12072656412724
0115.PG067.LB.MST,1.88791617665218,1.81313616146242,0.975982750146985,0.992155609392586,-7.50628660493932,-3.54580582690206,0.0515064336863905,-7.50628660493932,-7.50628660493932,-0.287709288880573,1.19912630146119,1.29047608004942,-7.50628660493932,-7.50628660493932,-7.50628660493932,-7.50628660493932,-7.50628660493932,-1.10345879153285,-7.50628660493932,-0.128079143288689,-7.50628660493932,-7.50628660493932,-7.50628660493932,-7.50628660493932,-7.50628660493932,-1.84105773466363,-7.50628660493932,-7.50628660493932,-7.50628660493932,-7.50628660493932,-7.50628660493932,-3.54580582690206,-7.50628660493932,-1.84105773466363,-7.50628660493932
0115.PG067.SB.MST,3.38762804877927,-1.08620613514773,-1.57171395092943,-2.95800831204932,0.963965024231989,-7.33472989449351,-2.26486113148938,-7.33472989449351,-3.65115549260927,-2.95800831204932,-3.65115549260927,-2.55254320394116,-7.33472989449351,-1.57171395092943,-7.33472989449351,-7.33472989449351,-7.33472989449351,-7.33472989449351,-3.65115549260927,-3.65115549260927,-7.33472989449351,-7.33472989449351,-7.33472989449351,-7.33472989449351,-3.65115549260927,-7.33472989449351,-7.33472989449351,-7.33472989449351,-7.33472989449351,-0.760783734713105,-7.33472989449351,-2.95800831204932,-7.33472989449351,-3.65115549260927,-7.33472989449351
0115.PG068.LB.MST,1.97819683653438,1.79152526451556,0.967430301208019,0.207908051703201,-7.63670075372267,-7.63670075372267,-0.485239128856745,-7.63670075372267,-4.41706476158107,-0.728185307467134,1.41774597548153,0.353619862884595,-7.63670075372267,-7.63670075372267,-7.63670075372267,-7.63670075372267,-7.63670075372267,-1.70901456047886,-7.63670075372267,-0.428080715016796,-7.63670075372267,-7.63670075372267,-7.63670075372267,-3.31845247291296,-7.63670075372267,-2.62530529235302,-7.63670075372267,-7.63670075372267,-7.63670075372267,-7.63670075372267,-7.63670075372267,-3.31845247291296,-4.41706476158107,-2.47115461252576,-7.63670075372267
0115.PG068.SB.MST,1.90988388704155,0.498351593331792,-0.40366451074977,-2.20332915948494,1.18508849553082,-8.18887695652288,-3.63841368477426,-8.18887695652288,-5.24785159720836,-2.47526287496858,-0.704556814938357,-1.07346432731272,-8.18887695652288,-2.84995632440999,-8.18887695652288,-8.18887695652288,-5.24785159720836,-8.18887695652288,-8.18887695652288,-2.94526650421431,-8.18887695652288,-8.18887695652288,-8.18887695652288,-5.24785159720836,-3.05062701987214,-2.3574798393122,-8.18887695652288,-8.18887695652288,-8.18887695652288,-2.3574798393122,-3.05062701987214,-4.55470441664842,-5.24785159720836,-3.16841005552852,-8.18887695652288
0115.PG069.LB.MST,2.8174447254335,1.99646417336367,0.681555871330326,0.141433878075905,-4.16263121512826,-7.27126673258739,1.09486415689952,-7.27126673258739,-7.27126673258739,-1.86004612213422,1.27978649539353,-0.0354968300831733,-7.27126673258739,-7.27126673258739,-7.27126673258739,-7.27126673258739,-7.27126673258739,-1.86004612213422,-7.27126673258739,-0.579112276672155,-7.27126673258739,-7.27126673258739,-4.16263121512826,-2.77633685400837,-7.27126673258739,-1.96540663779205,-7.27126673258739,-7.27126673258739,-7.27126673258739,-7.27126673258739,-7.27126673258739,-4.16263121512826,-7.27126673258739,-1.11810877740484,-7.27126673258739
0115.PG069.SB.MST,2.34801842138895,1.43696526228104,0.39457811626988,-0.358532529057622,-0.0513783531930209,-4.84716889878976,-1.71167468286061,-7.80378275574828,-4.84716889878976,-2.44927362599139,0.430945760440755,-0.598673656740403,-7.80378275574828,-2.36226224900176,-7.80378275574828,-7.80378275574828,-7.80378275574828,-7.80378275574828,-7.80378275574828,-1.90272991962332,-7.80378275574828,-7.80378275574828,-7.80378275574828,-4.15402171822982,-7.80378275574828,-2.01395555473355,-4.84716889878976,-7.80378275574828,-7.80378275574828,-2.64994432145354,-3.74855661012165,-3.74855661012165,-3.74855661012165,-2.01395555473355,-7.80378275574828
0115.PG070.LB.MST,2.70881725035652,2.16463603288965,1.2618982674202,0.587799281830945,-3.38249263172118,-3.38249263172118,0.390268306373461,-7.21845559843928,-7.21845559843928,-0.492120873825013,1.331531959179,0.720150733315618,-7.21845559843928,-7.21845559843928,-7.21845559843928,-7.21845559843928,-7.21845559843928,-1.8784152349449,-7.21845559843928,-0.81754327425964,-7.21845559843928,-7.21845559843928,-7.21845559843928,-2.46620189984702,-7.21845559843928,-1.36758961117891,-7.21845559843928,-7.21845559843928,-7.21845559843928,-7.21845559843928,-7.21845559843928,-2.46620189984702,-3.38249263172118,-1.99619827060129,-7.21845559843928
0115.PG070.SB.MST,2.45280144718789,-1.30148420707684,-1.706949315185,-4.59732107308117,0.218920082986864,-8.20592403810613,-8.20592403810613,-8.20592403810613,-8.20592403810613,-5.29046825364111,-2.89257298084274,-3.3445581045858,-8.20592403810613,-2.65141092402585,-8.20592403810613,-8.20592403810613,-8.20592403810613,-8.20592403810613,-8.20592403810613,-8.20592403810613,-4.191855964973,-8.20592403810613,-5.29046825364111,-8.20592403810613,-5.29046825364111,-3.68103034120701,-8.20592403810613,-8.20592403810613,-8.20592403810613,-2.98788316064707,-8.20592403810613,-5.29046825364111,-5.29046825364111,-4.59732107308117,-8.20592403810613
