SampleID	G01.cellular_anatomical_entity	G01.protein_containing_complex	G01.virion_component	G02.catalytic_complex	G02.ribonucleoprotein_complex	G02.membrane_protein_complex	G02.intracellular_protein_containing_complex	G02.protein_DNA_complex	G02.transporter_complex	G02.DNA_repair_complex	G02.type_VI_protein_secretion_system_complex	G02.DNA_packaging_complex	G02.molybdopterin_synthase_complex	G02.fatty_acid_synthase_complex	G02.transcription_regulator_complex	G02.tricarboxylic_acid_cycle_enzyme_complex	G02.type_II_protein_secretion_system_complex	G02.cytochrome_complex	G02.protein_containing_complex	G02.type_III_protein_secretion_system_complex	G02.fatty_acid_beta_oxidation_multienzyme_complex	G02.collagen_trimer	G02.proteasome_core_complex	G02.Arp2_3_protein_complex	G02.myosin_complex	G02.nuclear_protein_containing_complex	G02.type_IV_secretion_system_complex	G02.type_I_protein_secretion_system_complex	G02.Rare	G03.virus_tail__fiber	G03.viral_capsid	G03.virion_component	G03.virus_tail__sheath	G03.virus_tail__baseplate	G03.virus_tail	G03.viral_capsid__decoration	G03.viral_nucleocapsid	G03.viral_membrane	G03.virus_tail__tube	G03.viral_procapsid	G03.viral_tegument	G03.capsomere	G03.virion_membrane	G04.intrinsic_component_of_membrane	G04.cytoplasm	G04.membrane	G04.organelle	G04.periplasmic_space	G04.extracellular_region	G04.cellular_anatomical_entity	G04.cell_projection	G04.cytosol	G04.extracellular_space	G04.cell_division_site	G04.cell_surface	G04.bacterial_type_flagellum_basal_body	G04.nucleoid	G04.host_cellular_component	G04.external_encapsulating_structure	G04.side_of_membrane	G04.bacterial_type_flagellum_hook	G04.intracellular_anatomical_structure	G04.bacterial_type_flagellum_filament_cap	G04.extrinsic_component_of_membrane	G04.bacterial_type_flagellum_basal_body__rod	G04.membrane_enclosed_lumen	G04.microtubule_organizing_center	G04.supramolecular_complex	G04.Rare
0159_AA34_42003_20180313_ST	4.05519295705588	1.2081861682524	-5.26337912530829	-3.83318821143813	-4.56467238040406	-4.88412910344461	-4.92760235331722	-5.60631568249724	-5.80737643920395	-5.94100691923355	-8.28482036779036	-8.03104785883972	-7.96828353414102	-8.38441480486956	-8.97179087645858	-9.13750237868691	-9.4878298471949	-9.03709597486634	-10.7440375314631	-8.92605486713589	-14.9781440360603	-11.7794709185096	-9.79075823021956	-12.4131946785988	-11.2169439203667	-12.2850194851748	-11.5441568315752	-14.9781440360603	-11.7388122026247	-11.3968652207719	-10.2061376431959	-10.501851887345	-11.6004641760131	-29.8858283529033	-28.325184377262	-26.536543428208	-26.3215481271694	-23.0837708893214	-23.2786366045822	-19.7675720832882	-26.340342182852	-18.9539800661119	-22.849645164408	2.27066229954687	1.26698927486927	1.15657695890228	-1.11707806808265	-2.22738620995788	-2.22531691701715	-2.38406490439211	-3.47449371049215	-3.50487277986467	-4.9721354843522	-4.33174749920424	-5.19724583215858	-3.80116741267211	-5.07814345875715	-5.60665617629605	-5.50565464145101	-5.18722097433665	-4.75995144608341	-8.36752452441861	-5.74179332204948	-6.11132707854532	-5.11553510301751	-8.12042316285701	-6.77600684221808	-6.32095324637748	-4.92689607651856
0159_AA34_42005_20180409_ST	4.53685416455291	1.73660328746748	-6.27345745202039	-3.65411616832171	-4.78809560082711	-4.83571675158936	-4.9882232338978	-5.62127142599076	-5.68706251288127	-5.95505162106973	-8.65856960334239	-8.46372982819103	-7.95386160038136	-6.95593791401034	-8.59112832254685	-8.89340919441979	-11.8136339154656	-8.9032614908628	-10.2225451416997	-11.3211574303678	-27.0302111724518	-16.6242530208207	-18.0363239936074	-11.0334753579161	-20.4086459610119	-20.6959144195007	-25.4628939720551	-24.5232527513065	-17.2557094984308	-22.4702350882728	-19.286829858715	-11.0924736145537	-19.0270449626404	-29.8858941372204	-12.4787679756736	-26.5366092125251	-26.3216139114865	-23.0838366736385	-23.2787023888993	-19.7676378676053	-26.3404079671691	-18.954045850429	-22.8497109487251	2.15185060248276	1.23608662969219	1.32935464901266	-1.44491657357273	-2.39592737758938	-2.44421347734935	-2.30129115276607	-3.36728476357138	-3.87896655177324	-4.76390179699869	-4.71826650229207	-4.89391889764975	-7.05488134387243	-5.37491328063249	-6.7294589434378	-4.75743765037881	-5.85863058564041	-8.52121841266586	-6.67539172216753	-8.92668352077402	-7.05488134387243	-9.61983070133397	-9.10900507756797	-14.4429533529587	-4.9563916072219	-8.88586152625377
0159_AA34_42007_20180420_ST	3.945445750187	1.25865532926948	-5.20410107945648	-3.71186368011213	-4.53090878593155	-4.54498303100035	-4.84232755400816	-5.58435469960418	-5.46327676805094	-5.82972602300883	-8.01825098045566	-8.08494235495433	-7.24754556554984	-6.46863156323247	-9.66047871571275	-8.83119936082823	-11.4522381849408	-9.84280027250671	-10.3536258962727	-9.74749009270238	-9.50632803588549	-9.66047871571275	-18.0294674764649	-19.449591488839	-10.3536258962727	-12.8385325460607	-12.1453853655008	-24.5163962341639	-12.8385325460607	-11.5180125040188	-19.2867494040128	-9.57210235496347	-11.5180125040188	-11.5180125040188	-28.3251697068769	-26.5365287578228	-26.3215334567843	-23.0837562189363	-23.278621934197	-19.767557412903	-26.3403275124668	-18.9539653957268	-22.8496304940228	2.02958841257633	1.43030062336363	0.820425210215119	-1.33505819712468	-2.25218808298347	-2.88869824761048	-2.4177617824762	-4.70789557807921	-3.75849017478185	-5.10333912772635	-4.72092979591811	-4.87508047574537	-5.18338183539989	-4.83018515583748	-6.17663360841017	-5.95349005709596	-6.31016500103469	-5.32755162622947	-6.82099062480069	-6.31016500103469	-6.89509859695441	-7.1574628614219	-7.9196029134688	-14.5506984424333	-9.46004795441594	-6.82099062480069
0159_AA34_42009_20180313_ST	3.65241385214512	0.820236062202853	-4.47264991434798	-3.57236043487984	-5.28239022953744	-4.92668663098834	-5.2921464044828	-5.32199936763248	-5.56041039107748	-5.90073619701468	-8.12535974853902	-8.81850692909896	-8.12535974853902	-16.092201819013	-12.5513142496257	-13.6547070160134	-8.12535974853902	-12.3361284623179	-8.30768130533297	-15.3847360627281	-7.43221256797907	-16.6260707948653	-18.038141767652	-19.4582657800261	-20.4104637350565	-9.51165410965891	-25.4647117460997	-24.525070525351	-17.2575272724753	-22.4699745963997	-19.2865693668419	-8.18227973925902	-19.0267844707672	-29.8856336453473	-28.324989669706	-26.5363487206519	-26.3213534196134	-23.0835761817654	-23.2784418970261	-19.7673773757321	-26.3401474752959	-18.9537853585559	-22.8494504568519	2.12507063799772	1.01232064957344	1.58196946244091	-1.71669917273595	-1.62582827725414	-2.05922216088732	-1.80139305158522	-2.65884328343644	-2.90000534025333	-4.04513764455633	-4.38160988117754	-3.6884627006176	-4.89243550494353	-4.89243550494353	-10.3421976731514	-6.39651290171981	-5.2979006130517	-5.2979006130517	-15.8576604325449	-5.2979006130517	-4.04513764455633	-5.2979006130517	-16.0077524554437	-14.4172510092179	-14.1129808939154	-5.48022216984565
0159_AA34_42011_20180315_ST	4.29884016396497	1.58238095221534	-5.88122111618031	-3.65721014860637	-4.54769338649759	-4.67697198713782	-4.76603791072601	-5.69427576995604	-5.58119862533707	-5.73941065098909	-8.67602180153529	-8.38833972908351	-7.50595054888504	-16.085388661248	-10.8732463788715	-9.26380846643741	-10.4677812707633	-9.33280133792436	-9.95695564699735	-8.73318021537524	-27.0252157887313	-9.7746340902034	-18.031328609887	-19.4514526222612	-9.48695201775162	-20.6909190357803	-10.8732463788715	-24.5182573675861	-17.2507141147104	-22.4702185542723	-10.9372234852291	-10.9372234852291	-19.0270284286399	-29.8858776032199	-28.3252336275787	-26.5365926785246	-26.3215973774861	-23.0838201396381	-23.2786858548988	-19.7676213336048	-26.3403914331686	-18.9540293164286	-22.8496944147246	2.04861856469685	1.33401498003278	1.08111913122059	-1.392668235525	-2.3496808066787	-2.4669632165424	-2.46359053206376	-3.70783211072591	-3.78787481839944	-5.38473394862668	-4.98623750983461	-4.9518698663304	-4.34696331921482	-5.46607958808064	-8.15732267086646	-5.71497563549726	-6.39373407860511	-4.66081510939998	-15.9623827022623	-6.1424196503242	-15.4908390777008	-6.21141252181115	-8.56278777897463	-14.5219732789352	-14.2177031636327	-7.00464316092808
0159_AA34_42013_20180321_ST	6.37340682499556	3.65726426482644	-10.030671089822	-3.59346996112961	-4.71874199874168	-4.63970998629704	-4.85729906984926	-5.73395545579881	-5.53962469866602	-5.97955667105326	-7.10784930372025	-8.46636410073306	-7.6328595624782	-7.38154513419729	-9.06794408776752	-9.57876971153351	-11.3705291807616	-9.1018456394432	-11.3705291807616	-10.2719168920935	-27.0251937993083	-9.98423481964167	-18.031306620464	-19.4514306328381	-10.2719168920935	-20.6908970463573	-12.0636763613215	-24.518235378163	-17.2506921252874	-22.4702541212093	-19.2868488916515	-15.6037295580186	-19.0270639955769	-29.8859131701569	-28.3252691945156	-26.5366282454616	-26.321632944423	-23.083855706575	-23.2787214218358	-19.7676569005418	-26.3404270001056	-18.9540648833655	-22.8497299816616	2.06491549658195	1.26396491359223	1.14713280377528	-1.49561325353012	-2.3954427083502	-2.74065841508834	-2.47436996693987	-4.19424220665461	-3.78685217013686	-4.84772413082212	-4.79365690955185	-4.94693078090557	-5.32815227740375	-5.34020061591992	-8.24892151248428	-5.72319286817602	-5.88179789835266	-5.46253946811216	-7.9612394400325	-6.2266383846444	-8.65438662059244	-7.55577433192433	-9.75299890926055	-14.5217324373481	-14.2174623220456	-7.80708876020524
0159_AA34_42014_20180323_ST	4.06157066650463	1.26913857835707	-5.3307092448617	-3.61331873057586	-4.77099170773975	-4.90297812007147	-4.94657967258922	-5.70098693875333	-5.88880988476617	-5.81861412620555	-8.80457660816373	-7.91075873214164	-7.78292536063175	-7.66959667532475	-8.80457660816373	-9.05589103644464	-10.2678320104198	-8.5740529495519	-9.90318889683184	-8.75050938689346	-27.0297650731537	-10.30865400494	-18.0358778943094	-19.4560019066835	-9.39236327306585	-20.6954683202026	-25.4624478727571	-24.5228066520084	-17.2552633991327	-22.4701755721672	-19.2867703426094	-9.45174811289597	-19.0269854465347	-29.8858346211148	-28.3251906454735	-26.5365496964194	-26.3215543953809	-23.0837771575329	-23.2786428727937	-19.7675783514996	-26.3403484510634	-18.9539863343234	-22.8496514326194	2.14836911668204	1.2148466873818	1.31598881043816	-1.55028366053457	-2.32084449264756	-2.30528353792447	-2.33852759650363	-3.75436198069867	-3.78579875412223	-4.22166133941477	-4.6133331253906	-4.80390782394127	-4.24666264162018	-5.2662064068126	-6.50589729374062	-5.63295700274007	-5.76829835060984	-4.87844087580384	-7.11203309731093	-5.60795570053466	-7.5174982054191	-6.41888591675099	-9.30925767464715	-14.4512904718417	-7.5174982054191	-6.60120747354494
0159_AA34_42015_20180329_ST	3.69259309266751	0.963903886524821	-4.65649697919233	-3.72163423225495	-4.70011245787036	-4.51106980040333	-4.78607341459534	-5.46514686794362	-5.60490881031878	-5.87372239846618	-7.65617947503192	-8.75479176370003	-7.65617947503192	-16.0861548478483	-12.5452672784611	-8.75479176370003	-8.14865596012972	-8.75479176370003	-9.44793894425998	-9.44793894425998	-27.0259819753317	-16.6200238237006	-18.0320947964873	-19.4522188088615	-20.4044167638918	-9.44793894425998	-25.4586647749351	-24.5190235541864	-17.2514803013107	-8.81781616800082	-9.51096334856076	-15.6035074756251	-19.0268419131834	-29.8856910877634	-28.3250471121222	-26.5364061630681	-26.3214108620296	-23.0836336241816	-23.2784993394423	-19.7674348181483	-26.3402049177121	-18.9538428009721	-22.8495078992681	2.06224682250588	1.34221630255249	1.06461390947674	-1.3566537798336	-1.95194517038978	-2.90126115769543	-2.59549540981036	-3.42679292885112	-3.13911085639934	-3.95004107261567	-4.23772314506745	-6.0294826142955	-5.51865699052951	-4.93087032562739	-6.72262979485545	-6.43494772240367	-6.72262979485545	-6.21180417108946	-15.9537634474631	-7.12809490296361	-5.74180054184372	-6.0294826142955	-16.1038554703619	-14.5133540241361	-14.2090839088336	-6.21180417108946
0159_AA34_42018_20180409_ST	6.36772114590592	3.66763231753461	-10.0353534634405	-3.58460431173109	-4.70400737006828	-4.83394379177494	-4.91878267171197	-5.31646563937808	-5.39715455062822	-6.03314331734822	-20.9322437533251	-8.3845185745117	-8.3845185745117	-8.3845185745117	-7.28590628584359	-8.3845185745117	-7.82490278657627	-8.78998368261986	-9.07766575507164	-8.3845185745117	-7.28590628584359	-16.6182323422062	-9.07766575507164	-19.450427327367	-20.4026252823974	-20.6898937408862	-25.4568732934406	-24.5172320726919	-17.2496888198163	-22.4702541212093	-19.2868488916515	-15.6037295580186	-19.0270639955769	-29.8859131701569	-28.3252691945156	-26.5366282454616	-26.321632944423	-23.083855706575	-23.2787214218358	-19.7676569005418	-26.3404270001056	-18.9540648833655	-22.8497299816616	2.06500047133512	1.15771977574376	1.14734401181912	-1.40545148736595	-2.31140324144493	-2.43923661295481	-2.07351183349616	-3.43313794753389	-4.76813901426623	-5.68442974614039	-3.97968165390196	-4.83713188575318	-10.4959645231133	-5.68442974614039	-5.68442974614039	-5.27896463803222	-4.58581745747228	-5.27896463803222	-15.9771922870019	-12.2791190080078	-5.27896463803222	-12.5781474989886	-16.1272843099007	-14.5367828636748	-14.2325127483723	-5.86675130293434
0159_AA34_42019_20180402_ST	3.4486677761455	0.677881510346732	-4.12654928649224	-3.74082798865754	-4.87885303964411	-4.79794640103131	-4.82952797308161	-5.60628929368269	-5.28151309682466	-6.12881095721187	-20.9365811960608	-7.75805149694215	-7.98119504825636	-7.98119504825636	-12.5478132397023	-8.26887712070814	-7.22742324587998	-7.69351297580458	-6.88258275958825	-8.6743422288163	-27.0285279365729	-16.6225697849419	-18.0346407577286	-19.4547647701027	-20.4069627251331	-9.36748940937625	-25.4612107361763	-24.5215695154276	-8.36196754377415	-8.73456008995299	-19.2863662273352	-15.6032468937022	-8.73456008995299	-29.8854305058406	-8.73456008995299	-26.5361455811452	-26.3211502801067	-23.0833730422587	-23.2782387575194	-19.7671742362254	-26.3399443357892	-18.9535822190492	-22.8492473173452	2.08720513245717	1.20681313896016	1.27621471495854	-1.50204776344304	-1.37217268202163	-2.26227792689827	-2.5439072355187	-2.95369200477138	-3.69199958145018	-3.7711369020089	-4.4071256687289	-4.10291429432591	-4.33566670474676	-4.89960215382669	-6.60435024606512	-3.78098919845192	-6.60435024606512	-5.50573795739701	-15.9184793947977	-6.60435024606512	-6.60435024606512	-5.91120306550517	-5.91120306550517	-14.4780699714707	-14.1737998561682	-4.93037381249345
