sample_id	total	protein_containing_complex	virion_component	cellular_anatomical_entity
0159_AA34_42003_20180313_ST	3383889	185544.033333333	287	3198057.96666666
0159_AA34_42005_20180409_ST	262705	15055.5	5	247644.5
0159_AA34_42007_20180420_ST	100520	6408.25	10	94101.7499999999
0159_AA34_42009_20180313_ST	3578	198.916666666667	1	3378.08333333333
0159_AA34_42011_20180315_ST	56233	3486.83333333333	2	52744.1666666667
0159_AA34_42013_20180321_ST	92462.9999999999	5735.25	0	86727.7499999999
0159_AA34_42014_20180323_ST	63657	3674.91666666667	5	59977.0833333334
0159_AA34_42015_20180329_ST	6754.99999999999	414	1.5	6339.49999999999
0159_AA34_42018_20180409_ST	4673	294.25	0	4378.75
0159_AA34_42019_20180402_ST	6217	366.15	3	5847.85
0159_AA34_42020_20180607_ST	6349	404	3	5942
0159_AA34_42021_20181004_ST	20436	1158.33333333333	1	19276.6666666667
0159_AA34_42025_20180402_ST	61913.9999999999	4023.5	0	57890.4999999999
0159_AA34_42027_20180402_ST	4008	213.833333333333	0	3794.16666666667
0159_AA34_42028_20180918_ST	26136	1558.83333333333	6	24571.1666666667
0159_AA34_42029_20180719_ST	116	13.5	0	102.5
0159_AA34_42031_20180409_ST	130864	7265.83333333333	9	123589.166666667
0159_AA34_42033_20180613_ST	40365	2075.33333333333	1	38288.6666666667
0159_AA34_42037_20180418_ST	5443	319.666666666667	4	5119.33333333333
0159_AA34_42038_20180920_ST	99020	5314.41666666667	3	93702.5833333333
0159_AA34_42039_20180413_ST	4583	337.066666666667	5	4240.93333333333
0159_AA34_42040_20180410_ST	7469	407.166666666667	3	7058.83333333333
0159_AA34_42043_20180410_ST	24	1.5	0	22.5
0159_AA34_42044_20180410_ST	443	24.3333333333333	0	418.666666666667
0159_AA34_42045_20180907_ST	1076	62.8333333333333	0	1013.16666666667
0159_AA34_42046_20180413_ST	5650	320.5	0	5329.5
0159_AA34_42047_20180417_ST	14153	836.833333333333	0	13316.1666666667
0159_AA34_42049_20180413_ST	38	2	0	36
0159_AA34_42050_20180419_ST	568	31.8333333333333	0	536.166666666667
0159_AA34_42051_20180417_ST	68	7.5	0	60.5
0159_AA34_42052_20180419_ST	423	25.6666666666667	0	397.333333333333
0159_AA34_42053_20180420_ST	6680.99999999999	398.333333333333	1	6281.66666666666
0159_AA34_42056_20180419_ST	895	45.1666666666667	0	849.833333333333
0159_AA34_42057_20180419_ST	72874	5263.5	4	67606.5
0159_AA34_42059_20180426_ST	63	3.33333333333333	0	59.6666666666667
0159_AA34_42060_20180425_ST	4	0	0	4
0159_AA34_42061_20180423_ST	188	16.1666666666667	0	171.833333333333
0159_AA34_42063_20180426_ST	65	4.33333333333333	0	60.6666666666666
0159_AA34_42067_20180503_ST	2	0	0	2
0159_AA34_42069_20180504_ST	40	1.33333333333333	0	38.6666666666667
0159_AA34_42070_20180503_ST	56972	3619.83333333333	1	53351.1666666667
0159_AA34_42073_20180514_ST	21205	1250.66666666667	2	19952.3333333333
0159_AA34_42075_20180508_ST	71	8.33333333333333	0	62.6666666666667
0159_AA34_42076_20180823_ST	1226	72.8333333333333	0	1153.16666666667
0159_AA34_42077_20180504_ST	145	12.5	0	132.5
0159_AA34_42078_20180523_ST	72835	4327	70	68438
0159_AA34_42081_20180515_ST	16	0	0	16
0159_AA34_42082_20180514_ST	34254	2686.58333333333	3	31564.4166666667
0159_AA34_42083_20180504_ST	2647160	140160.833333333	173.5	2506825.66666667
0159_AA34_42084_20180509_ST	5501488	432961.201839827	1513	5067013.79816017
0159_AA34_42085_20180717_ST	725316	30281.0666666667	76	694958.933333333
0159_AA34_42086_20180514_ST	679038.999999999	43647.8	1502.83333333333	633888.366666666
0159_AA34_42087_20180523_ST	5082822	369617.783333333	5805.5	4707398.71666667
0159_AA34_42088_20180515_ST	5305097	261933.333333334	1883	5041280.66666667
0159_AA34_42089_20180515_ST	3477335	182181.216666667	713	3294440.78333334
0159_AA34_42090_20180515_ST	1281859	67770.5	71.5	1214017
0159_AA34_42092_20180525_ST	6668198	331750.5	1692.5	6334755
0159_AA34_42094_20180523_ST	3676129	209228.683333333	703	3466197.31666666
0159_AA34_42097_20180525_ST	2585173	147216.416666667	166	2437790.58333333
0159_AA34_42098_20180531_ST	3084609	201694.2	4078.5	2878836.3
0159_AA34_42099_20180525_ST	5485	417.416666666667	2	5065.58333333333
0159_AA34_42100_20180523_ST	11859102	738880.876190477	6837	11113384.1238095
0159_AA34_42101_20180611_ST	93388	4439.34761904762	121.5	88827.1523809524
0159_AA34_42103_20180813_ST	836642	66214.9333333334	1602	768825.066666667
