sample_id	total	GO:0032991	GO:0000133	GO:0000408	GO:0000417	GO:0000444	GO:0000808	GO:0000930	GO:0000939	GO:0000940	GO:0000974	GO:0001534	GO:0002144	GO:0002199	GO:0005577	GO:0005581	GO:0005663	GO:0005667	GO:0005833	GO:0005835	GO:0005838	GO:0005839	GO:0005850	GO:0005851	GO:0005852	GO:0005853	GO:0005854	GO:0005861	GO:0005875	GO:0005885	GO:0008091	GO:0008290	GO:0008537	GO:0008540	GO:0008541	GO:0009330	GO:0009368	GO:0010598	GO:0015627	GO:0016272	GO:0016281	GO:0016459	GO:0017101	GO:0017102	GO:0018444	GO:0019008	GO:0019773	GO:0019774	GO:0022623	GO:0030015	GO:0030076	GO:0030256	GO:0030257	GO:0030314	GO:0030877	GO:0030991	GO:0030992	GO:0031074	GO:0031082	GO:0031105	GO:0031209	GO:0031250	GO:0031251	GO:0031262	GO:0031389	GO:0031390	GO:0031422	GO:0031511	GO:0031518	GO:0031521	GO:0031522	GO:0031680	GO:0031941	GO:0032993	GO:0033061	GO:0033104	GO:0033186	GO:0033551	GO:0033596	GO:0034044	GO:0034270	GO:0034464	GO:0034518	GO:0034973	GO:0035649	GO:0035658	GO:0035859	GO:0036038	GO:0036125	GO:0036286	GO:0036452	GO:0042555	GO:0043235	GO:0043291	GO:0043293	GO:0043684	GO:0044697	GO:0044815	GO:0045239	GO:0045293	GO:0045298	GO:0046798	GO:0055087	GO:0061574	GO:0061576	GO:0061700	GO:0061702	GO:0061957	GO:0062092	GO:0070069	GO:0070864	GO:0071203	GO:0071521	GO:0071563	GO:0072379	GO:0089713	GO:0090443	GO:0090665	GO:0097078	GO:0097255	GO:0097344	GO:0097361	GO:0097373	GO:0097452	GO:0098046	GO:0098636	GO:0098796	GO:0098798	GO:0099023	GO:0099078	GO:0101031	GO:0106333	GO:0110078	GO:0110131	GO:0110142	GO:0110157	GO:0120114	GO:0120155	GO:0120171	GO:0120216	GO:0140224	GO:0140513	GO:0140534	GO:0140535	GO:0150005	GO:1902494	GO:1903269	GO:1904090	GO:1905742	GO:1990062	GO:1990112	GO:1990130	GO:1990131	GO:1990143	GO:1990221	GO:1990229	GO:1990252	GO:1990298	GO:1990315	GO:1990351	GO:1990356	GO:1990391	GO:1990393	GO:1990423	GO:1990526	GO:1990527	GO:1990528	GO:1990533	GO:1990615	GO:1990745	GO:1990811	GO:1990861	GO:1990871	GO:1990904	GO:1990964	Remaining
0159_AA34_42003_20180313_ST	3383889	69	0	0	0	0	0	0	0	0	0	0	0	0	0	24.5	0	406	0	730.5	0	179	0	0	6.66666666666667	0	0	0	1.33333333333333	13	0	0	0	0.333333333333333	0	0	0	0	242.333333333333	0	0	43	0	0	0	1107.5	0	0	0	0	0.5	1	425	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	11752.5833333333	0	807	0	0	0	0	0	0	0.5	0	0	0	0.5	0	1	0	0	0	0	0	0	31	0	1040.125	344	0	0	2	0	0	0	0	0	0	0	380.333333333333	0	0	0	0	0	0	0	0.166666666666666	0	0	0	0	0	0	0	0	24197.75	6.41666666666667	0.5	0	1	0	0	0	0	0	0	0	0	0	0	14.7777777777778	1.6	23168.3333333334	0	69213.8194444445	0	0	0	0	0	0	0	0	0	0	0	0	0	9612	0	8409.66666666666	0	0	0	0	0	0	0	0	0	0	0	33305.2944444444	0	3198344.96666666
0159_AA34_42005_20180409_ST	262705	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	236	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1.83333333333333	0	0	0	0	0	0	87	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	896.5	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52.25	34	0	0	0	0	0	0	0	0	0	0	33.6666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1966.58333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1688.41666666667	0	6410.25	0	0	0	0	0	0	0	0	0	0	0	0	0	839.416666666667	0	642.083333333333	0	0	0	0	0	0	0	0	0	0	0	2062.5	0	247649.5
0159_AA34_42007_20180420_ST	100520	3	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	6	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	67	0	0	0	0	0	0	5.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	353.5	0	31	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0.5	0	29	13.75	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	999.5	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	742.416666666667	0	2299.33333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	399	0	276.583333333333	0	0	0	0	0	0	0	0	0	0	0	1013.66666666667	0	94111.7499999999
0159_AA34_42009_20180313_ST	3578	0.833333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	17	0	94.9166666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	9.25	0	0	0	0	0	0	0	0	0	0	0	17.1666666666667	0	3379.08333333333
0159_AA34_42011_20180315_ST	56233	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	4	0	0	0	29	0	0	0	0	0	0	8.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177.5	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	12	5	0	0	0	0	0	0	0	0	0	0	4.66666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	490.916666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	449.083333333333	0	1361.08333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	198.75	0	169.666666666667	0	0	0	0	0	0	0	0	0	0	0	558.666666666667	0	52746.1666666667
0159_AA34_42013_20180321_ST	92462.9999999999	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	10	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	42	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280.5	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	18.25	6	0	0	0	0	0	0	0	0	0	0	9.66666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	837.833333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	674	0	2385.25	0	0	0	0	0	0	0	0	0	0	0	0	0	340.666666666667	0	219.416666666666	0	0	0	0	0	0	0	0	0	0	0	774.166666666667	0	86727.7499999999
0159_AA34_42014_20180323_ST	63657	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	9	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.08333333333333	0	0	5	0	0	0	25	0	0	0	0	0	0	9.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200.5	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	7	0	0	0	0	0	0	0	0	0	0	11.3333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	445.333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	426.333333333333	0	1617.25	0	0	0	0	0	0	0	0	0	0	0	0	0	166.166666666667	0	178.25	0	0	0	0	0	0	0	0	0	0	0	508.166666666666	0	59982.0833333334
0159_AA34_42015_20180329_ST	6754.99999999999	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.83333333333333	0	0	0	0	0	0	3	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.8333333333333	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69.6666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	52.9166666666667	0	153.416666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	23.3333333333333	0	17.8333333333333	0	0	0	0	0	0	0	0	0	0	0	57.6666666666667	0	6340.99999999999
0159_AA34_42018_20180409_ST	4673	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.75	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.8333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	121.5	0	0	0	0	0	0	0	0	0	0	0	0	0	19.8333333333333	0	10.5	0	0	0	0	0	0	0	0	0	0	0	39.6666666666667	0	4378.75
0159_AA34_42019_20180402_ST	6217	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333333333	0	0	4.25	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333333333	0	0	0	0	0	0	21.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5	1.5	0	0	0	0	0	0	0	0	0	0	2.66666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	46.75	0	138.866666666667	0.2	0	0	0	0	0	0	0.5	0	0	0	0	0	29.75	0	12.75	0	0	0	0	0	0	0	0	0	0	0	44.5	0	5850.85
